fold,method,last_query,action_steps,threshold,original_threshold,units,rank,successful_episodes,exceedances
libero_long_full_1,knn20,11,110,2.0930659770965576,3.9340829849243164,70,68,547,2
libero_long_full_1,knn20,12,120,2.2119956016540527,3.9340829849243164,70,68,547,2
libero_long_full_1,knn20,13,130,2.320561647415161,3.9340829849243164,70,68,547,2
libero_long_full_1,c32_centroid_distance,21,210,3.9188923835754395,3.9478743076324463,70,68,547,2
libero_long_full_1,c32_centroid_distance,22,220,3.9188923835754395,3.9478743076324463,70,68,547,2
libero_long_full_1,c32_centroid_distance,34,340,3.9478743076324463,3.9478743076324463,70,68,547,2
libero_long_full_1,c32_centroid_distance,7,70,1.9890609979629517,3.9478743076324463,70,68,547,2
libero_long_full_1,c32_centroid_distance,8,80,2.0639524459838867,3.9478743076324463,70,68,547,2
libero_long_full_1,c32_centroid_distance,9,90,2.2515861988067627,3.9478743076324463,70,68,547,2
libero_long_full_1,c32_centroid_distance,10,100,2.518428087234497,3.9478743076324463,70,68,547,2
libero_long_full_1,c32_centroid_distance,11,110,2.5723090171813965,3.9478743076324463,70,68,547,2
libero_long_full_1,c32_centroid_distance,12,120,2.718468189239502,3.9478743076324463,70,68,547,2
libero_long_full_1,c32_centroid_distance,13,130,2.8717806339263916,3.9478743076324463,70,68,547,2
libero_long_full_1,c4_centroid_distance,21,210,6.953003406524658,7.481288433074951,70,68,547,2
libero_long_full_1,c4_centroid_distance,22,220,6.953003406524658,7.481288433074951,70,68,547,2
libero_long_full_1,c4_centroid_distance,34,340,7.481288433074951,7.481288433074951,70,68,547,2
libero_long_full_1,c4_centroid_distance,7,70,2.899372100830078,7.481288433074951,70,68,547,2
libero_long_full_1,c4_centroid_distance,8,80,3.264460802078247,7.481288433074951,70,68,547,2
libero_long_full_1,c4_centroid_distance,9,90,3.429882049560547,7.481288433074951,70,68,547,2
libero_long_full_1,c4_centroid_distance,10,100,3.5063743591308594,7.481288433074951,70,68,547,2
libero_long_full_1,c4_centroid_distance,11,110,3.848106622695923,7.481288433074951,70,68,547,2
libero_long_full_1,c4_centroid_distance,12,120,3.9363925457000732,7.481288433074951,70,68,547,2
libero_long_full_1,c4_centroid_distance,13,130,3.966914176940918,7.481288433074951,70,68,547,2
libero_long_full_1,c4_assigned_radius,21,210,2.015087842941284,2.1838085651397705,70,68,547,2
libero_long_full_1,c4_assigned_radius,22,220,2.015087842941284,2.1838085651397705,70,68,547,2
libero_long_full_1,c4_assigned_radius,34,340,2.1838085651397705,2.1838085651397705,70,68,547,2
libero_long_full_1,c4_assigned_radius,7,70,1.1020023822784424,2.1838085651397705,70,68,547,2
libero_long_full_1,c4_assigned_radius,8,80,1.2407664060592651,2.1838085651397705,70,68,547,2
libero_long_full_1,c4_assigned_radius,9,90,1.3036402463912964,2.1838085651397705,70,68,547,2
libero_long_full_1,c4_assigned_radius,10,100,1.3327136039733887,2.1838085651397705,70,68,547,2
libero_long_full_1,c4_assigned_radius,11,110,1.4407577514648438,2.1838085651397705,70,68,547,2
libero_long_full_1,c4_assigned_radius,12,120,1.4713375568389893,2.1838085651397705,70,68,547,2
libero_long_full_1,c4_assigned_radius,13,130,1.4946810007095337,2.1838085651397705,70,68,547,2
libero_long_full_2,knn20,19,190,2.5756382942199707,3.875976085662842,68,66,515,2
libero_long_full_2,knn20,21,210,2.5756382942199707,3.875976085662842,68,66,515,2
libero_long_full_2,knn20,7,70,1.1588279008865356,3.875976085662842,68,66,515,2
libero_long_full_2,knn20,8,80,1.530342698097229,3.875976085662842,68,66,515,2
libero_long_full_2,knn20,9,90,1.9175488948822021,3.875976085662842,68,66,515,2
libero_long_full_2,knn20,10,100,1.923491358757019,3.875976085662842,68,66,515,2
libero_long_full_2,knn20,11,110,2.016052722930908,3.875976085662842,68,66,515,2
libero_long_full_2,knn20,12,120,2.1095290184020996,3.875976085662842,68,66,515,2
libero_long_full_2,knn20,13,130,2.1095290184020996,3.875976085662842,68,66,515,2
libero_long_full_2,c32_centroid_distance,19,190,3.4109084606170654,4.628114700317383,68,66,515,2
libero_long_full_2,c32_centroid_distance,21,210,3.4109084606170654,4.628114700317383,68,66,515,2
libero_long_full_2,c32_centroid_distance,7,70,1.4746054410934448,4.628114700317383,68,66,515,2
libero_long_full_2,c32_centroid_distance,8,80,1.9942667484283447,4.628114700317383,68,66,515,2
libero_long_full_2,c32_centroid_distance,9,90,2.221503257751465,4.628114700317383,68,66,515,2
libero_long_full_2,c32_centroid_distance,10,100,2.3413379192352295,4.628114700317383,68,66,515,2
libero_long_full_2,c32_centroid_distance,11,110,2.495685577392578,4.628114700317383,68,66,515,2
libero_long_full_2,c32_centroid_distance,12,120,2.7161858081817627,4.628114700317383,68,66,515,2
libero_long_full_2,c32_centroid_distance,13,130,2.786353826522827,4.628114700317383,68,66,515,2
libero_long_full_2,c4_centroid_distance,19,190,4.870526313781738,5.878009796142578,68,66,515,2
libero_long_full_2,c4_centroid_distance,21,210,4.870526313781738,5.878009796142578,68,66,515,2
libero_long_full_2,c4_centroid_distance,7,70,2.2107045650482178,5.878009796142578,68,66,515,2
libero_long_full_2,c4_centroid_distance,8,80,2.6918888092041016,5.878009796142578,68,66,515,2
libero_long_full_2,c4_centroid_distance,9,90,3.232088088989258,5.878009796142578,68,66,515,2
libero_long_full_2,c4_centroid_distance,10,100,3.646329879760742,5.878009796142578,68,66,515,2
libero_long_full_2,c4_centroid_distance,11,110,4.243301868438721,5.878009796142578,68,66,515,2
libero_long_full_2,c4_centroid_distance,12,120,4.534202575683594,5.878009796142578,68,66,515,2
libero_long_full_2,c4_centroid_distance,13,130,4.534202575683594,5.878009796142578,68,66,515,2
libero_long_full_2,c4_assigned_radius,19,190,1.83822500705719,2.1592681407928467,68,66,515,2
libero_long_full_2,c4_assigned_radius,21,210,1.83822500705719,2.1592681407928467,68,66,515,2
libero_long_full_2,c4_assigned_radius,7,70,0.7886770367622375,2.1592681407928467,68,66,515,2
libero_long_full_2,c4_assigned_radius,8,80,0.9627882838249207,2.1592681407928467,68,66,515,2
libero_long_full_2,c4_assigned_radius,9,90,1.2079699039459229,2.1592681407928467,68,66,515,2
libero_long_full_2,c4_assigned_radius,10,100,1.3625513315200806,2.1592681407928467,68,66,515,2
libero_long_full_2,c4_assigned_radius,11,110,1.5931826829910278,2.1592681407928467,68,66,515,2
libero_long_full_2,c4_assigned_radius,12,120,1.6973397731781006,2.1592681407928467,68,66,515,2
libero_long_full_2,c4_assigned_radius,13,130,1.6973397731781006,2.1592681407928467,68,66,515,2
libero_long_full_3,knn20,21,210,3.505855083465576,4.464548110961914,67,65,503,2
libero_long_full_3,knn20,7,70,1.3053568601608276,4.464548110961914,67,65,503,2
libero_long_full_3,knn20,8,80,1.6426513195037842,4.464548110961914,67,65,503,2
libero_long_full_3,knn20,9,90,2.051501512527466,4.464548110961914,67,65,503,2
libero_long_full_3,knn20,10,100,2.431574821472168,4.464548110961914,67,65,503,2
libero_long_full_3,knn20,11,110,2.562912940979004,4.464548110961914,67,65,503,2
libero_long_full_3,knn20,12,120,2.854738235473633,4.464548110961914,67,65,503,2
libero_long_full_3,knn20,13,130,2.854738235473633,4.464548110961914,67,65,503,2
libero_long_full_3,c32_centroid_distance,21,210,3.910430908203125,4.6969757080078125,67,65,503,2
libero_long_full_3,c32_centroid_distance,7,70,1.8309526443481445,4.6969757080078125,67,65,503,2
libero_long_full_3,c32_centroid_distance,8,80,2.140606641769409,4.6969757080078125,67,65,503,2
libero_long_full_3,c32_centroid_distance,9,90,2.4083149433135986,4.6969757080078125,67,65,503,2
libero_long_full_3,c32_centroid_distance,10,100,2.9417734146118164,4.6969757080078125,67,65,503,2
libero_long_full_3,c32_centroid_distance,11,110,3.098827600479126,4.6969757080078125,67,65,503,2
libero_long_full_3,c32_centroid_distance,12,120,3.2579996585845947,4.6969757080078125,67,65,503,2
libero_long_full_3,c32_centroid_distance,13,130,3.2579996585845947,4.6969757080078125,67,65,503,2
libero_long_full_3,c4_centroid_distance,21,210,5.269625186920166,9.54279899597168,67,65,503,2
libero_long_full_3,c4_centroid_distance,7,70,2.6673829555511475,9.54279899597168,67,65,503,2
libero_long_full_3,c4_centroid_distance,8,80,2.6673829555511475,9.54279899597168,67,65,503,2
libero_long_full_3,c4_centroid_distance,9,90,3.4769511222839355,9.54279899597168,67,65,503,2
libero_long_full_3,c4_centroid_distance,10,100,3.6498632431030273,9.54279899597168,67,65,503,2
libero_long_full_3,c4_centroid_distance,11,110,4.382363796234131,9.54279899597168,67,65,503,2
libero_long_full_3,c4_centroid_distance,12,120,4.416386604309082,9.54279899597168,67,65,503,2
libero_long_full_3,c4_centroid_distance,13,130,4.7114691734313965,9.54279899597168,67,65,503,2
libero_long_full_3,c4_assigned_radius,21,210,1.741396427154541,2.369981050491333,67,65,503,2
libero_long_full_3,c4_assigned_radius,7,70,0.857862114906311,2.369981050491333,67,65,503,2
libero_long_full_3,c4_assigned_radius,8,80,0.9987857937812805,2.369981050491333,67,65,503,2
libero_long_full_3,c4_assigned_radius,9,90,1.2333810329437256,2.369981050491333,67,65,503,2
libero_long_full_3,c4_assigned_radius,10,100,1.3592047691345215,2.369981050491333,67,65,503,2
libero_long_full_3,c4_assigned_radius,11,110,1.4432345628738403,2.369981050491333,67,65,503,2
libero_long_full_3,c4_assigned_radius,12,120,1.4432345628738403,2.369981050491333,67,65,503,2
libero_long_full_3,c4_assigned_radius,13,130,1.5610125064849854,2.369981050491333,67,65,503,2
