detector,episodes,failure_n,success_n,tp,fp,fn,tn,failure_recall,success_fpr,precision,detected_failure_lead_median,failure_recall_ci_low,failure_recall_ci_high,success_fpr_ci_low,success_fpr_ci_high,precision_ci_low,precision_ci_high,early2_failure_recall,early4_failure_recall,early8_failure_recall,early12_failure_recall,task
instability_L5_q80_k8,512,216,296,0,0,216,296,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
dual_regime_or,512,216,296,151,11,65,285,0.6990740740740741,0.037162162162162164,0.9320987654320988,16.0,0.6990740740740741,0.6990740740740741,0.037162162162162164,0.037162162162162164,0.9320987654320988,0.9320987654320988,0.6898148148148148,0.6620370370370371,0.6574074074074074,0.6574074074074074,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
legacy_back_mean_q95_k2,512,12,500,9,1,3,499,0.75,0.002,0.9,3.0,0.75,0.75,0.002,0.002,0.9,0.9,0.5,0.16666666666666666,0.0,0.0,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate
lock_layer_median_q75_k4,512,12,500,12,1,0,499,1.0,0.002,0.9230769230769231,4.0,1.0,1.0,0.002,0.002,0.9230769230769231,0.9230769230769231,1.0,0.6666666666666666,0.0,0.0,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate
instability_L5_q80_k8,512,12,500,0,0,12,500,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate
dual_regime_or,512,12,500,12,1,0,499,1.0,0.002,0.9230769230769231,4.0,1.0,1.0,0.002,0.002,0.9230769230769231,0.9230769230769231,1.0,0.6666666666666666,0.0,0.0,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate
legacy_back_mean_q95_k2,512,37,475,21,1,16,474,0.5675675675675675,0.002105263157894737,0.9545454545454546,1.0,0.5675675675675675,0.5675675675675675,0.002105263157894737,0.002105263157894737,0.9545454545454546,0.9545454545454546,0.16216216216216217,0.0,0.0,0.0,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
lock_layer_median_q75_k4,512,37,475,25,1,12,474,0.6756756756756757,0.002105263157894737,0.9615384615384616,1.0,0.6756756756756757,0.6756756756756757,0.002105263157894737,0.002105263157894737,0.9615384615384616,0.9615384615384616,0.0,0.0,0.0,0.0,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
instability_L5_q80_k8,512,37,475,0,0,37,475,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
dual_regime_or,512,37,475,25,1,12,474,0.6756756756756757,0.002105263157894737,0.9615384615384616,1.0,0.6756756756756757,0.6756756756756757,0.002105263157894737,0.002105263157894737,0.9615384615384616,0.9615384615384616,0.0,0.0,0.0,0.0,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
