cohort,quantity,layer,chunk,alive,alive_risk,prior,auc_pooled,auc_within_suite,auc_within_task
development_main,query_hard_churn,L4,28,671,324,0.4828614008941878,0.37732148575088054,0.4313484954695329,0.45478516932137597
development_main,query_hard_churn,L4,32,515,222,0.43106796116504853,0.25073793930449223,0.25073793930449223,0.27053789395726474
development_main,query_hard_churn,L5,4,14800,487,0.0329054054054054,0.3933306276182922,0.4640037465717186,0.5025978679566425
development_main,query_hard_churn,L5,6,14800,487,0.0329054054054054,0.36753889393640077,0.42444662973688624,0.47228642240735763
development_main,query_hard_churn,L5,8,13666,487,0.03563588467730133,0.3206400793496841,0.37787446247830164,0.43053786707882535
development_main,query_hard_churn,L5,10,10516,487,0.04631038417649296,0.40313614132977404,0.40589562485112396,0.44629753940881
development_main,query_hard_churn,L5,12,8342,487,0.058379285543035245,0.47434402027508343,0.5095322554670938,0.40212158229439876
development_main,query_hard_churn,L5,14,4808,487,0.10128951747088186,0.39258561050635193,0.5030476602990157,0.42938607408748386
development_main,query_hard_churn,L5,16,3554,487,0.13702870005627463,0.2921856766305421,0.351071395262078,0.4437715256446058
development_main,query_hard_churn,L5,18,3059,487,0.15920235371036287,0.23922649860605924,0.28162641660667503,0.4119950480394004
development_main,query_hard_churn,L5,20,2776,487,0.17543227665706052,0.2855698578057902,0.38525542875826374,0.3568871331131755
development_main,query_hard_churn,L5,24,1312,361,0.27515243902439024,0.3731456318032338,0.4681979388126722,0.5160715916354671
development_main,query_hard_churn,L5,28,671,324,0.4828614008941878,0.3347342299071406,0.3850507568086819,0.42976843796011244
development_main,query_hard_churn,L5,32,515,222,0.43106796116504853,0.16971066629769702,0.16971066629769702,0.18128205831527552
development_main,query_hard_churn,L12,4,14800,487,0.0329054054054054,0.3871530325743128,0.45597934026187364,0.5091194123443519
development_main,query_hard_churn,L12,6,14800,487,0.0329054054054054,0.3142501518198803,0.3693869195290986,0.43783033234793517
development_main,query_hard_churn,L12,8,13666,487,0.03563588467730133,0.2972116052340752,0.34933458375278426,0.4019072642967543
development_main,query_hard_churn,L12,10,10516,487,0.04631038417649296,0.4104214820142736,0.3706043095765096,0.45029436047005084
development_main,query_hard_churn,L12,12,8342,487,0.058379285543035245,0.41794407621716506,0.4003017848988425,0.40152426975173355
development_main,query_hard_churn,L12,14,4808,487,0.10128951747088186,0.32480123098738933,0.4010186250056009,0.3534826095811364
development_main,query_hard_churn,L12,16,3554,487,0.13702870005627463,0.22870471850774188,0.2863463306419378,0.3540444940891743
development_main,query_hard_churn,L12,18,3059,487,0.15920235371036287,0.1813819493455025,0.22862844271602556,0.41535242350028256
development_main,query_hard_churn,L12,20,2776,487,0.17543227665706052,0.17534220892169763,0.2628003461007839,0.42936174809419464
development_main,query_hard_churn,L12,24,1312,361,0.27515243902439024,0.28071631844013156,0.38767148754421255,0.5743767692448178
development_main,query_hard_churn,L12,28,671,324,0.4828614008941878,0.20759063578467998,0.2563543370459797,0.2934145362066658
development_main,query_hard_churn,L12,32,515,222,0.43106796116504853,0.10487962365095471,0.10487962365095471,0.11388759360342321
development_main,query_hard_churn,L13,4,14800,487,0.0329054054054054,0.37807518645547167,0.4485815437096918,0.4704918032786885
development_main,query_hard_churn,L13,6,14800,487,0.0329054054054054,0.32905124518125206,0.3835954749490081,0.4452357490519275
development_main,query_hard_churn,L13,8,13666,487,0.03563588467730133,0.30376339185621826,0.3561349210689601,0.4107387944358578
development_main,query_hard_churn,L13,10,10516,487,0.04631038417649296,0.37223530201839716,0.3425817134282393,0.3897054852125337
development_main,query_hard_churn,L13,12,8342,487,0.058379285543035245,0.33358773038530765,0.33693136820184294,0.38990586713613334
development_main,query_hard_churn,L13,14,4808,487,0.10128951747088186,0.30627535549370416,0.38175809896494556,0.4278359847027675
development_main,query_hard_churn,L13,16,3554,487,0.13702870005627463,0.22239056686767597,0.29433557838356383,0.3941054640230848
development_main,query_hard_churn,L13,18,3059,487,0.15920235371036287,0.18680283003503215,0.23905956613057644,0.39973625427241166
development_main,query_hard_churn,L13,20,2776,487,0.17543227665706052,0.19073409745564673,0.29416174230643477,0.3861377735255085
development_main,query_hard_churn,L13,24,1312,361,0.27515243902439024,0.25185618870353704,0.33073619280967864,0.4218450369829239
development_main,query_hard_churn,L13,28,671,324,0.4828614008941878,0.2430310954566478,0.29135836124308745,0.3538348280016062
development_main,query_hard_churn,L13,32,515,222,0.43106796116504853,0.10396488638809458,0.10396488638809458,0.10579586910607017
development_main,query_hard_churn,L14,4,14800,487,0.0329054054054054,0.41901662895737724,0.4903120086597406,0.5066678610887156
development_main,query_hard_churn,L14,6,14800,487,0.0329054054054054,0.3437164789379595,0.3967156425601075,0.4650392666248619
development_main,query_hard_churn,L14,8,13666,487,0.03563588467730133,0.30244658409799796,0.3590037289776606,0.436160741885626
development_main,query_hard_churn,L14,10,10516,487,0.04631038417649296,0.4096181648168975,0.3893548838923043,0.4487164648966459
development_main,query_hard_churn,L14,12,8342,487,0.058379285543035245,0.3963736983336318,0.38459319704480227,0.3945720906837208
development_main,query_hard_churn,L14,14,4808,487,0.10128951747088186,0.33065036945303655,0.4043082460830732,0.41640266117535246
development_main,query_hard_churn,L14,16,3554,487,0.13702870005627463,0.23238936844423883,0.28940163082580544,0.35744205529181794
development_main,query_hard_churn,L14,18,3059,487,0.15920235371036287,0.19574249299836177,0.24013199397362348,0.39329063164410477
development_main,query_hard_churn,L14,20,2776,487,0.17543227665706052,0.2053186250104284,0.3074106637319872,0.40089812042838185
development_main,query_hard_churn,L14,24,1312,361,0.27515243902439024,0.2801905560847162,0.3855192533201133,0.49639302346817643
development_main,query_hard_churn,L14,28,671,324,0.4828614008941878,0.2350215248870388,0.28975517304047566,0.3659751037344398
development_main,query_hard_churn,L14,32,515,222,0.43106796116504853,0.09668542262398917,0.09668542262398917,0.09762185588501522
development_main,query_hard_churn,L15,4,14800,487,0.0329054054054054,0.3906824413009755,0.45679446265175266,0.536686673235988
development_main,query_hard_churn,L15,6,14800,487,0.0329054054054054,0.3136245090152962,0.3753610562191408,0.472665651407925
development_main,query_hard_churn,L15,8,13666,487,0.03563588467730133,0.26307042518174567,0.30993050449563603,0.35453786707882534
development_main,query_hard_churn,L15,10,10516,487,0.04631038417649296,0.341766577131657,0.31891856447369477,0.37791563466895056
development_main,query_hard_churn,L15,12,8342,487,0.058379285543035245,0.3628158995761211,0.367327152037379,0.37929346459239033
development_main,query_hard_churn,L15,14,4808,487,0.10128951747088186,0.32230090665566713,0.40528505070721255,0.37936457649747685
development_main,query_hard_churn,L15,16,3554,487,0.13702870005627463,0.2314945679281803,0.3197597729634663,0.3591699246020665
development_main,query_hard_churn,L15,18,3059,487,0.15920235371036287,0.1983850725392076,0.2704512731833666,0.39661436606830475
development_main,query_hard_churn,L15,20,2776,487,0.17543227665706052,0.2176811157369905,0.35633228865124367,0.38765007252862566
development_main,query_hard_churn,L15,24,1312,361,0.27515243902439024,0.24538246662646987,0.33180158450200686,0.4944525614099169
development_main,query_hard_churn,L15,28,671,324,0.4828614008941878,0.24555270928950085,0.3009904717397513,0.38982733235176015
development_main,query_hard_churn,L15,32,515,222,0.43106796116504853,0.09760015988684931,0.09760015988684931,0.09795101077982281
development_main,query_hard_churn_d9,L2,4,14800,487,0.0329054054054054,0.4097954631499831,0.4827577933614887,0.4878258532652513
development_main,query_hard_churn_d9,L2,6,14800,487,0.0329054054054054,0.3477539624163843,0.43412153424978517,0.4929439517453492
development_main,query_hard_churn_d9,L2,8,13666,487,0.03563588467730133,0.35810525830325857,0.425121007789465,0.482967542503864
development_main,query_hard_churn_d9,L2,10,10516,487,0.04631038417649296,0.4607620446905207,0.4456802084755183,0.501759218536608
development_main,query_hard_churn_d9,L2,12,8342,487,0.058379285543035245,0.48247052257485196,0.5011316933706593,0.4638064527718895
development_main,query_hard_churn_d9,L2,14,4808,487,0.10128951747088186,0.4097675884023728,0.49490612817946916,0.42684030684981106
development_main,query_hard_churn_d9,L2,16,3554,487,0.13702870005627463,0.3164252970449824,0.3344616875849388,0.39601368332867914
development_main,query_hard_churn_d9,L2,18,3059,487,0.15920235371036287,0.23753197441408183,0.24663613896289918,0.40643082057216673
development_main,query_hard_churn_d9,L2,20,2776,487,0.17543227665706052,0.3108909407818663,0.41347879135864496,0.4291302737569828
development_main,query_hard_churn_d9,L2,24,1312,361,0.27515243902439024,0.31980332701253383,0.3387373559218617,0.4861199890420967
development_main,query_hard_churn_d9,L2,28,671,324,0.4828614008941878,0.36244529832426087,0.4253965781343303,0.4162227278811404
development_main,query_hard_churn_d9,L2,32,515,222,0.43106796116504853,0.2138870952864127,0.2138870952864127,0.20456976712291192
development_main,query_hard_churn_d9,L3,4,14800,487,0.0329054054054054,0.386102667109107,0.45316193328584686,0.5129863537280899
development_main,query_hard_churn_d9,L3,6,14800,487,0.0329054054054054,0.3678188622769525,0.43515009656209047,0.5113111768043238
development_main,query_hard_churn_d9,L3,8,13666,487,0.03563588467730133,0.3496995172925379,0.4212897414967089,0.4804482225656878
development_main,query_hard_churn_d9,L3,10,10516,487,0.04631038417649296,0.445000668492583,0.44019443321833635,0.5122528027900589
development_main,query_hard_churn_d9,L3,12,8342,487,0.058379285543035245,0.5218426380612671,0.5375085759414784,0.4924684726763195
development_main,query_hard_churn_d9,L3,14,4808,487,0.10128951747088186,0.4608064716177666,0.5276134004450883,0.45109298273404086
development_main,query_hard_churn_d9,L3,16,3554,487,0.13702870005627463,0.32560629178999606,0.33553841234311294,0.4964162710602253
development_main,query_hard_churn_d9,L3,18,3059,487,0.15920235371036287,0.25333835237161534,0.2688259327153576,0.499784697365234
development_main,query_hard_churn_d9,L3,20,2776,487,0.17543227665706052,0.2564088763060185,0.3521924368206576,0.4810268201598716
development_main,query_hard_churn_d9,L3,24,1312,361,0.27515243902439024,0.2854044874763698,0.32133119142729116,0.4787690621861017
development_main,query_hard_churn_d9,L3,28,671,324,0.4828614008941878,0.34920126658839434,0.3867967391022146,0.41065453085263015
development_main,query_hard_churn_d9,L3,32,515,222,0.43106796116504853,0.19717584478676628,0.19717584478676628,0.19532600049373233
development_main,query_hard_churn_d9,L4,4,14800,487,0.0329054054054054,0.43693847625778093,0.48416898957852317,0.4884887575024635
development_main,query_hard_churn_d9,L4,6,14800,487,0.0329054054054054,0.3473063573830657,0.40788400334773506,0.4649078801994685
development_main,query_hard_churn_d9,L4,8,13666,487,0.03563588467730133,0.32830744824111163,0.38962921552383595,0.4493539412673879
development_main,query_hard_churn_d9,L4,10,10516,487,0.04631038417649296,0.46157344931730837,0.4545190958328984,0.5097914400129626
development_main,query_hard_churn_d9,L4,12,8342,487,0.058379285543035245,0.49332276359111565,0.49199542028179827,0.47941741817267275
development_main,query_hard_churn_d9,L4,14,4808,487,0.10128951747088186,0.4111514037504627,0.4595193643302018,0.41398135366929917
development_main,query_hard_churn_d9,L4,16,3554,487,0.13702870005627463,0.318268793656256,0.3194791416846537,0.4611549380992274
development_main,query_hard_churn_d9,L4,18,3059,487,0.15920235371036287,0.2502327226393222,0.25270426225128206,0.4780727722905509
development_main,query_hard_churn_d9,L4,20,2776,487,0.17543227665706052,0.26896199393043957,0.34530132299815786,0.4376099503101757
development_main,query_hard_churn_d9,L4,24,1312,361,0.27515243902439024,0.310138620667558,0.34793738261623974,0.4441032782394302
development_main,query_hard_churn_d9,L4,28,671,324,0.4828614008941878,0.34492297292489416,0.3954292909624322,0.49286574755722123
development_main,query_hard_churn_d9,L4,32,515,222,0.43106796116504853,0.2903944900531931,0.2903944900531931,0.3436514249663988
development_main,query_hard_churn_d9,L5,4,14800,487,0.0329054054054054,0.3924603801400516,0.4477193710595407,0.5253784824867868
development_main,query_hard_churn_d9,L5,6,14800,487,0.0329054054054054,0.3421828578462365,0.4009735353191659,0.4934485950610648
development_main,query_hard_churn_d9,L5,8,13666,487,0.03563588467730133,0.32817329791515437,0.3830641758203177,0.45938176197836167
development_main,query_hard_churn_d9,L5,10,10516,487,0.04631038417649296,0.4627153124522048,0.43801760907985465,0.5027314182542071
development_main,query_hard_churn_d9,L5,12,8342,487,0.058379285543035245,0.5380459744574729,0.5401513998363126,0.4697795781985413
development_main,query_hard_churn_d9,L5,14,4808,487,0.10128951747088186,0.42373642499478453,0.5295244425193792,0.40261591726822205
development_main,query_hard_churn_d9,L5,16,3554,487,0.13702870005627463,0.2961736147329759,0.33875526287739494,0.4301172856743926
development_main,query_hard_churn_d9,L5,18,3059,487,0.15920235371036287,0.23517959960528964,0.25869631366844537,0.45782759641521115
development_main,query_hard_churn_d9,L5,20,2776,487,0.17543227665706052,0.2579222296080801,0.36962307710710784,0.4043085089966359
development_main,query_hard_churn_d9,L5,24,1312,361,0.27515243902439024,0.32230688792377754,0.38802661810832195,0.531378412930326
development_main,query_hard_churn_d9,L5,28,671,324,0.4828614008941878,0.3085041092966165,0.33713035802372976,0.34566992370499267
development_main,query_hard_churn_d9,L5,32,515,222,0.43106796116504853,0.14475909356455433,0.14475909356455433,0.15323531832021287
development_main,query_hard_churn_d9,L12,4,14800,487,0.0329054054054054,0.40702669605365865,0.46065601149646623,0.4975245603033832
