head,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,mean_alarm_task_prior,lift_task_matched,distinct_alarm_chunks,tasks_firing
discrete|mobility_allstep|per_task,312,50,0.5531914893617021,0.0033253524873636604,0.861878453038674,65,40,0.6190476190476191,0.20833333333333334,0.6281764529996439,1.3720324105162895,0.7207051875708956,1.1958821275362213,39,30
discrete|query_top1_churn|global,201,22,0.35638297872340424,0.0014631550944400106,0.9013452914798207,19,10,0.6551724137931034,0.0945273631840796,0.6585939194242487,1.3685903633422372,0.7415859611041437,1.2154292809667164,40,27
discrete|selected_mass|per_task,82,18,0.1453900709219858,0.0011971268954509178,0.82,15,7,0.6818181818181818,0.18292682926829268,0.6325450625867802,1.2963503290131244,0.7642018549833149,1.0730149300905627,30,27
discrete|selected_mass|global,76,28,0.1347517730496454,0.00186219739292365,0.7307692307692307,10,25,0.2857142857142857,0.13157894736842105,0.6036664687900285,1.210551303659392,0.6482096267862855,1.1273655937389606,14,10
discrete|query_hard_churn_d9|global,203,28,0.3599290780141844,0.00186219739292365,0.8787878787878788,19,7,0.7307692307692307,0.09359605911330049,0.7374041906208374,1.1917316038684391,0.7785457234428663,1.128755643151855,39,28
discrete|denoise_hard_churn|per_task,26,8,0.04609929078014184,0.0005320563979781857,0.7647058823529411,3,5,0.375,0.11538461538461539,0.6482319301546252,1.1796794430822513,0.7038522779705709,1.08645792062765,19,17
discrete|tie_margin|per_task,83,18,0.14716312056737588,0.0011971268954509178,0.8217821782178217,5,8,0.38461538461538464,0.060240963855421686,0.6992869308562045,1.1751716526599953,0.7969905179448636,1.0311065937608472,30,29
discrete|tie_margin|global,16,6,0.028368794326241134,0.0003990422984836393,0.7272727272727273,2,5,0.2857142857142857,0.125,0.6228400550136315,1.1676717343697656,0.6581391681946914,1.1050439822137812,13,8
discrete|query_hard_churn|global,170,24,0.30141843971631205,0.0015961691939345571,0.8762886597938144,15,12,0.5555555555555556,0.08823529411764706,0.7583344825601883,1.1555437342574808,0.7983346850824627,1.0976457320068707,40,27
discrete|set_dwell|per_task,17,2,0.030141843971631204,0.00013301409949454643,0.8947368421052632,3,0,1.0,0.17647058823529413,0.7877909205889597,1.1357541940650315,0.8539526923795533,1.0477592612443953,15,12
discrete|hb_entropy_action|per_task,50,22,0.08865248226950355,0.0014631550944400106,0.6944444444444444,4,9,0.3076923076923077,0.08,0.6221504998134749,1.1162000908986551,0.6796621017731174,1.021749546771495,26,23
discrete|hb_entropy_action|global,54,7,0.09574468085106383,0.0004655493482309125,0.8852459016393442,4,5,0.4444444444444444,0.07407407407407407,0.8241437364222979,1.0741401803067725,0.8851926445515562,1.000060164403891,14,10
length_only|prior025_crossing,564,1201,1.0,0.07987496674647512,0.31954674220963175,0,0,0.0,0.0,0.31954674220963175,1.0,0.31954674220963175,1.0,4,36
length_only|chunk15,564,4510,1.0,0.29994679436020216,0.11115490737091052,424,4503,0.0860564237872945,0.75177304964539,0.11115490737091055,0.9999999999999998,0.11115490737091052,1.0,1,38
length_only|chunk15_libero_goal_only,106,413,0.1879432624113475,0.027467411545623835,0.20423892100192678,106,413,0.20423892100192678,1.0,0.20423892100192684,0.9999999999999998,0.20423892100192675,1.0000000000000002,1,9
