quantity,representation,direction,quantile,mode,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
query_hard_churn,L3,low,0.98,global,78,3,0.1601642710472279,0.00020959966464053657,0.9629629629629629,2,0,1.0,0.02564102564102564,0.8468614661459661,1.1370962093072556
query_hard_churn,L3,low,0.99,per_task,41,2,0.08418891170431211,0.00013973310976035772,0.9534883720930233,1,0,1.0,0.024390243902439025,0.8144959621766237,1.1706483719636402
query_hard_churn,L3,low,0.99,global,39,2,0.08008213552361396,0.00013973310976035772,0.9512195121951219,2,0,1.0,0.05128205128205128,0.8241067753701569,1.154243043042415
query_hard_churn,L3,low,0.995,per_task,17,2,0.03490759753593429,0.00013973310976035772,0.8947368421052632,1,0,1.0,0.058823529411764705,0.8304241418768399,1.0774456051856467
query_hard_churn,L3,low,0.995,global,13,1,0.026694045174537988,6.986655488017886e-05,0.9285714285714286,0,0,0.0,0.0,0.9205231465803028,1.0087431609091253
query_hard_churn,L3,high,0.5,per_task,37,821,0.07597535934291581,0.05736044155662684,0.04312354312354312,35,817,0.04107981220657277,0.9459459459459459,0.03399131509639034,1.2686635689515455
query_hard_churn,L3,high,0.5,global,38,1174,0.07802874743326489,0.08202333542932998,0.03135313531353135,34,1169,0.02826267664172901,0.8947368421052632,0.03389664043132882,0.924962914158105
query_hard_churn,L3,high,0.6,per_task,29,481,0.059548254620123205,0.03360581289736603,0.056862745098039215,28,479,0.055226824457593686,0.9655172413793104,0.03263886432074562,1.7421790335363057
query_hard_churn,L3,high,0.6,global,24,690,0.049281314168377825,0.048207922867323415,0.03361344537815126,23,687,0.0323943661971831,0.9583333333333334,0.03062467649576648,1.0975934842217172
query_hard_churn,L3,high,0.7,per_task,21,267,0.043121149897330596,0.018654370153007756,0.07291666666666667,19,267,0.06643356643356643,0.9047619047619048,0.03332261113951543,2.1882038703803395
query_hard_churn,L3,high,0.7,global,18,376,0.03696098562628337,0.02626982463494725,0.04568527918781726,17,372,0.043701799485861184,0.9444444444444444,0.03163724132724508,1.4440348548491935
query_hard_churn,L3,high,0.75,per_task,13,187,0.026694045174537988,0.013065045762593446,0.065,11,187,0.05555555555555555,0.8461538461538461,0.035077232905471704,1.8530538077266818
query_hard_churn,L3,high,0.75,global,14,251,0.028747433264887063,0.017536505274924893,0.052830188679245285,12,250,0.04580152671755725,0.8571428571428571,0.03189466770098752,1.6563956450190438
query_hard_churn,L3,high,0.8,per_task,11,124,0.022587268993839837,0.008663452805142179,0.08148148148148149,10,124,0.07462686567164178,0.9090909090909091,0.035076756401716605,2.322948010024493
query_hard_churn,L3,high,0.8,global,13,152,0.026694045174537988,0.010619716341787187,0.07878787878787878,11,151,0.06790123456790123,0.8461538461538461,0.03241777588778914,2.43039124770913
query_hard_churn,L3,high,0.85,per_task,8,52,0.01642710472279261,0.0036330608537693005,0.13333333333333333,8,51,0.13559322033898305,1.0,0.03952814611428281,3.3731238735012576
query_hard_churn,L3,high,0.85,global,6,82,0.012320328542094456,0.0057290575001746665,0.06818181818181818,6,82,0.06818181818181818,1.0,0.02567399822331141,2.6556758939054
query_hard_churn,L3,high,0.9,per_task,3,22,0.006160164271047228,0.001537064207363935,0.12,2,21,0.08695652173913043,0.6666666666666666,0.0926877979229495,1.2946687987965242
query_hard_churn,L3,high,0.9,global,4,44,0.008213552361396304,0.00307412841472787,0.08333333333333333,4,44,0.08333333333333333,1.0,0.03095381856532076,2.692182651309334
query_hard_churn,L3,high,0.925,per_task,2,12,0.004106776180698152,0.0008383986585621463,0.14285714285714285,1,11,0.08333333333333333,0.5,0.13601664942868036,1.0502915889870472
query_hard_churn,L3,high,0.925,global,3,24,0.006160164271047228,0.0016767973171242926,0.1111111111111111,3,24,0.1111111111111111,1.0,0.03707071899400858,2.997274240326146
query_hard_churn,L3,high,0.95,per_task,2,6,0.004106776180698152,0.00041919932928107315,0.25,1,6,0.14285714285714285,0.5,0.16189042626301087,1.5442543810085738
query_hard_churn,L3,high,0.95,global,3,11,0.006160164271047228,0.0007685321036819675,0.21428571428571427,3,10,0.23076923076923078,1.0,0.06932082357218979,3.091217086631407
query_hard_churn,L3,high,0.96,per_task,2,6,0.004106776180698152,0.00041919932928107315,0.25,1,6,0.14285714285714285,0.5,0.16189042626301087,1.5442543810085738
query_hard_churn,L3,high,0.96,global,2,10,0.004106776180698152,0.0006986655488017886,0.16666666666666666,2,9,0.18181818181818182,1.0,0.07474877485198783,2.2296909480682197
query_hard_churn,L3,high,0.975,per_task,1,2,0.002053388090349076,0.00013973310976035772,0.3333333333333333,1,2,0.3333333333333333,1.0,0.0779765484337512,4.274789536453168
