suite,method,failure,episodes,bin,count,fraction
libero_long,v8,False,3726,75-100%,32,0.008588298443370907
libero_long,v8,False,3726,no_alarm,3655,0.9809447128287708
libero_long,v81,True,274,0-25%,18,0.06569343065693431
libero_long,v81,True,274,25-50%,21,0.07664233576642336
libero_long,v81,True,274,50-75%,160,0.583941605839416
libero_long,v81,True,274,75-100%,43,0.15693430656934307
libero_long,v81,True,274,no_alarm,32,0.11678832116788321
libero_long,v81,False,3726,0-25%,1,0.00026838432635534085
libero_long,v81,False,3726,25-50%,7,0.001878690284487386
libero_long,v81,False,3726,50-75%,39,0.010466988727858293
libero_long,v81,False,3726,75-100%,35,0.00939345142243693
libero_long,v81,False,3726,no_alarm,3644,0.9779924852388621
libero_long,v82,True,274,0-25%,18,0.06569343065693431
libero_long,v82,True,274,25-50%,21,0.07664233576642336
libero_long,v82,True,274,50-75%,159,0.5802919708029197
libero_long,v82,True,274,75-100%,41,0.14963503649635038
libero_long,v82,True,274,no_alarm,35,0.12773722627737227
libero_long,v82,False,3726,0-25%,1,0.00026838432635534085
libero_long,v82,False,3726,25-50%,7,0.001878690284487386
libero_long,v82,False,3726,50-75%,37,0.009930220075147612
libero_long,v82,False,3726,75-100%,32,0.008588298443370907
libero_long,v82,False,3726,no_alarm,3649,0.9793344068706388
libero_long,v83,True,274,0-25%,18,0.06569343065693431
libero_long,v83,True,274,25-50%,18,0.06569343065693431
libero_long,v83,True,274,50-75%,161,0.5875912408759124
libero_long,v83,True,274,75-100%,41,0.14963503649635038
libero_long,v83,True,274,no_alarm,36,0.13138686131386862
libero_long,v83,False,3726,0-25%,1,0.00026838432635534085
libero_long,v83,False,3726,25-50%,7,0.001878690284487386
libero_long,v83,False,3726,50-75%,36,0.00966183574879227
libero_long,v83,False,3726,75-100%,32,0.008588298443370907
libero_long,v83,False,3726,no_alarm,3650,0.9796027911969941
libero_long,knn20,True,274,0-25%,15,0.05474452554744526
libero_long,knn20,True,274,25-50%,18,0.06569343065693431
libero_long,knn20,True,274,50-75%,143,0.5218978102189781
libero_long,knn20,True,274,75-100%,40,0.145985401459854
libero_long,knn20,True,274,no_alarm,58,0.2116788321167883
libero_long,knn20,False,3726,0-25%,1,0.00026838432635534085
libero_long,knn20,False,3726,25-50%,10,0.0026838432635534087
libero_long,knn20,False,3726,50-75%,34,0.00912506709608159
libero_long,knn20,False,3726,75-100%,39,0.010466988727858293
libero_long,knn20,False,3726,no_alarm,3642,0.9774557165861514
libero_long,c4_a05,True,274,0-25%,17,0.06204379562043796
libero_long,c4_a05,True,274,25-50%,12,0.043795620437956206
libero_long,c4_a05,True,274,50-75%,136,0.49635036496350365
libero_long,c4_a05,True,274,75-100%,41,0.14963503649635038
libero_long,c4_a05,True,274,no_alarm,68,0.24817518248175183
libero_long,c4_a05,False,3726,0-25%,0,0.0
libero_long,c4_a05,False,3726,25-50%,10,0.0026838432635534087
libero_long,c4_a05,False,3726,50-75%,16,0.0042941492216854536
libero_long,c4_a05,False,3726,75-100%,16,0.0042941492216854536
libero_long,c4_a05,False,3726,no_alarm,3684,0.9887278582930756
libero_long,c4_a02,True,274,0-25%,4,0.014598540145985401
libero_long,c4_a02,True,274,25-50%,12,0.043795620437956206
libero_long,c4_a02,True,274,50-75%,97,0.354014598540146
libero_long,c4_a02,True,274,75-100%,25,0.09124087591240876
libero_long,c4_a02,True,274,no_alarm,136,0.49635036496350365
libero_long,c4_a02,False,3726,0-25%,0,0.0
libero_long,c4_a02,False,3726,25-50%,3,0.0008051529790660225
libero_long,c4_a02,False,3726,50-75%,1,0.00026838432635534085
libero_long,c4_a02,False,3726,75-100%,6,0.001610305958132045
libero_long,c4_a02,False,3726,no_alarm,3716,0.9973161567364466
libero_object,v8,True,44,0-25%,0,0.0
libero_object,v8,True,44,25-50%,0,0.0
libero_object,v8,True,44,50-75%,11,0.25
libero_object,v8,True,44,75-100%,12,0.2727272727272727
libero_object,v8,True,44,no_alarm,21,0.4772727272727273
libero_object,v8,False,3556,0-25%,0,0.0
libero_object,v8,False,3556,25-50%,0,0.0
libero_object,v8,False,3556,50-75%,0,0.0
libero_object,v8,False,3556,75-100%,7,0.001968503937007874
libero_object,v8,False,3556,no_alarm,3549,0.9980314960629921
libero_object,v81,True,44,0-25%,0,0.0
libero_object,v81,True,44,25-50%,0,0.0
libero_object,v81,True,44,50-75%,17,0.38636363636363635
libero_object,v81,True,44,75-100%,17,0.38636363636363635
libero_object,v81,True,44,no_alarm,10,0.22727272727272727
libero_object,v81,False,3556,0-25%,0,0.0
libero_object,v81,False,3556,25-50%,0,0.0
libero_object,v81,False,3556,50-75%,0,0.0
libero_object,v81,False,3556,75-100%,7,0.001968503937007874
libero_object,v81,False,3556,no_alarm,3549,0.9980314960629921
libero_object,v82,True,44,0-25%,0,0.0
libero_object,v82,True,44,25-50%,0,0.0
libero_object,v82,True,44,50-75%,16,0.36363636363636365
libero_object,v82,True,44,75-100%,14,0.3181818181818182
libero_object,v82,True,44,no_alarm,14,0.3181818181818182
libero_object,v82,False,3556,0-25%,0,0.0
libero_object,v82,False,3556,25-50%,0,0.0
libero_object,v82,False,3556,50-75%,0,0.0
libero_object,v82,False,3556,75-100%,7,0.001968503937007874
libero_object,v82,False,3556,no_alarm,3549,0.9980314960629921
libero_object,v83,True,44,0-25%,0,0.0
libero_object,v83,True,44,25-50%,0,0.0
libero_object,v83,True,44,50-75%,16,0.36363636363636365
libero_object,v83,True,44,75-100%,13,0.29545454545454547
libero_object,v83,True,44,no_alarm,15,0.3409090909090909
libero_object,v83,False,3556,0-25%,0,0.0
libero_object,v83,False,3556,25-50%,0,0.0
libero_object,v83,False,3556,50-75%,0,0.0
libero_object,v83,False,3556,75-100%,7,0.001968503937007874
libero_object,v83,False,3556,no_alarm,3549,0.9980314960629921
libero_object,knn20,True,44,0-25%,0,0.0
libero_object,knn20,True,44,25-50%,4,0.09090909090909091
libero_object,knn20,True,44,50-75%,19,0.4318181818181818
libero_object,knn20,True,44,75-100%,16,0.36363636363636365
libero_object,knn20,True,44,no_alarm,5,0.11363636363636363
libero_object,knn20,False,3556,0-25%,0,0.0
libero_object,knn20,False,3556,25-50%,0,0.0
libero_object,knn20,False,3556,50-75%,34,0.009561304836895388
libero_object,knn20,False,3556,75-100%,41,0.011529808773903262
libero_object,knn20,False,3556,no_alarm,3481,0.9789088863892014
libero_object,c4_a05,True,44,0-25%,0,0.0
libero_object,c4_a05,True,44,25-50%,5,0.11363636363636363
libero_object,c4_a05,True,44,50-75%,20,0.45454545454545453
libero_object,c4_a05,True,44,75-100%,15,0.3409090909090909
libero_object,c4_a05,True,44,no_alarm,4,0.09090909090909091
libero_object,c4_a05,False,3556,0-25%,0,0.0
libero_object,c4_a05,False,3556,25-50%,6,0.001687289088863892
libero_object,c4_a05,False,3556,50-75%,53,0.014904386951631047
libero_object,c4_a05,False,3556,75-100%,46,0.012935883014623173
libero_object,c4_a05,False,3556,no_alarm,3451,0.9704724409448819
libero_object,c4_a02,True,44,0-25%,0,0.0
libero_object,c4_a02,True,44,25-50%,1,0.022727272727272728
libero_object,c4_a02,True,44,50-75%,10,0.22727272727272727
libero_object,c4_a02,True,44,75-100%,15,0.3409090909090909
libero_object,c4_a02,True,44,no_alarm,18,0.4090909090909091
libero_object,c4_a02,False,3556,0-25%,0,0.0
libero_object,c4_a02,False,3556,25-50%,0,0.0
libero_object,c4_a02,False,3556,50-75%,28,0.007874015748031496
libero_object,c4_a02,False,3556,75-100%,17,0.004780652418447694
libero_object,c4_a02,False,3556,no_alarm,3511,0.9873453318335208
libero_spatial,v8,True,140,0-25%,0,0.0
libero_spatial,v8,True,140,25-50%,1,0.007142857142857143
libero_spatial,v8,True,140,50-75%,24,0.17142857142857143
libero_spatial,v8,True,140,75-100%,93,0.6642857142857143
libero_spatial,v8,True,140,no_alarm,22,0.15714285714285714
libero_spatial,v8,False,3860,0-25%,0,0.0
libero_spatial,v8,False,3860,25-50%,0,0.0
libero_spatial,v8,False,3860,50-75%,1,0.00025906735751295336
libero_spatial,v8,False,3860,75-100%,2,0.0005181347150259067
libero_spatial,v8,False,3860,no_alarm,3857,0.9992227979274612
libero_spatial,v81,True,140,0-25%,0,0.0
libero_spatial,v81,True,140,25-50%,2,0.014285714285714285
libero_spatial,v81,True,140,50-75%,36,0.2571428571428571
libero_spatial,v81,True,140,75-100%,91,0.65
libero_spatial,v81,True,140,no_alarm,11,0.07857142857142857
libero_spatial,v81,False,3860,0-25%,0,0.0
libero_spatial,v81,False,3860,25-50%,0,0.0
libero_spatial,v81,False,3860,50-75%,1,0.00025906735751295336
libero_spatial,v81,False,3860,75-100%,3,0.0007772020725388601
libero_spatial,v81,False,3860,no_alarm,3856,0.9989637305699481
libero_spatial,v82,True,140,0-25%,0,0.0
libero_spatial,v82,True,140,25-50%,1,0.007142857142857143
libero_spatial,v82,True,140,50-75%,28,0.2
libero_spatial,v82,True,140,75-100%,90,0.6428571428571429
libero_spatial,v82,True,140,no_alarm,21,0.15
libero_spatial,v82,False,3860,0-25%,0,0.0
libero_spatial,v82,False,3860,25-50%,0,0.0
libero_spatial,v82,False,3860,50-75%,1,0.00025906735751295336
libero_spatial,v82,False,3860,75-100%,3,0.0007772020725388601
libero_spatial,v82,False,3860,no_alarm,3856,0.9989637305699481
libero_spatial,v83,True,140,0-25%,0,0.0
libero_spatial,v83,True,140,25-50%,1,0.007142857142857143
libero_spatial,v83,True,140,50-75%,27,0.19285714285714287
libero_spatial,v83,True,140,75-100%,91,0.65
libero_spatial,v83,True,140,no_alarm,21,0.15
libero_spatial,v83,False,3860,0-25%,0,0.0
libero_spatial,v83,False,3860,25-50%,0,0.0
libero_spatial,v83,False,3860,50-75%,1,0.00025906735751295336
libero_spatial,v83,False,3860,75-100%,3,0.0007772020725388601
libero_spatial,v83,False,3860,no_alarm,3856,0.9989637305699481
libero_spatial,knn20,True,140,0-25%,0,0.0
libero_spatial,knn20,True,140,25-50%,14,0.1
libero_spatial,knn20,True,140,50-75%,113,0.8071428571428572
libero_spatial,knn20,True,140,75-100%,13,0.09285714285714286
libero_spatial,knn20,True,140,no_alarm,0,0.0
libero_spatial,knn20,False,3860,0-25%,0,0.0
libero_spatial,knn20,False,3860,25-50%,0,0.0
libero_spatial,knn20,False,3860,50-75%,22,0.005699481865284974
libero_spatial,knn20,False,3860,75-100%,248,0.06424870466321243
libero_spatial,knn20,False,3860,no_alarm,3590,0.9300518134715026
libero_spatial,c4_a05,True,140,0-25%,0,0.0
libero_spatial,c4_a05,True,140,25-50%,10,0.07142857142857142
libero_spatial,c4_a05,True,140,50-75%,101,0.7214285714285714
libero_spatial,c4_a05,True,140,75-100%,29,0.20714285714285716
libero_spatial,c4_a05,True,140,no_alarm,0,0.0
libero_spatial,c4_a05,False,3860,0-25%,0,0.0
libero_spatial,c4_a05,False,3860,25-50%,0,0.0
libero_spatial,c4_a05,False,3860,50-75%,27,0.006994818652849741
libero_spatial,c4_a05,False,3860,75-100%,63,0.016321243523316063
libero_spatial,c4_a05,False,3860,no_alarm,3770,0.9766839378238342
libero_spatial,c4_a02,True,140,0-25%,0,0.0
libero_spatial,c4_a02,True,140,25-50%,3,0.02142857142857143
libero_spatial,c4_a02,True,140,50-75%,88,0.6285714285714286
libero_spatial,c4_a02,True,140,75-100%,47,0.3357142857142857
libero_spatial,c4_a02,True,140,no_alarm,2,0.014285714285714285
libero_spatial,c4_a02,False,3860,0-25%,0,0.0
libero_spatial,c4_a02,False,3860,25-50%,0,0.0
libero_spatial,c4_a02,False,3860,50-75%,10,0.0025906735751295338
libero_spatial,c4_a02,False,3860,75-100%,25,0.006476683937823834
libero_spatial,c4_a02,False,3860,no_alarm,3825,0.9909326424870466
