suite,method,baseline,failure,episodes,both,only_v82,only_other,neither,other_earlier,same,other_later,other_minus_v82_q_p25,other_minus_v82_q_median,other_minus_v82_q_p75
libero_object,v82,v82,True,44,30,0,0,14,0,30,0,0.0,0.0,0.0
libero_object,v82,v82,False,3556,7,0,0,3549,0,7,0,0.0,0.0,0.0
libero_object,v83,v82,True,44,29,1,0,14,0,29,0,0.0,0.0,0.0
libero_object,v83,v82,False,3556,7,0,0,3549,0,7,0,0.0,0.0,0.0
libero_object,knn20,v82,True,44,28,2,11,3,10,7,11,-4.25,0.0,1.25
libero_object,knn20,v82,False,3556,4,3,71,3478,2,1,1,-1.75,-0.5,0.25
libero_object,c4_a05,v82,True,44,28,2,12,2,11,5,12,-6.25,0.0,1.0
libero_object,c4_a05,v82,False,3556,4,3,101,3448,2,1,1,-1.5,-0.5,0.25
libero_object,c4_a02,v82,True,44,17,13,9,5,4,2,11,0.0,1.0,3.0
libero_object,c4_a02,v82,False,3556,3,4,42,3507,0,2,1,0.0,0.0,0.5
libero_spatial,v8,v82,True,140,118,1,0,21,0,102,16,0.0,0.0,0.0
libero_spatial,v8,v82,False,3860,3,1,0,3856,0,3,0,0.0,0.0,0.0
libero_spatial,v81,v82,True,140,119,0,10,11,25,94,0,0.0,0.0,0.0
libero_spatial,v81,v82,False,3860,4,0,0,3856,0,4,0,0.0,0.0,0.0
libero_spatial,v82,v82,True,140,119,0,0,21,0,119,0,0.0,0.0,0.0
libero_spatial,v82,v82,False,3860,4,0,0,3856,0,4,0,0.0,0.0,0.0
libero_spatial,v83,v82,True,140,119,0,0,21,0,115,4,0.0,0.0,0.0
libero_spatial,v83,v82,False,3860,4,0,0,3856,0,4,0,0.0,0.0,0.0
libero_spatial,knn20,v82,True,140,119,0,21,0,117,0,2,-7.0,-5.0,-3.0
libero_spatial,knn20,v82,False,3860,4,0,266,3590,4,0,0,-3.75,-3.0,-2.75
libero_spatial,c4_a05,v82,True,140,119,0,21,0,115,3,1,-6.0,-3.0,-2.0
libero_spatial,c4_a05,v82,False,3860,4,0,86,3770,3,1,0,-3.75,-2.5,-1.5
libero_spatial,c4_a02,v82,True,140,117,2,21,0,100,11,6,-5.0,-2.0,-1.0
libero_spatial,c4_a02,v82,False,3860,4,0,31,3825,3,1,0,-3.5,-2.5,-1.5
