suite,method,failure,episodes,alarms,no_alarm,query_p25,query_median,query_p75,position_p25,position_median,position_p75,remaining_actions_p25,remaining_actions_median,remaining_actions_p75,after_last_success,after_median_success,event_episodes,event_before,event_same,event_after,event_missed,event_delay_q_p25,event_delay_q_median,event_delay_q_p75
all,c4_a02,True,564,369,195,15.0,19.0,34.0,0.5961538461538461,0.6785714285714286,0.7857142857142857,60.0,90.0,160.0,96,264,216,3,4,133,76,4.0,7.0,10.25
all,c4_a02,False,15036,223,14813,10.0,11.0,12.0,0.736774575602053,0.8088235294117647,0.8527131782945736,19.5,27.0,42.5,0,37,0,0,0,0,0,,,
libero_goal,v8,True,106,83,23,16.0,22.0,24.0,0.5333333333333333,0.7333333333333333,0.8,60.0,80.0,140.0,33,80,53,1,0,38,14,7.0,9.0,10.5
libero_goal,v8,False,3894,9,3885,11.0,12.0,17.0,0.6214689265536724,0.6818181818181818,0.8071748878923767,43.0,56.0,67.0,0,9,0,0,0,0,0,,,
libero_goal,v81,True,106,90,16,16.0,20.5,24.75,0.5333333333333333,0.6833333333333333,0.8250000000000001,52.5,95.0,140.0,32,86,53,1,0,40,12,7.0,9.0,10.0
libero_goal,v81,False,3894,12,3882,11.0,13.0,16.0,0.598184365214525,0.6637449186991871,0.7423342625136347,52.75,64.5,86.5,0,11,0,0,0,0,0,,,
libero_goal,v82,True,106,87,19,16.0,21.0,24.5,0.5333333333333333,0.7,0.8166666666666667,55.0,90.0,140.0,32,84,53,1,0,39,13,7.0,9.0,10.0
libero_goal,v82,False,3894,10,3884,11.0,12.5,15.25,0.5969483052244136,0.6492761299435028,0.7447788697788698,53.0,64.5,82.75,0,9,0,0,0,0,0,,,
libero_goal,v83,True,106,92,14,15.0,20.5,25.0,0.5,0.6833333333333333,0.8333333333333334,50.0,95.0,150.0,31,91,53,2,0,41,10,7.0,9.0,11.0
libero_goal,v83,False,3894,8,3886,8.75,9.0,11.5,0.4722757874082344,0.5056818181818181,0.6011196204112211,77.75,88.5,101.75,0,6,0,0,0,0,0,,,
libero_goal,knn20,True,106,104,2,13.0,16.0,22.0,0.43333333333333335,0.5333333333333333,0.7333333333333333,80.0,140.0,170.0,26,85,53,4,3,44,2,1.0,5.0,8.0
libero_goal,knn20,False,3894,974,2920,9.0,9.0,10.0,0.6716417910447762,0.74503515480449,0.8403361344537815,19.0,32.0,43.75,0,70,0,0,0,0,0,,,
libero_goal,c4_a05,True,106,99,7,14.0,17.0,20.0,0.4666666666666667,0.5666666666666667,0.6666666666666666,100.0,130.0,160.0,27,79,53,2,2,47,2,1.5,6.0,9.5
libero_goal,c4_a05,False,3894,395,3499,10.0,10.0,11.0,0.72,0.7746478873239436,0.8537070164977141,19.0,29.0,37.5,0,37,0,0,0,0,0,,,
libero_goal,c4_a02,True,106,67,39,14.0,17.0,24.5,0.4666666666666667,0.5666666666666667,0.8166666666666667,55.0,130.0,160.0,31,63,53,1,1,32,19,6.0,8.5,13.0
libero_goal,c4_a02,False,3894,133,3761,11.0,11.0,11.0,0.7692307692307693,0.8088235294117647,0.8391608391608392,21.0,26.0,32.0,0,7,0,0,0,0,0,,,
libero_long,v8,True,274,236,38,30.0,32.0,35.0,0.5769230769230769,0.6153846153846154,0.6730769230769231,170.0,200.0,220.0,8,115,63,2,0,55,6,7.0,17.0,19.0
libero_long,v8,False,3726,71,3655,20.0,23.0,30.5,0.6110645169924785,0.7175925925925926,0.881336405529954,29.0,107.0,152.0,0,37,0,0,0,0,0,,,
libero_long,v81,True,274,242,32,30.0,32.0,35.0,0.5769230769230769,0.6153846153846154,0.6730769230769231,170.0,200.0,220.0,7,119,63,2,0,56,5,6.25,17.0,19.0
libero_long,v81,False,3726,82,3644,20.0,23.0,29.75,0.6304282719377059,0.7110428382793141,0.8754320276497696,30.75,103.5,130.75,0,38,0,0,0,0,0,,,
libero_long,v82,True,274,239,35,30.0,32.0,35.0,0.5769230769230769,0.6153846153846154,0.6730769230769231,170.0,200.0,220.0,7,116,63,2,0,55,6,7.0,17.0,19.0
libero_long,v82,False,3726,77,3649,20.0,22.0,30.0,0.6289308176100629,0.7051282051282052,0.8636363636363636,33.0,99.0,131.0,0,37,0,0,0,0,0,,,
libero_long,v83,True,274,238,36,30.0,32.0,35.0,0.5769230769230769,0.6153846153846154,0.6730769230769231,170.0,200.0,220.0,7,117,63,2,0,55,6,7.0,17.0,19.0
libero_long,v83,False,3726,76,3650,20.0,22.5,30.0,0.6248601685435156,0.7056392734069272,0.8666212819438626,32.25,102.0,134.75,0,37,0,0,0,0,0,,,
libero_long,knn20,True,274,216,58,30.0,32.0,35.0,0.5769230769230769,0.6153846153846154,0.6730769230769231,170.0,200.0,220.0,11,85,63,6,0,37,20,8.5,18.0,23.0
libero_long,knn20,False,3726,84,3642,13.0,15.0,21.25,0.6664343392482639,0.7459531724237607,0.863816169607538,21.75,53.0,133.0,0,9,0,0,0,0,0,,,
libero_long,c4_a05,True,274,206,68,31.0,34.0,36.75,0.5961538461538461,0.6538461538461539,0.7067307692307693,152.5,180.0,210.0,14,83,63,2,0,36,25,7.25,18.0,22.75
libero_long,c4_a05,False,3726,42,3684,17.0,25.0,32.0,0.5125404530744336,0.6936001964390412,0.811082400229687,72.0,126.5,212.25,0,17,0,0,0,0,0,,,
libero_long,c4_a02,True,274,138,136,33.0,35.0,37.0,0.6346153846153846,0.6730769230769231,0.7115384615384616,150.0,170.0,190.0,10,42,63,0,0,15,48,14.0,21.0,26.5
libero_long,c4_a02,False,3726,10,3716,22.5,33.0,34.0,0.5275652004249138,0.7569165697812055,0.8127665332017059,85.0,106.0,189.0,0,1,0,0,0,0,0,,,
libero_object,v8,True,44,23,21,18.0,21.0,22.5,0.6428571428571429,0.75,0.8035714285714286,55.0,70.0,100.0,9,23,17,2,1,8,6,3.0,8.0,11.0
libero_object,v8,False,3556,7,3549,15.0,18.0,19.0,0.8281157458329809,0.8552631578947368,0.978450040950041,4.0,22.0,32.5,0,5,0,0,0,0,0,,,
libero_object,v81,True,44,34,10,17.25,20.5,22.0,0.6160714285714286,0.7321428571428572,0.7857142857142857,60.0,75.0,107.5,12,34,17,2,1,12,2,7.0,10.0,11.0
libero_object,v81,False,3556,7,3549,15.0,18.0,19.0,0.8281157458329809,0.8552631578947368,0.978450040950041,4.0,22.0,32.5,0,5,0,0,0,0,0,,,
libero_object,v82,True,44,30,14,17.25,20.0,22.0,0.6160714285714286,0.7142857142857143,0.7857142857142857,60.0,80.0,107.5,11,30,17,2,1,12,2,7.0,11.0,12.0
libero_object,v82,False,3556,7,3549,15.0,18.0,19.0,0.8281157458329809,0.8552631578947368,0.978450040950041,4.0,22.0,32.5,0,5,0,0,0,0,0,,,
libero_object,v83,True,44,29,15,17.0,20.0,22.0,0.6071428571428571,0.7142857142857143,0.7857142857142857,60.0,80.0,110.0,10,29,17,2,1,12,2,7.0,11.0,12.0
libero_object,v83,False,3556,7,3549,15.0,18.0,19.0,0.8281157458329809,0.8552631578947368,0.978450040950041,4.0,22.0,32.5,0,5,0,0,0,0,0,,,
libero_object,knn20,True,44,39,5,16.0,19.0,23.0,0.5714285714285714,0.6785714285714286,0.8214285714285714,50.0,90.0,120.0,12,37,17,1,1,12,3,4.0,6.5,9.75
libero_object,knn20,False,3556,75,3481,10.0,12.0,14.0,0.6042351223074115,0.7638888888888888,0.8805031446540881,19.5,34.0,66.0,0,26,0,0,0,0,0,,,
libero_object,c4_a05,True,44,40,4,14.75,19.0,23.0,0.5267857142857143,0.6785714285714286,0.8214285714285714,50.0,90.0,132.5,10,35,17,2,0,12,3,4.0,6.5,10.5
libero_object,c4_a05,False,3556,105,3451,10.0,11.0,13.0,0.5769230769230769,0.6557377049180327,0.8805031446540881,20.0,57.0,73.0,0,26,0,0,0,0,0,,,
libero_object,c4_a02,True,44,26,18,19.0,21.0,23.5,0.6785714285714286,0.75,0.8392857142857142,45.0,70.0,90.0,8,25,17,0,0,9,8,10.0,11.0,12.0
libero_object,c4_a02,False,3556,45,3511,9.0,10.0,14.0,0.5421686746987951,0.6097560975609756,0.8490566037735849,26.0,64.0,76.0,0,12,0,0,0,0,0,,,
libero_spatial,v8,True,140,118,22,17.0,19.0,20.0,0.7727272727272727,0.8636363636363636,0.9090909090909091,20.0,30.0,50.0,73,118,83,0,0,69,14,7.0,8.0,10.0
libero_spatial,v8,False,3860,3,3857,15.5,17.0,17.5,0.763644366197183,0.7981220657276995,0.8256013172240393,37.0,43.0,47.5,0,3,0,0,0,0,0,,,
libero_spatial,v81,True,140,129,11,16.0,18.0,19.0,0.7272727272727273,0.8181818181818182,0.8636363636363636,30.0,40.0,60.0,71,128,83,0,0,74,9,6.25,8.0,10.0
libero_spatial,v81,False,3860,4,3856,13.25,15.5,17.25,0.7808832159624413,0.8221379559407729,0.8478855267954795,28.25,37.0,45.25,0,4,0,0,0,0,0,,,
libero_spatial,v82,True,140,119,21,17.0,19.0,20.0,0.7727272727272727,0.8636363636363636,0.9090909090909091,20.0,30.0,50.0,70,119,83,0,0,69,14,7.0,8.0,10.0
libero_spatial,v82,False,3860,4,3856,13.25,15.5,17.25,0.7808832159624413,0.8221379559407729,0.8478855267954795,28.25,37.0,45.25,0,4,0,0,0,0,0,,,
libero_spatial,v83,True,140,119,21,17.0,19.0,20.0,0.7727272727272727,0.8636363636363636,0.9090909090909091,20.0,30.0,50.0,71,119,83,0,0,69,14,7.0,8.0,10.0
libero_spatial,v83,False,3860,4,3856,13.25,15.5,17.25,0.7808832159624413,0.8221379559407729,0.8478855267954795,28.25,37.0,45.25,0,4,0,0,0,0,0,,,
libero_spatial,knn20,True,140,140,0,11.0,12.5,14.0,0.5,0.5681818181818181,0.6363636363636364,80.0,95.0,110.0,18,115,83,12,2,69,0,1.0,3.0,5.0
libero_spatial,knn20,False,3860,270,3590,10.0,11.0,11.0,0.8333333333333334,0.9090909090909091,0.9565217391304348,5.0,10.0,21.0,0,63,0,0,0,0,0,,,
libero_spatial,c4_a05,True,140,140,0,12.0,14.0,15.25,0.5454545454545454,0.6363636363636364,0.6931818181818181,67.5,80.0,100.0,22,132,83,4,8,71,0,1.0,4.0,5.5
libero_spatial,c4_a05,False,3860,90,3770,9.0,10.0,11.0,0.7249298737727911,0.8482571154461145,0.9693834099812638,3.25,18.0,36.75,0,36,0,0,0,0,0,,,
libero_spatial,c4_a02,True,140,138,2,13.0,15.0,18.0,0.5909090909090909,0.6818181818181818,0.8181818181818182,40.0,70.0,90.0,47,134,83,2,3,77,1,3.0,5.0,7.0
libero_spatial,c4_a02,False,3860,35,3825,10.0,11.0,11.5,0.7337108501118568,0.8870967741935484,0.9562020460358056,5.5,14.0,37.5,0,17,0,0,0,0,0,,,
