group,method,failures,successes,tp_any,fp_any,tp_lead4,historical_fp_lead4,precision_any,recall_any
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,descriptor_periodic_return,216,296,0,0,0,0,,0.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,descriptor_command_jitter,216,296,0,0,0,0,,0.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,descriptor_route_periodic_front,216,296,0,0,0,0,,0.0
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,descriptor_route_periodic_back,216,296,0,0,0,0,,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,v7,12,500,11,1,6,1,0.9166666666666666,0.9166666666666666
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,v8,12,500,12,2,7,1,0.8571428571428571,1.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,v8.2,12,500,12,2,7,2,0.8571428571428571,1.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,history_k4,12,500,8,1,2,0,0.8888888888888888,0.6666666666666666
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,descriptor_still,12,500,0,0,0,0,,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,descriptor_backtracking,12,500,0,0,0,0,,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,descriptor_periodic_return,12,500,0,0,0,0,,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,descriptor_command_jitter,12,500,0,0,0,0,,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,descriptor_route_periodic_front,12,500,0,0,0,0,,0.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,descriptor_route_periodic_back,12,500,0,0,0,0,,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,v7,37,475,30,2,2,0,0.9375,0.8108108108108109
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,v8,37,475,33,2,5,0,0.9428571428571428,0.8918918918918919
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,v8.2,37,475,34,2,6,0,0.9444444444444444,0.918918918918919
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,history_k4,37,475,24,1,0,0,0.96,0.6486486486486487
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,descriptor_still,37,475,0,0,0,0,,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,descriptor_backtracking,37,475,0,0,0,0,,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,descriptor_periodic_return,37,475,0,0,0,0,,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,descriptor_command_jitter,37,475,0,0,0,0,,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,descriptor_route_periodic_front,37,475,0,0,0,0,,0.0
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,descriptor_route_periodic_back,37,475,0,0,0,0,,0.0
