tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,n_alarm,median_alarm_chunk,mode__approached_target_without_observed_contact__n,mode__approached_target_without_observed_contact__hit,mode__approached_target_without_observed_contact__coverage,mode__goal_predicate_regressed__n,mode__goal_predicate_regressed__hit,mode__goal_predicate_regressed__coverage,mode__object_moved_but_goal_unmet__n,mode__object_moved_but_goal_unmet__hit,mode__object_moved_but_goal_unmet__coverage,mode__object_released_or_dropped_before_goal__n,mode__object_released_or_dropped_before_goal__hit,mode__object_released_or_dropped_before_goal__coverage,mode__object_released_outside_goal__n,mode__object_released_outside_goal__hit,mode__object_released_outside_goal__coverage,mode__stable_grasp_not_observed__n,mode__stable_grasp_not_observed__hit,mode__stable_grasp_not_observed__coverage,mode__timeout_while_holding_target__n,mode__timeout_while_holding_target__hit,mode__timeout_while_holding_target__coverage,worst_mode_coverage,mean_mode_coverage,mode_cv,n_modes_scored,heads,n_heads,k,frames,n_frames,has_duplicate_pair,fits_dev_fp_cap,pool,mode,objective
57,0,0.11704312114989733,0.0,1.0,4,0,1.0,0.07017543859649122,0.827656159851611,1.208231205793585,57,21.0,14,2,0.14285714285714285,28,3,0.10714285714285714,72,7,0.09722222222222222,218,39,0.17889908256880735,18,1,0.05555555555555555,116,4,0.034482758620689655,14,1,0.07142857142857142,0.034482758620689655,0.09822688434226375,0.47412704495185876,7,flow_endpoint|per_task+partial_query_d1|per_task,2,2,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
55,0,0.11293634496919917,0.0,1.0,3,0,1.0,0.05454545454545454,0.8439461640779993,1.184909704628479,55,21.0,14,2,0.14285714285714285,28,1,0.03571428571428571,72,7,0.09722222222222222,218,39,0.17889908256880735,18,1,0.05555555555555555,116,4,0.034482758620689655,14,1,0.07142857142857142,0.034482758620689655,0.08802280270961067,0.5805896727068284,7,expert_load_effective_rank|per_task+flow_endpoint|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps+expert_load,3,False,True,primary,per_task,A
55,0,0.11293634496919917,0.0,1.0,5,0,1.0,0.09090909090909091,0.9027504585537374,1.107725828909644,55,20.0,14,1,0.07142857142857142,28,1,0.03571428571428571,72,9,0.125,218,39,0.17889908256880735,18,0,0.0,116,3,0.02586206896551724,14,1,0.07142857142857142,0.0,0.07261894001510759,0.7870000825560336,7,flow_path|per_task+mobility|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
53,0,0.10882956878850103,0.0,1.0,5,0,1.0,0.09433962264150944,0.9115747426317434,1.0970027505511728,53,20.0,14,2,0.14285714285714285,28,1,0.03571428571428571,72,9,0.125,218,36,0.1651376146788991,18,0,0.0,116,3,0.02586206896551724,14,1,0.07142857142857142,0.0,0.08085709766348805,0.732937703846828,7,flow_path|per_task+flow_settling_log_ratio|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
52,0,0.10677618069815195,0.0,1.0,5,0,1.0,0.09615384615384616,0.8668556691145379,1.1535945782317651,52,21.0,14,0,0.0,28,1,0.03571428571428571,72,10,0.1388888888888889,218,30,0.13761467889908258,18,2,0.1111111111111111,116,8,0.06896551724137931,14,1,0.07142857142857142,0.0,0.08053186475475985,0.599385970246909,7,action_consensus|per_task+expert_load_effective_rank|per_task+mobility|per_task,3,3,adjacent_query+expert_load+token_graph,3,False,True,primary,per_task,A
52,0,0.10677618069815195,0.0,1.0,14,0,1.0,0.2692307692307692,0.7215321096360534,1.3859397061406014,52,19.5,14,1,0.07142857142857142,28,0,0.0,72,6,0.08333333333333333,218,43,0.19724770642201836,18,1,0.05555555555555555,116,1,0.008620689655172414,14,0,0.0,0.0,0.05945512234209303,1.0894566758779478,7,conditional_effective_rank|per_task+conditional_query_d1|per_task+expert_load_effective_rank|per_task,3,3,adjacent_query+expert_load+token_graph,3,False,True,primary,per_task,A
52,0,0.10677618069815195,0.0,1.0,17,0,1.0,0.3269230769230769,0.7303447878405286,1.3692163162508266,52,19.5,14,1,0.07142857142857142,28,0,0.0,72,6,0.08333333333333333,218,30,0.13761467889908258,18,3,0.16666666666666666,116,12,0.10344827586206896,14,0,0.0,0.0,0.08035593231281757,0.7326809998279612,7,conditional_effective_rank|per_task+expert_load_effective_rank|per_task+partial_edge_std|per_task,3,3,expert_load+token_graph,2,False,True,primary,per_task,A
52,0,0.10677618069815195,0.0,1.0,16,0,1.0,0.3076923076923077,0.7013710848864311,1.4257787661176882,52,19.0,14,0,0.0,28,1,0.03571428571428571,72,5,0.06944444444444445,218,43,0.19724770642201836,18,3,0.16666666666666666,116,0,0.0,14,0,0.0,0.0,0.06701044332105931,1.1469502094083583,7,conditional_query_d1|per_task+expert_load_effective_rank|per_task+partial_edge_std|per_task,3,3,adjacent_query+expert_load+token_graph,3,False,True,primary,per_task,A
49,0,0.10061601642710473,0.0,1.0,17,0,1.0,0.3469387755102041,0.7182271063112948,1.392317264570879,49,19.0,14,1,0.07142857142857142,28,1,0.03571428571428571,72,6,0.08333333333333333,218,29,0.13302752293577982,18,1,0.05555555555555555,116,11,0.09482758620689655,14,0,0.0,0.0,0.06769812216777463,0.5859783227683907,7,conditional_effective_rank|per_task+flow_settling_log_ratio|per_task+partial_edge_std|per_task,3,3,denoising_steps+token_graph,2,False,True,primary,per_task,A
49,0,0.10061601642710473,0.0,1.0,4,0,1.0,0.08163265306122448,0.8488565711794835,1.1780553204771722,49,21.0,14,2,0.14285714285714285,28,2,0.07142857142857142,72,7,0.09722222222222222,218,33,0.15137614678899083,18,0,0.0,116,4,0.034482758620689655,14,1,0.07142857142857142,0.0,0.08125648762088407,0.6231947504843313,7,flow_endpoint|per_task+flow_settling_log_ratio|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
49,0,0.10061601642710473,0.0,1.0,4,0,1.0,0.08163265306122448,0.8453952660378713,1.1828786369797377,49,21.0,14,1,0.07142857142857142,28,2,0.07142857142857142,72,6,0.08333333333333333,218,34,0.1559633027522936,18,1,0.05555555555555555,116,4,0.034482758620689655,14,1,0.07142857142857142,0.034482758620689655,0.07766009493536949,0.45220264174253294,7,flow_endpoint|per_task+mobility|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
48,0,0.09856262833675565,0.0,1.0,3,0,1.0,0.0625,0.8532073595969617,1.1720480241431348,48,21.0,14,2,0.14285714285714285,28,0,0.0,72,6,0.08333333333333333,218,35,0.16055045871559634,18,1,0.05555555555555555,116,3,0.02586206896551724,14,1,0.07142857142857142,0.0,0.07708387583653097,0.700207732937315,7,conditional_query_d1|per_task+flow_endpoint|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
46,0,0.0944558521560575,0.0,1.0,16,0,1.0,0.34782608695652173,0.7071781999610568,1.4140707392494118,46,19.0,14,0,0.0,28,1,0.03571428571428571,72,5,0.06944444444444445,218,39,0.17889908256880735,18,1,0.05555555555555555,116,0,0.0,14,0,0.0,0.0,0.0485161954690133,1.2246822122849805,7,conditional_query_d1|per_task+flow_settling_log_ratio|per_task+partial_edge_std|per_task,3,3,adjacent_query+denoising_steps+token_graph,3,False,True,primary,per_task,A
45,0,0.09240246406570841,0.0,1.0,14,0,1.0,0.3111111111111111,0.7037602722438417,1.4209384067839452,45,19.0,14,1,0.07142857142857142,28,0,0.0,72,6,0.08333333333333333,218,35,0.16055045871559634,18,0,0.0,116,1,0.008620689655172414,14,0,0.0,0.0,0.0462761504475248,1.2361657147798117,7,conditional_effective_rank|per_task+conditional_query_d1|per_task+flow_settling_log_ratio|per_task,3,3,adjacent_query+denoising_steps+token_graph,3,False,True,primary,per_task,A
44,0,0.09034907597535935,0.0,1.0,4,0,1.0,0.09090909090909091,0.8327746560819432,1.200805034947656,44,22.0,14,0,0.0,28,0,0.0,72,8,0.1111111111111111,218,21,0.0963302752293578,18,2,0.1111111111111111,116,6,0.05172413793103448,14,7,0.5,0.0,0.12432523362608779,1.2842472912810408,7,action_consensus|per_task+flow_endpoint|per_task+mobility|per_task,3,3,adjacent_query+denoising_steps+token_graph,3,False,True,primary,per_task,A
44,0,0.09034907597535935,0.0,1.0,4,0,1.0,0.09090909090909091,0.8923049652120856,1.1206930802658004,44,20.0,14,1,0.07142857142857142,28,0,0.0,72,5,0.06944444444444445,218,35,0.16055045871559634,18,0,0.0,116,1,0.008620689655172414,14,1,0.07142857142857142,0.0,0.054496105096050865,0.9830154754219713,7,conditional_query_d1|per_task+flow_path|per_task+partial_query_d1|per_task,3,3,adjacent_query+denoising_steps,2,False,True,primary,per_task,A
