tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,n_alarm,median_alarm_chunk,mode__approached_target_without_observed_contact__n,mode__approached_target_without_observed_contact__hit,mode__approached_target_without_observed_contact__coverage,mode__goal_predicate_regressed__n,mode__goal_predicate_regressed__hit,mode__goal_predicate_regressed__coverage,mode__object_moved_but_goal_unmet__n,mode__object_moved_but_goal_unmet__hit,mode__object_moved_but_goal_unmet__coverage,mode__object_released_or_dropped_before_goal__n,mode__object_released_or_dropped_before_goal__hit,mode__object_released_or_dropped_before_goal__coverage,mode__object_released_outside_goal__n,mode__object_released_outside_goal__hit,mode__object_released_outside_goal__coverage,mode__stable_grasp_not_observed__n,mode__stable_grasp_not_observed__hit,mode__stable_grasp_not_observed__coverage,mode__timeout_while_holding_target__n,mode__timeout_while_holding_target__hit,mode__timeout_while_holding_target__coverage,worst_mode_coverage,mean_mode_coverage,mode_cv,n_modes_scored,heads,n_heads,k,frames,n_frames,has_duplicate_pair,fits_dev_fp_cap,pool,mode,role
178,25,0.3655030800821355,0.0017466638720044715,0.8768472906403941,32,16,0.6666666666666666,0.1797752808988764,0.6584374569784425,1.3317093086778968,203,20.0,14,4,0.2857142857142857,28,16,0.5714285714285714,72,14,0.19444444444444445,218,109,0.5,18,6,0.3333333333333333,116,19,0.16379310344827586,14,3,0.21428571428571427,0.16379310344827586,0.32328563609351785,0.4501310755585591,7,partial_query_d1|per_task+partial_edge_std|per_task,2,1,adjacent_query+token_graph,2,False,True,primary,per_task,watch_a2
359,68,0.7371663244353183,0.004750925731852163,0.8407494145199064,73,47,0.6083333333333333,0.20334261838440112,0.5600623969059596,1.5011709751709632,427,19.0,14,4,0.2857142857142857,28,23,0.8214285714285714,72,46,0.6388888888888888,218,200,0.9174311926605505,18,16,0.8888888888888888,116,53,0.45689655172413796,14,10,0.7142857142857143,0.2857142857142857,0.6747905847987197,0.32075053455740277,7,expert_load_effective_rank|per_task+mobility|per_task,2,1,adjacent_query+expert_load,2,False,True,primary,per_task,watch_a3
359,68,0.7371663244353183,0.004750925731852163,0.8407494145199064,73,47,0.6083333333333333,0.20334261838440112,0.5600623969059596,1.5011709751709632,427,19.0,14,4,0.2857142857142857,28,23,0.8214285714285714,72,46,0.6388888888888888,218,200,0.9174311926605505,18,16,0.8888888888888888,116,53,0.45689655172413796,14,10,0.7142857142857143,0.2857142857142857,0.6747905847987197,0.32075053455740277,7,expert_load_effective_rank|per_task+mobility|per_task,2,1,adjacent_query+expert_load,2,False,True,primary,per_task,watch_a3_free
322,45,0.6611909650924025,0.0031439949696080486,0.8773841961852861,58,32,0.6444444444444445,0.18012422360248448,0.6038428966079253,1.453000774065528,367,19.0,14,4,0.2857142857142857,28,19,0.6785714285714286,72,44,0.6111111111111112,218,187,0.8577981651376146,18,13,0.7222222222222222,116,52,0.4482758620689655,14,3,0.21428571428571427,0.21428571428571427,0.5454255413016204,0.4025311141838932,7,expert_load_effective_rank|per_task,1,1,expert_load,1,False,True,primary,per_task,watch_a3_prefix
288,66,0.5913757700205339,0.004611192622091804,0.8135593220338984,72,49,0.5950413223140496,0.25,0.5860821974457633,1.3881317767021681,354,18.0,14,12,0.8571428571428571,28,16,0.5714285714285714,72,42,0.5833333333333334,218,160,0.7339449541284404,18,11,0.6111111111111112,116,36,0.3103448275862069,14,8,0.5714285714285714,0.3103448275862069,0.6055334608798703,0.25719374995750244,7,conditional_energy|per_task+flow_settling_log_ratio|per_task,2,1,denoising_steps+token_graph,2,False,True,primary,per_task,watch_b
352,66,0.7227926078028748,0.004611192622091804,0.8421052631578947,64,47,0.5765765765765766,0.18181818181818182,0.5751357990513608,1.4641850925414104,418,19.0,14,4,0.2857142857142857,28,19,0.6785714285714286,72,46,0.6388888888888888,218,191,0.8761467889908257,18,16,0.8888888888888888,116,59,0.5086206896551724,14,10,0.7142857142857143,0.2857142857142857,0.655873812142172,0.2970665489088013,7,conditional_energy|per_task+conditional_query_d1|per_task+expert_load_effective_rank|per_task+state_action_alignment|per_task,4,1,adjacent_query+expert_load+token_graph,3,False,True,primary,per_task,watch_b4
261,46,0.5359342915811088,0.0032138615244882273,0.8501628664495114,42,29,0.5915492957746479,0.16091954022988506,0.6464107445346615,1.3152053452662318,307,20.0,14,3,0.21428571428571427,28,17,0.6071428571428571,72,29,0.4027777777777778,218,156,0.7155963302752294,18,10,0.5555555555555556,116,30,0.25862068965517243,14,9,0.6428571428571429,0.21428571428571427,0.48526229536420706,0.372959459425757,7,conditional_query_d1|per_task+mobility|per_task,2,1,adjacent_query,1,False,True,primary,per_task,same_frame_control_size2
261,46,0.5359342915811088,0.0032138615244882273,0.8501628664495114,42,29,0.5915492957746479,0.16091954022988506,0.6464107445346615,1.3152053452662318,307,20.0,14,3,0.21428571428571427,28,17,0.6071428571428571,72,29,0.4027777777777778,218,156,0.7155963302752294,18,10,0.5555555555555556,116,30,0.25862068965517243,14,9,0.6428571428571429,0.21428571428571427,0.48526229536420706,0.372959459425757,7,conditional_query_d1|per_task+mobility|per_task,2,1,adjacent_query,1,False,True,primary,per_task,same_frame_maxtp_size2
112,0,0.2299794661190965,0.0,1.0,19,0,1.0,0.16964285714285715,0.8211477946109552,1.2178075695542503,112,20.0,14,4,0.2857142857142857,28,9,0.32142857142857145,72,11,0.1527777777777778,218,70,0.3211009174311927,18,1,0.05555555555555555,116,12,0.10344827586206896,14,2,0.14285714285714285,0.05555555555555555,0.19755464666094213,0.5147830989669571,7,flow_settling_log_ratio|per_task+partial_query_d1|per_task,2,2,adjacent_query+denoising_steps,2,False,True,primary,per_task,act_a
259,13,0.5318275154004107,0.0009082652134423251,0.9522058823529411,50,9,0.847457627118644,0.19305019305019305,0.7096752391568415,1.3417487743890402,272,19.0,14,4,0.2857142857142857,28,15,0.5357142857142857,72,34,0.4722222222222222,218,161,0.7385321100917431,18,9,0.5,116,31,0.2672413793103448,14,2,0.14285714285714285,0.14285714285714285,0.4203259179871463,0.4424981587651625,7,expert_load_effective_rank|per_task+flow_settling_log_ratio|per_task+partial_query_d1|per_task,3,2,adjacent_query+denoising_steps+expert_load,3,False,True,primary,per_task,act_b
15,6,0.030800821355236138,0.00041919932928107315,0.7142857142857143,13,6,0.6842105263157895,0.8666666666666667,0.208327392940707,3.428669193249158,21,16.0,14,0,0.0,28,0,0.0,72,2,0.027777777777777776,218,11,0.05045871559633028,18,1,0.05555555555555555,116,1,0.008620689655172414,14,0,0.0,0.0,0.02034467694069086,1.111750421774263,7,action_consensus|global,1,1,token_graph,1,False,True,primary,global,single
42,20,0.08624229979466119,0.0013973310976035773,0.6774193548387096,27,17,0.6136363636363636,0.6428571428571429,0.22657068539306316,2.9898808562259394,62,22.0,14,4,0.2857142857142857,28,3,0.10714285714285714,72,5,0.06944444444444445,218,8,0.03669724770642202,18,0,0.0,116,21,0.1810344827586207,14,1,0.07142857142857142,0.0,0.10735169845645734,0.8367843343056628,7,conditional_effective_rank|global,1,1,token_graph,1,False,True,primary,global,single
26,6,0.053388090349075976,0.00041919932928107315,0.8125,2,0,1.0,0.07692307692307693,0.5362986483126245,1.5150140738866256,32,31.5,14,0,0.0,28,3,0.10714285714285714,72,4,0.05555555555555555,218,14,0.06422018348623854,18,1,0.05555555555555555,116,3,0.02586206896551724,14,0,0.0,0.0,0.04404803152938914,0.8078617659246006,7,conditional_energy|global,1,1,token_graph,1,False,True,primary,global,single
178,30,0.3655030800821355,0.0020959966464053656,0.8557692307692307,24,11,0.6857142857142857,0.1348314606741573,0.5267333464783104,1.6246725909624353,208,29.0,14,7,0.5,28,9,0.32142857142857145,72,19,0.2638888888888889,218,65,0.2981651376146789,18,3,0.16666666666666666,116,65,0.5603448275862069,14,6,0.42857142857142855,0.16666666666666666,0.36272364582234873,0.355379369427376,7,conditional_query_d1|global,1,1,adjacent_query,1,False,True,primary,global,single
214,15,0.4394250513347023,0.0010479983232026828,0.9344978165938864,12,8,0.6,0.056074766355140186,0.7719441899794607,1.2105769156948392,229,19.0,14,1,0.07142857142857142,28,12,0.42857142857142855,72,29,0.4027777777777778,218,110,0.5045871559633027,18,6,0.3333333333333333,116,54,0.46551724137931033,14,2,0.14285714285714285,0.07142857142857142,0.3355818073301239,0.45824221593773345,7,expert_load_effective_rank|global,1,1,expert_load,1,False,True,primary,global,single
57,3,0.11704312114989733,0.00020959966464053657,0.95,5,3,0.625,0.08771929824561403,0.8599684336524185,1.1046917105610534,60,17.0,14,0,0.0,28,0,0.0,72,5,0.06944444444444445,218,43,0.19724770642201836,18,5,0.2777777777777778,116,3,0.02586206896551724,14,1,0.07142857142857142,0.0,0.09168008129118989,1.0736615427558276,7,flow_endpoint|global,1,1,denoising_steps,1,False,True,primary,global,single
49,1,0.10061601642710473,6.986655488017886e-05,0.98,2,1,0.6666666666666666,0.04081632653061224,0.9059632836927315,1.0817215417444874,50,18.0,14,0,0.0,28,3,0.10714285714285714,72,4,0.05555555555555555,218,30,0.13761467889908258,18,5,0.2777777777777778,116,4,0.034482758620689655,14,3,0.21428571428571427,0.0,0.11812276318309671,0.7844361361696439,7,flow_path|global,1,1,denoising_steps,1,False,True,primary,global,single
4,1,0.008213552361396304,6.986655488017886e-05,0.8,2,0,1.0,0.5,0.4601477594215897,1.7385719774135333,5,20.0,14,0,0.0,28,0,0.0,72,1,0.013888888888888888,218,3,0.013761467889908258,18,0,0.0,116,0,0.0,14,0,0.0,0.0,0.003950050968399592,1.5811623342774122,7,flow_settling_log_ratio|global,1,1,denoising_steps,1,False,True,primary,global,single
172,15,0.3531827515400411,0.0010479983232026828,0.9197860962566845,18,5,0.782608695652174,0.10465116279069768,0.5277507755702584,1.7428417708393027,187,33.0,14,2,0.14285714285714285,28,18,0.6428571428571429,72,17,0.2361111111111111,218,61,0.2798165137614679,18,2,0.1111111111111111,116,59,0.5086206896551724,14,7,0.5,0.1111111111111111,0.3459105301933069,0.5476218736918945,7,mobility|global,1,1,adjacent_query,1,False,True,primary,global,single
69,40,0.14168377823408623,0.0027946621952071545,0.6330275229357798,52,34,0.6046511627906976,0.7536231884057971,0.21558892757931186,2.9362710323001107,109,21.0,14,9,0.6428571428571429,28,5,0.17857142857142858,72,7,0.09722222222222222,218,6,0.027522935779816515,18,0,0.0,116,41,0.35344827586206895,14,1,0.07142857142857142,0.0,0.1958643681030358,1.0862323805216145,7,partial_edge_std|global,1,1,token_graph,1,False,True,primary,global,single
40,21,0.08213552361396304,0.001467197652483756,0.6557377049180327,30,20,0.6,0.75,0.20330720986407597,3.225353913205714,61,22.0,14,5,0.35714285714285715,28,1,0.03571428571428571,72,4,0.05555555555555555,218,8,0.03669724770642202,18,0,0.0,116,21,0.1810344827586207,14,1,0.07142857142857142,0.0,0.10536757147233035,1.0963806310484474,7,partial_query_d1|global,1,1,adjacent_query,1,False,True,primary,global,single
26,6,0.053388090349075976,0.00041919932928107315,0.8125,2,0,1.0,0.07692307692307693,0.5362986483126245,1.5150140738866256,32,31.5,14,0,0.0,28,3,0.10714285714285714,72,4,0.05555555555555555,218,14,0.06422018348623854,18,1,0.05555555555555555,116,3,0.02586206896551724,14,0,0.0,0.0,0.04404803152938914,0.8078617659246006,7,state_action_alignment|global,1,1,token_graph,1,False,True,primary,global,single
303,43,0.62217659137577,0.0030042618598476907,0.8757225433526011,36,19,0.6545454545454545,0.1188118811881188,0.6174349748136186,1.4183235143376032,346,24.0,14,7,0.5,28,17,0.6071428571428571,72,34,0.4722222222222222,218,135,0.6192660550458715,18,8,0.4444444444444444,116,91,0.7844827586206896,14,7,0.5,0.4444444444444444,0.5610797624965835,0.19567671699543168,7,conditional_query_d1|global+expert_load_effective_rank|global,2,1,adjacent_query+expert_load,2,False,True,primary,global,watch_a1
322,77,0.6611909650924025,0.0053797247257737725,0.8070175438596491,79,53,0.5984848484848485,0.2453416149068323,0.5210299830956999,1.5488888740428217,399,21.0,14,12,0.8571428571428571,28,20,0.7142857142857143,72,37,0.5138888888888888,218,137,0.6284403669724771,18,9,0.5,116,96,0.8275862068965517,14,7,0.5,0.5,0.6487634334552128,0.2199684794745718,7,conditional_query_d1|global+flow_endpoint|global+expert_load_effective_rank|global+partial_edge_std|global,4,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,False,primary,global,watch_a1_uncapped
333,32,0.6837782340862423,0.0022357297561657235,0.9123287671232877,34,16,0.68,0.1021021021021021,0.628527525761631,1.451533512422952,365,26.0,14,3,0.21428571428571427,28,21,0.75,72,40,0.5555555555555556,218,159,0.7293577981651376,18,10,0.5555555555555556,116,86,0.7413793103448276,14,8,0.5714285714285714,0.21428571428571427,0.5882232150479088,0.2957091610243288,7,mobility|global+flow_endpoint|global+expert_load_effective_rank|global+conditional_energy|global,4,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,primary,global,watch_a2
357,67,0.7330595482546202,0.0046810591769719835,0.8419811320754716,83,48,0.6335877862595419,0.23249299719887956,0.539434141880172,1.5608599209919982,424,22.0,14,11,0.7857142857142857,28,23,0.8214285714285714,72,41,0.5694444444444444,218,160,0.7339449541284404,18,10,0.5555555555555556,116,95,0.8189655172413793,14,11,0.7857142857142857,0.5555555555555556,0.7243953734609946,0.14617521315103185,7,expert_load_effective_rank|global+mobility|global+partial_edge_std|global+flow_path|global,4,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,primary,global,watch_a3
364,68,0.7474332648870636,0.004750925731852163,0.8425925925925926,85,48,0.6390977443609023,0.23351648351648352,0.5360944692922369,1.5717240912874944,432,22.0,14,11,0.7857142857142857,28,24,0.8571428571428571,72,42,0.5833333333333334,218,163,0.7477064220183486,18,11,0.6111111111111112,116,96,0.8275862068965517,14,11,0.7857142857142857,0.5833333333333334,0.7426155002758248,0.1314878213891291,7,expert_load_effective_rank|global+mobility|global+partial_edge_std|global+flow_path|global+conditional_energy|global,5,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,primary,global,watch_a3_free
214,15,0.4394250513347023,0.0010479983232026828,0.9344978165938864,12,8,0.6,0.056074766355140186,0.7719441899794607,1.2105769156948392,229,19.0,14,1,0.07142857142857142,28,12,0.42857142857142855,72,29,0.4027777777777778,218,110,0.5045871559633027,18,6,0.3333333333333333,116,54,0.46551724137931033,14,2,0.14285714285714285,0.07142857142857142,0.3355818073301239,0.45824221593773345,7,expert_load_effective_rank|global,1,1,expert_load,1,False,True,primary,global,watch_a3_prefix
323,27,0.6632443531827515,0.0018863969817648292,0.9228571428571428,29,13,0.6904761904761905,0.08978328173374613,0.6485127095133193,1.4230363249930864,350,26.0,14,3,0.21428571428571427,28,20,0.7142857142857143,72,38,0.5277777777777778,218,155,0.7110091743119266,18,8,0.4444444444444444,116,85,0.7327586206896551,14,8,0.5714285714285714,0.21428571428571427,0.5594271453176863,0.3099735643661055,7,expert_load_effective_rank|global+mobility|global,2,1,adjacent_query+expert_load,2,False,True,primary,global,watch_a3_prefix
347,66,0.7125256673511293,0.004611192622091804,0.8401937046004843,81,47,0.6328125,0.2334293948126801,0.5364315516505674,1.5662645159764728,413,22.0,14,11,0.7857142857142857,28,23,0.8214285714285714,72,40,0.5555555555555556,218,156,0.7155963302752294,18,8,0.4444444444444444,116,95,0.8189655172413793,14,8,0.5714285714285714,0.4444444444444444,0.6733047537268624,0.20564597289503092,7,expert_load_effective_rank|global+mobility|global+partial_edge_std|global,3,1,adjacent_query+expert_load+token_graph,3,False,True,primary,global,watch_a3_prefix
364,68,0.7474332648870636,0.004750925731852163,0.8425925925925926,85,48,0.6390977443609023,0.23351648351648352,0.5360944692922369,1.5717240912874944,432,22.0,14,11,0.7857142857142857,28,24,0.8571428571428571,72,42,0.5833333333333334,218,163,0.7477064220183486,18,11,0.6111111111111112,116,96,0.8275862068965517,14,11,0.7857142857142857,0.5833333333333334,0.7426155002758248,0.1314878213891291,7,conditional_energy|global+expert_load_effective_rank|global+flow_path|global+mobility|global+partial_edge_std|global,5,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,primary,global,watch_b
357,67,0.7330595482546202,0.0046810591769719835,0.8419811320754716,83,48,0.6335877862595419,0.23249299719887956,0.539434141880172,1.5608599209919982,424,22.0,14,11,0.7857142857142857,28,23,0.8214285714285714,72,41,0.5694444444444444,218,160,0.7339449541284404,18,10,0.5555555555555556,116,95,0.8189655172413793,14,11,0.7857142857142857,0.5555555555555556,0.7243953734609946,0.14617521315103185,7,expert_load_effective_rank|global+flow_path|global+mobility|global+partial_edge_std|global,4,1,adjacent_query+denoising_steps+expert_load+token_graph,4,False,True,primary,global,watch_b4
231,39,0.47433264887063653,0.0027247956403269754,0.8555555555555555,41,16,0.7192982456140351,0.1774891774891775,0.5151459209246255,1.6608023490119757,270,28.0,14,8,0.5714285714285714,28,22,0.7857142857142857,72,24,0.3333333333333333,218,91,0.41743119266055045,18,4,0.2222222222222222,116,68,0.5862068965517241,14,8,0.5714285714285714,0.2222222222222222,0.4982521533341798,0.3484544098466392,7,conditional_query_d1|global+mobility|global,2,1,adjacent_query,1,False,True,primary,global,same_frame_control_size2
231,39,0.47433264887063653,0.0027247956403269754,0.8555555555555555,41,16,0.7192982456140351,0.1774891774891775,0.5151459209246255,1.6608023490119757,270,28.0,14,8,0.5714285714285714,28,22,0.7857142857142857,72,24,0.3333333333333333,218,91,0.41743119266055045,18,4,0.2222222222222222,116,68,0.5862068965517241,14,8,0.5714285714285714,0.2222222222222222,0.4982521533341798,0.3484544098466392,7,conditional_query_d1|global+mobility|global,2,1,adjacent_query,1,False,True,primary,global,same_frame_maxtp_size2
109,53,0.22381930184804927,0.0037029274086494797,0.6728395061728395,67,43,0.6090909090909091,0.6146788990825688,0.26213185778235243,2.5667979156180887,162,22.0,14,9,0.6428571428571429,28,8,0.2857142857142857,72,16,0.2222222222222222,218,29,0.13302752293577982,18,2,0.1111111111111111,116,43,0.3706896551724138,14,1,0.07142857142857142,0.07142857142857142,0.26243578734878953,0.6977665255014948,7,action_consensus|global+conditional_effective_rank|global+conditional_energy|global+partial_edge_std|global,4,1,token_graph,1,False,True,primary,global,same_frame_control_size4
109,53,0.22381930184804927,0.0037029274086494797,0.6728395061728395,67,43,0.6090909090909091,0.6146788990825688,0.26213185778235243,2.5667979156180887,162,22.0,14,9,0.6428571428571429,28,8,0.2857142857142857,72,16,0.2222222222222222,218,29,0.13302752293577982,18,2,0.1111111111111111,116,43,0.3706896551724138,14,1,0.07142857142857142,0.07142857142857142,0.26243578734878953,0.6977665255014948,7,action_consensus|global+conditional_effective_rank|global+conditional_energy|global+partial_edge_std|global,4,1,token_graph,1,False,True,primary,global,same_frame_maxtp_size4
109,53,0.22381930184804927,0.0037029274086494797,0.6728395061728395,67,43,0.6090909090909091,0.6146788990825688,0.26213185778235243,2.5667979156180887,162,22.0,14,9,0.6428571428571429,28,8,0.2857142857142857,72,16,0.2222222222222222,218,29,0.13302752293577982,18,2,0.1111111111111111,116,43,0.3706896551724138,14,1,0.07142857142857142,0.07142857142857142,0.26243578734878953,0.6977665255014948,7,action_consensus|global+conditional_effective_rank|global+conditional_energy|global+partial_edge_std|global+state_action_alignment|global,5,1,token_graph,1,True,True,primary,global,same_frame_control_size5
109,53,0.22381930184804927,0.0037029274086494797,0.6728395061728395,67,43,0.6090909090909091,0.6146788990825688,0.26213185778235243,2.5667979156180887,162,22.0,14,9,0.6428571428571429,28,8,0.2857142857142857,72,16,0.2222222222222222,218,29,0.13302752293577982,18,2,0.1111111111111111,116,43,0.3706896551724138,14,1,0.07142857142857142,0.07142857142857142,0.26243578734878953,0.6977665255014948,7,action_consensus|global+conditional_effective_rank|global+conditional_energy|global+partial_edge_std|global+state_action_alignment|global,5,1,token_graph,1,True,True,primary,global,same_frame_maxtp_size5
