pool,mode,role,heads,n_frames,tp,fp,fits,precision,lift,low_prior_tp,low_prior_fp,worst_mode_coverage,mode_cv
secondary_with_v7,global,same_frame_control_size2,mobility|global+v7_guard|global,1,439,81,False,0.8442307692307692,1.39515580494954,57,45,0.64,0.1180827066715281
secondary_with_v7,global,same_frame_maxtp_size2,mobility|global+v7_guard|global,1,439,81,False,0.8442307692307692,1.39515580494954,57,45,0.64,0.1180827066715281
primary,global,watch_a3,expert_load_effective_rank|global+mobility|global+partial_edge_std|global+flow_path|global,4,410,197,False,0.6754530477759473,1.6034046974496443,113,171,0.5652173913043478,0.1530346275634853
primary,global,watch_b4,expert_load_effective_rank|global+flow_path|global+mobility|global+partial_edge_std|global,4,410,197,False,0.6754530477759473,1.6034046974496443,113,171,0.5652173913043478,0.1530346275634853
primary,global,watch_a3_free,expert_load_effective_rank|global+mobility|global+partial_edge_std|global+flow_path|global+conditional_energy|global,4,419,199,False,0.6779935275080906,1.592816718666172,113,172,0.5652173913043478,0.1439603123241823
primary,global,watch_b,conditional_energy|global+expert_load_effective_rank|global+flow_path|global+mobility|global+partial_edge_std|global,4,419,199,False,0.6779935275080906,1.592816718666172,113,172,0.5652173913043478,0.1439603123241823
primary,per_task,watch_a1,flow_settling_log_ratio|per_task+expert_load_effective_rank|per_task,2,423,141,False,0.75,1.618151920812288,125,112,0.4965034965034965,0.1946181845267786
primary,per_task,watch_a1_uncapped,mobility|per_task+flow_settling_log_ratio|per_task+expert_load_effective_rank|per_task+conditional_effective_rank|per_task,4,434,189,False,0.6966292134831461,1.6203573701083522,137,156,0.4965034965034965,0.1959318306611137
primary,global,watch_a1_uncapped,conditional_query_d1|global+flow_endpoint|global+expert_load_effective_rank|global+partial_edge_std|global,4,378,208,False,0.6450511945392492,1.5953621253615853,106,180,0.4782608695652174,0.2096460565475928
primary,global,watch_a3_prefix,expert_load_effective_rank|global+mobility|global+partial_edge_std|global,3,397,194,False,0.6717428087986463,1.591715977183903,110,168,0.44,0.2042236569137039
primary,per_task,watch_a3,expert_load_effective_rank|per_task+mobility|per_task,2,397,136,False,0.7448405253283302,1.572591808381425,116,106,0.3571428571428571,0.2852286892901252
primary,per_task,watch_a3_free,expert_load_effective_rank|per_task+mobility|per_task,2,397,136,False,0.7448405253283302,1.572591808381425,116,106,0.3571428571428571,0.2852286892901252
primary,per_task,watch_b,conditional_energy|per_task+flow_settling_log_ratio|per_task,2,309,95,False,0.7648514851485149,1.413401653277783,84,69,0.3496503496503496,0.2671844883212871
primary,per_task,watch_a3_prefix,expert_load_effective_rank|per_task,1,370,93,False,0.7991360691144709,1.5479067335088583,97,69,0.2857142857142857,0.3607940731758532
primary,per_task,watch_b4,conditional_energy|per_task+conditional_query_d1|per_task+expert_load_effective_rank|per_task+state_action_alignment|per_task,3,395,114,False,0.7760314341846758,1.5603844542655767,105,87,0.2857142857142857,0.3157884212815637
secondary_with_v7,global,same_frame_control_size3,conditional_query_d1|global+mobility|global+partial_query_d1|global,1,277,207,False,0.5723140495867769,1.7616941947502232,90,180,0.24,0.3538412173741233
secondary_with_v7,global,same_frame_maxtp_size3,conditional_query_d1|global+mobility|global+partial_query_d1|global,1,277,207,False,0.5723140495867769,1.7616941947502232,90,180,0.24,0.3538412173741233
primary,global,same_frame_control_size4,action_consensus|global+conditional_effective_rank|global+conditional_energy|global+partial_edge_std|global,1,146,206,False,0.4147727272727273,1.985206564361761,77,197,0.16,0.4016154923462103
primary,global,same_frame_maxtp_size4,action_consensus|global+conditional_effective_rank|global+conditional_energy|global+partial_edge_std|global,1,146,206,False,0.4147727272727273,1.985206564361761,77,197,0.16,0.4016154923462103
primary,global,same_frame_control_size5,action_consensus|global+conditional_effective_rank|global+conditional_energy|global+partial_edge_std|global+state_action_alignment|global,1,146,206,False,0.4147727272727273,1.985206564361761,77,197,0.16,0.4016154923462103
primary,global,same_frame_maxtp_size5,action_consensus|global+conditional_effective_rank|global+conditional_energy|global+partial_edge_std|global+state_action_alignment|global,1,146,206,False,0.4147727272727273,1.985206564361761,77,197,0.16,0.4016154923462103
secondary_with_v7,global,same_frame_control_size4,action_consensus|global+conditional_effective_rank|global+conditional_energy|global+partial_edge_std|global,1,146,206,False,0.4147727272727273,1.985206564361761,77,197,0.16,0.4016154923462103
secondary_with_v7,global,same_frame_maxtp_size4,action_consensus|global+conditional_effective_rank|global+conditional_energy|global+partial_edge_std|global,1,146,206,False,0.4147727272727273,1.985206564361761,77,197,0.16,0.4016154923462103
