tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,n_alarm,median_alarm_chunk,mode__approached_target_without_observed_contact__n,mode__approached_target_without_observed_contact__hit,mode__approached_target_without_observed_contact__coverage,mode__goal_predicate_regressed__n,mode__goal_predicate_regressed__hit,mode__goal_predicate_regressed__coverage,mode__object_moved_but_goal_unmet__n,mode__object_moved_but_goal_unmet__hit,mode__object_moved_but_goal_unmet__coverage,mode__object_released_or_dropped_before_goal__n,mode__object_released_or_dropped_before_goal__hit,mode__object_released_or_dropped_before_goal__coverage,mode__object_released_outside_goal__n,mode__object_released_outside_goal__hit,mode__object_released_outside_goal__coverage,mode__stable_grasp_not_observed__n,mode__stable_grasp_not_observed__hit,mode__stable_grasp_not_observed__coverage,mode__timeout_while_holding_target__n,mode__timeout_while_holding_target__hit,mode__timeout_while_holding_target__coverage,worst_mode_coverage,mean_mode_coverage,mode_cv,n_modes_scored,pool,mode,role,heads,n_heads,k,frames,n_frames,dev_tp,dev_fp,dev_worst_mode_coverage,dev_mode_cv,dev_fits_fp_cap,fits_ext_fp_cap,lift_vs_single_head_anchor,libero_goal__tp,libero_goal__fp,libero_goal__low_prior_tp,libero_goal__low_prior_fp,libero_goal__precision,libero_goal__lift,libero_long__tp,libero_long__fp,libero_long__low_prior_tp,libero_long__low_prior_fp,libero_long__precision,libero_long__lift,libero_object__tp,libero_object__fp,libero_object__low_prior_tp,libero_object__low_prior_fp,libero_object__precision,libero_object__lift,libero_spatial__tp,libero_spatial__fp,libero_spatial__low_prior_tp,libero_spatial__low_prior_fp,libero_spatial__precision,libero_spatial__lift
156,20,0.2765957446808511,0.0013301409949454642,0.8863636363636364,42,12,0.7777777777777778,0.2692307692307692,0.6422757645658748,1.3800359366863932,176,20.0,14,4,0.2857142857142857,26,6,0.23076923076923078,89,21,0.23595505617977527,241,95,0.3941908713692946,25,4,0.16,143,20,0.13986013986013987,23,3,0.13043478260869565,0.13043478260869565,0.2252749095002031,0.3858225938967494,7,primary,per_task,single,partial_query_d1|per_task,1,1,adjacent_query,1,154,17,0.1120689655172413,0.523032875652182,True,True,-0.38403149045739204,38,6,20,6,0.8636363636363636,1.7104315635165452,60,10,22,5,0.8571428571428571,1.890681197955992,6,1,0,0,0.8571428571428571,0.9522568179901402,52,3,0,1,0.9454545454545454,0.9850629573237412
37,12,0.06560283687943262,0.0007980845969672786,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.39168403645985306,1.9278346078158923,49,17.0,14,0,0.0,26,2,0.07692307692307693,89,7,0.07865168539325842,241,25,0.1037344398340249,25,3,0.12,143,0,0.0,23,0,0.0,0.0,0.05418702887862289,0.9016741493222613,7,primary,per_task,single,state_action_alignment|per_task,1,1,token_graph,1,26,5,0.0,1.4253090719151795,True,True,0.16376718067210705,25,2,18,2,0.9259259259259259,2.7909467829866528,10,7,0,6,0.5882352941176471,1.1402507563703828,2,1,1,0,0.6666666666666666,1.4337089426995924,0,2,0,2,0.0,0.0
423,141,0.75,0.009377494014365523,0.75,125,112,0.5274261603375527,0.29550827423167847,0.4634917094950586,1.6181519208122879,564,17.0,14,9,0.6428571428571429,26,21,0.8076923076923077,89,62,0.6966292134831461,241,217,0.9004149377593361,25,24,0.96,143,71,0.4965034965034965,23,17,0.7391304347826086,0.4965034965034965,0.7490325047254339,0.19461818452677868,7,primary,per_task,watch_a1,flow_settling_log_ratio|per_task+expert_load_effective_rank|per_task,2,1,denoising_steps+expert_load,2,378,95,0.4913793103448275,0.1966504644349348,False,False,-0.1459155063314974,97,22,54,20,0.8151260504201681,2.6873418642529168,152,68,41,54,0.6909090909090909,1.731652044332244,36,32,16,25,0.5294117647058824,1.9544598709672696,138,19,14,13,0.8789808917197452,1.15852173579273
434,189,0.7695035460992907,0.012569832402234637,0.6966292134831461,137,156,0.46757679180887374,0.315668202764977,0.4299231924600454,1.6203573701083522,623,17.0,14,9,0.6428571428571429,26,21,0.8076923076923077,89,64,0.7191011235955056,241,224,0.9294605809128631,25,24,0.96,143,71,0.4965034965034965,23,18,0.782608695652174,0.4965034965034965,0.7626033353162128,0.19593183066111378,7,primary,per_task,watch_a1_uncapped,mobility|per_task+flow_settling_log_ratio|per_task+expert_load_effective_rank|per_task+conditional_effective_rank|per_task,4,1,adjacent_query+denoising_steps+expert_load+token_graph,4,395,136,0.5,0.2019582162816686,False,False,-0.14371005703543305,103,23,54,21,0.8174603174603174,2.4807316597042384,157,107,52,89,0.5946969696969697,1.7660092135564285,36,33,17,26,0.5217391304347826,2.0273796324677473,138,26,14,20,0.8414634146341463,1.1532269148613399
191,33,0.33865248226950356,0.002194732641660016,0.8526785714285714,51,22,0.6986301369863014,0.2670157068062827,0.6182649852699095,1.3791474395987773,224,20.0,14,4,0.2857142857142857,26,9,0.34615384615384615,89,24,0.2696629213483146,241,109,0.45228215767634855,25,7,0.28,143,31,0.21678321678321677,23,4,0.17391304347826086,0.17391304347826086,0.28921563873632467,0.2888524883649391,7,primary,per_task,watch_a2,partial_query_d1|per_task+partial_edge_std|per_task,2,1,adjacent_query+token_graph,2,178,25,0.1637931034482758,0.4501310755585591,True,True,-0.384919987545008,52,9,29,7,0.8524590163934426,1.8793756424826529,66,16,22,10,0.8048780487804879,1.7800403369239441,6,1,0,0,0.8571428571428571,0.9522568179901402,67,7,0,5,0.9054054054054054,0.9934173411797876
397,136,0.7039007092198581,0.009044958765629156,0.7448405253283302,116,106,0.5225225225225225,0.29219143576826195,0.4736388180064032,1.572591808381425,533,17.0,14,5,0.35714285714285715,26,17,0.6538461538461539,89,59,0.6629213483146067,241,213,0.8838174273858921,25,22,0.88,143,62,0.43356643356643354,23,16,0.6956521739130435,0.35714285714285715,0.6524209134527125,0.2852286892901252,7,primary,per_task,watch_a3,expert_load_effective_rank|per_task+mobility|per_task,2,1,adjacent_query+expert_load,2,359,68,0.2857142857142857,0.3207505345574027,True,False,-0.1914756187623603,101,11,47,8,0.9017857142857143,2.2100150518594863,135,91,49,72,0.5973451327433629,1.8570829301118776,24,10,7,6,0.7058823529411765,1.6348708682974733,137,24,13,20,0.8509316770186336,1.1476561708811495
397,136,0.7039007092198581,0.009044958765629156,0.7448405253283302,116,106,0.5225225225225225,0.29219143576826195,0.4736388180064032,1.572591808381425,533,17.0,14,5,0.35714285714285715,26,17,0.6538461538461539,89,59,0.6629213483146067,241,213,0.8838174273858921,25,22,0.88,143,62,0.43356643356643354,23,16,0.6956521739130435,0.35714285714285715,0.6524209134527125,0.2852286892901252,7,primary,per_task,watch_a3_free,expert_load_effective_rank|per_task+mobility|per_task,2,1,adjacent_query+expert_load,2,359,68,0.2857142857142857,0.3207505345574027,True,False,-0.1914756187623603,101,11,47,8,0.9017857142857143,2.2100150518594863,135,91,49,72,0.5973451327433629,1.8570829301118776,24,10,7,6,0.7058823529411765,1.6348708682974733,137,24,13,20,0.8509316770186336,1.1476561708811495
370,93,0.6560283687943262,0.006185155626496409,0.7991360691144709,97,69,0.5843373493975904,0.26216216216216215,0.5162688757758398,1.5479067335088585,463,18.0,14,4,0.2857142857142857,26,17,0.6538461538461539,89,56,0.6292134831460674,241,202,0.8381742738589212,25,22,0.88,143,60,0.4195804195804196,23,9,0.391304347826087,0.2857142857142857,0.5854047091388478,0.36079407317585327,7,primary,per_task,watch_a3_prefix,expert_load_effective_rank|per_task,1,1,expert_load,1,322,45,0.2142857142857142,0.4025311141838932,True,False,-0.21616069363492674,95,10,46,7,0.9047619047619048,2.2999941522288956,120,57,32,44,0.6779661016949152,1.762525461177432,18,9,6,5,0.6666666666666666,1.6682426177287843,137,17,13,13,0.8896103896103896,1.1526735820398826
309,95,0.5478723404255319,0.006318169725990955,0.7648514851485149,84,69,0.5490196078431373,0.27184466019417475,0.5411423450473314,1.4134016532777833,404,17.0,14,8,0.5714285714285714,26,11,0.4230769230769231,89,39,0.43820224719101125,241,165,0.6846473029045643,25,20,0.8,143,50,0.34965034965034963,23,14,0.6086956521739131,0.34965034965034963,0.5536715780607618,0.2671844883212871,7,primary,per_task,watch_b,conditional_energy|per_task+flow_settling_log_ratio|per_task,2,1,denoising_steps+token_graph,2,288,66,0.3103448275862069,0.2571937499575024,True,False,-0.35066577386600195,62,17,53,17,0.7848101265822784,4.419589470566759,88,42,13,30,0.676923076923077,1.2962915901638161,32,27,13,20,0.5423728813559322,1.7965068924931857,127,9,5,2,0.9338235294117647,1.0681716420077016
395,114,0.700354609929078,0.007581803671189146,0.7760314341846758,105,87,0.546875,0.26582278481012656,0.4973334821833566,1.5603844542655767,509,18.0,14,4,0.2857142857142857,26,18,0.6923076923076923,89,58,0.651685393258427,241,208,0.8630705394190872,25,23,0.92,143,64,0.44755244755244755,23,17,0.7391304347826086,0.2857142857142857,0.657065827576364,0.31578842128156376,7,primary,per_task,watch_b4,conditional_energy|per_task+conditional_query_d1|per_task+expert_load_effective_rank|per_task+state_action_alignment|per_task,4,1,adjacent_query+expert_load+token_graph,3,352,66,0.2857142857142857,0.2970665489088013,True,False,-0.20368297287820858,95,12,46,10,0.8878504672897196,2.333398654969926,136,70,39,55,0.6601941747572816,1.805030382392019,26,13,7,7,0.6666666666666666,1.5120700323807188,138,19,13,15,0.8789808917197452,1.1510586520235697
291,68,0.5159574468085106,0.004522479382814578,0.8105849582172702,75,49,0.6048387096774194,0.25773195876288657,0.5853751800363176,1.3847272413684848,359,20.0,14,4,0.2857142857142857,26,13,0.5,89,45,0.5056179775280899,241,162,0.6721991701244814,25,12,0.48,143,39,0.2727272727272727,23,13,0.5652173913043478,0.2727272727272727,0.4687822996283539,0.2851580511137412,7,primary,per_task,same_frame_control_size2,conditional_query_d1|per_task+mobility|per_task,2,1,adjacent_query,1,261,46,0.2142857142857142,0.372959459425757,True,True,-0.3793401857753005,81,5,35,4,0.9418604651162791,1.5553293188402606,104,47,38,35,0.6887417218543046,1.925148365244195,17,5,2,3,0.7727272727272727,1.241838231286025,89,11,0,7,0.89,0.9849546220003488
291,68,0.5159574468085106,0.004522479382814578,0.8105849582172702,75,49,0.6048387096774194,0.25773195876288657,0.5853751800363176,1.3847272413684848,359,20.0,14,4,0.2857142857142857,26,13,0.5,89,45,0.5056179775280899,241,162,0.6721991701244814,25,12,0.48,143,39,0.2727272727272727,23,13,0.5652173913043478,0.2727272727272727,0.4687822996283539,0.2851580511137412,7,primary,per_task,same_frame_maxtp_size2,conditional_query_d1|per_task+mobility|per_task,2,1,adjacent_query,1,261,46,0.2142857142857142,0.372959459425757,True,True,-0.3793401857753005,81,5,35,4,0.9418604651162791,1.5553293188402606,104,47,38,35,0.6887417218543046,1.925148365244195,17,5,2,3,0.7727272727272727,1.241838231286025,89,11,0,7,0.89,0.9849546220003488
103,3,0.18262411347517732,0.00019952114924181964,0.9716981132075472,27,0,1.0,0.2621359223300971,0.7495967066912297,1.2962945334921334,106,20.0,14,3,0.21428571428571427,26,1,0.038461538461538464,89,8,0.0898876404494382,241,72,0.2987551867219917,25,3,0.12,143,11,0.07692307692307693,23,3,0.13043478260869565,0.038461538461538464,0.13839256277863649,0.5983236597368553,7,primary,per_task,act_a,flow_settling_log_ratio|per_task+partial_query_d1|per_task,2,2,adjacent_query+denoising_steps,2,112,0,0.0555555555555555,0.5147830989669571,True,True,-0.46777289365165187,27,0,19,0,1.0,2.267980990797847,22,0,8,0,1.0,1.8124962374124065,4,1,0,0,0.8,0.8692000839806846,50,2,0,0,0.9615384615384616,0.9840098279915249
304,41,0.5390070921985816,0.0027267890396382014,0.881159420289855,78,21,0.7878787878787878,0.2565789473684211,0.6288455303542683,1.401233494962495,345,19.0,14,5,0.35714285714285715,26,10,0.38461538461538464,89,44,0.4943820224719101,241,165,0.6846473029045643,25,19,0.76,143,50,0.34965034965034963,23,9,0.391304347826087,0.34965034965034963,0.48882032351587895,0.31785998697886314,7,primary,per_task,act_b,expert_load_effective_rank|per_task+flow_settling_log_ratio|per_task+partial_query_d1|per_task,3,2,adjacent_query+denoising_steps+expert_load,3,259,13,0.1428571428571428,0.4424981587651625,True,True,-0.36283393218129034,66,4,46,3,0.9428571428571428,2.7228307630564728,94,28,26,18,0.7704918032786885,1.5781176524998983,16,4,2,0,0.8,1.2636613761698272,128,5,4,0,0.9624060150375939,1.06236431248442
15,5,0.026595744680851064,0.00033253524873636604,0.75,13,5,0.7222222222222222,0.8666666666666667,0.2247714134348656,3.3367232449127053,20,16.0,14,0,0.0,26,0,0.0,89,1,0.011235955056179775,241,13,0.05394190871369295,25,0,0.0,143,1,0.006993006993006993,23,0,0.0,0.0,0.010310124394697102,1.7736506709434634,7,primary,global,single,action_consensus|global,1,1,token_graph,1,15,6,0.0,1.111750421774263,True,True,1.57265581776892,14,5,13,5,0.7368421052631579,3.496163972028073,1,0,0,0,1.0,2.0364963503649633,0,0,0,0,0.0,,0,0,0,0,0.0,
88,158,0.15602836879432624,0.010508113860069168,0.35772357723577236,46,155,0.22885572139303484,0.5227272727272727,0.18227520306494632,1.962546584618601,246,17.0,14,5,0.35714285714285715,26,4,0.15384615384615385,89,15,0.16853932584269662,241,22,0.0912863070539419,25,2,0.08,143,37,0.25874125874125875,23,3,0.13043478260869565,0.08,0.1771415264622291,0.5167962209318199,7,primary,global,single,conditional_effective_rank|global,1,1,token_graph,1,42,20,0.0,0.8367843343056628,True,False,0.1984791574748157,0,0,0,0,0.0,,86,158,46,155,0.3524590163934426,1.9996735212856465,0,0,0,0,0.0,,2,0,0,0,1.0,1.0912982782689622
33,8,0.05851063829787234,0.0005320563979781857,0.8048780487804879,3,2,0.6,0.09090909090909091,0.547199161584969,1.4709051206313053,41,30.0,14,0,0.0,26,3,0.11538461538461539,89,3,0.033707865168539325,241,16,0.06639004149377593,25,3,0.12,143,6,0.04195804195804196,23,2,0.08695652173913043,0.0,0.06634244082058614,0.6180881841951049,7,primary,global,single,conditional_energy|global,1,1,token_graph,1,26,6,0.0,0.8078617659246006,True,True,-0.29316230651248,9,0,0,0,1.0,1.1330388269983784,24,8,3,2,0.75,1.6560946831493861,0,0,0,0,0.0,,0,0,0,0,0.0,
194,31,0.34397163120567376,0.0020617185421654693,0.8622222222222222,38,10,0.7916666666666666,0.1958762886597938,0.4994217760998185,1.7264409833220637,225,31.0,14,6,0.42857142857142855,26,9,0.34615384615384615,89,24,0.2696629213483146,241,56,0.23236514522821577,25,6,0.24,143,81,0.5664335664335665,23,9,0.391304347826087,0.23236514522821577,0.3534987507944941,0.31545165303880107,7,primary,global,single,conditional_query_d1|global,1,1,adjacent_query,1,178,30,0.1666666666666666,0.355379369427376,True,True,-0.037626443821721534,13,0,0,0,1.0,1.0939289761293425,163,29,38,10,0.8489583333333334,2.0099343368587443,2,0,0,0,1.0,1.033966033966034,16,2,0,0,0.8888888888888888,0.9166609787900719
237,36,0.42021276595744683,0.0023942537909018356,0.8681318681318682,30,22,0.5769230769230769,0.12658227848101267,0.6711226645210323,1.293551706753098,273,17.0,14,3,0.21428571428571427,26,9,0.34615384615384615,89,36,0.4044943820224719,241,108,0.44813278008298757,25,9,0.36,143,65,0.45454545454545453,23,7,0.30434782608695654,0.21428571428571427,0.3617085718824901,0.21715463033136925,7,primary,global,single,expert_load_effective_rank|global,1,1,expert_load,1,214,15,0.0714285714285714,0.4582422159377334,True,True,-0.47051572039068734,0,0,0,0,0.0,,101,18,19,8,0.8487394957983193,1.5473234580159132,0,0,0,0,0.0,,136,18,11,14,0.8831168831168831,1.1531044443073992
59,9,0.10460992907801418,0.0005985634477254589,0.8676470588235294,5,7,0.4166666666666667,0.0847457627118644,0.7899495654019094,1.0983575367651341,68,17.0,14,1,0.07142857142857142,26,0,0.0,89,8,0.0898876404494382,241,39,0.16182572614107885,25,4,0.16,143,7,0.04895104895104895,23,0,0.0,0.0,0.07601328385287677,0.8158206456963046,7,primary,global,single,flow_endpoint|global,1,1,denoising_steps,1,57,3,0.0,1.0736615427558276,True,True,-0.6657098903786511,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,59,9,5,7,0.8676470588235294,1.0983575367651341
50,4,0.08865248226950355,0.00026602819898909286,0.9259259259259259,3,4,0.42857142857142855,0.06,0.7499984373666172,1.2345704734759482,54,18.0,14,1,0.07142857142857142,26,2,0.07692307692307693,89,7,0.07865168539325842,241,24,0.0995850622406639,25,8,0.32,143,7,0.04895104895104895,23,1,0.043478260869565216,0.043478260869565216,0.10557395797231213,0.8455993159799646,7,primary,global,single,flow_path|global,1,1,denoising_steps,1,49,1,0.0,0.7844361361696439,True,True,-0.5294969536678371,2,0,0,0,1.0,1.0141290039491004,9,2,0,2,0.8181818181818182,1.5315721829727464,6,0,1,0,1.0,1.5681733816288497,33,2,2,2,0.9428571428571428,1.1448253393805359
3,2,0.005319148936170213,0.00013301409949454643,0.6,3,2,0.6,1.0,0.13219577022243054,4.538723130024882,5,15.0,14,0,0.0,26,0,0.0,89,0,0.0,241,3,0.012448132780082987,25,0,0.0,143,0,0.0,23,0,0.0,0.0,0.0017783046828689982,2.449489742783178,7,primary,global,single,flow_settling_log_ratio|global,1,1,denoising_steps,1,4,1,0.0,1.5811623342774122,True,True,2.7746557028810965,3,0,3,0,1.0,4.749572934996211,0,0,0,0,0.0,,0,2,0,2,0.0,0.0,0,0,0,0,0.0,
195,17,0.34574468085106386,0.0011306198457036445,0.9198113207547169,36,4,0.9,0.18461538461538463,0.5214150585184776,1.7640674271437853,212,34.0,14,2,0.14285714285714285,26,12,0.46153846153846156,89,27,0.30337078651685395,241,61,0.25311203319502074,25,3,0.12,143,78,0.5454545454545454,23,9,0.391304347826087,0.12,0.3168053310554445,0.46514535903220944,7,primary,global,single,mobility|global,1,1,adjacent_query,1,172,15,0.1111111111111111,0.5476218736918945,True,True,0.0,37,1,14,1,0.9736842105263158,1.5464798007494602,156,16,22,3,0.9069767441860465,1.8422211187945363,2,0,0,0,1.0,1.033966033966034,0,0,0,0,0.0,
99,147,0.17553191489361702,0.009776536312849162,0.4024390243902439,55,143,0.2777777777777778,0.5555555555555556,0.20027358768763975,2.0094463230863724,246,19.0,14,6,0.42857142857142855,26,6,0.23076923076923078,89,12,0.1348314606741573,241,18,0.07468879668049792,25,2,0.08,143,51,0.35664335664335667,23,4,0.17391304347826086,0.07468879668049792,0.21134533097384742,0.5981252107082204,7,primary,global,single,partial_edge_std|global,1,1,token_graph,1,69,40,0.0,1.0862323805216143,True,False,0.2453788959425871,1,0,0,0,1.0,1.0849056603773586,89,146,55,142,0.37872340425531914,2.181840504587911,0,0,0,0,0.0,,9,1,0,1,0.9,1.1913722221041567
