parent,phase,query,label,instantaneous_screen,formal_screen,fp32_screen,formal_all_below,action_rms,gripper_sign_changes,action_rms_vs_joint,actions_exact_native,actions_exact_joint,top4_changed_fraction,top4_change_vs_joint,raw_total_relative,effective_total_relative,block_relative,projection_relative,velocity_relative,raw_to_effective_rms
plus-task03-init039,before_alarm,17,native,False,False,False,True,0.0,0,0.002924697002873564,True,False,0.0,0.705,0.0,0.0,0.0,0.0,0.0,0.0
plus-task03-init039,before_alarm,17,joint,True,True,True,True,0.0029246970028735646,0,0.0,False,True,0.705,0.0,0.08053225472642571,0.08053225472642571,0.010921521065907073,0.010593876919385235,0.013072516670626949,0.0
plus-task03-init039,before_alarm,17,route_only,True,True,True,True,0.0,0,0.002924697002873564,True,False,0.7,0.095,0.07936382342965714,0.0,0.0,0.0,0.0,0.03524575254018209
plus-task03-init039,before_alarm,17,output_only,False,False,False,True,0.0029246970028735646,0,0.0,False,True,0.1325,0.7025,0.03164666610421158,0.08053225472642571,0.010921521065907073,0.010593876919385235,0.013072516670626949,0.035775699653605275
plus-task03-init039,first_accepted,23,native,False,False,False,False,0.0,0,0.0031641374841247945,True,False,0.0,0.4025,0.0,0.0,0.0,0.0,0.0,0.0
plus-task03-init039,first_accepted,23,joint,True,True,True,False,0.003164137484124794,0,0.0,False,True,0.4025,0.0,0.06373461275321098,0.06373461275321098,0.012512862176600007,0.012784214742805956,0.018953987327002413,0.0
plus-task03-init039,first_accepted,23,route_only,True,True,True,False,0.0,0,0.0031641374841247945,True,False,0.3675,0.12,0.05924717142440161,0.0,0.0,0.0,0.0,0.026346686934188457
plus-task03-init039,first_accepted,23,output_only,False,False,False,False,0.003164137484124794,0,0.0,False,True,0.1375,0.36,0.039001763427756374,0.06373461275321098,0.012512862176600007,0.012784214742805956,0.018953987327002413,0.027330885816452617
plus-task03-init039,last_accepted,32,native,False,False,False,True,0.0,0,0.0034915014551051204,True,False,0.0,0.7875,0.0,0.0,0.0,0.0,0.0,0.0
plus-task03-init039,last_accepted,32,joint,True,True,True,True,0.0034915014551051204,0,0.0,False,True,0.7875,0.0,0.09190625581621327,0.09190625581621327,0.012595166510025254,0.011956604603883026,0.013527332119969038,0.0
plus-task03-init039,last_accepted,32,route_only,True,True,True,True,0.0,0,0.0034915014551051204,True,False,0.7875,0.19,0.09109241456882403,0.0,0.0,0.0,0.0,0.041185738050603375
plus-task03-init039,last_accepted,32,output_only,False,False,False,True,0.0034915014551051204,0,0.0,False,True,0.1825,0.7825,0.037773142895837455,0.09190625581621327,0.012595166510025254,0.011956604603883026,0.013527332119969038,0.04090518248204983
