setting,method,budget,checkpoint,available_episodes,retained,coverage,retained_failures,selective_risk,detected_failures,false_alarms
cohort_transfer,entropy_low__mean,0.01,q11,15600,15434,0.9893589743589744,560,0.036283529869120125,4,162
cohort_transfer,entropy_low__mean,0.01,q15,15600,15432,0.9892307692307692,558,0.03615863141524106,6,162
cohort_transfer,entropy_low__mean,0.01,q19,15600,15430,0.9891025641025641,557,0.03609850939727803,7,163
cohort_transfer,entropy_low__mean,0.01,full_rollout,15600,15430,0.9891025641025641,557,0.03609850939727803,7,163
cohort_transfer,margin_low__current,0.01,q0,15600,15599,0.9999358974358974,564,0.03615616385665748,0,1
cohort_transfer,margin_low__current,0.01,q3,15600,15582,0.9988461538461538,563,0.03613143370555769,1,17
cohort_transfer,margin_low__current,0.01,q7,15600,15540,0.9961538461538462,562,0.036164736164736165,2,58
cohort_transfer,margin_low__current,0.01,q11,15600,15462,0.9911538461538462,561,0.036282499029879706,3,135
cohort_transfer,margin_low__current,0.01,q15,15600,15458,0.990897435897436,561,0.03629188769569155,3,139
cohort_transfer,margin_low__current,0.01,q19,15600,15456,0.9907692307692307,560,0.036231884057971016,4,140
cohort_transfer,margin_low__current,0.01,full_rollout,15600,15452,0.9905128205128205,560,0.03624126326689102,4,144
cohort_transfer,margin_low__mean,0.01,q0,15600,15472,0.9917948717948718,560,0.03619441571871768,4,124
cohort_transfer,margin_low__mean,0.01,q3,15600,15441,0.9898076923076923,560,0.03626708114759407,4,155
cohort_transfer,margin_low__mean,0.01,q7,15600,15441,0.9898076923076923,560,0.03626708114759407,4,155
cohort_transfer,margin_low__mean,0.01,q11,15600,15440,0.9897435897435898,560,0.03626943005181347,4,156
cohort_transfer,margin_low__mean,0.01,q15,15600,15440,0.9897435897435898,560,0.03626943005181347,4,156
cohort_transfer,margin_low__mean,0.01,q19,15600,15440,0.9897435897435898,560,0.03626943005181347,4,156
cohort_transfer,margin_low__mean,0.01,full_rollout,15600,15440,0.9897435897435898,560,0.03626943005181347,4,156
cohort_transfer,token_collapse__current,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,token_collapse__current,0.01,q3,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,token_collapse__current,0.01,q7,15600,15597,0.9998076923076923,564,0.036160800153875745,0,3
cohort_transfer,token_collapse__current,0.01,q11,15600,15478,0.9921794871794872,559,0.036115777232200545,5,117
cohort_transfer,token_collapse__current,0.01,q15,15600,15478,0.9921794871794872,559,0.036115777232200545,5,117
cohort_transfer,token_collapse__current,0.01,q19,15600,15467,0.991474358974359,548,0.035430270899334065,16,117
cohort_transfer,token_collapse__current,0.01,full_rollout,15600,15465,0.9913461538461539,546,0.03530552861299709,18,117
cohort_transfer,token_collapse__mean,0.01,q0,15600,15483,0.9925,548,0.03539365755990441,16,101
cohort_transfer,token_collapse__mean,0.01,q3,15600,15483,0.9925,548,0.03539365755990441,16,101
cohort_transfer,token_collapse__mean,0.01,q7,15600,15483,0.9925,548,0.03539365755990441,16,101
cohort_transfer,token_collapse__mean,0.01,q11,15600,15483,0.9925,548,0.03539365755990441,16,101
cohort_transfer,token_collapse__mean,0.01,q15,15600,15483,0.9925,548,0.03539365755990441,16,101
cohort_transfer,token_collapse__mean,0.01,q19,15600,15483,0.9925,548,0.03539365755990441,16,101
cohort_transfer,token_collapse__mean,0.01,full_rollout,15600,15483,0.9925,548,0.03539365755990441,16,101
cohort_transfer,flow_path_high__current,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,flow_path_high__current,0.01,q3,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,flow_path_high__current,0.01,q7,15600,15536,0.9958974358974358,557,0.03585221421215242,7,57
cohort_transfer,flow_path_high__current,0.01,q11,15600,15472,0.9917948717948718,544,0.03516028955532575,20,108
cohort_transfer,flow_path_high__current,0.01,q15,15600,15437,0.9895512820512821,519,0.033620522122174,45,118
cohort_transfer,flow_path_high__current,0.01,q19,15600,15418,0.9883333333333333,500,0.032429627707873915,64,118
cohort_transfer,flow_path_high__current,0.01,full_rollout,15600,15412,0.987948717948718,495,0.032117830262133405,69,119
cohort_transfer,flow_path_high__mean,0.01,q0,15600,15447,0.9901923076923077,561,0.03631773159836862,3,150
cohort_transfer,flow_path_high__mean,0.01,q3,15600,15447,0.9901923076923077,561,0.03631773159836862,3,150
cohort_transfer,flow_path_high__mean,0.01,q7,15600,15429,0.9890384615384615,559,0.03623047507939594,5,166
cohort_transfer,flow_path_high__mean,0.01,q11,15600,15425,0.9887820512820513,555,0.035980551053484605,9,166
cohort_transfer,flow_path_high__mean,0.01,q15,15600,15423,0.9886538461538461,554,0.03592037865525514,10,167
cohort_transfer,flow_path_high__mean,0.01,q19,15600,15416,0.9882051282051282,547,0.03548261546445252,17,167
cohort_transfer,flow_path_high__mean,0.01,full_rollout,15600,15405,0.9875,536,0.03479389808503733,28,167
cohort_transfer,frontback_inversion__current,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,frontback_inversion__current,0.01,q3,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,frontback_inversion__current,0.01,q7,15600,15565,0.9977564102564103,560,0.03597815611949887,4,31
cohort_transfer,frontback_inversion__current,0.01,q11,15600,15515,0.9945512820512821,549,0.03538511118272639,15,70
cohort_transfer,frontback_inversion__current,0.01,q15,15600,15462,0.9911538461538462,520,0.03363083689044108,44,94
cohort_transfer,frontback_inversion__current,0.01,q19,15600,15429,0.9890384615384615,494,0.0320176291399313,70,101
cohort_transfer,frontback_inversion__current,0.01,full_rollout,15600,15394,0.9867948717948718,460,0.029881772119007406,104,102
cohort_transfer,frontback_inversion__mean,0.01,q0,15600,15486,0.9926923076923077,559,0.03609711997933617,5,109
cohort_transfer,frontback_inversion__mean,0.01,q3,15600,15480,0.9923076923076923,559,0.03611111111111111,5,115
cohort_transfer,frontback_inversion__mean,0.01,q7,15600,15478,0.9921794871794872,558,0.03605116940173149,6,116
cohort_transfer,frontback_inversion__mean,0.01,q11,15600,15475,0.9919871794871795,555,0.035864297253634894,9,116
cohort_transfer,frontback_inversion__mean,0.01,q15,15600,15474,0.9919230769230769,554,0.03580199043556934,10,116
cohort_transfer,frontback_inversion__mean,0.01,q19,15600,15474,0.9919230769230769,554,0.03580199043556934,10,116
cohort_transfer,frontback_inversion__mean,0.01,full_rollout,15600,15466,0.9914102564102564,546,0.03530324582956162,18,116
cohort_transfer,entropy_front_low__current,0.01,q0,15600,15597,0.9998076923076923,564,0.036160800153875745,0,3
cohort_transfer,entropy_front_low__current,0.01,q3,15600,15597,0.9998076923076923,564,0.036160800153875745,0,3
cohort_transfer,entropy_front_low__current,0.01,q7,15600,15562,0.9975641025641026,563,0.036177869168487344,1,37
cohort_transfer,entropy_front_low__current,0.01,q11,15600,15447,0.9901923076923077,554,0.03586456917200751,10,143
cohort_transfer,entropy_front_low__current,0.01,q15,15600,15434,0.9893589743589744,546,0.03537644162239212,18,148
cohort_transfer,entropy_front_low__current,0.01,q19,15600,15430,0.9891025641025641,542,0.03512637718729747,22,148
cohort_transfer,entropy_front_low__current,0.01,full_rollout,15600,15428,0.9889743589743589,540,0.03500129634430905,24,148
cohort_transfer,entropy_front_low__mean,0.01,q0,15600,15361,0.9846794871794872,562,0.03658615975522427,2,237
cohort_transfer,entropy_front_low__mean,0.01,q3,15600,15361,0.9846794871794872,562,0.03658615975522427,2,237
cohort_transfer,entropy_front_low__mean,0.01,q7,15600,15361,0.9846794871794872,562,0.03658615975522427,2,237
cohort_transfer,entropy_front_low__mean,0.01,q11,15600,15361,0.9846794871794872,562,0.03658615975522427,2,237
cohort_transfer,entropy_front_low__mean,0.01,q15,15600,15361,0.9846794871794872,562,0.03658615975522427,2,237
cohort_transfer,entropy_front_low__mean,0.01,q19,15600,15361,0.9846794871794872,562,0.03658615975522427,2,237
cohort_transfer,entropy_front_low__mean,0.01,full_rollout,15600,15361,0.9846794871794872,562,0.03658615975522427,2,237
cohort_transfer,entropy_first_flow_low__current,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,entropy_first_flow_low__current,0.01,q3,15600,15588,0.9992307692307693,563,0.036117526302283806,1,11
cohort_transfer,entropy_first_flow_low__current,0.01,q7,15600,15487,0.9927564102564103,560,0.03615935946277523,4,109
cohort_transfer,entropy_first_flow_low__current,0.01,q11,15600,15453,0.990576923076923,552,0.0357212191807416,12,135
cohort_transfer,entropy_first_flow_low__current,0.01,q15,15600,15414,0.9880769230769231,525,0.0340599455040872,39,147
cohort_transfer,entropy_first_flow_low__current,0.01,q19,15600,15401,0.9872435897435897,512,0.0332445945068502,52,147
cohort_transfer,entropy_first_flow_low__current,0.01,full_rollout,15600,15396,0.9869230769230769,507,0.032930631332813716,57,147
cohort_transfer,entropy_first_flow_low__mean,0.01,q0,15600,15537,0.9959615384615385,560,0.03604299414301345,4,59
cohort_transfer,entropy_first_flow_low__mean,0.01,q3,15600,15521,0.9949358974358974,559,0.036015720636556926,5,74
cohort_transfer,entropy_first_flow_low__mean,0.01,q7,15600,15455,0.9907051282051282,554,0.03584600452927855,10,135
cohort_transfer,entropy_first_flow_low__mean,0.01,q11,15600,15439,0.9896794871794872,550,0.03562406891638059,14,147
cohort_transfer,entropy_first_flow_low__mean,0.01,q15,15600,15426,0.9888461538461538,539,0.034941008686632954,25,149
cohort_transfer,entropy_first_flow_low__mean,0.01,q19,15600,15396,0.9869230769230769,511,0.03319043907508444,53,151
cohort_transfer,entropy_first_flow_low__mean,0.01,full_rollout,15600,15384,0.9861538461538462,499,0.03243629745189808,65,151
cohort_transfer,token_front_collapse__current,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,token_front_collapse__current,0.01,q3,15600,15591,0.999423076923077,564,0.03617471618241293,0,9
cohort_transfer,token_front_collapse__current,0.01,q7,15600,15490,0.992948717948718,564,0.03641058747579083,0,110
cohort_transfer,token_front_collapse__current,0.01,q11,15600,15384,0.9861538461538462,564,0.036661466458658344,0,216
cohort_transfer,token_front_collapse__current,0.01,q15,15600,15355,0.9842948717948717,564,0.036730706610224685,0,245
cohort_transfer,token_front_collapse__current,0.01,q19,15600,15355,0.9842948717948717,564,0.036730706610224685,0,245
cohort_transfer,token_front_collapse__current,0.01,full_rollout,15600,15355,0.9842948717948717,564,0.036730706610224685,0,245
cohort_transfer,token_front_collapse__mean,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,token_front_collapse__mean,0.01,q3,15600,15578,0.9985897435897436,564,0.03620490435229169,0,22
cohort_transfer,token_front_collapse__mean,0.01,q7,15600,15557,0.9972435897435897,564,0.03625377643504532,0,43
cohort_transfer,token_front_collapse__mean,0.01,q11,15600,15456,0.9907692307692307,564,0.036490683229813664,0,144
cohort_transfer,token_front_collapse__mean,0.01,q15,15600,15447,0.9901923076923077,564,0.03651194406680909,0,153
cohort_transfer,token_front_collapse__mean,0.01,q19,15600,15447,0.9901923076923077,564,0.03651194406680909,0,153
cohort_transfer,token_front_collapse__mean,0.01,full_rollout,15600,15447,0.9901923076923077,564,0.03651194406680909,0,153
cohort_transfer,freeze__current,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,freeze__current,0.01,q3,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,freeze__current,0.01,q7,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,freeze__current,0.01,q11,15600,15595,0.9996794871794872,560,0.035908945174735495,4,1
cohort_transfer,freeze__current,0.01,q15,15600,15586,0.9991025641025642,551,0.03535223918901578,13,1
cohort_transfer,freeze__current,0.01,q19,15600,15559,0.9973717948717948,526,0.03380679992287422,38,3
cohort_transfer,freeze__current,0.01,full_rollout,15600,15437,0.9895512820512821,408,0.026430005830148345,156,7
cohort_transfer,freeze__mean,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,freeze__mean,0.01,q3,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,freeze__mean,0.01,q7,15600,15592,0.9994871794871795,557,0.035723447922011285,7,1
cohort_transfer,freeze__mean,0.01,q11,15600,15583,0.9989102564102564,548,0.03516652762625939,16,1
cohort_transfer,freeze__mean,0.01,q15,15600,15574,0.9983333333333333,540,0.03467317323744703,24,2
cohort_transfer,freeze__mean,0.01,q19,15600,15549,0.9967307692307692,515,0.03312110103543636,49,2
cohort_transfer,freeze__mean,0.01,full_rollout,15600,15447,0.9901923076923077,423,0.027383958050106818,141,12
cohort_transfer,deviation_global__current,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,deviation_global__current,0.01,q3,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,deviation_global__current,0.01,q7,15600,15496,0.9933333333333333,558,0.036009292720702114,6,98
cohort_transfer,deviation_global__current,0.01,q11,15600,15446,0.9901282051282051,553,0.03580214942379904,11,143
cohort_transfer,deviation_global__current,0.01,q15,15600,15430,0.9891025641025641,548,0.0355152300712897,16,154
cohort_transfer,deviation_global__current,0.01,q19,15600,15423,0.9886538461538461,545,0.03533683459767879,19,158
cohort_transfer,deviation_global__current,0.01,full_rollout,15600,15414,0.9880769230769231,538,0.034903334630855064,26,160
cohort_transfer,deviation_global__mean,0.01,q0,15600,15460,0.9910256410256411,561,0.03628719275549806,3,137
cohort_transfer,deviation_global__mean,0.01,q3,15600,15460,0.9910256410256411,561,0.03628719275549806,3,137
cohort_transfer,deviation_global__mean,0.01,q7,15600,15444,0.99,561,0.03632478632478633,3,153
cohort_transfer,deviation_global__mean,0.01,q11,15600,15441,0.9898076923076923,560,0.03626708114759407,4,155
cohort_transfer,deviation_global__mean,0.01,q15,15600,15438,0.9896153846153846,557,0.03607980308330094,7,155
cohort_transfer,deviation_global__mean,0.01,q19,15600,15438,0.9896153846153846,557,0.03607980308330094,7,155
cohort_transfer,deviation_global__mean,0.01,full_rollout,15600,15438,0.9896153846153846,557,0.03607980308330094,7,155
cohort_transfer,deviation_step__current,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,deviation_step__current,0.01,q3,15600,15597,0.9998076923076923,564,0.036160800153875745,0,3
cohort_transfer,deviation_step__current,0.01,q7,15600,15573,0.9982692307692308,561,0.036023887497591986,3,24
cohort_transfer,deviation_step__current,0.01,q11,15600,15506,0.9939743589743589,556,0.035857087579001676,8,86
cohort_transfer,deviation_step__current,0.01,q15,15600,15484,0.9925641025641025,549,0.03545595453371222,15,101
cohort_transfer,deviation_step__current,0.01,q19,15600,15453,0.990576923076923,529,0.0342328350482107,35,112
cohort_transfer,deviation_step__current,0.01,full_rollout,15600,15415,0.9881410256410257,501,0.032500810898475514,63,122
cohort_transfer,deviation_step__mean,0.01,q0,15600,15596,0.9997435897435898,564,0.036163118748397026,0,4
cohort_transfer,deviation_step__mean,0.01,q3,15600,15503,0.9937820512820513,558,0.03599303360639876,6,91
cohort_transfer,deviation_step__mean,0.01,q7,15600,15470,0.9916666666666667,557,0.03600517129928894,7,123
cohort_transfer,deviation_step__mean,0.01,q11,15600,15461,0.9910897435897436,555,0.035896772524416275,9,130
cohort_transfer,deviation_step__mean,0.01,q15,15600,15460,0.9910256410256411,554,0.035834411384217335,10,130
cohort_transfer,deviation_step__mean,0.01,q19,15600,15449,0.9903205128205128,544,0.03521263512201437,20,131
cohort_transfer,deviation_step__mean,0.01,full_rollout,15600,15440,0.9897435897435898,535,0.03465025906735751,29,131
cohort_transfer,clock,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,clock,0.01,q3,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,clock,0.01,q7,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,clock,0.01,q11,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,clock,0.01,q15,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,clock,0.01,q19,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,clock,0.01,full_rollout,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,random,0.01,q0,15600,15586,0.9991025641025642,563,0.03612216091364045,1,13
cohort_transfer,random,0.01,q3,15600,15545,0.996474358974359,561,0.036088774525570924,3,52
cohort_transfer,random,0.01,q7,15600,15498,0.9934615384615385,561,0.03619821912504839,3,99
cohort_transfer,random,0.01,q11,15600,15448,0.9902564102564102,557,0.03605644743656137,7,145
cohort_transfer,random,0.01,q15,15600,15426,0.9888461538461538,556,0.03604304421107222,8,166
cohort_transfer,random,0.01,q19,15600,15414,0.9880769230769231,555,0.03600622810432075,9,177
cohort_transfer,random,0.01,full_rollout,15600,15400,0.9871794871794872,548,0.03558441558441559,16,184
cohort_transfer,v7_unlabeled_budget,0.01,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,v7_unlabeled_budget,0.01,q3,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,v7_unlabeled_budget,0.01,q7,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,v7_unlabeled_budget,0.01,q11,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,v7_unlabeled_budget,0.01,q15,15600,15598,0.9998717948717949,562,0.03603026028978074,2,0
cohort_transfer,v7_unlabeled_budget,0.01,q19,15600,15569,0.9980128205128205,534,0.034298927355642626,30,1
cohort_transfer,v7_unlabeled_budget,0.01,full_rollout,15600,15411,0.9878846153846154,389,0.025241710466549865,175,14
cohort_transfer,entropy_high__current,0.03,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,entropy_high__current,0.03,q3,15600,15576,0.9984615384615385,564,0.0362095531587057,0,24
cohort_transfer,entropy_high__current,0.03,q7,15600,15496,0.9933333333333333,564,0.03639648941662364,0,104
cohort_transfer,entropy_high__current,0.03,q11,15600,15237,0.9767307692307692,564,0.0370151604646584,0,363
cohort_transfer,entropy_high__current,0.03,q15,15600,15234,0.9765384615384616,564,0.037022449783379284,0,366
cohort_transfer,entropy_high__current,0.03,q19,15600,15233,0.976474358974359,564,0.03702488019431498,0,367
cohort_transfer,entropy_high__current,0.03,full_rollout,15600,15233,0.976474358974359,564,0.03702488019431498,0,367
cohort_transfer,entropy_high__mean,0.03,q0,15600,15553,0.9969871794871795,564,0.03626310036648878,0,47
cohort_transfer,entropy_high__mean,0.03,q3,15600,15260,0.9782051282051282,564,0.03695937090432503,0,340
cohort_transfer,entropy_high__mean,0.03,q7,15600,15258,0.9780769230769231,564,0.0369642154935116,0,342
cohort_transfer,entropy_high__mean,0.03,q11,15600,15148,0.971025641025641,564,0.03723263797200951,0,452
cohort_transfer,entropy_high__mean,0.03,q15,15600,15148,0.971025641025641,564,0.03723263797200951,0,452
cohort_transfer,entropy_high__mean,0.03,q19,15600,15148,0.971025641025641,564,0.03723263797200951,0,452
cohort_transfer,entropy_high__mean,0.03,full_rollout,15600,15148,0.971025641025641,564,0.03723263797200951,0,452
cohort_transfer,entropy_low__current,0.03,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,entropy_low__current,0.03,q3,15600,15587,0.9991666666666666,563,0.036119843459293,1,12
cohort_transfer,entropy_low__current,0.03,q7,15600,15265,0.978525641025641,549,0.03596462495905667,15,320
cohort_transfer,entropy_low__current,0.03,q11,15600,15131,0.9699358974358975,530,0.03502742713634261,34,435
cohort_transfer,entropy_low__current,0.03,q15,15600,15103,0.9681410256410257,518,0.034297821624842746,46,451
cohort_transfer,entropy_low__current,0.03,q19,15600,15090,0.9673076923076923,508,0.03366467859509609,56,454
cohort_transfer,entropy_low__current,0.03,full_rollout,15600,15083,0.9668589743589744,502,0.033282503480739904,62,455
cohort_transfer,entropy_low__mean,0.03,q0,15600,15244,0.9771794871794872,555,0.03640776699029126,9,347
cohort_transfer,entropy_low__mean,0.03,q3,15600,15233,0.976474358974359,555,0.03643405763802272,9,358
cohort_transfer,entropy_low__mean,0.03,q7,15600,15175,0.9727564102564102,549,0.03617792421746293,15,410
cohort_transfer,entropy_low__mean,0.03,q11,15600,15148,0.971025641025641,544,0.03591233166094534,20,432
cohort_transfer,entropy_low__mean,0.03,q15,15600,15146,0.9708974358974359,542,0.03578502574937277,22,432
cohort_transfer,entropy_low__mean,0.03,q19,15600,15142,0.9706410256410256,538,0.03553031303658698,26,432
cohort_transfer,entropy_low__mean,0.03,full_rollout,15600,15132,0.97,528,0.034892942109436956,36,432
cohort_transfer,margin_low__current,0.03,q0,15600,15596,0.9997435897435898,564,0.036163118748397026,0,4
cohort_transfer,margin_low__current,0.03,q3,15600,15536,0.9958974358974358,563,0.0362384140061792,1,63
cohort_transfer,margin_low__current,0.03,q7,15600,15426,0.9888461538461538,560,0.036302346687410864,4,170
cohort_transfer,margin_low__current,0.03,q11,15600,15190,0.9737179487179487,555,0.03653719552337064,9,401
cohort_transfer,margin_low__current,0.03,q15,15600,15179,0.9730128205128206,555,0.03656367349627775,9,412
cohort_transfer,margin_low__current,0.03,q19,15600,15175,0.9727564102564102,554,0.036507413509060956,10,415
cohort_transfer,margin_low__current,0.03,full_rollout,15600,15165,0.9721153846153846,550,0.03626772172766238,14,421
cohort_transfer,margin_low__mean,0.03,q0,15600,15295,0.9804487179487179,556,0.036351748937561296,8,297
cohort_transfer,margin_low__mean,0.03,q3,15600,15135,0.9701923076923077,552,0.03647175421209118,12,453
cohort_transfer,margin_low__mean,0.03,q7,15600,15133,0.9700641025641026,552,0.036476574373884886,12,455
cohort_transfer,margin_low__mean,0.03,q11,15600,15128,0.9697435897435898,552,0.03648863035430989,12,460
cohort_transfer,margin_low__mean,0.03,q15,15600,15128,0.9697435897435898,552,0.03648863035430989,12,460
cohort_transfer,margin_low__mean,0.03,q19,15600,15128,0.9697435897435898,552,0.03648863035430989,12,460
cohort_transfer,margin_low__mean,0.03,full_rollout,15600,15128,0.9697435897435898,552,0.03648863035430989,12,460
cohort_transfer,token_collapse__current,0.03,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,token_collapse__current,0.03,q3,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,token_collapse__current,0.03,q7,15600,15566,0.9978205128205129,564,0.036232815109854814,0,34
cohort_transfer,token_collapse__current,0.03,q11,15600,15216,0.9753846153846154,552,0.03627760252365931,12,372
cohort_transfer,token_collapse__current,0.03,q15,15600,15200,0.9743589743589743,552,0.03631578947368421,12,388
cohort_transfer,token_collapse__current,0.03,q19,15600,15173,0.9726282051282051,526,0.034666842417452055,38,389
cohort_transfer,token_collapse__current,0.03,full_rollout,15600,15171,0.9725,524,0.034539582097422715,40,389
cohort_transfer,token_collapse__mean,0.03,q0,15600,15229,0.9762179487179488,513,0.033685731170792564,51,320
cohort_transfer,token_collapse__mean,0.03,q3,15600,15229,0.9762179487179488,513,0.033685731170792564,51,320
cohort_transfer,token_collapse__mean,0.03,q7,15600,15229,0.9762179487179488,513,0.033685731170792564,51,320
cohort_transfer,token_collapse__mean,0.03,q11,15600,15191,0.9737820512820513,513,0.03376999539200842,51,358
cohort_transfer,token_collapse__mean,0.03,q15,15600,15191,0.9737820512820513,513,0.03376999539200842,51,358
cohort_transfer,token_collapse__mean,0.03,q19,15600,15191,0.9737820512820513,513,0.03376999539200842,51,358
cohort_transfer,token_collapse__mean,0.03,full_rollout,15600,15191,0.9737820512820513,513,0.03376999539200842,51,358
cohort_transfer,flow_path_high__current,0.03,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,flow_path_high__current,0.03,q3,15600,15592,0.9994871794871795,563,0.036108260646485375,1,7
cohort_transfer,flow_path_high__current,0.03,q7,15600,15394,0.9867948717948718,548,0.035598285046121864,16,190
cohort_transfer,flow_path_high__current,0.03,q11,15600,15210,0.975,518,0.03405654174884944,46,344
cohort_transfer,flow_path_high__current,0.03,q15,15600,15119,0.9691666666666666,461,0.030491434618691714,103,378
cohort_transfer,flow_path_high__current,0.03,q19,15600,15100,0.967948717948718,447,0.029602649006622517,117,383
cohort_transfer,flow_path_high__current,0.03,full_rollout,15600,15090,0.9673076923076923,443,0.029357190192180253,121,389
cohort_transfer,flow_path_high__mean,0.03,q0,15600,15199,0.9742948717948718,554,0.0364497664320021,10,391
cohort_transfer,flow_path_high__mean,0.03,q3,15600,15196,0.9741025641025641,553,0.03639115556725454,11,393
cohort_transfer,flow_path_high__mean,0.03,q7,15600,15138,0.9703846153846154,545,0.03600211388558594,19,443
cohort_transfer,flow_path_high__mean,0.03,q11,15600,15130,0.9698717948717949,542,0.03582286847323199,22,448
cohort_transfer,flow_path_high__mean,0.03,q15,15600,15122,0.9693589743589743,535,0.035378918132522155,29,449
cohort_transfer,flow_path_high__mean,0.03,q19,15600,15093,0.9675,507,0.03359173126614987,57,450
cohort_transfer,flow_path_high__mean,0.03,full_rollout,15600,15080,0.9666666666666667,494,0.032758620689655175,70,450
cohort_transfer,frontback_inversion__current,0.03,q0,15600,15600,1.0,564,0.036153846153846154,0,0
cohort_transfer,frontback_inversion__current,0.03,q3,15600,15598,0.9998717948717949,563,0.03609437107321452,1,1
