setting,fold,method,budget,episodes,alarms,actual_rate
state_heldout,1,entropy_high__current,0.01,12800,127,0.009921875
state_heldout,1,entropy_high__current,0.03,12800,384,0.03
state_heldout,1,entropy_high__current,0.05,12800,640,0.05
state_heldout,1,entropy_high__current,0.1,12800,1278,0.09984375
state_heldout,1,entropy_high__mean,0.01,12800,128,0.01
state_heldout,1,entropy_high__mean,0.03,12800,384,0.03
state_heldout,1,entropy_high__mean,0.05,12800,640,0.05
state_heldout,1,entropy_high__mean,0.1,12800,1279,0.099921875
state_heldout,1,entropy_low__current,0.01,12800,128,0.01
state_heldout,1,entropy_low__current,0.03,12800,384,0.03
state_heldout,1,entropy_low__current,0.05,12800,640,0.05
state_heldout,1,entropy_low__current,0.1,12800,1280,0.1
state_heldout,1,entropy_low__mean,0.01,12800,128,0.01
state_heldout,1,entropy_low__mean,0.03,12800,384,0.03
state_heldout,1,entropy_low__mean,0.05,12800,640,0.05
state_heldout,1,entropy_low__mean,0.1,12800,1280,0.1
state_heldout,1,margin_low__current,0.01,12800,128,0.01
state_heldout,1,margin_low__current,0.03,12800,384,0.03
state_heldout,1,margin_low__current,0.05,12800,640,0.05
state_heldout,1,margin_low__current,0.1,12800,1280,0.1
state_heldout,1,margin_low__mean,0.01,12800,128,0.01
state_heldout,1,margin_low__mean,0.03,12800,384,0.03
state_heldout,1,margin_low__mean,0.05,12800,640,0.05
state_heldout,1,margin_low__mean,0.1,12800,1280,0.1
state_heldout,1,token_collapse__current,0.01,12800,128,0.01
state_heldout,1,token_collapse__current,0.03,12800,384,0.03
state_heldout,1,token_collapse__current,0.05,12800,640,0.05
state_heldout,1,token_collapse__current,0.1,12800,1280,0.1
state_heldout,1,token_collapse__mean,0.01,12800,128,0.01
state_heldout,1,token_collapse__mean,0.03,12800,384,0.03
state_heldout,1,token_collapse__mean,0.05,12800,640,0.05
state_heldout,1,token_collapse__mean,0.1,12800,1280,0.1
state_heldout,1,flow_path_high__current,0.01,12800,128,0.01
state_heldout,1,flow_path_high__current,0.03,12800,384,0.03
state_heldout,1,flow_path_high__current,0.05,12800,640,0.05
state_heldout,1,flow_path_high__current,0.1,12800,1280,0.1
state_heldout,1,flow_path_high__mean,0.01,12800,128,0.01
state_heldout,1,flow_path_high__mean,0.03,12800,384,0.03
state_heldout,1,flow_path_high__mean,0.05,12800,640,0.05
state_heldout,1,flow_path_high__mean,0.1,12800,1280,0.1
state_heldout,1,frontback_inversion__current,0.01,12800,128,0.01
state_heldout,1,frontback_inversion__current,0.03,12800,384,0.03
state_heldout,1,frontback_inversion__current,0.05,12800,640,0.05
state_heldout,1,frontback_inversion__current,0.1,12800,1280,0.1
state_heldout,1,frontback_inversion__mean,0.01,12800,128,0.01
state_heldout,1,frontback_inversion__mean,0.03,12800,384,0.03
state_heldout,1,frontback_inversion__mean,0.05,12800,640,0.05
state_heldout,1,frontback_inversion__mean,0.1,12800,1280,0.1
state_heldout,1,entropy_front_low__current,0.01,12800,128,0.01
state_heldout,1,entropy_front_low__current,0.03,12800,384,0.03
state_heldout,1,entropy_front_low__current,0.05,12800,640,0.05
state_heldout,1,entropy_front_low__current,0.1,12800,1280,0.1
state_heldout,1,entropy_front_low__mean,0.01,12800,128,0.01
state_heldout,1,entropy_front_low__mean,0.03,12800,384,0.03
state_heldout,1,entropy_front_low__mean,0.05,12800,640,0.05
state_heldout,1,entropy_front_low__mean,0.1,12800,1280,0.1
state_heldout,1,entropy_first_flow_low__current,0.01,12800,128,0.01
state_heldout,1,entropy_first_flow_low__current,0.03,12800,384,0.03
state_heldout,1,entropy_first_flow_low__current,0.05,12800,640,0.05
state_heldout,1,entropy_first_flow_low__current,0.1,12800,1280,0.1
state_heldout,1,entropy_first_flow_low__mean,0.01,12800,128,0.01
state_heldout,1,entropy_first_flow_low__mean,0.03,12800,383,0.029921875
state_heldout,1,entropy_first_flow_low__mean,0.05,12800,640,0.05
state_heldout,1,entropy_first_flow_low__mean,0.1,12800,1279,0.099921875
state_heldout,1,token_front_collapse__current,0.01,12800,128,0.01
state_heldout,1,token_front_collapse__current,0.03,12800,384,0.03
state_heldout,1,token_front_collapse__current,0.05,12800,640,0.05
state_heldout,1,token_front_collapse__current,0.1,12800,1280,0.1
state_heldout,1,token_front_collapse__mean,0.01,12800,128,0.01
state_heldout,1,token_front_collapse__mean,0.03,12800,384,0.03
state_heldout,1,token_front_collapse__mean,0.05,12800,640,0.05
state_heldout,1,token_front_collapse__mean,0.1,12800,1280,0.1
state_heldout,1,freeze__current,0.01,12800,128,0.01
state_heldout,1,freeze__current,0.03,12800,384,0.03
state_heldout,1,freeze__current,0.05,12800,640,0.05
state_heldout,1,freeze__current,0.1,12800,1280,0.1
state_heldout,1,freeze__mean,0.01,12800,128,0.01
state_heldout,1,freeze__mean,0.03,12800,384,0.03
state_heldout,1,freeze__mean,0.05,12800,640,0.05
state_heldout,1,freeze__mean,0.1,12800,1280,0.1
state_heldout,1,deviation_global__current,0.01,12800,128,0.01
state_heldout,1,deviation_global__current,0.03,12800,384,0.03
state_heldout,1,deviation_global__current,0.05,12800,640,0.05
state_heldout,1,deviation_global__current,0.1,12800,1280,0.1
state_heldout,1,deviation_global__mean,0.01,12800,128,0.01
state_heldout,1,deviation_global__mean,0.03,12800,384,0.03
state_heldout,1,deviation_global__mean,0.05,12800,640,0.05
state_heldout,1,deviation_global__mean,0.1,12800,1280,0.1
state_heldout,1,deviation_step__current,0.01,12800,128,0.01
state_heldout,1,deviation_step__current,0.03,12800,384,0.03
state_heldout,1,deviation_step__current,0.05,12800,640,0.05
state_heldout,1,deviation_step__current,0.1,12800,1280,0.1
state_heldout,1,deviation_step__mean,0.01,12800,128,0.01
state_heldout,1,deviation_step__mean,0.03,12800,384,0.03
state_heldout,1,deviation_step__mean,0.05,12800,640,0.05
state_heldout,1,deviation_step__mean,0.1,12800,1280,0.1
state_heldout,1,clock,0.01,12800,0,0.0
state_heldout,1,clock,0.03,12800,377,0.029453125
state_heldout,1,clock,0.05,12800,620,0.0484375
state_heldout,1,clock,0.1,12800,1247,0.097421875
state_heldout,1,random,0.01,12800,128,0.01
state_heldout,1,random,0.03,12800,384,0.03
state_heldout,1,random,0.05,12800,640,0.05
state_heldout,1,random,0.1,12800,1280,0.1
state_heldout,1,v7_unlabeled_budget,0.01,12800,127,0.009921875
state_heldout,1,v7_unlabeled_budget,0.03,12800,384,0.03
state_heldout,1,v7_unlabeled_budget,0.05,12800,640,0.05
state_heldout,1,v7_unlabeled_budget,0.1,12800,1279,0.099921875
state_heldout,2,entropy_high__current,0.01,12800,128,0.01
state_heldout,2,entropy_high__current,0.03,12800,384,0.03
state_heldout,2,entropy_high__current,0.05,12800,640,0.05
state_heldout,2,entropy_high__current,0.1,12800,1280,0.1
state_heldout,2,entropy_high__mean,0.01,12800,128,0.01
state_heldout,2,entropy_high__mean,0.03,12800,384,0.03
state_heldout,2,entropy_high__mean,0.05,12800,640,0.05
state_heldout,2,entropy_high__mean,0.1,12800,1280,0.1
state_heldout,2,entropy_low__current,0.01,12800,128,0.01
state_heldout,2,entropy_low__current,0.03,12800,384,0.03
state_heldout,2,entropy_low__current,0.05,12800,640,0.05
state_heldout,2,entropy_low__current,0.1,12800,1280,0.1
state_heldout,2,entropy_low__mean,0.01,12800,128,0.01
state_heldout,2,entropy_low__mean,0.03,12800,384,0.03
state_heldout,2,entropy_low__mean,0.05,12800,640,0.05
state_heldout,2,entropy_low__mean,0.1,12800,1280,0.1
state_heldout,2,margin_low__current,0.01,12800,128,0.01
state_heldout,2,margin_low__current,0.03,12800,384,0.03
state_heldout,2,margin_low__current,0.05,12800,640,0.05
state_heldout,2,margin_low__current,0.1,12800,1280,0.1
state_heldout,2,margin_low__mean,0.01,12800,128,0.01
state_heldout,2,margin_low__mean,0.03,12800,384,0.03
state_heldout,2,margin_low__mean,0.05,12800,640,0.05
state_heldout,2,margin_low__mean,0.1,12800,1280,0.1
state_heldout,2,token_collapse__current,0.01,12800,128,0.01
state_heldout,2,token_collapse__current,0.03,12800,384,0.03
state_heldout,2,token_collapse__current,0.05,12800,640,0.05
state_heldout,2,token_collapse__current,0.1,12800,1280,0.1
state_heldout,2,token_collapse__mean,0.01,12800,128,0.01
state_heldout,2,token_collapse__mean,0.03,12800,384,0.03
state_heldout,2,token_collapse__mean,0.05,12800,640,0.05
state_heldout,2,token_collapse__mean,0.1,12800,1280,0.1
state_heldout,2,flow_path_high__current,0.01,12800,128,0.01
state_heldout,2,flow_path_high__current,0.03,12800,384,0.03
state_heldout,2,flow_path_high__current,0.05,12800,640,0.05
state_heldout,2,flow_path_high__current,0.1,12800,1280,0.1
state_heldout,2,flow_path_high__mean,0.01,12800,128,0.01
state_heldout,2,flow_path_high__mean,0.03,12800,384,0.03
state_heldout,2,flow_path_high__mean,0.05,12800,640,0.05
state_heldout,2,flow_path_high__mean,0.1,12800,1280,0.1
state_heldout,2,frontback_inversion__current,0.01,12800,128,0.01
state_heldout,2,frontback_inversion__current,0.03,12800,384,0.03
state_heldout,2,frontback_inversion__current,0.05,12800,640,0.05
state_heldout,2,frontback_inversion__current,0.1,12800,1280,0.1
state_heldout,2,frontback_inversion__mean,0.01,12800,128,0.01
state_heldout,2,frontback_inversion__mean,0.03,12800,384,0.03
state_heldout,2,frontback_inversion__mean,0.05,12800,640,0.05
state_heldout,2,frontback_inversion__mean,0.1,12800,1280,0.1
state_heldout,2,entropy_front_low__current,0.01,12800,128,0.01
state_heldout,2,entropy_front_low__current,0.03,12800,384,0.03
state_heldout,2,entropy_front_low__current,0.05,12800,640,0.05
state_heldout,2,entropy_front_low__current,0.1,12800,1280,0.1
state_heldout,2,entropy_front_low__mean,0.01,12800,128,0.01
state_heldout,2,entropy_front_low__mean,0.03,12800,384,0.03
state_heldout,2,entropy_front_low__mean,0.05,12800,640,0.05
state_heldout,2,entropy_front_low__mean,0.1,12800,1280,0.1
state_heldout,2,entropy_first_flow_low__current,0.01,12800,127,0.009921875
state_heldout,2,entropy_first_flow_low__current,0.03,12800,384,0.03
state_heldout,2,entropy_first_flow_low__current,0.05,12800,640,0.05
state_heldout,2,entropy_first_flow_low__current,0.1,12800,1280,0.1
state_heldout,2,entropy_first_flow_low__mean,0.01,12800,128,0.01
state_heldout,2,entropy_first_flow_low__mean,0.03,12800,384,0.03
state_heldout,2,entropy_first_flow_low__mean,0.05,12800,640,0.05
state_heldout,2,entropy_first_flow_low__mean,0.1,12800,1280,0.1
state_heldout,2,token_front_collapse__current,0.01,12800,128,0.01
state_heldout,2,token_front_collapse__current,0.03,12800,384,0.03
state_heldout,2,token_front_collapse__current,0.05,12800,640,0.05
state_heldout,2,token_front_collapse__current,0.1,12800,1280,0.1
state_heldout,2,token_front_collapse__mean,0.01,12800,128,0.01
state_heldout,2,token_front_collapse__mean,0.03,12800,384,0.03
state_heldout,2,token_front_collapse__mean,0.05,12800,640,0.05
state_heldout,2,token_front_collapse__mean,0.1,12800,1280,0.1
state_heldout,2,freeze__current,0.01,12800,128,0.01
state_heldout,2,freeze__current,0.03,12800,384,0.03
state_heldout,2,freeze__current,0.05,12800,640,0.05
state_heldout,2,freeze__current,0.1,12800,1280,0.1
state_heldout,2,freeze__mean,0.01,12800,128,0.01
state_heldout,2,freeze__mean,0.03,12800,384,0.03
state_heldout,2,freeze__mean,0.05,12800,640,0.05
state_heldout,2,freeze__mean,0.1,12800,1280,0.1
state_heldout,2,deviation_global__current,0.01,12800,128,0.01
state_heldout,2,deviation_global__current,0.03,12800,384,0.03
state_heldout,2,deviation_global__current,0.05,12800,640,0.05
state_heldout,2,deviation_global__current,0.1,12800,1280,0.1
state_heldout,2,deviation_global__mean,0.01,12800,128,0.01
state_heldout,2,deviation_global__mean,0.03,12800,384,0.03
state_heldout,2,deviation_global__mean,0.05,12800,640,0.05
state_heldout,2,deviation_global__mean,0.1,12800,1280,0.1
state_heldout,2,deviation_step__current,0.01,12800,128,0.01
state_heldout,2,deviation_step__current,0.03,12800,384,0.03
state_heldout,2,deviation_step__current,0.05,12800,640,0.05
state_heldout,2,deviation_step__current,0.1,12800,1280,0.1
state_heldout,2,deviation_step__mean,0.01,12800,128,0.01
state_heldout,2,deviation_step__mean,0.03,12800,384,0.03
state_heldout,2,deviation_step__mean,0.05,12800,640,0.05
state_heldout,2,deviation_step__mean,0.1,12800,1280,0.1
state_heldout,2,clock,0.01,12800,0,0.0
state_heldout,2,clock,0.03,12800,376,0.029375
state_heldout,2,clock,0.05,12800,618,0.04828125
state_heldout,2,clock,0.1,12800,951,0.074296875
state_heldout,2,random,0.01,12800,128,0.01
state_heldout,2,random,0.03,12800,384,0.03
state_heldout,2,random,0.05,12800,640,0.05
state_heldout,2,random,0.1,12800,1280,0.1
state_heldout,2,v7_unlabeled_budget,0.01,12800,128,0.01
state_heldout,2,v7_unlabeled_budget,0.03,12800,384,0.03
state_heldout,2,v7_unlabeled_budget,0.05,12800,640,0.05
state_heldout,2,v7_unlabeled_budget,0.1,12800,1279,0.099921875
state_heldout,3,entropy_high__current,0.01,12800,128,0.01
state_heldout,3,entropy_high__current,0.03,12800,384,0.03
state_heldout,3,entropy_high__current,0.05,12800,640,0.05
state_heldout,3,entropy_high__current,0.1,12800,1280,0.1
state_heldout,3,entropy_high__mean,0.01,12800,127,0.009921875
state_heldout,3,entropy_high__mean,0.03,12800,384,0.03
state_heldout,3,entropy_high__mean,0.05,12800,640,0.05
state_heldout,3,entropy_high__mean,0.1,12800,1280,0.1
state_heldout,3,entropy_low__current,0.01,12800,128,0.01
state_heldout,3,entropy_low__current,0.03,12800,384,0.03
state_heldout,3,entropy_low__current,0.05,12800,640,0.05
state_heldout,3,entropy_low__current,0.1,12800,1280,0.1
state_heldout,3,entropy_low__mean,0.01,12800,128,0.01
state_heldout,3,entropy_low__mean,0.03,12800,384,0.03
state_heldout,3,entropy_low__mean,0.05,12800,640,0.05
state_heldout,3,entropy_low__mean,0.1,12800,1280,0.1
state_heldout,3,margin_low__current,0.01,12800,128,0.01
state_heldout,3,margin_low__current,0.03,12800,384,0.03
state_heldout,3,margin_low__current,0.05,12800,640,0.05
state_heldout,3,margin_low__current,0.1,12800,1280,0.1
state_heldout,3,margin_low__mean,0.01,12800,128,0.01
state_heldout,3,margin_low__mean,0.03,12800,384,0.03
