setting,method,checkpoint,eligible_episodes,scored_episodes,overall_coverage,eligible_score_coverage,scored_failures,scored_successes,failure_coverage,auc,ap,task_macro_auc,task_macro_ap,macro_tasks
state_heldout,deviation_step__current,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.5465841200975814,0.04260201365568031,0.5438304387934715,0.12490818399218862,36
state_heldout,deviation_step__current,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.7063495601101093,0.14704567005452931,0.900304169977286,0.5020035915091691,36
state_heldout,deviation_step__mean,q0,15600,15600,1.0,1.0,564,15036,1.0,0.5228570815385863,0.038698716938754534,0.4728739909220702,0.05834596212530853,36
state_heldout,deviation_step__mean,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5073124737037729,0.03615623714190793,0.4890589485657347,0.05322955244895752,36
state_heldout,deviation_step__mean,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.6004677357088557,0.04499790228453965,0.5979115538090565,0.12332592929958983,36
state_heldout,deviation_step__mean,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.6659698935438052,0.11385295640266282,0.599951255123537,0.3097820111628487,32
state_heldout,deviation_step__mean,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.7064737934613389,0.4126045509474999,0.523470012002793,0.4357020907197155,29
state_heldout,deviation_step__mean,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.7710879360275247,0.5420606391327645,0.6253512750524358,0.5534016296194132,25
state_heldout,deviation_step__mean,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.6133378001543341,0.04618112216490511,0.7103198401501456,0.31526079930303513,36
state_heldout,deviation_step__mean,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.577764193359106,0.04185317384154941,0.5707595487894065,0.1330769606350476,36
state_heldout,deviation_step__mean,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.6519510385476747,0.08264837282337625,0.8324001679561657,0.44108249983058273,36
state_heldout,deviation_step__max,q0,15600,15600,1.0,1.0,564,15036,1.0,0.5228570815385863,0.038698716938754534,0.4728739909220702,0.05834596212530853,36
state_heldout,deviation_step__max,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5117538828796704,0.03682873166813299,0.48495758997249605,0.05786563012291003,36
state_heldout,deviation_step__max,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.5816619136226479,0.04319301025176106,0.5587800559662914,0.1018662600526272,36
state_heldout,deviation_step__max,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.5846946296346657,0.07784547058510909,0.5654902184006013,0.24847431391446595,32
state_heldout,deviation_step__max,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.6221550612508059,0.2512490330933809,0.5824587460411782,0.4601276142729328,29
state_heldout,deviation_step__max,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.6284843013008728,0.32302224641924854,0.622134292678758,0.5828432563071931,25
state_heldout,deviation_step__max,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.7090977516843736,0.08279505753609252,0.8239336578328164,0.413553194400535,36
state_heldout,clock,q0,15600,15600,1.0,1.0,564,15036,1.0,0.5,0.036153846153846154,0.5,0.03916666666666667,36
state_heldout,clock,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5,0.036153846153846154,0.5,0.03916666666666667,36
state_heldout,clock,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.5,0.03647416413373861,0.5,0.03920453242078874,36
state_heldout,clock,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.5,0.052538425710293435,0.5,0.1501021433028745,32
state_heldout,clock,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.5,0.11115490737091052,0.5,0.31391299748470625,29
state_heldout,clock,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.5,0.13779623747862205,0.5,0.4259630439735702,25
state_heldout,clock,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.9413768657350019,0.6394575347464744,0.9997419140299049,0.977158259315122,36
state_heldout,clock,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.6513624983255317,0.14478271364708645,0.5,0.03916666666666667,36
state_heldout,clock,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.943968989790932,0.655897321040497,0.9998534713703778,0.9775213675213676,36
state_heldout,random,q0,15600,15600,1.0,1.0,564,15036,1.0,0.5159809129484038,0.03898107867667285,0.535573006509101,0.05534904304241229,36
state_heldout,random,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5151004020610582,0.03818207100297048,0.5613138124655922,0.055247780700532136,36
state_heldout,random,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.490497482100517,0.035584971289646695,0.4365153838907548,0.04862415699667608,36
state_heldout,random,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.5091877476708567,0.05826421392696097,0.5340263775954773,0.2080821467267573,32
state_heldout,random,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.49561769747291284,0.11130002668796787,0.49915359609323257,0.35890155908900145,29
state_heldout,random,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.4808858314793936,0.13307652246252746,0.5156135160544905,0.4605844944756788,25
state_heldout,random,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.4906912535211002,0.03473636578899345,0.4429818889876944,0.04627730550337686,36
state_heldout,random,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.5568908260835932,0.04429790841778019,0.4704195238085892,0.04507431059723004,36
state_heldout,random,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.6953592701393724,0.06668812509467964,0.678458659336973,0.08492280632375565,36
task_heldout,entropy_high__current,q0,15600,15600,1.0,1.0,564,15036,1.0,0.5559956341187768,0.04304993150138409,0.46803025096048156,0.04753835361376385,36
task_heldout,entropy_high__current,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5658051291557472,0.04317880471026972,0.48780655544272794,0.04697140128164877,36
task_heldout,entropy_high__current,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.5496537798957425,0.04422949939163007,0.3478093732986662,0.04463685277113575,36
task_heldout,entropy_high__current,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.428243176434739,0.04217438029930142,0.41762346267768174,0.16756181153518457,32
task_heldout,entropy_high__current,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.43770561085688225,0.10293139073120258,0.44167962815161316,0.364667338043293,29
task_heldout,entropy_high__current,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.45545369773045624,0.24717446978624924,0.3803729363347784,0.4531552261700177,25
task_heldout,entropy_high__current,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.5765071629507621,0.05342036808888462,0.4308935297109364,0.14905112752390784,36
task_heldout,entropy_high__current,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.4473718159160332,0.029889832815963597,0.31336158605991227,0.04728349599160882,36
task_heldout,entropy_high__current,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.44935287697233495,0.02995613014696274,0.3647763179600098,0.09075115070868428,36
task_heldout,entropy_high__mean,q0,15600,15600,1.0,1.0,564,15036,1.0,0.5559956341187768,0.04304993150138409,0.46803025096048156,0.04753835361376385,36
task_heldout,entropy_high__mean,q3,15600,15600,1.0,1.0,564,15036,1.0,0.535546131365102,0.03714747279252602,0.42324901149141936,0.0460601588720639,36
task_heldout,entropy_high__mean,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.5737007433979814,0.04548876058306119,0.36139062662129323,0.07717980279905565,36
task_heldout,entropy_high__mean,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.5637596218144899,0.07267540530561592,0.32987620848556687,0.16289762042900235,32
task_heldout,entropy_high__mean,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.504001548961331,0.13012710475992403,0.37087503703896185,0.347862715167177,29
task_heldout,entropy_high__mean,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.5393168357821415,0.23430804845716294,0.3432512166133368,0.44590760791914585,25
task_heldout,entropy_high__mean,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.531929928455395,0.03818540510655366,0.2829861094445367,0.12686051030522108,36
task_heldout,entropy_high__mean,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.5520000816008482,0.03988942533708931,0.37209065965485,0.04564785167072069,36
task_heldout,entropy_high__mean,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.5519955416692609,0.03988616369071279,0.37274386350013156,0.045661738534018774,36
task_heldout,entropy_high__max,q0,15600,15600,1.0,1.0,564,15036,1.0,0.5559956341187768,0.04304993150138409,0.46803025096048156,0.04753835361376385,36
task_heldout,entropy_high__max,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5407152267182874,0.038282326975136886,0.42891459279774463,0.05368937253102979,36
task_heldout,entropy_high__max,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.5416180532845509,0.03959010583283247,0.4018719164787532,0.04981165550940858,36
task_heldout,entropy_high__max,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.39123915443086343,0.039732237249823645,0.33459031125663624,0.15394489190013777,32
task_heldout,entropy_high__max,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.4672557830510607,0.11173351772808567,0.3340494974314054,0.31397069718862,29
task_heldout,entropy_high__max,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.5312042167330869,0.21836425779432245,0.4043695589473193,0.4500949219744683,25
task_heldout,entropy_high__max,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.6057787551012322,0.04988814290591969,0.5650872101144295,0.16628493396395128,36
task_heldout,entropy_low__current,q0,15600,15600,1.0,1.0,564,15036,1.0,0.4440043658812231,0.03212869638002033,0.5319697490395184,0.06113511466175666,36
task_heldout,entropy_low__current,q3,15600,15600,1.0,1.0,564,15036,1.0,0.43419487084425273,0.03325568029798774,0.5121934445572721,0.0662812148252337,36
task_heldout,entropy_low__current,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.45034622010425757,0.035260828003868455,0.6521906267013339,0.13620100771765933,36
task_heldout,entropy_low__current,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.571756823565261,0.07194313101075735,0.5823765373223183,0.23059781133081733,32
task_heldout,entropy_low__current,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.5622943891431177,0.2541558890196759,0.5583203718483868,0.459159315614991,29
task_heldout,entropy_low__current,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.5445463022695437,0.3974521937778928,0.6196270636652216,0.5026325427092958,25
task_heldout,entropy_low__current,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.42349283704923785,0.03495872457750055,0.5691064702890638,0.14690465279515927,36
task_heldout,entropy_low__current,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.43553633218809135,0.036090900417726494,0.5106586533274012,0.11571773230984883,36
task_heldout,entropy_low__current,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.5183201569189029,0.05765795546288603,0.7810506321347425,0.26074960211462156,36
task_heldout,entropy_low__mean,q0,15600,15600,1.0,1.0,564,15036,1.0,0.4440043658812231,0.03212869638002033,0.5319697490395184,0.06113511466175666,36
task_heldout,entropy_low__mean,q3,15600,15600,1.0,1.0,564,15036,1.0,0.464453868634898,0.03466672195803898,0.5767509885085808,0.0626461558044597,36
task_heldout,entropy_low__mean,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.4262992566020186,0.03425716256561548,0.6386093733787067,0.1466662463005367,36
task_heldout,entropy_low__mean,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.43624037818551004,0.09862802165871344,0.670123791514433,0.31371391374191815,32
task_heldout,entropy_low__mean,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.495998451038669,0.3597531652734175,0.6291249629610384,0.48091546281520475,29
task_heldout,entropy_low__mean,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.4606831642178585,0.3966158240855656,0.656748783386663,0.62001146447076,25
task_heldout,entropy_low__mean,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.468070071544605,0.036721095072122234,0.7170138905554633,0.3208907031206301,36
task_heldout,entropy_low__mean,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.46024729773838297,0.03368251591427808,0.5879126316944611,0.09492275710289742,36
task_heldout,entropy_low__mean,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.5074399455491219,0.04213151626845968,0.7644678364413039,0.32203953555521636,36
task_heldout,entropy_low__max,q0,15600,15600,1.0,1.0,564,15036,1.0,0.4440043658812231,0.03212869638002033,0.5319697490395184,0.06113511466175666,36
task_heldout,entropy_low__max,q3,15600,15600,1.0,1.0,564,15036,1.0,0.45939538252402273,0.03384247926147095,0.5275405394368238,0.05958601044865128,36
task_heldout,entropy_low__max,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.4102083461263286,0.032593879338927,0.5054749638692304,0.09711614440534257,36
task_heldout,entropy_low__max,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.41897802889734476,0.0592469024934685,0.5205984255919924,0.2289829252782035,32
task_heldout,entropy_low__max,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.4723217515057162,0.28341824157553663,0.44770699882677756,0.3902223071704216,29
task_heldout,entropy_low__max,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.46166590298418975,0.36960952477049136,0.5016678575951532,0.5352563059740665,25
task_heldout,entropy_low__max,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.504303796184665,0.049577525262293594,0.7571508874557888,0.2579826242503895,36
task_heldout,margin_low__current,q0,15600,15600,1.0,1.0,564,15036,1.0,0.5532156630234011,0.04122768614767475,0.4676726020604429,0.048551899931245465,36
task_heldout,margin_low__current,q3,15600,15600,1.0,1.0,564,15036,1.0,0.5202969728443697,0.037874734607428774,0.5043081152448121,0.05993066936762173,36
task_heldout,margin_low__current,q7,15463,15463,0.9912179487179488,1.0,564,14899,1.0,0.5267273042743122,0.04083922421881105,0.3836373131626509,0.04486499673768414,36
task_heldout,margin_low__current,q11,10735,10735,0.6881410256410256,1.0,564,10171,1.0,0.44247098027976917,0.04348906082422646,0.4303717920682951,0.1686748283316314,32
task_heldout,margin_low__current,q15,5074,5074,0.3252564102564103,1.0,564,4510,1.0,0.42786007453884983,0.10355493851033365,0.47797544302572037,0.3765587521353012,29
task_heldout,margin_low__current,q19,4093,4093,0.26237179487179485,1.0,564,3529,1.0,0.4095679365902381,0.1365601355504299,0.3708358020198342,0.4436278961440226,25
task_heldout,margin_low__current,retrospective_half,15600,15600,1.0,1.0,564,15036,1.0,0.520439066807039,0.04506987710844047,0.3652574022081956,0.06528869607039904,36
task_heldout,margin_low__current,safe_task_min_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.5125455997803853,0.03842442650555243,0.3445079346129297,0.04506121432349925,36
task_heldout,margin_low__current,full_rollout_prefixmax,15600,15600,1.0,1.0,564,15036,1.0,0.5326033712942366,0.0408839085959904,0.42355301438442317,0.05192837562474164,36
