setting,method,scope,events,detected,median_delay_detected,within2_fraction_all_events,recall_before0,recall_before2,recall_before4
task_heldout,entropy_first_flow_low__mean,all_observed_releases_in_failures,397,58,3.0,0.0327455919395466,0.05289672544080604,0.037783375314861464,0.037783375314861464
task_heldout,entropy_first_flow_low__mean,drop_related_primary_reason,208,58,3.0,0.0625,0.10096153846153846,0.07211538461538461,0.07211538461538461
task_heldout,token_front_collapse__current,all_observed_releases_in_failures,397,1,-13.0,0.0,0.0025188916876574307,0.0025188916876574307,0.0025188916876574307
task_heldout,token_front_collapse__current,drop_related_primary_reason,208,1,-13.0,0.0,0.004807692307692308,0.004807692307692308,0.004807692307692308
task_heldout,token_front_collapse__mean,all_observed_releases_in_failures,397,1,-11.0,0.0,0.0025188916876574307,0.0025188916876574307,0.0025188916876574307
task_heldout,token_front_collapse__mean,drop_related_primary_reason,208,1,-11.0,0.0,0.004807692307692308,0.004807692307692308,0.004807692307692308
task_heldout,freeze__current,all_observed_releases_in_failures,397,273,11.0,0.0025188916876574307,0.060453400503778336,0.060453400503778336,0.060453400503778336
task_heldout,freeze__current,drop_related_primary_reason,208,127,9.0,0.004807692307692308,0.02403846153846154,0.02403846153846154,0.02403846153846154
task_heldout,freeze__mean,all_observed_releases_in_failures,397,207,9.0,0.0025188916876574307,0.19395465994962216,0.19395465994962216,0.19143576826196473
task_heldout,freeze__mean,drop_related_primary_reason,208,74,9.0,0.004807692307692308,0.038461538461538464,0.038461538461538464,0.03365384615384615
task_heldout,deviation_global__current,all_observed_releases_in_failures,397,46,1.0,0.04030226700251889,0.055415617128463476,0.027707808564231738,0.022670025188916875
task_heldout,deviation_global__current,drop_related_primary_reason,208,43,1.0,0.07692307692307693,0.09615384615384616,0.04326923076923077,0.03365384615384615
task_heldout,deviation_global__mean,all_observed_releases_in_failures,397,21,-2.0,0.012594458438287154,0.03526448362720403,0.030226700251889168,0.02518891687657431
