episode,init_state_id,flow_noise_seed,physical_type,pot2_anchor_query,prospective_cut_query,physical_onset_query
265,26,1009,success,20,28,29
266,26,1010,stagnation_core,20,28,31
267,26,1011,success,19,27,29
268,26,1012,stagnation_core,21,29,30
269,26,1013,stagnation_core,20,28,30
270,26,1014,stagnation_core,21,29,31
272,26,1016,success,19,27,29
273,26,1017,stagnation_core,20,28,30
275,26,1019,stagnation_core,21,29,30
276,26,1020,success,20,28,30
277,26,1021,stagnation_core,19,27,29
278,26,1022,stagnation_core,20,28,30
279,26,1023,success,19,27,28
282,26,1026,stagnation_core,19,27,29
283,26,1027,stagnation_core,21,29,31
285,26,1029,success,20,28,30
288,29,1000,success,19,27,28
289,29,1001,success,19,27,28
290,29,1002,success,19,27,28
291,29,1003,stagnation_core,19,27,29
292,29,1004,success,19,27,28
294,29,1006,success,18,26,28
295,29,1007,success,19,27,29
296,29,1008,success,19,27,29
297,29,1009,success,20,28,29
298,29,1010,success,18,26,28
299,29,1011,success,19,27,28
300,29,1012,success,19,27,29
301,29,1013,success,19,27,29
302,29,1014,success,19,27,29
303,29,1015,success,19,27,29
304,29,1016,success,19,27,29
305,29,1017,success,19,27,29
306,29,1018,success,19,27,29
307,29,1019,success,19,27,28
308,29,1020,success,19,27,29
309,29,1021,success,19,27,28
310,29,1022,success,19,27,29
311,29,1023,success,19,27,29
312,29,1024,success,19,27,29
313,29,1025,success,19,27,28
315,29,1027,stagnation_core,19,27,29
316,29,1028,success,19,27,29
317,29,1029,success,19,27,29
318,29,1030,success,19,27,29
319,29,1031,success,19,27,29
320,33,1000,success,18,26,28
321,33,1001,success,18,26,28
322,33,1002,success,18,26,28
323,33,1003,success,18,26,28
324,33,1004,success,18,26,28
325,33,1005,success,18,26,28
326,33,1006,success,19,27,28
327,33,1007,success,19,27,28
328,33,1008,success,18,26,28
329,33,1009,success,18,26,28
330,33,1010,success,19,27,28
331,33,1011,success,19,27,28
332,33,1012,success,18,26,28
333,33,1013,success,18,26,28
334,33,1014,success,18,26,28
335,33,1015,success,19,27,28
336,33,1016,success,19,27,28
337,33,1017,success,18,26,28
338,33,1018,success,19,27,28
339,33,1019,success,19,27,28
340,33,1020,success,19,27,28
341,33,1021,success,18,26,28
342,33,1022,success,18,26,28
343,33,1023,success,18,26,28
344,33,1024,success,19,27,28
345,33,1025,success,18,26,28
346,33,1026,success,18,26,28
347,33,1027,success,18,26,28
348,33,1028,success,19,27,28
349,33,1029,success,19,27,28
350,33,1030,success,19,27,28
351,33,1031,success,18,26,28
352,36,1000,success,17,25,27
353,36,1001,success,18,26,28
354,36,1002,success,18,26,28
355,36,1003,success,17,25,27
356,36,1004,success,17,25,27
357,36,1005,success,17,25,27
358,36,1006,success,18,26,28
359,36,1007,success,17,25,28
360,36,1008,success,18,26,28
361,36,1009,success,18,26,27
362,36,1010,success,17,25,28
363,36,1011,success,18,26,28
364,36,1012,success,17,25,28
365,36,1013,success,18,26,28
366,36,1014,success,18,26,28
367,36,1015,success,17,25,28
368,36,1016,success,17,25,28
369,36,1017,success,18,26,28
370,36,1018,success,18,26,28
371,36,1019,success,17,25,27
372,36,1020,success,17,25,28
373,36,1021,success,18,26,28
374,36,1022,success,18,26,28
375,36,1023,success,18,26,27
376,36,1024,success,17,25,27
377,36,1025,success,17,25,27
378,36,1026,success,18,26,28
379,36,1027,success,17,25,28
380,36,1028,success,17,25,27
381,36,1029,success,19,27,29
382,36,1030,success,18,26,28
383,36,1031,success,17,25,28
385,39,1001,success,19,27,28
386,39,1002,stagnation_core,18,26,28
387,39,1003,stagnation_core,19,27,29
388,39,1004,stagnation_core,19,27,29
389,39,1005,active_return,19,27,43
390,39,1006,stagnation_core,19,27,28
391,39,1007,active_return,19,27,39
392,39,1008,stagnation_core,19,27,30
393,39,1009,stagnation_core,19,27,28
394,39,1010,active_return,19,27,41
395,39,1011,stagnation_core,19,27,30
396,39,1012,stagnation_core,20,28,29
397,39,1013,success,19,27,28
398,39,1014,success,18,26,28
399,39,1015,active_return,20,28,41
400,39,1016,stagnation_core,18,26,28
401,39,1017,stagnation_core,18,26,28
402,39,1018,success,19,27,28
403,39,1019,stagnation_core,18,26,28
405,39,1021,active_return,19,27,41
406,39,1022,stagnation_core,19,27,28
407,39,1023,stagnation_core,18,26,28
408,39,1024,active_return,19,27,43
409,39,1025,active_return,19,27,38
410,39,1026,active_return,19,27,47
411,39,1027,active_return,19,27,40
412,39,1028,active_return,19,27,41
413,39,1029,stagnation_core,19,27,29
414,39,1030,active_return,19,27,42
415,39,1031,stagnation_core,19,27,29
417,42,1001,success,18,26,28
418,42,1002,success,18,26,28
419,42,1003,success,19,27,29
420,42,1004,success,19,27,28
421,42,1005,success,18,26,27
422,42,1006,stagnation_core,18,26,27
423,42,1007,stagnation_core,18,26,28
424,42,1008,success,18,26,28
426,42,1010,success,18,26,28
427,42,1011,stagnation_core,18,26,28
428,42,1012,stagnation_core,20,28,29
429,42,1013,success,18,26,27
433,42,1017,active_return,19,27,40
435,42,1019,active_return,19,27,51
437,42,1021,success,18,26,27
438,42,1022,success,18,26,27
440,42,1024,success,18,26,27
444,42,1028,stagnation_core,18,26,27
445,42,1029,success,19,27,28
446,42,1030,success,18,26,27
447,42,1031,success,18,26,27
448,46,1000,success,17,25,27
449,46,1001,success,18,26,28
450,46,1002,success,18,26,28
451,46,1003,success,18,26,29
452,46,1004,success,18,26,28
453,46,1005,success,18,26,28
454,46,1006,success,19,27,28
455,46,1007,success,18,26,28
456,46,1008,success,18,26,28
457,46,1009,success,18,26,28
458,46,1010,success,19,27,28
459,46,1011,success,18,26,28
460,46,1012,success,18,26,28
461,46,1013,success,18,26,28
462,46,1014,success,18,26,28
464,46,1016,success,18,26,28
465,46,1017,success,18,26,28
466,46,1018,success,18,26,28
467,46,1019,success,17,25,27
468,46,1020,success,18,26,28
469,46,1021,success,18,26,28
470,46,1022,success,18,26,28
471,46,1023,success,18,26,28
472,46,1024,success,18,26,28
473,46,1025,success,19,27,28
474,46,1026,success,18,26,28
475,46,1027,success,18,26,28
476,46,1028,success,18,26,28
477,46,1029,success,19,27,28
478,46,1030,success,18,26,28
479,46,1031,success,19,27,28
480,49,1000,stagnation_core,16,24,26
481,49,1001,stagnation_core,16,24,26
482,49,1002,stagnation_core,17,25,26
483,49,1003,stagnation_core,16,24,26
484,49,1004,stagnation_core,16,24,25
485,49,1005,stagnation_core,16,24,26
486,49,1006,stagnation_core,16,24,26
487,49,1007,stagnation_core,16,24,25
488,49,1008,stagnation_core,17,25,26
489,49,1009,stagnation_core,16,24,26
490,49,1010,stagnation_core,16,24,26
491,49,1011,stagnation_core,16,24,25
493,49,1013,stagnation_core,16,24,26
494,49,1014,stagnation_core,16,24,25
495,49,1015,stagnation_core,16,24,26
496,49,1016,stagnation_core,16,24,25
497,49,1017,stagnation_core,16,24,26
498,49,1018,stagnation_core,16,24,25
499,49,1019,stagnation_core,16,24,25
500,49,1020,stagnation_core,16,24,26
501,49,1021,stagnation_core,16,24,26
502,49,1022,stagnation_core,16,24,26
503,49,1023,stagnation_core,16,24,25
504,49,1024,stagnation_core,16,24,26
505,49,1025,stagnation_core,16,24,26
506,49,1026,stagnation_core,16,24,26
507,49,1027,stagnation_core,16,24,25
508,49,1028,stagnation_core,16,24,25
509,49,1029,stagnation_core,16,24,26
510,49,1030,stagnation_core,16,24,25
511,49,1031,stagnation_core,16,24,25
