run_role,episode_index,init_state_id,failure_family,window,feature,score
preliminary_gpu4,4,7,success,around5,front_route_acceleration,0.012990913636558878
preliminary_gpu4,4,7,success,around5,back_route_acceleration,0.007856016023314172
preliminary_gpu4,4,7,success,around5,front_chunk_jump_h,0.04582199640572071
preliminary_gpu4,4,7,success,around5,back_chunk_jump_h,0.04569625575095415
preliminary_gpu4,4,7,success,around5,layer5_state_action_gap,0.7036871314048767
preliminary_gpu4,5,20,success,pre5,frozen_conjunction_margin,-0.07725218115480702
preliminary_gpu4,5,20,success,pre5,layer5_gap_log_ratio,0.03157922385970609
preliminary_gpu4,5,20,success,pre5,back_jump_log_ratio,-0.02775758073832351
preliminary_gpu4,5,20,success,pre5,nominal_action_log_margin,0.2811630538551863
preliminary_gpu4,5,20,success,pre5,phase_match_distance,0.04025117627211979
preliminary_gpu4,5,20,success,pre5,front_late_flow_wj,0.03636646270751953
preliminary_gpu4,5,20,success,pre5,back_late_flow_wj,0.03142718970775604
preliminary_gpu4,5,20,success,pre5,front_route_acceleration,0.013028787314263546
preliminary_gpu4,5,20,success,pre5,back_route_acceleration,0.008493623649042345
preliminary_gpu4,5,20,success,pre5,front_chunk_jump_h,0.044004615396261215
preliminary_gpu4,5,20,success,pre5,back_chunk_jump_h,0.034092471934854984
preliminary_gpu4,5,20,success,pre5,layer5_state_action_gap,0.24297206103801727
preliminary_gpu4,5,20,success,at,frozen_conjunction_margin,-0.2742340007011389
preliminary_gpu4,5,20,success,at,layer5_gap_log_ratio,-0.2742340007011389
preliminary_gpu4,5,20,success,at,back_jump_log_ratio,-0.022196813790055753
preliminary_gpu4,5,20,success,at,nominal_action_log_margin,0.3418014254343377
preliminary_gpu4,5,20,success,at,phase_match_distance,0.04129905626177788
preliminary_gpu4,5,20,success,at,front_late_flow_wj,0.0357697494328022
preliminary_gpu4,5,20,success,at,back_late_flow_wj,0.029505662620067596
preliminary_gpu4,5,20,success,at,front_route_acceleration,0.012852316704115727
preliminary_gpu4,5,20,success,at,back_route_acceleration,0.00774451263164444
preliminary_gpu4,5,20,success,at,front_chunk_jump_h,0.05134690832346678
preliminary_gpu4,5,20,success,at,back_chunk_jump_h,0.03843232803046703
preliminary_gpu4,5,20,success,at,layer5_state_action_gap,0.3832036554813385
preliminary_gpu4,5,20,success,post5,frozen_conjunction_margin,-0.002309205951176082
preliminary_gpu4,5,20,success,post5,layer5_gap_log_ratio,0.03602056926857102
preliminary_gpu4,5,20,success,post5,back_jump_log_ratio,0.08463982865397832
preliminary_gpu4,5,20,success,post5,nominal_action_log_margin,0.22104578725639853
preliminary_gpu4,5,20,success,post5,phase_match_distance,0.0394685050206525
preliminary_gpu4,5,20,success,post5,front_late_flow_wj,0.03053634613752365
preliminary_gpu4,5,20,success,post5,back_late_flow_wj,0.02651582472026348
