scope,window,feature,target_episodes,success_episodes,auc_target_higher,p_one_sided,p_maxT
gpu5_extended,around5,back_jump_log_ratio,5,10,0.7,0.10717856428714258,0.9388122375524895
gpu5_extended,around5,nominal_action_log_margin,5,10,0.28,0.9152169566086783,1.0
gpu5_extended,around5,phase_match_distance,5,10,0.76,0.05338932213557288,0.7516496700659868
gpu5_extended,around5,front_late_flow_wj,5,10,0.72,0.10497900419916016,0.9388122375524895
gpu5_extended,around5,back_late_flow_wj,5,10,0.82,0.01779644071185763,0.45650869826034796
gpu5_extended,around5,front_route_acceleration,5,10,0.82,0.01739652069586083,0.45650869826034796
gpu5_extended,around5,back_route_acceleration,5,10,0.9,0.003799240151969606,0.124375124975005
gpu5_extended,around5,front_chunk_jump_h,5,10,0.5,0.53249350129974,1.0
gpu5_extended,around5,back_chunk_jump_h,5,10,0.78,0.03419316136772645,0.6660667866426715
gpu5_extended,around5,layer5_state_action_gap,5,10,0.52,0.4225154969006199,1.0
all_online_runs,pre5,frozen_conjunction_margin,9,18,0.4074074074074074,0.7606478704259149,1.0
all_online_runs,pre5,layer5_gap_log_ratio,9,18,0.4382716049382716,0.6962607478504299,1.0
all_online_runs,pre5,back_jump_log_ratio,9,18,0.5185185185185185,0.4293141371725655,1.0
all_online_runs,pre5,nominal_action_log_margin,9,18,0.20987654320987653,0.9924015196960608,1.0
all_online_runs,pre5,phase_match_distance,9,18,0.7469135802469136,0.015796840631873626,0.39392121575684863
all_online_runs,pre5,front_late_flow_wj,9,18,0.7839506172839507,0.008198360327934412,0.22435512897420515
all_online_runs,pre5,back_late_flow_wj,9,18,0.7283950617283951,0.02979404119176165,0.506498700259948
all_online_runs,pre5,front_route_acceleration,9,18,0.691358024691358,0.059988002399520096,0.7804439112177565
all_online_runs,pre5,back_route_acceleration,9,18,0.8024691358024691,0.006798640271945611,0.13097380523895222
all_online_runs,pre5,front_chunk_jump_h,9,18,0.25925925925925924,0.9784043191361728,1.0
all_online_runs,pre5,back_chunk_jump_h,9,18,0.2037037037037037,0.99500099980004,1.0
all_online_runs,pre5,layer5_state_action_gap,9,18,0.2037037037037037,0.9948010397920416,1.0
all_online_runs,at,frozen_conjunction_margin,9,18,0.22839506172839505,0.9884023195360928,1.0
all_online_runs,at,layer5_gap_log_ratio,9,18,0.35802469135802467,0.8740251949610078,1.0
all_online_runs,at,back_jump_log_ratio,9,18,0.12345679012345678,0.9996000799840032,1.0
all_online_runs,at,nominal_action_log_margin,9,18,0.2037037037037037,0.9956008798240352,1.0
all_online_runs,at,phase_match_distance,9,18,0.8024691358024691,0.00639872025594881,0.13097380523895222
all_online_runs,at,front_late_flow_wj,9,18,0.6666666666666666,0.07958408318336332,0.8914217156568687
all_online_runs,at,back_late_flow_wj,9,18,0.9259259259259259,0.0001999600079984003,0.0021995600879824036
all_online_runs,at,front_route_acceleration,9,18,0.7530864197530864,0.014997000599880024,0.39392121575684863
all_online_runs,at,back_route_acceleration,9,18,0.9444444444444444,0.0001999600079984003,0.0011997600479904018
all_online_runs,at,front_chunk_jump_h,9,18,0.4691358024691358,0.5934813037392521,1.0
all_online_runs,at,back_chunk_jump_h,9,18,0.12962962962962962,0.9996000799840032,1.0
all_online_runs,at,layer5_state_action_gap,9,18,0.42592592592592593,0.7410517896420716,1.0
all_online_runs,post5,frozen_conjunction_margin,9,18,0.654320987654321,0.10517896420715857,0.9328134373125375
all_online_runs,post5,layer5_gap_log_ratio,9,18,0.845679012345679,0.001999600079984003,0.03779244151169766
all_online_runs,post5,back_jump_log_ratio,9,18,0.7469135802469136,0.015796840631873626,0.39392121575684863
all_online_runs,post5,nominal_action_log_margin,9,18,0.345679012345679,0.9110177964407119,1.0
all_online_runs,post5,phase_match_distance,9,18,0.8395061728395061,0.001999600079984003,0.04799040191961608
all_online_runs,post5,front_late_flow_wj,9,18,0.7345679012345679,0.023195360927814438,0.47070585882823435
all_online_runs,post5,back_late_flow_wj,9,18,0.8950617283950617,0.0001999600079984003,0.009598080383923215
all_online_runs,post5,front_route_acceleration,9,18,0.8024691358024691,0.002999400119976005,0.13097380523895222
all_online_runs,post5,back_route_acceleration,9,18,0.9444444444444444,0.0001999600079984003,0.0011997600479904018
all_online_runs,post5,front_chunk_jump_h,9,18,0.7222222222222222,0.033193361327734455,0.5468906218756249
all_online_runs,post5,back_chunk_jump_h,9,18,0.6481481481481481,0.10777844431113777,0.9328134373125375
all_online_runs,post5,layer5_state_action_gap,9,18,0.5617283950617284,0.3183363327334533,1.0
all_online_runs,around5,frozen_conjunction_margin,9,18,0.6481481481481481,0.10537892421515697,0.9328134373125375
all_online_runs,around5,layer5_gap_log_ratio,9,18,0.8024691358024691,0.005598880223955209,0.13097380523895222
all_online_runs,around5,back_jump_log_ratio,9,18,0.6234567901234568,0.13897220555888823,0.979004199160168
all_online_runs,around5,nominal_action_log_margin,9,18,0.2777777777777778,0.9702059588082383,1.0
all_online_runs,around5,phase_match_distance,9,18,0.7407407407407407,0.020795840831833633,0.4295140971805639
all_online_runs,around5,front_late_flow_wj,9,18,0.7962962962962963,0.00639872025594881,0.17136572685462909
all_online_runs,around5,back_late_flow_wj,9,18,0.8641975308641975,0.0007998400319936012,0.024795040991801638
all_online_runs,around5,front_route_acceleration,9,18,0.845679012345679,0.0007998400319936012,0.03779244151169766
all_online_runs,around5,back_route_acceleration,9,18,0.9197530864197531,0.0001999600079984003,0.002599480103979204
all_online_runs,around5,front_chunk_jump_h,9,18,0.5493827160493827,0.3333333333333333,1.0
all_online_runs,around5,back_chunk_jump_h,9,18,0.6419753086419753,0.11777644471105779,0.9464107178564287
all_online_runs,around5,layer5_state_action_gap,9,18,0.5617283950617284,0.3183363327334533,1.0
