representation,direction,width,confirmations,quantile,structure,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
L2,low,1,1,0.95,or_l5,203,587,0.41683778234086244,0.04101166771466499,0.2569620253164557,65,559,0.10416666666666667,0.32019704433497537,0.18729516630032308,1.3719629309836194
L2,low,1,1,0.96,single,167,451,0.34291581108829566,0.031509816250960665,0.2702265372168285,47,430,0.09853249475890985,0.281437125748503,0.20706218755596364,1.3050501417299725
L2,low,1,1,0.96,or_l5,186,456,0.38193018480492813,0.031859149025361556,0.2897196261682243,59,433,0.11991869918699187,0.3172043010752688,0.20902473276225755,1.3860542833356864
L2,low,1,1,0.975,single,129,256,0.2648870636550308,0.017885838049325788,0.33506493506493507,32,244,0.11594202898550725,0.24806201550387597,0.2576446370136394,1.300492565840589
L2,low,1,1,0.975,or_l5,149,261,0.3059548254620123,0.018235170823726683,0.36341463414634145,44,247,0.15120274914089346,0.2953020134228188,0.25949770815966716,1.4004541185494206
L2,low,1,1,0.98,single,108,205,0.22176591375770022,0.014322643750436665,0.3450479233226837,27,195,0.12162162162162163,0.25,0.2635670761702203,1.3091465305015577
L2,low,1,1,0.98,or_l5,128,210,0.26283367556468173,0.01467197652483756,0.378698224852071,39,198,0.16455696202531644,0.3046875,0.2653768341316311,1.4270206594756145
L2,low,1,1,0.99,single,73,91,0.14989733059548255,0.006357856494096276,0.4451219512195122,14,87,0.13861386138613863,0.1917808219178082,0.34542668161125173,1.2886148491576543
L2,low,1,1,0.99,or_l5,93,97,0.19096509240246407,0.0067770558233773495,0.48947368421052634,26,90,0.22413793103448276,0.27956989247311825,0.3387083601104522,1.445118402306072
L2,low,1,1,0.995,single,39,45,0.08008213552361396,0.0031439949696080486,0.4642857142857143,7,42,0.14285714285714285,0.1794871794871795,0.37750243181366816,1.2298880090787907
L2,low,1,1,0.995,or_l5,61,52,0.12525667351129363,0.0036330608537693005,0.5398230088495575,19,46,0.2923076923076923,0.3114754098360656,0.36797111673982263,1.467025492740628
L2,low,1,2,0.5,single,264,889,0.5420944558521561,0.062111367288479005,0.22896790980052037,58,852,0.06373626373626373,0.2196969696969697,0.18598903350709806,1.2310828519455803
L2,low,1,2,0.5,or_l5,279,894,0.5728952772073922,0.0624607000628799,0.23785166240409208,67,856,0.07258938244853738,0.24014336917562723,0.18677462902976436,1.2734687984104527
L2,low,1,2,0.6,single,236,541,0.48459958932238195,0.03779780619017676,0.30373230373230375,47,510,0.0843806104129264,0.19915254237288135,0.24555660694403056,1.2369135879187854
L2,low,1,2,0.6,or_l5,252,546,0.5174537987679672,0.03814713896457766,0.3157894736842105,58,514,0.10139860139860139,0.23015873015873015,0.24382599996674303,1.2951427400165816
L2,low,1,2,0.7,single,216,276,0.44353182751540043,0.019283169146929364,0.43902439024390244,41,254,0.13898305084745763,0.18981481481481483,0.33952670500075416,1.2930481867190013
L2,low,1,2,0.7,or_l5,232,282,0.47638603696098564,0.019702368476210437,0.45136186770428016,52,258,0.16774193548387098,0.22413793103448276,0.33322878085948837,1.3545104553697138
L2,low,1,2,0.75,single,203,188,0.41683778234086244,0.013134912317473626,0.5191815856777494,38,172,0.18095238095238095,0.18719211822660098,0.39443299290348044,1.3162732200873357
L2,low,1,2,0.75,or_l5,219,195,0.44969199178644764,0.013623978201634877,0.5289855072463768,49,176,0.21777777777777776,0.2237442922374429,0.3837948039717727,1.3783029414991315
L2,low,1,2,0.8,single,186,126,0.38193018480492813,0.008803185914902536,0.5961538461538461,36,114,0.24,0.1935483870967742,0.43815820526672156,1.3605903963180317
L2,low,1,2,0.8,or_l5,204,133,0.4188911704312115,0.009292251799063789,0.6053412462908012,47,118,0.28484848484848485,0.23039215686274508,0.4254394915794367,1.4228609667698744
L2,low,1,2,0.85,single,170,58,0.3490759753593429,0.004052260183050374,0.7456140350877193,33,50,0.39759036144578314,0.19411764705882353,0.5357383544781685,1.391750336437977
L2,low,1,2,0.85,or_l5,189,65,0.38809034907597534,0.004541326067211626,0.7440944881889764,44,54,0.4489795918367347,0.2328042328042328,0.5110869820475412,1.4559057740190315
L2,low,1,2,0.9,single,135,33,0.27720739219712526,0.002305596311045902,0.8035714285714286,28,27,0.509090909090909,0.2074074074074074,0.5845053225711099,1.3747888984769125
L2,low,1,2,0.9,or_l5,154,40,0.3162217659137577,0.0027946621952071545,0.7938144329896907,40,31,0.5633802816901409,0.2597402597402597,0.5416347157168162,1.4655900184299155
L2,low,1,2,0.925,single,118,21,0.24229979466119098,0.001467197652483756,0.8489208633093526,24,17,0.5853658536585366,0.2033898305084746,0.6200336473777217,1.369152895007638
L2,low,1,2,0.925,or_l5,138,28,0.28336755646817247,0.001956263536645008,0.8313253012048193,36,21,0.631578947368421,0.2608695652173913,0.5666561303772242,1.46707192711637
L2,low,1,2,0.95,single,88,9,0.1806981519507187,0.0006287989939216097,0.9072164948453608,21,8,0.7241379310344828,0.23863636363636365,0.6390665929420821,1.419596181156634
L2,low,1,2,0.95,or_l5,110,16,0.22587268993839835,0.0011178648780828617,0.873015873015873,33,12,0.7333333333333333,0.3,0.5703173923383634,1.5307544268226028
L2,low,1,2,0.96,single,70,5,0.1437371663244353,0.0003493327744008943,0.9333333333333333,16,4,0.8,0.22857142857142856,0.6419404034078836,1.45392520610718
L2,low,1,2,0.96,or_l5,93,12,0.19096509240246407,0.0008383986585621463,0.8857142857142857,28,8,0.7777777777777778,0.3010752688172043,0.5620577349985058,1.5758421787694825
L2,low,1,2,0.975,single,39,2,0.08008213552361396,0.00013973310976035772,0.9512195121951219,6,1,0.8571428571428571,0.15384615384615385,0.7181681783165101,1.324508020426243
L2,low,1,2,0.975,or_l5,62,9,0.1273100616016427,0.0006287989939216097,0.8732394366197183,18,5,0.782608695652174,0.2903225806451613,0.5678229187356161,1.5378728258524328
L2,low,1,2,0.98,single,28,2,0.057494866529774126,0.00013973310976035772,0.9333333333333333,4,1,0.8,0.14285714285714285,0.7165452306171515,1.302546292199119
L2,low,1,2,0.98,or_l5,52,9,0.10677618069815195,0.0006287989939216097,0.8524590163934426,16,5,0.7619047619047619,0.3076923076923077,0.546998177668301,1.5584311816672496
L2,low,1,2,0.99,single,22,1,0.045174537987679675,6.986655488017886e-05,0.9565217391304348,2,0,1.0,0.09090909090909091,0.8246618633184546,1.1598956877687707
L2,low,1,2,0.99,or_l5,46,8,0.0944558521560575,0.0005589324390414309,0.8518518518518519,14,4,0.7777777777777778,0.30434782608695654,0.5710695328810422,1.4916779880626174
L2,low,1,2,0.995,single,10,1,0.02053388090349076,6.986655488017886e-05,0.9090909090909091,1,0,1.0,0.1,0.7809385404669061,1.1641004534715158
L2,low,1,2,0.995,or_l5,35,8,0.07186858316221766,0.0005589324390414309,0.813953488372093,13,4,0.7647058823529411,0.37142857142857144,0.49908967126483245,1.6308762437605808
L2,low,1,4,0.5,single,141,9,0.28952772073921973,0.0006287989939216097,0.94,15,3,0.8333333333333334,0.10638297872340426,0.7706607423143081,1.2197325598513853
L2,low,1,4,0.5,or_l5,165,16,0.33880903490759756,0.0011178648780828617,0.9116022099447514,27,7,0.7941176470588235,0.16363636363636364,0.7042521727425305,1.294425839532378
L2,low,1,4,0.6,single,124,7,0.2546201232032854,0.000489065884161252,0.9465648854961832,14,1,0.9333333333333333,0.11290322580645161,0.7635241993054162,1.2397313488652757
L2,low,1,4,0.6,or_l5,149,14,0.3059548254620123,0.000978131768322504,0.9141104294478528,26,5,0.8387096774193549,0.174496644295302,0.692590196492401,1.319843154115281
L2,low,1,4,0.7,single,109,5,0.22381930184804927,0.0003493327744008943,0.956140350877193,14,1,0.9333333333333333,0.12844036697247707,0.7545261431074887,1.2672063912051654
L2,low,1,4,0.7,or_l5,134,12,0.2751540041067762,0.0008383986585621463,0.9178082191780822,26,5,0.8387096774193549,0.19402985074626866,0.6773048783116818,1.3550887474277509
L2,low,1,4,0.75,single,93,5,0.19096509240246407,0.0003493327744008943,0.9489795918367347,12,1,0.9230769230769231,0.12903225806451613,0.7536076539934992,1.259248876796733
L2,low,1,4,0.75,or_l5,118,12,0.24229979466119098,0.0008383986585621463,0.9076923076923077,24,5,0.8275862068965517,0.2033898305084746,0.667108323158575,1.3606370602522742
L2,low,1,4,0.8,single,84,4,0.17248459958932238,0.00027946621952071543,0.9545454545454546,11,0,1.0,0.13095238095238096,0.7449047855395189,1.2814328395730434
L2,low,1,4,0.8,or_l5,109,11,0.22381930184804927,0.0007685321036819675,0.9083333333333333,23,4,0.8518518518518519,0.21100917431192662,0.6535179420560792,1.3899133824475598
L2,low,1,4,0.85,single,71,4,0.1457905544147844,0.00027946621952071543,0.9466666666666667,10,0,1.0,0.14084507042253522,0.7582507116311005,1.2484876732001449
L2,low,1,4,0.85,or_l5,97,11,0.19917864476386038,0.0007685321036819675,0.8981481481481481,22,4,0.8461538461538461,0.2268041237113402,0.6549938452924478,1.371231431567322
L2,low,1,4,0.9,single,62,2,0.1273100616016427,0.00013973310976035772,0.96875,9,0,1.0,0.14516129032258066,0.8075658631459713,1.1995925585884923
L2,low,1,4,0.9,or_l5,88,9,0.1806981519507187,0.0006287989939216097,0.9072164948453608,21,4,0.84,0.23863636363636365,0.6758221356762267,1.3423894349622052
L2,low,1,4,0.925,single,48,1,0.09856262833675565,6.986655488017886e-05,0.9795918367346939,6,0,1.0,0.125,0.8269568484259854,1.1845743083199942
L2,low,1,4,0.925,or_l5,74,8,0.15195071868583163,0.0005589324390414309,0.9024390243902439,18,4,0.8181818181818182,0.24324324324324326,0.6633099694161598,1.360508760609408
L2,low,1,4,0.95,single,34,1,0.06981519507186858,6.986655488017886e-05,0.9714285714285714,4,0,1.0,0.11764705882352941,0.7979150046038052,1.2174587090399713
L2,low,1,4,0.95,or_l5,60,8,0.12320328542094455,0.0005589324390414309,0.8823529411764706,16,4,0.8,0.26666666666666666,0.6146699570644854,1.435490593017388
L2,low,1,4,0.96,single,25,1,0.0513347022587269,6.986655488017886e-05,0.9615384615384616,3,0,1.0,0.12,0.8098270368276932,1.1873380583896807
L2,low,1,4,0.96,or_l5,51,8,0.10472279260780287,0.0005589324390414309,0.864406779661017,15,4,0.7894736842105263,0.29411764705882354,0.5919666928266415,1.46022874282584
L2,low,1,4,0.975,single,14,1,0.028747433264887063,6.986655488017886e-05,0.9333333333333333,0,0,0.0,0.0,0.8737467106752993,1.0681966775153646
L2,low,1,4,0.975,or_l5,40,8,0.08213552361396304,0.0005589324390414309,0.8333333333333334,12,4,0.75,0.3,0.5620152620704442,1.4827592586424845
L2,low,1,4,0.98,single,13,1,0.026694045174537988,6.986655488017886e-05,0.9285714285714286,0,0,0.0,0.0,0.8784816066640231,1.0570186347983066
L2,low,1,4,0.98,or_l5,39,8,0.08008213552361396,0.0005589324390414309,0.8297872340425532,12,4,0.75,0.3076923076923077,0.5567930726074074,1.490297338213532
L2,low,1,4,0.99,single,6,1,0.012320328542094456,6.986655488017886e-05,0.8571428571428571,0,0,0.0,0.0,0.7730477428585186,1.1087838559276788
L2,low,1,4,0.99,or_l5,32,8,0.06570841889117043,0.0005589324390414309,0.8,12,4,0.75,0.375,0.4820466529815365,1.6595904048951915
L2,low,1,4,0.995,single,2,1,0.004106776180698152,6.986655488017886e-05,0.6666666666666666,0,0,0.0,0.0,0.8454106280193238,0.7885714285714285
L2,low,1,4,0.995,or_l5,28,8,0.057494866529774126,0.0005589324390414309,0.7777777777777778,12,4,0.75,0.42857142857142855,0.4557434389808278,1.7066132197473003
L2,low,1,6,0.5,single,94,6,0.19301848049281314,0.00041919932928107315,0.94,10,1,0.9090909090909091,0.10638297872340426,0.7660553785627044,1.2270653353595082
L2,low,1,6,0.5,or_l5,120,13,0.2464065708418891,0.0009082652134423251,0.9022556390977443,22,5,0.8148148148148148,0.18333333333333332,0.6802712013197163,1.3263175588609093
L2,low,1,6,0.6,single,87,4,0.17864476386036962,0.00027946621952071543,0.9560439560439561,9,1,0.9,0.10344827586206896,0.7714230094721408,1.2393251747807539
L2,low,1,6,0.6,or_l5,113,11,0.23203285420944558,0.0007685321036819675,0.9112903225806451,21,5,0.8076923076923077,0.18584070796460178,0.6779840788807793,1.3441175847152773
L2,low,1,6,0.7,single,76,3,0.15605749486652978,0.00020959966464053657,0.9620253164556962,6,0,1.0,0.07894736842105263,0.7626605932687829,1.2614068760684631
L2,low,1,6,0.7,or_l5,102,10,0.20944558521560575,0.0006986655488017886,0.9107142857142857,18,4,0.8181818181818182,0.17647058823529413,0.661792132031122,1.3761334437736374
L2,low,1,6,0.75,single,64,2,0.13141683778234087,0.00013973310976035772,0.9696969696969697,5,0,1.0,0.078125,0.7907061249793034,1.2263683548958868
L2,low,1,6,0.75,or_l5,90,9,0.18480492813141683,0.0006287989939216097,0.9090909090909091,17,4,0.8095238095238095,0.18888888888888888,0.6672437996756145,1.3624568853736374
L2,low,1,6,0.8,single,55,1,0.11293634496919917,6.986655488017886e-05,0.9821428571428571,0,0,0.0,0.0,0.8216573451566443,1.195319268953431
L2,low,1,6,0.8,or_l5,81,8,0.16632443531827515,0.0005589324390414309,0.9101123595505618,12,4,0.75,0.14814814814814814,0.6728465533485832,1.3526298901601979
L2,low,1,6,0.85,single,50,1,0.1026694045174538,6.986655488017886e-05,0.9803921568627451,0,0,0.0,0.0,0.8547816128375291,1.1469504515992568
L2,low,1,6,0.85,or_l5,76,8,0.15605749486652978,0.0005589324390414309,0.9047619047619048,12,4,0.75,0.15789473684210525,0.6840999306424502,1.3225581004111886
L2,low,1,6,0.9,single,39,1,0.08008213552361396,6.986655488017886e-05,0.975,0,0,0.0,0.0,0.8662231776524777,1.1255759775931125
L2,low,1,6,0.9,or_l5,65,8,0.13347022587268995,0.0005589324390414309,0.8904109589041096,12,4,0.75,0.18461538461538463,0.6646501236349442,1.3396686876916364
L2,low,1,6,0.925,single,34,1,0.06981519507186858,6.986655488017886e-05,0.9714285714285714,0,0,0.0,0.0,0.8860048248420392,1.0964145388280047
L2,low,1,6,0.925,or_l5,60,8,0.12320328542094455,0.0005589324390414309,0.8823529411764706,12,4,0.75,0.2,0.6600103057165176,1.3368775207510952
L2,low,1,6,0.95,single,22,1,0.045174537987679675,6.986655488017886e-05,0.9565217391304348,0,0,0.0,0.0,0.8677503726290459,1.102300580099362
L2,low,1,6,0.95,or_l5,48,8,0.09856262833675565,0.0005589324390414309,0.8571428571428571,12,4,0.75,0.25,0.6040855444592835,1.41890973059136
L2,low,1,6,0.96,single,16,1,0.03285420944558522,6.986655488017886e-05,0.9411764705882353,0,0,0.0,0.0,0.8648446018405548,1.0882607911123359
L2,low,1,6,0.96,or_l5,42,8,0.08624229979466119,0.0005589324390414309,0.84,12,4,0.75,0.2857142857142857,0.571457803010825,1.4699248056012422
L2,low,1,6,0.975,single,9,1,0.018480492813141684,6.986655488017886e-05,0.9,0,0,0.0,0.0,0.9476029327634944,0.9497648950656263
L2,low,1,6,0.975,or_l5,35,8,0.07186858316221766,0.0005589324390414309,0.813953488372093,12,4,0.75,0.34285714285714286,0.5429432848113203,1.4991501159369753
L2,low,1,6,0.98,single,8,0,0.01642710472279261,0.0,1.0,0,0,0.0,0.0,1.0,1.0
L2,low,1,6,0.98,or_l5,34,7,0.06981519507186858,0.000489065884161252,0.8292682926829268,12,4,0.75,0.35294117647058826,0.5334276077866299,1.5546032499589573
L2,low,1,6,0.99,single,2,0,0.004106776180698152,0.0,1.0,0,0,0.0,0.0,1.0,1.0
L2,low,1,6,0.99,or_l5,28,7,0.057494866529774126,0.000489065884161252,0.8,12,4,0.75,0.42857142857142855,0.45344376912148077,1.7642760899547711
L2,low,1,6,0.995,single,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
L2,low,1,6,0.995,or_l5,26,7,0.053388090349075976,0.000489065884161252,0.7878787878787878,12,4,0.75,0.46153846153846156,0.42031914906823714,1.8744775003122183
L2,low,1,8,0.5,single,59,2,0.12114989733059549,0.00013973310976035772,0.9672131147540983,1,0,1.0,0.01694915254237288,0.8101536697841548,1.193863770328644
L2,low,1,8,0.5,or_l5,85,9,0.17453798767967146,0.0006287989939216097,0.9042553191489362,13,4,0.7647058823529411,0.15294117647058825,0.6732968699583539,1.3430261738850322
L2,low,1,8,0.6,single,51,2,0.10472279260780287,0.00013973310976035772,0.9622641509433962,1,0,1.0,0.0196078431372549,0.8081171969295757,1.1907482659687216
L2,low,1,8,0.6,or_l5,77,9,0.15811088295687886,0.0006287989939216097,0.8953488372093024,13,4,0.7647058823529411,0.16883116883116883,0.6593109692618528,1.358006887420228
L2,low,1,8,0.7,single,45,1,0.09240246406570841,6.986655488017886e-05,0.9782608695652174,0,0,0.0,0.0,0.8424157959752729,1.1612565602864502
L2,low,1,8,0.7,or_l5,71,8,0.1457905544147844,0.0005589324390414309,0.8987341772151899,12,4,0.75,0.16901408450704225,0.6660969434698024,1.3492543180479766
L2,low,1,8,0.75,single,37,1,0.07597535934291581,6.986655488017886e-05,0.9736842105263158,0,0,0.0,0.0,0.8545523742403281,1.1394084667916258
L2,low,1,8,0.75,or_l5,63,8,0.1293634496919918,0.0005589324390414309,0.8873239436619719,12,4,0.75,0.19047619047619047,0.6527256639490746,1.3594132920920365
L2,low,1,8,0.8,single,35,1,0.07186858316221766,6.986655488017886e-05,0.9722222222222222,0,0,0.0,0.0,0.9090052008196368,1.06954528020916
L2,low,1,8,0.8,or_l5,61,8,0.12525667351129363,0.0005589324390414309,0.8840579710144928,12,4,0.75,0.19672131147540983,0.6752857847646195,1.3091612335992586
L2,low,1,8,0.85,single,29,1,0.059548254620123205,6.986655488017886e-05,0.9666666666666667,0,0,0.0,0.0,0.9039762294016087,1.0693496523758774
L2,low,1,8,0.85,or_l5,55,8,0.11293634496919917,0.0005589324390414309,0.873015873015873,12,4,0.75,0.21818181818181817,0.6506320444650808,1.341796612144466
L2,low,1,8,0.9,single,20,1,0.04106776180698152,6.986655488017886e-05,0.9523809523809523,0,0,0.0,0.0,0.925247697776287,1.0293253954264103
L2,low,1,8,0.9,or_l5,46,8,0.0944558521560575,0.0005589324390414309,0.8518518518518519,12,4,0.75,0.2608695652173913,0.6166802513435898,1.3813509513169633
L2,low,1,8,0.925,single,16,0,0.03285420944558522,0.0,1.0,0,0,0.0,0.0,0.9428987286302248,1.0605592834478923
L2,low,1,8,0.925,or_l5,42,7,0.08624229979466119,0.000489065884161252,0.8571428571428571,12,4,0.75,0.2857142857142857,0.5909573791292944,1.450430923471597
L2,low,1,8,0.95,single,12,0,0.024640657084188913,0.0,1.0,0,0,0.0,0.0,0.9413068319720826,1.0623528545999739
L2,low,1,8,0.95,or_l5,38,7,0.07802874743326489,0.000489065884161252,0.8444444444444444,12,4,0.75,0.3157894736842105,0.5592491978425959,1.5099609399567142
L2,low,1,8,0.96,single,9,0,0.018480492813141684,0.0,1.0,0,0,0.0,0.0,0.9616782726755135,1.039848802258858
L2,low,1,8,0.96,or_l5,35,7,0.07186858316221766,0.000489065884161252,0.8333333333333334,12,4,0.75,0.34285714285714286,0.5363246755555108,1.5537851814671568
L2,low,1,8,0.975,single,4,0,0.008213552361396304,0.0,1.0,0,0,0.0,0.0,1.0,1.0
L2,low,1,8,0.975,or_l5,30,7,0.061601642710472276,0.000489065884161252,0.8108108108108109,12,4,0.75,0.4,0.48298734916896824,1.678741300793692
L2,low,1,8,0.98,single,3,0,0.006160164271047228,0.0,1.0,0,0,0.0,0.0,1.0,1.0
L2,low,1,8,0.98,or_l5,29,7,0.059548254620123205,0.000489065884161252,0.8055555555555556,12,4,0.75,0.41379310344827586,0.468625886645884,1.7189736600365648
L2,low,1,8,0.99,single,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
L2,low,1,8,0.99,or_l5,26,7,0.053388090349075976,0.000489065884161252,0.7878787878787878,12,4,0.75,0.46153846153846156,0.42031914906823714,1.8744775003122183
L2,low,1,8,0.995,single,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
L2,low,1,8,0.995,or_l5,26,7,0.053388090349075976,0.000489065884161252,0.7878787878787878,12,4,0.75,0.46153846153846156,0.42031914906823714,1.8744775003122183
L2,low,2,1,0.5,single,368,7026,0.75564681724846,0.49088241458813664,0.04977008385177171,207,6920,0.029044478742809035,0.5625,0.059761827640777136,0.832807258689194
L2,low,2,1,0.5,or_l5,380,7027,0.7802874743326489,0.4909522811430168,0.05130282165519104,212,6922,0.02971684889262686,0.5578947368421052,0.06015831919385429,0.8527967925744854
L2,low,2,1,0.6,single,355,5576,0.728952772073922,0.3895759100118773,0.059854999156971844,184,5478,0.032497350759448956,0.5183098591549296,0.06586400519269901,0.9087664648065881
L2,low,2,1,0.6,or_l5,367,5578,0.7535934291581109,0.38971564312163764,0.06173254835996636,189,5480,0.03333921326512612,0.5149863760217984,0.06640907672209807,0.9295799822409583
L2,low,2,1,0.7,single,336,4109,0.6899383983572895,0.28708167400265494,0.07559055118110236,144,4026,0.034532374100719423,0.42857142857142855,0.07683695400381657,0.9837786018606061
L2,low,2,1,0.7,or_l5,348,4112,0.7145790554414785,0.28729127366729545,0.07802690582959641,152,4028,0.03636363636363636,0.4367816091954023,0.0772083383424362,1.010602060667718
L2,low,2,1,0.75,single,322,3391,0.6611909650924025,0.2369174875986865,0.08672232695933207,122,3311,0.03553743081852607,0.37888198757763975,0.08501923467460633,1.0200318468078897
L2,low,2,1,0.75,or_l5,334,3394,0.6858316221765913,0.23712708726332704,0.0895922746781116,130,3313,0.03775776938716236,0.38922155688622756,0.0853900944714657,1.0492115652600678
L2,low,2,1,0.8,single,313,2680,0.6427104722792608,0.18724236707887934,0.10457734714333444,112,2608,0.041176470588235294,0.35782747603833864,0.09642969371071317,1.0844932003731553
L2,low,2,1,0.8,or_l5,326,2683,0.6694045174537988,0.18745196674351988,0.10834164174144234,120,2610,0.04395604395604396,0.36809815950920244,0.09702277650564274,1.1166619390153332
L2,low,2,1,0.85,single,298,1943,0.6119096509240246,0.13575071613218753,0.13297634984381973,92,1881,0.0466294982260517,0.3087248322147651,0.11577794363828402,1.1485464818693563
L2,low,2,1,0.85,or_l5,312,1946,0.6406570841889117,0.13596031579682805,0.13817537643932684,101,1883,0.05090725806451613,0.32371794871794873,0.11634322458409227,1.1876529719137567
L2,low,2,1,0.9,single,266,1264,0.5462012320328542,0.08831132536854608,0.1738562091503268,75,1217,0.05804953560371517,0.2819548872180451,0.14364360788785124,1.2103302869283528
L2,low,2,1,0.9,or_l5,281,1268,0.5770020533880903,0.08859079158806679,0.1814073595868302,85,1220,0.06513409961685823,0.302491103202847,0.14421436544132232,1.2579007578869867
L2,low,2,1,0.925,single,241,910,0.4948665297741273,0.06357856494096276,0.20938314509122502,62,875,0.06616862326574173,0.2572614107883817,0.16899593962001255,1.238983288959623
L2,low,2,1,0.925,or_l5,256,914,0.5256673511293635,0.06385803116048348,0.2188034188034188,73,879,0.07668067226890757,0.28515625,0.1683400607578907,1.2997703447315805
L2,low,2,1,0.95,single,213,560,0.43737166324435317,0.03912527073290016,0.2755498059508409,50,530,0.08620689655172414,0.2347417840375587,0.21848014222374407,1.2612121318955027
L2,low,2,1,0.95,or_l5,230,564,0.4722792607802875,0.039404736952420874,0.28967254408060455,61,534,0.10252100840336134,0.26521739130434785,0.21808196067427596,1.3282737516894176
L2,low,2,1,0.96,single,192,429,0.3942505133470226,0.02997275204359673,0.30917874396135264,44,404,0.09821428571428571,0.22916666666666666,0.2423495523363653,1.27575537474991
L2,low,2,1,0.96,or_l5,209,435,0.42915811088295686,0.030391951372877802,0.3245341614906832,55,408,0.11879049676025918,0.2631578947368421,0.2417128619229932,1.3426433285708885
L2,low,2,1,0.975,single,158,241,0.324435318275154,0.016837839726123106,0.39598997493734334,28,224,0.1111111111111111,0.17721518987341772,0.3092576058297007,1.2804534713865814
L2,low,2,1,0.975,or_l5,175,247,0.3593429158110883,0.01725703905540418,0.4146919431279621,39,228,0.14606741573033707,0.22285714285714286,0.30463932654875686,1.361255448618488
L2,low,2,1,0.98,single,141,180,0.28952772073921973,0.012575979878432194,0.4392523364485981,24,168,0.125,0.1702127659574468,0.33716460841161056,1.3027830486655316
L2,low,2,1,0.98,or_l5,161,187,0.33059548254620125,0.013065045762593446,0.46264367816091956,35,172,0.16908212560386474,0.21739130434782608,0.33616917710766014,1.376222776107624
L2,low,2,1,0.99,single,84,84,0.17248459958932238,0.005868790609935024,0.5,13,77,0.14444444444444443,0.15476190476190477,0.3832437006978194,1.3046528855910429
L2,low,2,1,0.99,or_l5,104,91,0.2135523613963039,0.006357856494096276,0.5333333333333333,24,81,0.22857142857142856,0.23076923076923078,0.37508705666960196,1.4218921283736103
