feat,K,t,variant
clock,32,30,esteps
clock,32,30,esteps_w8
clock,32,30,dwell
clock,32,30,stayp_w8
clock,32,30,nll_w8
clock,64,20,absorb
clock,64,20,absorb_w8
clock,64,20,absorb_drift
clock,64,20,absorb_max_w8
clock,64,20,frac_hirisk_w8
clock,64,20,emp_pool
clock,64,20,emp_pool_w8
clock,64,20,emp_time
clock,64,20,esteps
clock,64,20,esteps_w8
clock,64,20,dwell
clock,64,20,stayp_w8
clock,64,20,nll_w8
clock,64,25,absorb
clock,64,25,absorb_w8
clock,64,25,absorb_drift
clock,64,25,absorb_max_w8
clock,64,25,frac_hirisk_w8
clock,64,25,emp_pool
clock,64,25,emp_pool_w8
clock,64,25,emp_time
clock,64,25,esteps
clock,64,25,esteps_w8
clock,64,25,dwell
clock,64,25,stayp_w8
clock,64,25,nll_w8
clock,64,30,absorb
clock,64,30,absorb_w8
clock,64,30,absorb_drift
clock,64,30,absorb_max_w8
clock,64,30,frac_hirisk_w8
clock,64,30,emp_pool
clock,64,30,emp_pool_w8
clock,64,30,emp_time
clock,64,30,esteps
clock,64,30,esteps_w8
clock,64,30,dwell
clock,64,30,stayp_w8
clock,64,30,nll_w8
shuf,4,20,absorb
shuf,4,20,absorb_w8
shuf,4,20,absorb_drift
shuf,4,20,absorb_max_w8
shuf,4,20,frac_hirisk_w8
shuf,4,20,emp_pool
shuf,4,20,emp_pool_w8
shuf,4,20,emp_time
shuf,4,20,esteps
shuf,4,20,esteps_w8
shuf,4,20,dwell
shuf,4,20,stayp_w8
shuf,4,20,nll_w8
shuf,4,25,absorb
shuf,4,25,absorb_w8
shuf,4,25,absorb_drift
shuf,4,25,absorb_max_w8
shuf,4,25,frac_hirisk_w8
shuf,4,25,emp_pool
shuf,4,25,emp_pool_w8
shuf,4,25,emp_time
shuf,4,25,esteps
shuf,4,25,esteps_w8
shuf,4,25,dwell
shuf,4,25,stayp_w8
shuf,4,25,nll_w8
shuf,4,30,absorb
shuf,4,30,absorb_w8
shuf,4,30,absorb_drift
shuf,4,30,absorb_max_w8
shuf,4,30,frac_hirisk_w8
shuf,4,30,emp_pool
shuf,4,30,emp_pool_w8
shuf,4,30,emp_time
shuf,4,30,esteps
shuf,4,30,esteps_w8
shuf,4,30,dwell
shuf,4,30,stayp_w8
shuf,4,30,nll_w8
shuf,8,20,absorb
shuf,8,20,absorb_w8
shuf,8,20,absorb_drift
shuf,8,20,absorb_max_w8
shuf,8,20,frac_hirisk_w8
shuf,8,20,emp_pool
