corpus,block,feat,K,t,variant,auc_succ,det_auc,res_auc_succ,res_det_auc,base_det_auc,npairs,n_scored,p_raw,p_res,ndraw
A,detect,cell1280,8,25,frac_hirisk_w8,0.4901125127855438,0.5098874872144562,0.5192635526764405,0.5192635526764405,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,8,25,emp_pool,0.37794067507671325,0.6220593249232867,0.4142516195022162,0.5857483804977839,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,8,25,emp_pool_w8,0.3731674053869758,0.6268325946130242,0.3569723832253665,0.6430276167746335,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,8,25,emp_time,0.4843163995908626,0.5156836004091374,0.4722127514490283,0.5277872485509717,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,8,25,esteps,0.5071599045346062,0.5071599045346062,0.4643709512444596,0.5356290487555404,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,8,25,esteps_w8,0.44681213774292533,0.5531878622570747,0.4885782475281282,0.5114217524718718,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,8,25,dwell,0.5971701329696556,0.5971701329696556,0.5588135015342652,0.5588135015342652,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,8,25,stayp_w8,0.3983975451755881,0.6016024548244119,0.45380156836004093,0.5461984316399591,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,8,25,nll_w8,0.4664166382543471,0.5335833617456529,0.47834981247869074,0.5216501875213093,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,8,30,absorb,0.5748380497783839,0.5748380497783839,0.6385952949198773,0.6385952949198773,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,8,30,absorb_w8,0.559836345039209,0.559836345039209,0.5809751108080464,0.5809751108080464,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,8,30,absorb_drift,0.5271053528810092,0.5271053528810092,0.6252983293556086,0.6252983293556086,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,8,30,absorb_max_w8,0.5294919877258779,0.5294919877258779,0.524036822366178,0.524036822366178,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,8,30,frac_hirisk_w8,0.647800886464371,0.647800886464371,0.6072280941016025,0.6072280941016025,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,8,30,emp_pool,0.4340265939311285,0.5659734060688715,0.5584725536992841,0.5584725536992841,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,8,30,emp_pool_w8,0.2655983634503921,0.7344016365496079,0.357654278895329,0.642345721104671,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,8,30,emp_time,0.47698602113876576,0.5230139788612342,0.6024548244118649,0.6024548244118649,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,8,30,esteps,0.4145925673371974,0.5854074326628026,0.4994885782475281,0.5005114217524719,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,8,30,esteps_w8,0.5124445959768156,0.5124445959768156,0.5506307534947154,0.5506307534947154,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,8,30,dwell,0.45772246846232534,0.5422775315376747,0.528128196385953,0.528128196385953,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,8,30,stayp_w8,0.3385612001363792,0.6614387998636209,0.4237981588816911,0.576201841118309,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,8,30,nll_w8,0.5064780088646437,0.5064780088646437,0.45618820320490966,0.5438117967950904,0.7988407773610637,2933.0,352.0,,,
A,perm,cell1280,8,20,absorb,,,,,,,,0.7263681592039801,0.4626865671641791,200.0
A,perm,cell1280,8,20,absorb_w8,,,,,,,,0.4079601990049751,0.48756218905472637,200.0
A,perm,cell1280,8,20,absorb_drift,,,,,,,,0.9054726368159204,0.681592039800995,200.0
A,perm,cell1280,8,20,absorb_max_w8,,,,,,,,0.845771144278607,0.7014925373134329,200.0
A,perm,cell1280,8,20,frac_hirisk_w8,,,,,,,,0.07960199004975124,0.1044776119402985,200.0
A,perm,cell1280,8,20,emp_pool,,,,,,,,0.43781094527363185,0.17412935323383086,200.0
A,perm,cell1280,8,20,emp_pool_w8,,,,,,,,0.5024875621890548,0.5870646766169154,200.0
A,perm,cell1280,8,20,emp_time,,,,,,,,0.20398009950248755,0.4228855721393035,200.0
A,perm,cell1280,8,20,esteps,,,,,,,,0.9104477611940298,0.25870646766169153,200.0
A,perm,cell1280,8,20,esteps_w8,,,,,,,,0.17412935323383086,0.1044776119402985,200.0
A,perm,cell1280,8,20,dwell,,,,,,,,0.24378109452736318,0.0945273631840796,200.0
A,perm,cell1280,8,20,stayp_w8,,,,,,,,0.40298507462686567,0.25870646766169153,200.0
A,perm,cell1280,8,20,nll_w8,,,,,,,,0.373134328358209,0.3333333333333333,200.0
A,perm,cell1280,8,25,absorb,,,,,,,,0.7014925373134329,0.8656716417910447,200.0
A,perm,cell1280,8,25,absorb_w8,,,,,,,,0.845771144278607,0.8009950248756219,200.0
A,perm,cell1280,8,25,absorb_drift,,,,,,,,0.42786069651741293,0.24875621890547264,200.0
A,perm,cell1280,8,25,absorb_max_w8,,,,,,,,0.9402985074626866,0.9402985074626866,200.0
A,perm,cell1280,8,25,frac_hirisk_w8,,,,,,,,0.8656716417910447,0.7512437810945274,200.0
A,perm,cell1280,8,25,emp_pool,,,,,,,,0.014925373134328358,0.0945273631840796,200.0
A,perm,cell1280,8,25,emp_pool_w8,,,,,,,,0.03980099502487562,0.014925373134328358,200.0
A,perm,cell1280,8,25,emp_time,,,,,,,,0.7960199004975125,0.6119402985074627,200.0
A,perm,cell1280,8,25,esteps,,,,,,,,0.9054726368159204,0.5323383084577115,200.0
A,perm,cell1280,8,25,esteps_w8,,,,,,,,0.3482587064676617,0.8159203980099502,200.0
A,perm,cell1280,8,25,dwell,,,,,,,,0.05472636815920398,0.2835820895522388,200.0
A,perm,cell1280,8,25,stayp_w8,,,,,,,,0.09950248756218906,0.39800995024875624,200.0
A,perm,cell1280,8,25,nll_w8,,,,,,,,0.48756218905472637,0.6268656716417911,200.0
A,perm,cell1280,8,30,absorb,,,,,,,,0.2736318407960199,0.05970149253731343,200.0
A,perm,cell1280,8,30,absorb_w8,,,,,,,,0.40298507462686567,0.2835820895522388,200.0
A,perm,cell1280,8,30,absorb_drift,,,,,,,,0.5920398009950248,0.029850746268656716,200.0
A,perm,cell1280,8,30,absorb_max_w8,,,,,,,,0.7213930348258707,0.7960199004975125,200.0
A,perm,cell1280,8,30,frac_hirisk_w8,,,,,,,,0.004975124378109453,0.03482587064676617,200.0
A,perm,cell1280,8,30,emp_pool,,,,,,,,0.29850746268656714,0.3582089552238806,200.0
A,perm,cell1280,8,30,emp_pool_w8,,,,,,,,0.004975124378109453,0.01990049751243781,200.0
A,perm,cell1280,8,30,emp_time,,,,,,,,0.736318407960199,0.15422885572139303,200.0
A,perm,cell1280,8,30,esteps,,,,,,,,0.11442786069651742,0.9950248756218906,200.0
A,perm,cell1280,8,30,esteps_w8,,,,,,,,0.8009950248756219,0.3333333333333333,200.0
A,perm,cell1280,8,30,dwell,,,,,,,,0.35323383084577115,0.6069651741293532,200.0
A,perm,cell1280,8,30,stayp_w8,,,,,,,,0.004975124378109453,0.15920398009950248,200.0
A,perm,cell1280,8,30,nll_w8,,,,,,,,0.8756218905472637,0.47761194029850745,200.0
A,detect,cell1280,16,20,absorb,0.438799863620866,0.561200136379134,0.4742584384589158,0.5257415615410842,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,20,absorb_w8,0.44442550289805655,0.5555744971019434,0.4527787248550972,0.5472212751449028,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,20,absorb_drift,0.4330037504261848,0.5669962495738152,0.45789294237981587,0.5421070576201841,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,20,absorb_max_w8,0.47033753835663145,0.5296624616433685,0.5025571087623594,0.5025571087623594,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,20,frac_hirisk_w8,0.4171496760995568,0.5828503239004432,0.4357313331060348,0.5642686668939652,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,20,emp_pool,0.42516195022161607,0.5748380497783839,0.4466416638254347,0.5533583361745653,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,20,emp_pool_w8,0.380327309921582,0.619672690078418,0.41152403682236616,0.5884759631776338,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,20,emp_time,0.4379474940334129,0.5620525059665871,0.437436072280941,0.562563927719059,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,20,esteps,0.49266962154790317,0.5073303784520968,0.518581657006478,0.518581657006478,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,20,esteps_w8,0.5085236958745313,0.5085236958745313,0.4974428912376406,0.5025571087623594,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,20,dwell,0.4722127514490283,0.5277872485509717,0.4357313331060348,0.5642686668939652,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,20,stayp_w8,0.45874531196726903,0.5412546880327309,0.45755199454483464,0.5424480054551654,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,20,nll_w8,0.5927378111148994,0.5927378111148994,0.5768837367882714,0.5768837367882714,0.594272076372315,2933.0,352.0,,,
A,detect,cell1280,16,25,absorb,0.3690760313672008,0.6309239686327992,0.36140470508012273,0.6385952949198772,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,25,absorb_w8,0.43453801568360034,0.5654619843163997,0.44220934197067846,0.5577906580293215,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,25,absorb_drift,0.4157858847596318,0.5842141152403681,0.3296965564268667,0.6703034435731333,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,25,absorb_max_w8,0.4249914763041255,0.5750085236958745,0.4224343675417661,0.5775656324582339,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,25,frac_hirisk_w8,0.45908625980225026,0.5409137401977497,0.5018752130923969,0.5018752130923969,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,25,emp_pool,0.35134674394817594,0.6486532560518241,0.3586771224002728,0.6413228775997273,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,25,emp_pool_w8,0.34998295260825096,0.650017047391749,0.3723150357995227,0.6276849642004774,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,25,emp_time,0.3117967950903512,0.6882032049096488,0.3034435731333106,0.6965564268666894,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,25,esteps,0.6053528810092056,0.6053528810092056,0.5908625980225025,0.5908625980225025,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,25,esteps_w8,0.568871462666212,0.568871462666212,0.5710876235935902,0.5710876235935902,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,25,dwell,0.5100579611319468,0.5100579611319468,0.5424480054551654,0.5424480054551654,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,25,stayp_w8,0.44885782475281283,0.5511421752471872,0.5571087623593591,0.5571087623593591,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,25,nll_w8,0.4809069212410501,0.5190930787589498,0.485509717013297,0.5144902829867031,0.6345039209001023,2933.0,352.0,,,
A,detect,cell1280,16,30,absorb,0.4111830889873849,0.5888169110126151,0.5741561541084214,0.5741561541084214,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,16,30,absorb_w8,0.38902147971360385,0.6109785202863962,0.5189226048414592,0.5189226048414592,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,16,30,absorb_drift,0.46709853392430956,0.5329014660756904,0.5063075349471531,0.5063075349471531,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,16,30,absorb_max_w8,0.440163654960791,0.559836345039209,0.5223320831912718,0.5223320831912718,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,16,30,frac_hirisk_w8,0.4331742243436754,0.5668257756563246,0.5257415615410842,0.5257415615410842,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,16,30,emp_pool,0.3972042277531538,0.6027957722468462,0.5121036481418343,0.5121036481418343,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,16,30,emp_pool_w8,0.3031026252983294,0.6968973747016707,0.3818615751789976,0.6181384248210025,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,16,30,emp_time,0.3706102966246164,0.6293897033753836,0.5492669621547903,0.5492669621547903,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,16,30,esteps,0.5161950221616092,0.5161950221616092,0.4878963518581656,0.5121036481418344,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,16,30,esteps_w8,0.6273440163654961,0.6273440163654961,0.5789294237981589,0.5789294237981589,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,16,30,dwell,0.40231844527787247,0.5976815547221275,0.47459938629389703,0.5254006137061029,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,16,30,stayp_w8,0.4012956017729287,0.5987043982270712,0.5482441186498466,0.5482441186498466,0.7988407773610637,2933.0,352.0,,,
A,detect,cell1280,16,30,nll_w8,0.45056256392771904,0.5494374360722809,0.436072280941016,0.563927719058984,0.7988407773610637,2933.0,352.0,,,
A,perm,cell1280,16,20,absorb,,,,,,,,0.3681592039800995,0.6865671641791045,200.0
A,perm,cell1280,16,20,absorb_w8,,,,,,,,0.4129353233830846,0.4626865671641791,200.0
A,perm,cell1280,16,20,absorb_drift,,,,,,,,0.22885572139303484,0.4577114427860697,200.0
A,perm,cell1280,16,20,absorb_max_w8,,,,,,,,0.5970149253731343,0.9552238805970149,200.0
A,perm,cell1280,16,20,frac_hirisk_w8,,,,,,,,0.10945273631840796,0.24875621890547264,200.0
A,perm,cell1280,16,20,emp_pool,,,,,,,,0.263681592039801,0.38308457711442784,200.0
A,perm,cell1280,16,20,emp_pool_w8,,,,,,,,0.024875621890547265,0.09950248756218906,200.0
A,perm,cell1280,16,20,emp_time,,,,,,,,0.36318407960199006,0.3880597014925373,200.0
A,perm,cell1280,16,20,esteps,,,,,,,,0.9154228855721394,0.7213930348258707,200.0
A,perm,cell1280,16,20,esteps_w8,,,,,,,,0.8855721393034826,0.9601990049751243,200.0
A,perm,cell1280,16,20,dwell,,,,,,,,0.5870646766169154,0.22388059701492538,200.0
A,perm,cell1280,16,20,stayp_w8,,,,,,,,0.3781094527363184,0.3681592039800995,200.0
A,perm,cell1280,16,20,nll_w8,,,,,,,,0.07462686567164178,0.12437810945273632,200.0
A,perm,cell1280,16,25,absorb,,,,,,,,0.03980099502487562,0.03482587064676617,200.0
A,perm,cell1280,16,25,absorb_w8,,,,,,,,0.373134328358209,0.42786069651741293,200.0
A,perm,cell1280,16,25,absorb_drift,,,,,,,,0.0945273631840796,0.004975124378109453,200.0
A,perm,cell1280,16,25,absorb_max_w8,,,,,,,,0.23880597014925373,0.22388059701492538,200.0
A,perm,cell1280,16,25,frac_hirisk_w8,,,,,,,,0.43781094527363185,0.9701492537313433,200.0
A,perm,cell1280,16,25,emp_pool,,,,,,,,0.01990049751243781,0.024875621890547265,200.0
A,perm,cell1280,16,25,emp_pool_w8,,,,,,,,0.009950248756218905,0.024875621890547265,200.0
