corpus,block,feat,K,t,variant,mode,eps,stat,metric,name,value
B,baseline_sentinel,,,30,,,,,oracle_length,npairs,2008.0
B,baseline_sentinel,,,30,,,,,oracle_length,n_alive,512.0
A,nmi,cell1280,4,,,,,,,nmi_t,0.16072850328014418
A,nmi,cell1280,4,,,,,,,nmi_T,0.006206184652806598
A,nmi,cell1280,4,,,,,,,nmi_phase,0.18994105406958178
A,nmi,cell1280,4,,,,,,,nmi_rem,0.10418303709256486
A,nmi,cell1280,4,,,,,,,nmi_atcap,0.001579280818706469
A,nmi,cell1280,4,,,,,,,ami_T,0.005328193427607846
A,nmi,cell1280,8,,,,,,,nmi_t,0.2371507395580215
A,nmi,cell1280,8,,,,,,,nmi_T,0.030138003761963527
A,nmi,cell1280,8,,,,,,,nmi_phase,0.26992809354033936
A,nmi,cell1280,8,,,,,,,nmi_rem,0.1860218891297441
A,nmi,cell1280,8,,,,,,,nmi_atcap,0.003909782761970118
A,nmi,cell1280,8,,,,,,,ami_T,0.028424729766607322
A,nmi,cell1280,16,,,,,,,nmi_t,0.276661086354511
A,nmi,cell1280,16,,,,,,,nmi_T,0.0511818645860963
A,nmi,cell1280,16,,,,,,,nmi_phase,0.30741999446011753
A,nmi,cell1280,16,,,,,,,nmi_rem,0.2517086896363315
A,nmi,cell1280,16,,,,,,,nmi_atcap,0.004582279393890569
A,nmi,cell1280,16,,,,,,,ami_T,0.04805884806250915
A,nmi,cell1280,32,,,,,,,nmi_t,0.31318828004767807
A,nmi,cell1280,32,,,,,,,nmi_T,0.06966225391777225
A,nmi,cell1280,32,,,,,,,nmi_phase,0.3454581388295277
A,nmi,cell1280,32,,,,,,,nmi_rem,0.3110820340501178
A,nmi,cell1280,32,,,,,,,nmi_atcap,0.005954326729404795
A,nmi,cell1280,32,,,,,,,ami_T,0.06398192896427399
A,nmi,cell1280,64,,,,,,,nmi_t,0.3197092832589988
A,nmi,cell1280,64,,,,,,,nmi_T,0.08360497738989518
A,nmi,cell1280,64,,,,,,,nmi_phase,0.34102409044844995
A,nmi,cell1280,64,,,,,,,nmi_rem,0.340379431409838
A,nmi,cell1280,64,,,,,,,nmi_atcap,0.008534972155994067
A,nmi,cell1280,64,,,,,,,ami_T,0.07322295301642295
A,nmi,mean32,4,,,,,,,nmi_t,0.15123150458957427
A,nmi,mean32,4,,,,,,,nmi_T,0.010811022554884218
A,nmi,mean32,4,,,,,,,nmi_phase,0.18520239982201867
A,nmi,mean32,4,,,,,,,nmi_rem,0.12146052479917982
A,nmi,mean32,4,,,,,,,nmi_atcap,0.0003358115059234804
A,nmi,mean32,4,,,,,,,ami_T,0.00993771831370184
A,nmi,mean32,8,,,,,,,nmi_t,0.18756966654953078
A,nmi,mean32,8,,,,,,,nmi_T,0.026287695599344334
A,nmi,mean32,8,,,,,,,nmi_phase,0.2182230799492156
A,nmi,mean32,8,,,,,,,nmi_rem,0.17271042701213923
A,nmi,mean32,8,,,,,,,nmi_atcap,0.0018896725534834821
A,nmi,mean32,8,,,,,,,ami_T,0.024581752752881176
A,nmi,mean32,16,,,,,,,nmi_t,0.25997417249188737
A,nmi,mean32,16,,,,,,,nmi_T,0.043365145740184144
A,nmi,mean32,16,,,,,,,nmi_phase,0.2880995752706272
A,nmi,mean32,16,,,,,,,nmi_rem,0.24127597630248848
A,nmi,mean32,16,,,,,,,nmi_atcap,0.00376372861331652
A,nmi,mean32,16,,,,,,,ami_T,0.04021928881989845
A,nmi,mean32,32,,,,,,,nmi_t,0.2903310453726426
A,nmi,mean32,32,,,,,,,nmi_T,0.06587666077022797
A,nmi,mean32,32,,,,,,,nmi_phase,0.3202857117634763
A,nmi,mean32,32,,,,,,,nmi_rem,0.29039495140620775
A,nmi,mean32,32,,,,,,,nmi_atcap,0.007210984797032973
A,nmi,mean32,32,,,,,,,ami_T,0.06015072004436077
A,nmi,mean32,64,,,,,,,nmi_t,0.30765111387182104
A,nmi,mean32,64,,,,,,,nmi_T,0.09396534924276927
A,nmi,mean32,64,,,,,,,nmi_phase,0.3264426681361072
A,nmi,mean32,64,,,,,,,nmi_rem,0.33371025863817355
A,nmi,mean32,64,,,,,,,nmi_atcap,0.010483750009911053
A,nmi,mean32,64,,,,,,,ami_T,0.08370004806190769
B,nmi,cell1280,4,,,,,,,nmi_t,0.2906182694396644
B,nmi,cell1280,4,,,,,,,nmi_T,0.07216819411564696
B,nmi,cell1280,4,,,,,,,nmi_phase,0.2643486318804789
B,nmi,cell1280,4,,,,,,,nmi_rem,0.1722604396808746
B,nmi,cell1280,4,,,,,,,nmi_atcap,0.09416798953321043
B,nmi,cell1280,4,,,,,,,ami_T,0.07149602552278425
B,nmi,cell1280,8,,,,,,,nmi_t,0.4233981788549919
B,nmi,cell1280,8,,,,,,,nmi_T,0.058301251184682955
B,nmi,cell1280,8,,,,,,,nmi_phase,0.3544666898147613
B,nmi,cell1280,8,,,,,,,nmi_rem,0.2613297924476813
B,nmi,cell1280,8,,,,,,,nmi_atcap,0.06889044495087646
B,nmi,cell1280,8,,,,,,,ami_T,0.05700278140444089
B,nmi,cell1280,16,,,,,,,nmi_t,0.5133613422764325
B,nmi,cell1280,16,,,,,,,nmi_T,0.062188432199027206
B,nmi,cell1280,16,,,,,,,nmi_phase,0.41906599356060453
B,nmi,cell1280,16,,,,,,,nmi_rem,0.34254447908164093
B,nmi,cell1280,16,,,,,,,nmi_atcap,0.07192069937008756
B,nmi,cell1280,16,,,,,,,ami_T,0.059758823933312756
B,nmi,cell1280,32,,,,,,,nmi_t,0.5424943707588056
B,nmi,cell1280,32,,,,,,,nmi_T,0.05967089021065562
B,nmi,cell1280,32,,,,,,,nmi_phase,0.432685343826626
B,nmi,cell1280,32,,,,,,,nmi_rem,0.3784214536189681
B,nmi,cell1280,32,,,,,,,nmi_atcap,0.06440058271421213
B,nmi,cell1280,32,,,,,,,ami_T,0.05528605837188584
B,nmi,cell1280,64,,,,,,,nmi_t,0.5395252861529966
B,nmi,cell1280,64,,,,,,,nmi_T,0.068521626284224
B,nmi,cell1280,64,,,,,,,nmi_phase,0.4209259151540335
B,nmi,cell1280,64,,,,,,,nmi_rem,0.39051079088217583
B,nmi,cell1280,64,,,,,,,nmi_atcap,0.0675726074227035
B,nmi,cell1280,64,,,,,,,ami_T,0.06081348397510902
B,nmi,mean32,4,,,,,,,nmi_t,0.2320554789722673
B,nmi,mean32,4,,,,,,,nmi_T,0.06959228662375488
B,nmi,mean32,4,,,,,,,nmi_phase,0.16955184832958078
B,nmi,mean32,4,,,,,,,nmi_rem,0.13342322162481737
B,nmi,mean32,4,,,,,,,nmi_atcap,0.09150025155244453
B,nmi,mean32,4,,,,,,,ami_T,0.06891401132345767
B,nmi,mean32,8,,,,,,,nmi_t,0.29802415917825703
B,nmi,mean32,8,,,,,,,nmi_T,0.05894633747688446
B,nmi,mean32,8,,,,,,,nmi_phase,0.22120517983130591
B,nmi,mean32,8,,,,,,,nmi_rem,0.18498951363347646
B,nmi,mean32,8,,,,,,,nmi_atcap,0.06901900412706888
B,nmi,mean32,8,,,,,,,ami_T,0.05766515598556891
B,nmi,mean32,16,,,,,,,nmi_t,0.38121597507558885
B,nmi,mean32,16,,,,,,,nmi_T,0.05400807920191926
B,nmi,mean32,16,,,,,,,nmi_phase,0.30041731490023604
B,nmi,mean32,16,,,,,,,nmi_rem,0.2518556988226454
B,nmi,mean32,16,,,,,,,nmi_atcap,0.05891370848474344
B,nmi,mean32,16,,,,,,,ami_T,0.051630121782763154
B,nmi,mean32,32,,,,,,,nmi_t,0.42676683366752743
B,nmi,mean32,32,,,,,,,nmi_T,0.06279727907600896
B,nmi,mean32,32,,,,,,,nmi_phase,0.3360428309324516
B,nmi,mean32,32,,,,,,,nmi_rem,0.29772385754128505
B,nmi,mean32,32,,,,,,,nmi_atcap,0.06461917627328276
B,nmi,mean32,32,,,,,,,ami_T,0.058442928783876504
B,nmi,mean32,64,,,,,,,nmi_t,0.46731179645980697
B,nmi,mean32,64,,,,,,,nmi_T,0.07131666476879689
B,nmi,mean32,64,,,,,,,nmi_phase,0.35158874930060496
B,nmi,mean32,64,,,,,,,nmi_rem,0.3371659929503851
B,nmi,mean32,64,,,,,,,nmi_atcap,0.06731503009700661
B,nmi,mean32,64,,,,,,,ami_T,0.06362484020653031
A,nmi_ref,cell1280,4,,,,,,,nmi_t,0.16072850328014418
A,nmi_ref,cell1280,4,,,,,,,clock_ceil,0.5100947109705287
A,nmi_ref,cell1280,4,,,,,,,frac_of_clock,0.315095412329085
A,nmi_ref,cell1280,4,,,,,,,nmi_T,0.006206184652806598
A,nmi_ref,cell1280,4,,,,,,,len_ceil,0.6339236662822961
A,nmi_ref,cell1280,4,,,,,,,frac_of_len,0.0097901135150914
A,nmi_ref,cell1280,4,,,,,,,nmi_sT_t20,0.15395191916846102
A,nmi_ref,cell1280,4,,,,,,,nmi_sy_t20,0.09743253014995171
A,nmi_ref,cell1280,4,,,,,,,nmi_sT_t25,0.17395722411692854
A,nmi_ref,cell1280,4,,,,,,,nmi_sy_t25,0.07930598925832982
A,nmi_ref,cell1280,4,,,,,,,nmi_sT_t30,0.26314646663599345
A,nmi_ref,cell1280,4,,,,,,,nmi_sy_t30,0.22817689989359838
A,nmi_ref,cell1280,8,,,,,,,nmi_t,0.2371507395580215
A,nmi_ref,cell1280,8,,,,,,,clock_ceil,0.6664274854749184
A,nmi_ref,cell1280,8,,,,,,,frac_of_clock,0.35585377963368364
A,nmi_ref,cell1280,8,,,,,,,nmi_T,0.030138003761963527
A,nmi_ref,cell1280,8,,,,,,,len_ceil,0.7414483657536836
A,nmi_ref,cell1280,8,,,,,,,frac_of_len,0.040647474799311474
A,nmi_ref,cell1280,8,,,,,,,nmi_sT_t20,0.22391934499608307
A,nmi_ref,cell1280,8,,,,,,,nmi_sy_t20,0.07267134235394117
A,nmi_ref,cell1280,8,,,,,,,nmi_sT_t25,0.21372716850680087
A,nmi_ref,cell1280,8,,,,,,,nmi_sy_t25,0.15426346024961785
A,nmi_ref,cell1280,8,,,,,,,nmi_sT_t30,0.30352631630563504
A,nmi_ref,cell1280,8,,,,,,,nmi_sy_t30,0.18894760364886584
A,nmi_ref,cell1280,16,,,,,,,nmi_t,0.276661086354511
A,nmi_ref,cell1280,16,,,,,,,clock_ceil,0.7774253004248436
A,nmi_ref,cell1280,16,,,,,,,frac_of_clock,0.3558683853012278
A,nmi_ref,cell1280,16,,,,,,,nmi_T,0.0511818645860963
A,nmi_ref,cell1280,16,,,,,,,len_ceil,0.757243556833712
A,nmi_ref,cell1280,16,,,,,,,frac_of_len,0.06758969967351687
A,nmi_ref,cell1280,16,,,,,,,nmi_sT_t20,0.2513792786247804
A,nmi_ref,cell1280,16,,,,,,,nmi_sy_t20,0.13041691749857448
A,nmi_ref,cell1280,16,,,,,,,nmi_sT_t25,0.30645710443626906
A,nmi_ref,cell1280,16,,,,,,,nmi_sy_t25,0.22982814336290466
A,nmi_ref,cell1280,16,,,,,,,nmi_sT_t30,0.33527335833570243
A,nmi_ref,cell1280,16,,,,,,,nmi_sy_t30,0.18640770520278718
A,nmi_ref,cell1280,32,,,,,,,nmi_t,0.31318828004767807
A,nmi_ref,cell1280,32,,,,,,,clock_ceil,0.8488091893924189
A,nmi_ref,cell1280,32,,,,,,,frac_of_clock,0.3689737151312647
A,nmi_ref,cell1280,32,,,,,,,nmi_T,0.06966225391777225
A,nmi_ref,cell1280,32,,,,,,,len_ceil,0.7346951061615347
A,nmi_ref,cell1280,32,,,,,,,frac_of_len,0.09481790927086409
A,nmi_ref,cell1280,32,,,,,,,nmi_sT_t20,0.2910701331254514
A,nmi_ref,cell1280,32,,,,,,,nmi_sy_t20,0.1303937523878102
A,nmi_ref,cell1280,32,,,,,,,nmi_sT_t25,0.33870833684479373
A,nmi_ref,cell1280,32,,,,,,,nmi_sy_t25,0.19568737343301262
A,nmi_ref,cell1280,32,,,,,,,nmi_sT_t30,0.39609079994584623
A,nmi_ref,cell1280,32,,,,,,,nmi_sy_t30,0.23248410006527184
A,nmi_ref,cell1280,64,,,,,,,nmi_t,0.3197092832589988
A,nmi_ref,cell1280,64,,,,,,,clock_ceil,0.8647249501183671
A,nmi_ref,cell1280,64,,,,,,,frac_of_clock,0.3697236713422408
A,nmi_ref,cell1280,64,,,,,,,nmi_T,0.08360497738989518
A,nmi_ref,cell1280,64,,,,,,,len_ceil,0.7005285322979063
A,nmi_ref,cell1280,64,,,,,,,frac_of_len,0.11934557057319313
A,nmi_ref,cell1280,64,,,,,,,nmi_sT_t20,0.33447225744925224
A,nmi_ref,cell1280,64,,,,,,,nmi_sy_t20,0.14858876404739665
A,nmi_ref,cell1280,64,,,,,,,nmi_sT_t25,0.3781571514487943
A,nmi_ref,cell1280,64,,,,,,,nmi_sy_t25,0.1851836838106584
A,nmi_ref,cell1280,64,,,,,,,nmi_sT_t30,0.41070367716060374
A,nmi_ref,cell1280,64,,,,,,,nmi_sy_t30,0.21058584693309285
A,nmi_ref,mean32,4,,,,,,,nmi_t,0.15123150458957427
A,nmi_ref,mean32,4,,,,,,,clock_ceil,0.5100947109705287
A,nmi_ref,mean32,4,,,,,,,frac_of_clock,0.29647730379684695
A,nmi_ref,mean32,4,,,,,,,nmi_T,0.010811022554884218
A,nmi_ref,mean32,4,,,,,,,len_ceil,0.6339236662822961
A,nmi_ref,mean32,4,,,,,,,frac_of_len,0.017054139370259607
A,nmi_ref,mean32,4,,,,,,,nmi_sT_t20,0.20982459599147976
A,nmi_ref,mean32,4,,,,,,,nmi_sy_t20,0.2034724075435607
A,nmi_ref,mean32,4,,,,,,,nmi_sT_t25,0.11133984822125698
A,nmi_ref,mean32,4,,,,,,,nmi_sy_t25,0.15446029596804556
A,nmi_ref,mean32,4,,,,,,,nmi_sT_t30,0.11212598100948731
A,nmi_ref,mean32,4,,,,,,,nmi_sy_t30,0.0039528120527726395
A,nmi_ref,mean32,8,,,,,,,nmi_t,0.18756966654953078
A,nmi_ref,mean32,8,,,,,,,clock_ceil,0.6664274854749184
A,nmi_ref,mean32,8,,,,,,,frac_of_clock,0.2814554781093136
A,nmi_ref,mean32,8,,,,,,,nmi_T,0.026287695599344334
A,nmi_ref,mean32,8,,,,,,,len_ceil,0.7414483657536836
A,nmi_ref,mean32,8,,,,,,,frac_of_len,0.03545451957753369
A,nmi_ref,mean32,8,,,,,,,nmi_sT_t20,0.2604351428225526
A,nmi_ref,mean32,8,,,,,,,nmi_sy_t20,0.16407727132029218
A,nmi_ref,mean32,8,,,,,,,nmi_sT_t25,0.16630531992507006
A,nmi_ref,mean32,8,,,,,,,nmi_sy_t25,0.10980851636296131
A,nmi_ref,mean32,8,,,,,,,nmi_sT_t30,0.2591588195821227
A,nmi_ref,mean32,8,,,,,,,nmi_sy_t30,0.18213029053595206
A,nmi_ref,mean32,16,,,,,,,nmi_t,0.25997417249188737
A,nmi_ref,mean32,16,,,,,,,clock_ceil,0.7774253004248436
A,nmi_ref,mean32,16,,,,,,,frac_of_clock,0.33440405444718346
A,nmi_ref,mean32,16,,,,,,,nmi_T,0.043365145740184144
A,nmi_ref,mean32,16,,,,,,,len_ceil,0.757243556833712
A,nmi_ref,mean32,16,,,,,,,frac_of_len,0.057267104287434666
A,nmi_ref,mean32,16,,,,,,,nmi_sT_t20,0.27464697418192
A,nmi_ref,mean32,16,,,,,,,nmi_sy_t20,0.10691448303895398
A,nmi_ref,mean32,16,,,,,,,nmi_sT_t25,0.25525201315586554
A,nmi_ref,mean32,16,,,,,,,nmi_sy_t25,0.1599364003660358
A,nmi_ref,mean32,16,,,,,,,nmi_sT_t30,0.2777315781376912
A,nmi_ref,mean32,16,,,,,,,nmi_sy_t30,0.14775260202134485
A,nmi_ref,mean32,32,,,,,,,nmi_t,0.2903310453726426
A,nmi_ref,mean32,32,,,,,,,clock_ceil,0.8488091893924189
A,nmi_ref,mean32,32,,,,,,,frac_of_clock,0.34204512510104035
A,nmi_ref,mean32,32,,,,,,,nmi_T,0.06587666077022797
A,nmi_ref,mean32,32,,,,,,,len_ceil,0.7346951061615347
A,nmi_ref,mean32,32,,,,,,,frac_of_len,0.08966530499216897
A,nmi_ref,mean32,32,,,,,,,nmi_sT_t20,0.3109320285977828
A,nmi_ref,mean32,32,,,,,,,nmi_sy_t20,0.1619901706266518
A,nmi_ref,mean32,32,,,,,,,nmi_sT_t25,0.3046601279806676
A,nmi_ref,mean32,32,,,,,,,nmi_sy_t25,0.16892882323604624
A,nmi_ref,mean32,32,,,,,,,nmi_sT_t30,0.34282451188382973
A,nmi_ref,mean32,32,,,,,,,nmi_sy_t30,0.18298523126664443
A,nmi_ref,mean32,64,,,,,,,nmi_t,0.30765111387182104
A,nmi_ref,mean32,64,,,,,,,clock_ceil,0.8647249501183671
A,nmi_ref,mean32,64,,,,,,,frac_of_clock,0.35577915709464436
A,nmi_ref,mean32,64,,,,,,,nmi_T,0.09396534924276927
A,nmi_ref,mean32,64,,,,,,,len_ceil,0.7005285322979063
A,nmi_ref,mean32,64,,,,,,,frac_of_len,0.13413493513895822
A,nmi_ref,mean32,64,,,,,,,nmi_sT_t20,0.3464226288982364
A,nmi_ref,mean32,64,,,,,,,nmi_sy_t20,0.1568059296266315
A,nmi_ref,mean32,64,,,,,,,nmi_sT_t25,0.36041765513145574
A,nmi_ref,mean32,64,,,,,,,nmi_sy_t25,0.16703412507192972
A,nmi_ref,mean32,64,,,,,,,nmi_sT_t30,0.38867946652449525
A,nmi_ref,mean32,64,,,,,,,nmi_sy_t30,0.19519207719380527
B,nmi_ref,cell1280,4,,,,,,,nmi_t,0.2906182694396644
B,nmi_ref,cell1280,4,,,,,,,clock_ceil,0.5084159341414635
B,nmi_ref,cell1280,4,,,,,,,frac_of_clock,0.5716151873375427
B,nmi_ref,cell1280,4,,,,,,,nmi_T,0.07216819411564696
B,nmi_ref,cell1280,4,,,,,,,len_ceil,0.6085387669440399
B,nmi_ref,cell1280,4,,,,,,,frac_of_len,0.11859259924895371
B,nmi_ref,cell1280,4,,,,,,,nmi_sT_t20,0.04970285903398983
B,nmi_ref,cell1280,4,,,,,,,nmi_sy_t20,0.04801431525528443
B,nmi_ref,cell1280,4,,,,,,,nmi_sT_t25,0.011302084173575718
B,nmi_ref,cell1280,4,,,,,,,nmi_sy_t25,0.027148199301539964
B,nmi_ref,cell1280,4,,,,,,,nmi_sT_t30,0.37912417264827114
B,nmi_ref,cell1280,4,,,,,,,nmi_sy_t30,0.32336562050872325
B,nmi_ref,cell1280,8,,,,,,,nmi_t,0.4233981788549919
B,nmi_ref,cell1280,8,,,,,,,clock_ceil,0.6669967043468269
B,nmi_ref,cell1280,8,,,,,,,frac_of_clock,0.6347830148120673
B,nmi_ref,cell1280,8,,,,,,,nmi_T,0.058301251184682955
B,nmi_ref,cell1280,8,,,,,,,len_ceil,0.6171120697266148
B,nmi_ref,cell1280,8,,,,,,,frac_of_len,0.09447433301784365
B,nmi_ref,cell1280,8,,,,,,,nmi_sT_t20,0.05530909359767403
B,nmi_ref,cell1280,8,,,,,,,nmi_sy_t20,0.008038349746492209
B,nmi_ref,cell1280,8,,,,,,,nmi_sT_t25,0.08501383583313993
B,nmi_ref,cell1280,8,,,,,,,nmi_sy_t25,0.02405623638607918
B,nmi_ref,cell1280,8,,,,,,,nmi_sT_t30,0.3782098064491377
B,nmi_ref,cell1280,8,,,,,,,nmi_sy_t30,0.2803362027741488
B,nmi_ref,cell1280,16,,,,,,,nmi_t,0.5133613422764325
B,nmi_ref,cell1280,16,,,,,,,clock_ceil,0.7790223816258073
B,nmi_ref,cell1280,16,,,,,,,frac_of_clock,0.658981506032029
B,nmi_ref,cell1280,16,,,,,,,nmi_T,0.062188432199027206
B,nmi_ref,cell1280,16,,,,,,,len_ceil,0.6137150413360682
B,nmi_ref,cell1280,16,,,,,,,frac_of_len,0.10133111951051732
B,nmi_ref,cell1280,16,,,,,,,nmi_sT_t20,0.10642176474921419
B,nmi_ref,cell1280,16,,,,,,,nmi_sy_t20,0.05091306733355662
B,nmi_ref,cell1280,16,,,,,,,nmi_sT_t25,0.0921009781245488
B,nmi_ref,cell1280,16,,,,,,,nmi_sy_t25,0.025016591331799166
B,nmi_ref,cell1280,16,,,,,,,nmi_sT_t30,0.3886760180544693
B,nmi_ref,cell1280,16,,,,,,,nmi_sy_t30,0.30202241093441273
B,nmi_ref,cell1280,32,,,,,,,nmi_t,0.5424943707588056
B,nmi_ref,cell1280,32,,,,,,,clock_ceil,0.8491661228577118
B,nmi_ref,cell1280,32,,,,,,,frac_of_clock,0.6388554090372105
B,nmi_ref,cell1280,32,,,,,,,nmi_T,0.05967089021065562
B,nmi_ref,cell1280,32,,,,,,,len_ceil,0.5686758363918925
B,nmi_ref,cell1280,32,,,,,,,frac_of_len,0.10492953347420679
B,nmi_ref,cell1280,32,,,,,,,nmi_sT_t20,0.12302224947297415
B,nmi_ref,cell1280,32,,,,,,,nmi_sy_t20,0.05161957981314829
B,nmi_ref,cell1280,32,,,,,,,nmi_sT_t25,0.11977584404588433
B,nmi_ref,cell1280,32,,,,,,,nmi_sy_t25,0.06455112153967661
B,nmi_ref,cell1280,32,,,,,,,nmi_sT_t30,0.3643731878474063
B,nmi_ref,cell1280,32,,,,,,,nmi_sy_t30,0.2386882012713055
B,nmi_ref,cell1280,64,,,,,,,nmi_t,0.5395252861529966
B,nmi_ref,cell1280,64,,,,,,,clock_ceil,0.8687886161079151
B,nmi_ref,cell1280,64,,,,,,,frac_of_clock,0.6210086966493819
B,nmi_ref,cell1280,64,,,,,,,nmi_T,0.068521626284224
B,nmi_ref,cell1280,64,,,,,,,len_ceil,0.5234906391037087
B,nmi_ref,cell1280,64,,,,,,,frac_of_len,0.13089369926756067
B,nmi_ref,cell1280,64,,,,,,,nmi_sT_t20,0.14623538648182732
B,nmi_ref,cell1280,64,,,,,,,nmi_sy_t20,0.0768499065675028
B,nmi_ref,cell1280,64,,,,,,,nmi_sT_t25,0.15088244303765808
