method,alpha,recall,fpr,balanced_accuracy,t_det
dyn_success_knn_k1,0.03,0.8794590485766957,0.05773110108079784,0.9108639737479489,0.6697199872418036
dyn_success_knn_k1,0.05,0.9032395009285765,0.07931078055712239,0.9119643601857271,0.625705856582884
dyn_success_knn_k1,0.1,0.9830222687365544,0.1318478870507329,0.9255871908429109,0.548665643704355
dyn_success_knn_k1,0.15,0.9995421245421245,0.16097145232522692,0.9192853361084489,0.5149808375189612
dyn_success_knn_k1,0.2,1.0,0.2096230488364366,0.8951884755817817,0.4800100467138821
dyn_success_knn_k20,0.01,0.0,0.0,0.5,1.0
dyn_success_knn_k20,0.03,0.8557192107612276,0.048975090297133074,0.9033720602320473,0.6879012057738478
dyn_success_knn_k20,0.05,0.9226630823269479,0.05988528052410233,0.9313889009014228,0.6410504575555823
dyn_success_knn_k20,0.1,0.9810637930385829,0.10979209603435312,0.9356358485021149,0.5430337693218318
dyn_success_knn_k20,0.15,0.9929394834857019,0.14006298237672302,0.9264382505544894,0.514676932962226
dyn_success_knn_k20,0.2,0.9946401637578108,0.18122912798446209,0.9067055178866744,0.48359016328461096
dyn_success_knn_k20_persist3,0.01,0.0,0.0,0.5,1.0
dyn_success_knn_k20_persist3,0.03,0.8881116549183776,0.048983390012819684,0.9195641324527789,0.6896142178039325
dyn_success_knn_k20_persist3,0.05,0.927438069244792,0.05978029673609158,0.9338288862543501,0.6690674842791354
dyn_success_knn_k20_persist3,0.1,0.9907809277557177,0.12790890329340024,0.9314360122311588,0.5515452498255602
dyn_success_knn_k20_persist3,0.15,1.0,0.1569372178876045,0.9215313910561979,0.5227880228583447
dyn_success_knn_k20_persist3,0.2,1.0,0.19504122638176513,0.9024793868091173,0.5020296666177623
dyn_success_knn_k5,0.01,0.0,0.0,0.5,1.0
dyn_success_knn_k5,0.03,0.8885220754968653,0.05531425585144362,0.9166039098227109,0.6652955895447472
dyn_success_knn_k5,0.05,0.9071350762527234,0.06960576343369881,0.9187646564095123,0.6377153472750156
dyn_success_knn_k5,0.1,0.9873795672115001,0.11727446108832974,0.9350525530615851,0.5493631049589307
dyn_success_knn_k5,0.15,0.9907809277557177,0.15146951522323227,0.9196557062662426,0.5110098235963424
dyn_success_knn_k5,0.2,1.0,0.2140470362224547,0.8929764818887728,0.47368050213394824
dyn_vote_knn_k20,0.01,0.0,0.0,0.5,1.0
dyn_vote_knn_k20,0.03,0.7755156709148306,0.026359923939556162,0.8745778734876373,0.7461377951464581
dyn_vote_knn_k20,0.05,0.822180811329971,0.02870027911864934,0.8967402661056608,0.7279767450142541
dyn_vote_knn_k20,0.1,0.9073791909926364,0.060659787295161305,0.9233597018487375,0.6454696933883556
dyn_vote_knn_k20,0.15,0.9342514783691254,0.07185924277407453,0.9311961177975254,0.6267722439943969
dyn_vote_knn_k20,0.2,0.9656195811657997,0.0944853959438665,0.9355670926109666,0.6059775328379641
eef_motion_low,0.01,0.0,0.0,0.5,1.0
eef_motion_low,0.03,0.7981729016392882,0.018879272431893444,0.8896468146036973,0.7201744681088131
eef_motion_low,0.05,0.8275782535236317,0.030895661025039486,0.898341296249296,0.6773830213853915
eef_motion_low,0.1,0.8724278172807584,0.06395196090914736,0.9042379281858056,0.6295605424586616
eef_motion_low,0.15,0.9163470943933129,0.10877221930189869,0.9037874375457071,0.588247264608685
eef_motion_low,0.2,0.9594162451305309,0.1810147674686314,0.8892007388309496,0.5333662394924662
route_success_knn_k20,0.01,0.0,0.0,0.5,1.0
route_success_knn_k20,0.03,0.5439067138121759,0.07931019527758768,0.7322982592672941,0.7780259406415236
route_success_knn_k20,0.05,0.6338937284315436,0.11139718348340122,0.7612482724740711,0.7156215296860191
route_success_knn_k20,0.1,0.8117813364662104,0.2651229526042939,0.7733291919309583,0.5931419821289633
route_success_knn_k20,0.15,0.8776861171819155,0.3571693541662854,0.760258381507815,0.5264059682357193
route_success_knn_k20,0.2,0.9233791807321219,0.4602223827195369,0.7315783990062924,0.46938470429086426
success_only__cumsum,0.01,0.0,0.0,0.5,1.0
success_only__cumsum,0.03,0.7943376068376068,0.06248819276014419,0.8659247070387313,0.744404000292854
success_only__cumsum,0.05,0.8608821733821733,0.08536156816346986,0.8877603026093518,0.7094463998404299
success_only__cumsum,0.1,0.9656593406593407,0.1870195455417084,0.8893198975588161,0.598454103516786
success_only__cumsum,0.15,0.9780219780219781,0.27181221752201634,0.8531048802499809,0.5317566035249087
success_only__cumsum,0.2,0.989010989010989,0.35171211046973655,0.8186494392706262,0.49111745010343966
success_only__current,0.01,0.0,0.0,0.5,1.0
success_only__current,0.03,0.12529955649703547,0.02010307987243751,0.552598238312299,0.9363038775301146
success_only__current,0.05,0.1536463528690419,0.04135757669031227,0.5561443880893648,0.9207640298377869
success_only__current,0.1,0.3640412987261727,0.11092665446400109,0.6265573221310857,0.8081473418616545
success_only__current,0.15,0.4101854323703063,0.1553935343748248,0.6273959489977408,0.7746213938295998
success_only__current,0.2,0.5084852184852185,0.20507292655174206,0.6517061459667383,0.7106642321423619
v7_guard_constant,0.01,0.0,0.0,0.5,1.0
v7_guard_constant,0.03,0.6620845416643736,0.03280188356367121,0.8146413290503512,0.8191803929675862
v7_guard_constant,0.05,0.6723758376699553,0.03647718839810495,0.8179493246359252,0.8095949014881064
v7_guard_constant,0.1,0.7361770803892652,0.05124500126559786,0.8424660395618336,0.7711591327245647
v7_guard_constant,0.15,0.7761653791275641,0.06538369305586049,0.8553908430358517,0.7345648233044537
v7_guard_constant,0.2,0.827943248394929,0.10195156423966743,0.8629958420776308,0.6815015828282219
v7_success_fusion_constant,0.01,0.0,0.0,0.5,1.0
v7_success_fusion_constant,0.03,0.2871327695802485,0.014387343518153016,0.6363727130310478,0.908786734734537
v7_success_fusion_constant,0.05,0.3684028506507498,0.044458904908982355,0.6619719728708837,0.8757657183110039
v7_success_fusion_constant,0.1,0.6787412264828231,0.09095467064297201,0.7938932779199255,0.7440871670281232
v7_success_fusion_constant,0.15,0.7686563378265059,0.12064069000569626,0.8240078239104048,0.7005162545635798
v7_success_fusion_constant,0.2,0.8731452787020014,0.17329770324906116,0.8499237877264701,0.6360186730853197
v7_turbulence_constant,0.01,0.0,0.0,0.5,1.0
v7_turbulence_constant,0.03,0.6839044195766885,0.0073238536583521835,0.8382902829591682,0.8106644881066659
v7_turbulence_constant,0.05,0.710086687355595,0.012234888638908857,0.848925899358343,0.7887710754582731
v7_turbulence_constant,0.1,0.7468296708737885,0.03539284842192176,0.8557184112259334,0.7505745881639351
v7_turbulence_constant,0.15,0.7506889068758816,0.04662500912529501,0.8520319488752933,0.7373298628233033
v7_turbulence_constant,0.2,0.7854266823279428,0.07823264809511005,0.8535970171164164,0.7004553652452445
