fold,suite,seed,method,calibration,alpha,scope,task,origin,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,dyn_radius_outward,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.6666666666666667,19.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,4,,0.05,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,7,1.0,0.08860759493670886,0.125,0.9556962025316456,0.6,17.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4444444444444445,12.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.4375,11.5
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,5,,0.0625,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,5,,0.0625,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,episode,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,51,210,1.0,0.6017191977077364,0.19540229885057472,0.6991404011461317,0.5823529411764705,16.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,18,1,1.0,0.002617801047120419,0.9473684210526315,0.9986910994764397,0.4,11.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.4740740740740741,13.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,1,,0.0125,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,0,1.0,0.0,1.0,1.0,0.6333333333333333,18.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4777777777777778,13.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.48333333333333334,12.5
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,task_init,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,51,47,1.0,0.1346704871060172,0.5204081632653061,0.9326647564469914,0.6915032679738562,20.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,18,1,1.0,0.002617801047120419,0.9473684210526315,0.9986910994764397,0.4722222222222222,12.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k1,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.5333333333333333,15.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,2,,0.025,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,7,1.0,0.08860759493670886,0.125,0.9556962025316456,0.5666666666666667,16.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4444444444444445,12.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.39583333333333337,11.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,3,,0.0375,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,5,,0.0625,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,episode,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,51,179,1.0,0.5128939828080229,0.2217391304347826,0.7435530085959885,0.5934640522875817,17.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,18,1,1.0,0.002617801047120419,0.9473684210526315,0.9986910994764397,0.3944444444444445,11.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.47777777777777775,13.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,1,,0.0125,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,1,1.0,0.012658227848101266,0.5,0.9936708860759493,0.6,17.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4777777777777778,13.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.47916666666666663,12.5
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,task_init,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,51,35,1.0,0.10028653295128939,0.5930232558139535,0.9498567335243553,0.6941176470588235,18.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,18,1,1.0,0.002617801047120419,0.9473684210526315,0.9986910994764397,0.5,12.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k5,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.5444444444444445,16.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,3,,0.0375,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,13,1.0,0.16455696202531644,0.07142857142857142,0.9177215189873418,0.5,14.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4444444444444445,12.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.375,10.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,5,,0.0625,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,4,,0.05,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,episode,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,51,146,1.0,0.4183381088825215,0.25888324873096447,0.7908309455587392,0.6039215686274509,17.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,18,1,1.0,0.002617801047120419,0.9473684210526315,0.9986910994764397,0.38333333333333325,10.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.47777777777777775,13.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,1,,0.0125,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,2,1.0,0.02531645569620253,0.3333333333333333,0.9873417721518988,0.5333333333333333,15.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4777777777777778,13.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.4875,12.5
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,task_init,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,50,20,0.9803921568627451,0.05730659025787966,0.7142857142857143,0.9615427833024327,0.7117647058823531,21.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,18,1,1.0,0.002617801047120419,0.9473684210526315,0.9986910994764397,0.5092592592592593,12.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.5444444444444444,16.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,3,,0.0375,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,18,1.0,0.22784810126582278,0.05263157894736842,0.8860759493670887,0.5333333333333333,15.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4444444444444445,12.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.4,11.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,8,,0.1,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,episode,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,51,220,1.0,0.6303724928366762,0.1881918819188192,0.6848137535816619,0.5797385620915033,17.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,18,1,1.0,0.002617801047120419,0.9473684210526315,0.9986910994764397,0.38333333333333325,10.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.537037037037037,15.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,1,,0.0125,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,2,1.0,0.02531645569620253,0.3333333333333333,0.9873417721518988,0.6,17.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,0,1.0,0.0,1.0,1.0,0.5333333333333333,15.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.5416666666666667,13.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,task_init,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,48,9,0.9411764705882353,0.025787965616045846,0.8421052631578947,0.9576942524860947,0.7666666666666666,22.5
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,17,1,0.9444444444444444,0.002617801047120419,0.9444444444444444,0.970913321698662,0.5944444444444444,13.0
libero_goal_20260907,libero_goal,20260907,dyn_success_knn_k20_persist3,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,0,1.0,0.0,1.0,1.0,0.5814814814814814,15.0
libero_goal_20260907,libero_goal,20260907,dyn_vote_knn_k20,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,3,,0.0375,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_vote_knn_k20,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,round5,80,1,79,1,6,1.0,0.0759493670886076,0.14285714285714285,0.9620253164556962,0.5666666666666667,16.0
libero_goal_20260907,libero_goal,20260907,dyn_vote_knn_k20,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,round5,80,3,77,3,23,1.0,0.2987012987012987,0.11538461538461539,0.8506493506493507,0.39999999999999997,10.0
libero_goal_20260907,libero_goal,20260907,dyn_vote_knn_k20,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,round5,80,8,72,8,0,1.0,0.0,1.0,1.0,0.42500000000000004,12.0
libero_goal_20260907,libero_goal,20260907,dyn_vote_knn_k20,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,round5,80,0,80,0,5,,0.0625,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_vote_knn_k20,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,round5,80,0,80,0,1,,0.0125,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_vote_knn_k20,episode,0.05,seen,libero_goal/turn_on_the_stove,round5,80,0,80,0,2,,0.025,0.0,,,
libero_goal_20260907,libero_goal,20260907,dyn_vote_knn_k20,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,round5,400,51,349,50,30,0.9803921568627451,0.08595988538681948,0.625,0.9472161357379628,0.7130718954248365,18.5
libero_goal_20260907,libero_goal,20260907,dyn_vote_knn_k20,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,round5,400,18,382,17,1,0.9444444444444444,0.002617801047120419,0.9444444444444444,0.970913321698662,0.4203703703703703,8.0
libero_goal_20260907,libero_goal,20260907,dyn_vote_knn_k20,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,round5,400,9,391,9,28,1.0,0.07161125319693094,0.24324324324324326,0.9641943734015346,0.6037037037037037,16.0
libero_goal_20260907,libero_goal,20260907,dyn_vote_knn_k20,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,round5,80,0,80,0,0,,0.0,,,,
