cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall,risk_recall_ci_low,risk_recall_ci_high,timely_fpr_ci_low,timely_fpr_ci_high,precision_ci_low,precision_ci_high,held_out_suite,level
external_8b,libero_object,libero_object__published,3600,44,3556,6,38,29,22,7,22,3549,0.5,0.001968503937007874,0.7586206896551724,0.6666666666666666,0.47368421052631576,6.0,0.4318181818181818,0.38636363636363635,0.18181818181818182,0.06818181818181818,0.23910455486542445,0.7297297297297297,0.0008415088269372813,0.0033622863547212102,0.5,0.9166666666666666,libero_object,published
external_8b,libero_object,libero_object__loso_l1,3600,44,3556,6,38,20,17,3,27,3553,0.38636363636363635,0.000843644544431946,0.85,0.5,0.3684210526315789,5.0,0.3409090909090909,0.29545454545454547,0.11363636363636363,0.022727272727272728,0.18867924528301888,0.6304633867276884,0.00027908989264076084,0.0016891891891891893,0.6153846153846154,1.0,libero_object,loso_l1
external_8b,libero_object,libero_object__loso_reweighted,3600,44,3556,6,38,296,21,275,23,3281,0.4772727272727273,0.07733408323959505,0.07094594594594594,0.6666666666666666,0.4473684210526316,9.0,0.45454545454545453,0.4318181818181818,0.2727272727272727,0.1590909090909091,0.25,0.7027487714987709,0.022008563972606487,0.14222118383399676,0.025594731651664426,0.23076923076923078,libero_object,loso_reweighted
external_8b,libero_object,libero_object__loso_reweighted_fa,3600,44,3556,6,38,297,21,276,23,3280,0.4772727272727273,0.07761529808773904,0.0707070707070707,0.6666666666666666,0.4473684210526316,9.0,0.45454545454545453,0.4318181818181818,0.2727272727272727,0.1590909090909091,0.25,0.7045454545454546,0.022266693101105517,0.13928884541402678,0.02513841332772672,0.21324629210658605,libero_object,loso_reweighted_fa
external_8b,libero_object,libero_object__oracle_same,3600,44,3556,6,38,74,21,53,23,3503,0.4772727272727273,0.014904386951631047,0.28378378378378377,0.6666666666666666,0.4473684210526316,7.0,0.4772727272727273,0.4318181818181818,0.22727272727272727,0.11363636363636363,0.24443089430894308,0.7073170731707317,0.0022509848058525606,0.034453781512605045,0.08759124087591241,0.7547679755226918,libero_object,oracle_same
external_8b,libero_spatial,libero_spatial__published,4000,140,3860,9,131,111,108,3,32,3857,0.7714285714285715,0.0007772020725388601,0.972972972972973,1.0,0.7557251908396947,2.0,0.44285714285714284,0.15714285714285714,0.0,0.0,0.6412973801560757,0.8502994011976048,0.0,0.0015568341802551498,0.9285499139414802,1.0,libero_spatial,published
external_8b,libero_spatial,libero_spatial__loso_l1,4000,140,3860,9,131,90,88,2,52,3858,0.6285714285714286,0.0005181347150259067,0.9777777777777777,1.0,0.6030534351145038,2.0,0.32142857142857145,0.12857142857142856,0.0,0.0,0.5060240963855421,0.7299270072992701,0.0,0.001294665976178146,0.9452054794520548,1.0,libero_spatial,loso_l1
external_8b,libero_spatial,libero_spatial__loso_reweighted,4000,140,3860,9,131,130,125,5,15,3855,0.8928571428571429,0.0012953367875647669,0.9615384615384616,1.0,0.8854961832061069,3.0,0.7428571428571429,0.34285714285714286,0.007142857142857143,0.0,0.7857142857142857,0.9699304230726068,0.00025766389075511674,0.0023929805902685457,0.9215686274509803,0.9895301592495637,libero_spatial,loso_reweighted
external_8b,libero_spatial,libero_spatial__loso_reweighted_fa,4000,140,3860,9,131,130,125,5,15,3855,0.8928571428571429,0.0012953367875647669,0.9615384615384616,1.0,0.8854961832061069,3.0,0.7428571428571429,0.34285714285714286,0.007142857142857143,0.0,0.7903225806451613,0.968421052631579,0.0002577319587628866,0.0023678135255265236,0.9224137931034483,0.9884409673775829,libero_spatial,loso_reweighted_fa
external_8b,libero_spatial,libero_spatial__oracle_same,4000,140,3860,9,131,131,126,5,14,3855,0.9,0.0012953367875647669,0.9618320610687023,1.0,0.8931297709923665,3.0,0.7428571428571429,0.39285714285714285,0.007142857142857143,0.0,0.7954476998904709,0.9701492537313433,0.00025799793601651185,0.002380952380952381,0.9210461177696717,0.9888888888888889,libero_spatial,oracle_same
