层,基线,平滑,Q,向,最早,dev12_tp,dev12_fp,ext12_tp,ext12_fp,lg12_tp,lg12_fp,ext16_tp,ext16_fp,ext4_tp,ext4_fp
L3,2,3,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L3,3,2,0.99,high,5,257,379,295,602,212,211,264,257,426,1051
L3,3,2,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L3,3,2,0.995,high,5,231,165,279,282,199,118,246,126,414,594
L3,3,2,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L3,3,3,0.99,high,6,256,358,299,541,210,205,268,233,428,988
L3,3,3,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L3,3,3,0.995,high,6,232,173,279,255,201,109,245,120,416,563
L3,3,3,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L3,4,2,0.99,high,6,258,375,297,533,215,251,265,272,423,958
L3,4,2,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L3,4,2,0.995,high,6,238,189,282,258,203,154,251,155,411,535
L3,4,2,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L3,4,3,0.99,high,7,255,342,294,478,214,235,266,251,421,884
L3,4,3,0.99,low,7,189,18,242,32,159,11,202,18,377,66
L3,4,3,0.995,high,7,232,186,284,236,204,138,255,149,411,489
L3,4,3,0.995,low,7,189,18,242,32,159,11,202,18,377,66
L4,2,2,0.99,high,4,247,194,292,511,195,33,234,129,424,1354
L4,2,2,0.99,low,4,189,18,242,32,159,11,202,18,377,66
L4,2,2,0.995,high,4,221,92,261,261,179,16,214,47,404,772
L4,2,2,0.995,low,4,189,18,242,32,159,11,202,18,377,66
L4,2,3,0.99,high,5,251,181,292,509,191,35,247,168,436,1415
L4,2,3,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L4,2,3,0.995,high,5,225,84,262,269,175,19,219,70,410,823
L4,2,3,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L4,3,2,0.99,high,5,252,209,287,536,198,41,243,150,421,1277
L4,3,2,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L4,3,2,0.995,high,5,219,83,263,275,179,21,218,54,409,716
L4,3,2,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L4,3,3,0.99,high,6,249,188,288,547,196,56,245,195,430,1381
L4,3,3,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L4,3,3,0.995,high,6,224,90,267,292,180,28,227,72,412,780
L4,3,3,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L4,4,2,0.99,high,6,254,220,287,589,203,67,243,173,423,1325
L4,4,2,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L4,4,2,0.995,high,6,226,93,268,314,182,26,223,65,408,749
L4,4,2,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L4,4,3,0.99,high,7,252,186,292,620,199,75,255,228,431,1447
L4,4,3,0.99,low,7,189,18,242,32,159,11,202,18,377,66
L4,4,3,0.995,high,7,223,88,269,327,181,33,228,78,415,814
L4,4,3,0.995,low,7,189,18,242,32,159,11,202,18,377,66
L5,2,2,0.99,high,4,260,274,312,575,214,81,264,173,442,1194
L5,2,2,0.99,low,4,189,18,242,32,159,11,202,18,377,66
L5,2,2,0.995,high,4,233,109,271,248,184,33,224,54,411,549
L5,2,2,0.995,low,4,189,18,242,32,159,11,202,18,377,66
L5,2,3,0.99,high,5,275,316,318,669,202,109,281,221,460,1386
L5,2,3,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L5,2,3,0.995,high,5,239,137,282,306,187,42,236,77,423,670
L5,2,3,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L5,3,2,0.99,high,5,259,277,302,703,208,101,260,219,439,1335
L5,3,2,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L5,3,2,0.995,high,5,224,101,275,291,189,43,230,63,415,591
L5,3,2,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L5,3,3,0.99,high,6,265,334,310,838,208,145,276,310,444,1572
L5,3,3,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L5,3,3,0.995,high,6,238,134,284,379,191,53,246,96,421,734
L5,3,3,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L5,4,2,0.99,high,6,266,312,313,870,223,138,271,316,441,1546
L5,4,2,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L5,4,2,0.995,high,6,232,117,278,418,193,58,235,105,415,769
L5,4,2,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L5,4,3,0.99,high,7,271,357,311,970,211,174,275,381,445,1726
L5,4,3,0.99,low,7,189,18,242,32,159,11,202,18,377,66
L5,4,3,0.995,high,7,240,145,286,528,195,82,250,165,417,959
L5,4,3,0.995,low,7,189,18,242,32,159,11,202,18,377,66
L12,2,2,0.99,high,4,247,106,315,522,187,14,259,282,450,965
L12,2,2,0.99,low,4,189,18,242,32,159,11,202,18,377,66
L12,2,2,0.995,high,4,220,48,284,331,168,11,241,150,419,542
L12,2,2,0.995,low,4,189,18,242,32,159,11,202,18,377,66
L12,2,3,0.99,high,5,258,112,319,558,190,13,262,274,461,1059
L12,2,3,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L12,2,3,0.995,high,5,225,56,287,375,170,11,246,152,421,613
L12,2,3,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L12,3,2,0.99,high,5,242,157,306,788,182,15,259,480,450,1342
L12,3,2,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L12,3,2,0.995,high,5,215,62,276,478,166,13,233,199,408,742
L12,3,2,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L12,3,3,0.99,high,6,249,142,312,755,183,18,268,437,458,1385
L12,3,3,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L12,3,3,0.995,high,6,222,69,280,517,169,12,242,199,417,814
L12,3,3,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L12,4,2,0.99,high,6,259,176,315,998,191,17,255,697,459,1710
L12,4,2,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L12,4,2,0.995,high,6,220,68,278,691,165,14,230,359,417,1077
L12,4,2,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L12,4,3,0.99,high,7,266,130,317,899,193,20,258,561,471,1716
L12,4,3,0.99,low,7,189,18,242,32,159,11,202,18,377,66
L12,4,3,0.995,high,7,228,72,281,675,170,13,236,326,426,1142
L12,4,3,0.995,low,7,189,18,242,32,159,11,202,18,377,66
L13,2,2,0.99,high,4,253,214,313,591,172,11,262,217,456,1120
L13,2,2,0.99,low,4,189,18,242,32,159,11,202,18,377,66
L13,2,2,0.995,high,4,225,102,283,236,159,11,240,92,423,455
L13,2,2,0.995,low,4,189,18,242,32,159,11,202,18,377,66
L13,2,3,0.99,high,5,252,212,315,595,173,11,266,241,467,1182
L13,2,3,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L13,2,3,0.995,high,5,224,95,289,232,161,11,243,94,427,460
L13,2,3,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L13,3,2,0.99,high,5,250,225,304,789,175,11,257,292,456,1443
L13,3,2,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L13,3,2,0.995,high,5,220,105,280,370,159,11,233,116,411,617
L13,3,2,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L13,3,3,0.99,high,6,249,219,306,810,177,13,260,318,464,1515
L13,3,3,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L13,3,3,0.995,high,6,225,97,284,377,162,11,235,120,418,660
L13,3,3,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L13,4,2,0.99,high,6,274,176,317,962,187,13,256,484,475,1773
L13,4,2,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L13,4,2,0.995,high,6,229,87,289,584,164,11,235,190,428,1007
L13,4,2,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L13,4,3,0.99,high,7,268,163,313,928,191,16,257,475,482,1815
L13,4,3,0.99,low,7,189,18,242,32,159,11,202,18,377,66
L13,4,3,0.995,high,7,230,82,287,602,167,11,235,190,436,1088
L13,4,3,0.995,low,7,189,18,242,32,159,11,202,18,377,66
L14,2,2,0.99,high,4,257,112,323,397,183,11,260,189,478,865
L14,2,2,0.99,low,4,189,18,242,32,159,11,202,18,377,66
L14,2,2,0.995,high,4,221,59,287,154,163,11,230,64,447,378
L14,2,2,0.995,low,4,189,18,242,32,159,11,202,18,377,66
L14,2,3,0.99,high,5,257,117,326,409,190,11,261,195,484,942
L14,2,3,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L14,2,3,0.995,high,5,229,56,295,156,164,11,238,61,453,374
L14,2,3,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L14,3,2,0.99,high,5,250,124,317,576,181,11,254,314,473,1065
L14,3,2,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L14,3,2,0.995,high,5,221,58,286,251,166,11,233,106,439,468
L14,3,2,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L14,3,3,0.99,high,6,258,144,319,619,184,11,257,324,479,1120
L14,3,3,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L14,3,3,0.995,high,6,225,63,287,295,170,11,236,120,443,549
L14,3,3,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L14,4,2,0.99,high,6,275,99,339,838,196,12,256,522,492,1418
L14,4,2,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L14,4,2,0.995,high,6,230,52,295,452,175,11,235,215,450,784
L14,4,2,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L14,4,3,0.99,high,7,278,95,341,816,201,12,263,491,496,1466
L14,4,3,0.99,low,7,189,18,242,32,159,11,202,18,377,66
L14,4,3,0.995,high,7,241,53,300,482,176,11,237,213,461,862
L14,4,3,0.995,low,7,189,18,242,32,159,11,202,18,377,66
L15,2,2,0.99,high,4,282,130,342,546,188,14,278,327,492,1018
L15,2,2,0.99,low,4,189,18,242,32,159,11,202,18,377,66
L15,2,2,0.995,high,4,247,73,314,236,171,11,257,124,455,410
L15,2,2,0.995,low,4,189,18,242,32,159,11,202,18,377,66
L15,2,3,0.99,high,5,291,155,346,634,199,15,287,406,502,1159
L15,2,3,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L15,2,3,0.995,high,5,253,79,311,333,171,11,259,167,465,507
L15,2,3,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L15,3,2,0.99,high,5,290,147,335,612,197,21,270,380,483,1084
L15,3,2,0.99,low,5,189,18,242,32,159,11,202,18,377,66
L15,3,2,0.995,high,5,250,81,305,261,178,11,254,127,440,435
L15,3,2,0.995,low,5,189,18,242,32,159,11,202,18,377,66
L15,3,3,0.99,high,6,294,168,340,692,206,19,281,452,495,1227
L15,3,3,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L15,3,3,0.995,high,6,255,79,311,381,174,11,256,181,456,568
L15,3,3,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L15,4,2,0.99,high,6,315,154,362,680,220,42,287,432,498,1212
L15,4,2,0.99,low,6,189,18,242,32,159,11,202,18,377,66
L15,4,2,0.995,high,6,266,75,317,344,186,12,253,173,457,530
L15,4,2,0.995,low,6,189,18,242,32,159,11,202,18,377,66
L15,4,3,0.99,high,7,329,164,369,754,233,41,304,468,513,1376
L15,4,3,0.99,low,7,189,18,242,32,159,11,202,18,377,66
L15,4,3,0.995,high,7,270,81,324,472,199,17,257,245,471,679
L15,4,3,0.995,low,7,189,18,242,32,159,11,202,18,377,66
