w,sk,ep,succ,lag1,objmove,eefpath
2,w02_s002,300000212,False,0.7109262535766679,0.3522048890590668,1.5879998207092285
2,w02_s002,300000213,False,0.7858998994438016,0.34988802671432495,2.365569591522217
2,w02_s002,300000214,False,0.6777967038203259,0.3506242632865906,1.5845917463302612
2,w02_s002,300000215,False,0.7697529756293005,0.031929273158311844,2.0781490802764893
2,w02_s003,300000300,False,0.7808579541742802,0.3672950565814972,2.304631471633911
2,w02_s003,300000301,True,0.7557441680989367,0.3960827887058258,2.02504825592041
2,w02_s003,300000302,False,0.6934633372972409,0.33702218532562256,1.4463330507278442
2,w02_s003,300000303,False,0.6884037951628367,0.343738853931427,1.484843373298645
2,w02_s003,300000304,True,0.7845973837666396,0.3956453204154968,1.8657714128494263
2,w02_s003,300000305,False,0.7727242844800154,0.3679687976837158,2.3142662048339844
2,w02_s003,300000306,False,0.788171200081706,0.34560707211494446,2.2803144454956055
2,w02_s003,300000307,False,0.7610452938824892,0.347426176071167,2.0028815269470215
2,w02_s003,300000308,False,0.7745738991846641,0.335588276386261,2.213386058807373
2,w02_s003,300000309,False,0.7486779956767956,0.3447200655937195,1.9820096492767334
2,w02_s003,300000310,False,0.7245405968278646,0.3315495550632477,1.799900770187378
2,w02_s003,300000311,False,0.7733883075416088,0.35718807578086853,2.1951050758361816
2,w02_s003,300000312,False,0.7590382260580858,0.3503636419773102,2.06140398979187
2,w02_s003,300000313,False,0.7838594503700733,0.3524588942527771,2.2967073917388916
2,w02_s003,300000314,False,0.7706456755598386,0.34518763422966003,2.3480637073516846
2,w02_s003,300000315,False,0.7493287076552709,0.36681774258613586,1.9637571573257446
2,w02_s004,300000400,False,0.6808202456920704,0.35260897874832153,1.462928056716919
2,w02_s004,300000401,False,0.7765206846785038,0.3098893165588379,2.2903316020965576
2,w02_s004,300000402,False,0.7198033009437804,0.3417510688304901,1.7081561088562012
2,w02_s004,300000403,False,0.669059471247044,0.3481990098953247,1.3938534259796143
2,w02_s004,300000404,False,0.6679492783039174,0.33925727009773254,1.3785902261734009
2,w02_s004,300000405,False,0.76216995082003,0.3473947048187256,1.9605132341384888
