calibration,score_kind,method,window,scope,metric,estimate,lo,hi,tasks,first_query
task_init,calibrated_rank,ac_reference,q8_13,excluding_S05,auc,0.7277730049582475,0.6775542341061833,0.7761886609569429,35,8
task_init,calibrated_rank,ac_reference,q8_13,excluding_S05,control_auc,0.7277730049582475,0.6775542341061833,0.7761886609569429,35,8
task_init,calibrated_rank,ac_reference,q8_13,excluding_S05,old_ac_auc,0.7218486317061014,0.6666463834496391,0.7718830230897393,35,8
task_init,calibrated_rank,ac_reference,q8_13,excluding_S05,delta_control,0.0,0.0,0.0,35,8
task_init,calibrated_rank,ac_reference,q8_13,excluding_S05,delta_old_ac,0.005924373252146099,-0.0038184720633207864,0.016412076103000505,35,8
task_init,calibrated_rank,relative_low,q8_13,all,auc,0.6730342708649564,0.6253352658091405,0.720100337148442,36,8
task_init,calibrated_rank,relative_low,q8_13,all,control_auc,0.7263954639776325,0.6769631444481954,0.7738056039914495,36,8
task_init,calibrated_rank,relative_low,q8_13,all,old_ac_auc,0.7208772164014857,0.6667741763821637,0.7707999536419505,36,8
task_init,calibrated_rank,relative_low,q8_13,all,delta_control,-0.05336119311267621,-0.09397495990205627,-0.014712119034315943,36,8
task_init,calibrated_rank,relative_low,q8_13,all,delta_old_ac,-0.047842945536529444,-0.09001818971186938,-0.007679390994733113,36,8
task_init,calibrated_rank,relative_low,q8_13,excluding_S05,auc,0.6717266837764928,0.6238875323389224,0.7174727978266107,35,8
task_init,calibrated_rank,relative_low,q8_13,excluding_S05,control_auc,0.7277730049582475,0.6775542341061833,0.7761886609569429,35,8
task_init,calibrated_rank,relative_low,q8_13,excluding_S05,old_ac_auc,0.7218486317061014,0.6666463834496391,0.7718830230897393,35,8
task_init,calibrated_rank,relative_low,q8_13,excluding_S05,delta_control,-0.05604632118175469,-0.09776503572702898,-0.017827468790915305,35,8
task_init,calibrated_rank,relative_low,q8_13,excluding_S05,delta_old_ac,-0.050121947929608585,-0.09388989617836102,-0.010156402559329553,35,8
task_init,calibrated_rank,relative_low_soft,q8_13,all,auc,0.6793130708964746,0.6350385311093422,0.7228663424931132,36,8
task_init,calibrated_rank,relative_low_soft,q8_13,all,control_auc,0.7263954639776325,0.6769631444481954,0.7738056039914495,36,8
task_init,calibrated_rank,relative_low_soft,q8_13,all,old_ac_auc,0.7208772164014857,0.6667741763821637,0.7707999536419505,36,8
task_init,calibrated_rank,relative_low_soft,q8_13,all,delta_control,-0.04708239308115809,-0.08621165346792273,-0.011319136798042388,36,8
task_init,calibrated_rank,relative_low_soft,q8_13,all,delta_old_ac,-0.04156414550501131,-0.08374594107013275,-0.0029374774613208773,36,8
task_init,calibrated_rank,relative_low_soft,q8_13,excluding_S05,auc,0.677376520386192,0.6331695010886419,0.7223757868685217,35,8
task_init,calibrated_rank,relative_low_soft,q8_13,excluding_S05,control_auc,0.7277730049582475,0.6775542341061833,0.7761886609569429,35,8
task_init,calibrated_rank,relative_low_soft,q8_13,excluding_S05,old_ac_auc,0.7218486317061014,0.6666463834496391,0.7718830230897393,35,8
task_init,calibrated_rank,relative_low_soft,q8_13,excluding_S05,delta_control,-0.05039648457205555,-0.09115541155954897,-0.013043214758626806,35,8
task_init,calibrated_rank,relative_low_soft,q8_13,excluding_S05,delta_old_ac,-0.04447211131990944,-0.08694426573443205,-0.005061089959409487,35,8
task_init,calibrated_rank,relative_magnitude,q8_13,all,auc,0.676787126197538,0.6417195197777162,0.7123064541068393,36,8
task_init,calibrated_rank,relative_magnitude,q8_13,all,control_auc,0.7263954639776325,0.6769631444481954,0.7738056039914495,36,8
task_init,calibrated_rank,relative_magnitude,q8_13,all,old_ac_auc,0.7208772164014857,0.6667741763821637,0.7707999536419505,36,8
task_init,calibrated_rank,relative_magnitude,q8_13,all,delta_control,-0.049608337780094686,-0.0949890174725829,-0.003204116089174966,36,8
task_init,calibrated_rank,relative_magnitude,q8_13,all,delta_old_ac,-0.044090090203947926,-0.0924000360230254,0.007220787495441941,36,8
task_init,calibrated_rank,relative_magnitude,q8_13,excluding_S05,auc,0.6756771227773272,0.6406472492036276,0.7119587792123163,35,8
task_init,calibrated_rank,relative_magnitude,q8_13,excluding_S05,control_auc,0.7277730049582475,0.6775542341061833,0.7761886609569429,35,8
task_init,calibrated_rank,relative_magnitude,q8_13,excluding_S05,old_ac_auc,0.7218486317061014,0.6666463834496391,0.7718830230897393,35,8
task_init,calibrated_rank,relative_magnitude,q8_13,excluding_S05,delta_control,-0.0520958821809203,-0.0989779486565124,-0.0047862719136631034,35,8
task_init,calibrated_rank,relative_magnitude,q8_13,excluding_S05,delta_old_ac,-0.04617150892877422,-0.09787353355754361,0.005733165017939436,35,8
task_init,raw_score,ac_reference,q8_13,all,auc,0.7176924699864691,0.6588765775596014,0.7700032568721406,36,8
task_init,raw_score,ac_reference,q8_13,all,control_auc,0.7176924699864691,0.6588765775596014,0.7700032568721406,36,8
task_init,raw_score,ac_reference,q8_13,all,old_ac_auc,0.7208772164014857,0.6667741763821637,0.7707999536419505,36,8
task_init,raw_score,ac_reference,q8_13,all,delta_control,0.0,0.0,0.0,36,8
task_init,raw_score,ac_reference,q8_13,all,delta_old_ac,-0.0031847464150168807,-0.014473646121965377,0.008310713921642246,36,8
task_init,raw_score,ac_reference,q8_13,excluding_S05,auc,0.7186741123107834,0.6576172410788093,0.7723439418813821,35,8
task_init,raw_score,ac_reference,q8_13,excluding_S05,control_auc,0.7186741123107834,0.6576172410788093,0.7723439418813821,35,8
task_init,raw_score,ac_reference,q8_13,excluding_S05,old_ac_auc,0.7218486317061014,0.6666463834496391,0.7718830230897393,35,8
task_init,raw_score,ac_reference,q8_13,excluding_S05,delta_control,0.0,0.0,0.0,35,8
task_init,raw_score,ac_reference,q8_13,excluding_S05,delta_old_ac,-0.0031745193953181443,-0.014707596381474338,0.008463409515900603,35,8
task_init,raw_score,relative_low,q8_13,all,auc,0.6579115082111956,0.6076102969234866,0.7060895741079904,36,8
task_init,raw_score,relative_low,q8_13,all,control_auc,0.7176924699864691,0.6588765775596014,0.7700032568721406,36,8
task_init,raw_score,relative_low,q8_13,all,old_ac_auc,0.7208772164014857,0.6667741763821637,0.7707999536419505,36,8
task_init,raw_score,relative_low,q8_13,all,delta_control,-0.0597809617752734,-0.10518860199949129,-0.01634323177554724,36,8
task_init,raw_score,relative_low,q8_13,all,delta_old_ac,-0.06296570819029028,-0.1073110366312887,-0.021509502308423203,36,8
task_init,raw_score,relative_low,q8_13,excluding_S05,auc,0.6561301633871973,0.6039639990703769,0.7040770893851253,35,8
task_init,raw_score,relative_low,q8_13,excluding_S05,control_auc,0.7186741123107834,0.6576172410788093,0.7723439418813821,35,8
task_init,raw_score,relative_low,q8_13,excluding_S05,old_ac_auc,0.7218486317061014,0.6666463834496391,0.7718830230897393,35,8
task_init,raw_score,relative_low,q8_13,excluding_S05,delta_control,-0.06254394892358585,-0.11089504709081438,-0.016872587329102007,35,8
task_init,raw_score,relative_low,q8_13,excluding_S05,delta_old_ac,-0.06571846831890399,-0.11311255594645467,-0.023135185021863718,35,8
task_init,raw_score,relative_low_soft,q8_13,all,auc,0.6621105831358515,0.6107737137791678,0.7088461172301734,36,8
task_init,raw_score,relative_low_soft,q8_13,all,control_auc,0.7176924699864691,0.6588765775596014,0.7700032568721406,36,8
task_init,raw_score,relative_low_soft,q8_13,all,old_ac_auc,0.7208772164014857,0.6667741763821637,0.7707999536419505,36,8
task_init,raw_score,relative_low_soft,q8_13,all,delta_control,-0.0555818868506176,-0.0992133542242981,-0.01569053047571554,36,8
task_init,raw_score,relative_low_soft,q8_13,all,delta_old_ac,-0.058766633265634485,-0.10086322155563068,-0.021074351357659966,36,8
task_init,raw_score,relative_low_soft,q8_13,excluding_S05,auc,0.6597204030720206,0.6073686959391899,0.7083133844263109,35,8
task_init,raw_score,relative_low_soft,q8_13,excluding_S05,control_auc,0.7186741123107834,0.6576172410788093,0.7723439418813821,35,8
task_init,raw_score,relative_low_soft,q8_13,excluding_S05,old_ac_auc,0.7218486317061014,0.6666463834496391,0.7718830230897393,35,8
task_init,raw_score,relative_low_soft,q8_13,excluding_S05,delta_control,-0.058953709238762655,-0.10383957052910901,-0.017076054962028256,35,8
task_init,raw_score,relative_low_soft,q8_13,excluding_S05,delta_old_ac,-0.062128228634080795,-0.10645999649330737,-0.022840045361310606,35,8
task_init,raw_score,relative_magnitude,q8_13,all,auc,0.6475741765717029,0.5987827904367077,0.6943417694414729,36,8
task_init,raw_score,relative_magnitude,q8_13,all,control_auc,0.7176924699864691,0.6588765775596014,0.7700032568721406,36,8
task_init,raw_score,relative_magnitude,q8_13,all,old_ac_auc,0.7208772164014857,0.6667741763821637,0.7707999536419505,36,8
task_init,raw_score,relative_magnitude,q8_13,all,delta_control,-0.07011829341476605,-0.12019590309863236,-0.021822099637097823,36,8
task_init,raw_score,relative_magnitude,q8_13,all,delta_old_ac,-0.07330303982978292,-0.12422732217084503,-0.026606939907306414,36,8
task_init,raw_score,relative_magnitude,q8_13,excluding_S05,auc,0.6455078060177034,0.5957010693898751,0.693481600341252,35,8
task_init,raw_score,relative_magnitude,q8_13,excluding_S05,control_auc,0.7186741123107834,0.6576172410788093,0.7723439418813821,35,8
task_init,raw_score,relative_magnitude,q8_13,excluding_S05,old_ac_auc,0.7218486317061014,0.6666463834496391,0.7718830230897393,35,8
task_init,raw_score,relative_magnitude,q8_13,excluding_S05,delta_control,-0.07316630629307982,-0.12661159459771076,-0.02405594856051721,35,8
task_init,raw_score,relative_magnitude,q8_13,excluding_S05,delta_old_ac,-0.07634082568839798,-0.1303016669861546,-0.02834714091289143,35,8
episode,calibrated_rank,ac_reference,all_comparable_queries,all,auc,0.7149683560459276,0.6639940212504606,0.7641710299996627,36,8
episode,calibrated_rank,ac_reference,all_comparable_queries,all,control_auc,0.7149683560459276,0.6639940212504606,0.7641710299996627,36,8
episode,calibrated_rank,ac_reference,all_comparable_queries,all,old_ac_auc,0.7076907123880614,0.6537019709195272,0.7598001970840528,36,8
episode,calibrated_rank,ac_reference,all_comparable_queries,all,delta_control,0.0,0.0,0.0,36,8
episode,calibrated_rank,ac_reference,all_comparable_queries,all,delta_old_ac,0.007277643657866285,-0.004558441729243858,0.02357151455655616,36,8
episode,calibrated_rank,ac_reference,all_comparable_queries,excluding_S05,auc,0.723462082624334,0.6706898352533939,0.7715621793870655,35,8
episode,calibrated_rank,ac_reference,all_comparable_queries,excluding_S05,control_auc,0.723462082624334,0.6706898352533939,0.7715621793870655,35,8
episode,calibrated_rank,ac_reference,all_comparable_queries,excluding_S05,old_ac_auc,0.7155645255348867,0.6623799196760415,0.7661805168692843,35,8
episode,calibrated_rank,ac_reference,all_comparable_queries,excluding_S05,delta_control,0.0,0.0,0.0,35,8
episode,calibrated_rank,ac_reference,all_comparable_queries,excluding_S05,delta_old_ac,0.00789755708944722,-0.004264959326542028,0.024342670046561616,35,8
episode,calibrated_rank,relative_low,all_comparable_queries,all,auc,0.6549201397902882,0.6073962023758562,0.6996723107311595,36,8
episode,calibrated_rank,relative_low,all_comparable_queries,all,control_auc,0.7149683560459276,0.6639940212504606,0.7641710299996627,36,8
episode,calibrated_rank,relative_low,all_comparable_queries,all,old_ac_auc,0.7076907123880614,0.6537019709195272,0.7598001970840528,36,8
episode,calibrated_rank,relative_low,all_comparable_queries,all,delta_control,-0.06004821625563945,-0.09255296101123035,-0.03179727392965468,36,8
episode,calibrated_rank,relative_low,all_comparable_queries,all,delta_old_ac,-0.05277057259777316,-0.0884993393572419,-0.02058718788178815,36,8
episode,calibrated_rank,relative_low,all_comparable_queries,excluding_S05,auc,0.659825386564587,0.6118359519987476,0.703491904797641,35,8
episode,calibrated_rank,relative_low,all_comparable_queries,excluding_S05,control_auc,0.723462082624334,0.6706898352533939,0.7715621793870655,35,8
episode,calibrated_rank,relative_low,all_comparable_queries,excluding_S05,old_ac_auc,0.7155645255348867,0.6623799196760415,0.7661805168692843,35,8
episode,calibrated_rank,relative_low,all_comparable_queries,excluding_S05,delta_control,-0.0636366960597468,-0.09466427887902897,-0.03529293817063098,35,8
episode,calibrated_rank,relative_low,all_comparable_queries,excluding_S05,delta_old_ac,-0.055739138970299584,-0.08857768176144303,-0.022859172889622453,35,8
episode,calibrated_rank,relative_low_soft,all_comparable_queries,all,auc,0.6639127925172412,0.6169096658206366,0.7083202499207254,36,8
episode,calibrated_rank,relative_low_soft,all_comparable_queries,all,control_auc,0.7149683560459276,0.6639940212504606,0.7641710299996627,36,8
episode,calibrated_rank,relative_low_soft,all_comparable_queries,all,old_ac_auc,0.7076907123880614,0.6537019709195272,0.7598001970840528,36,8
episode,calibrated_rank,relative_low_soft,all_comparable_queries,all,delta_control,-0.051055563528686426,-0.0811251102639077,-0.02474110662903559,36,8
episode,calibrated_rank,relative_low_soft,all_comparable_queries,all,delta_old_ac,-0.04377791987082015,-0.0769386955861198,-0.014865182684426654,36,8
episode,calibrated_rank,relative_low_soft,all_comparable_queries,excluding_S05,auc,0.6689418336891717,0.620591765572762,0.7146443330330214,35,8
episode,calibrated_rank,relative_low_soft,all_comparable_queries,excluding_S05,control_auc,0.723462082624334,0.6706898352533939,0.7715621793870655,35,8
episode,calibrated_rank,relative_low_soft,all_comparable_queries,excluding_S05,old_ac_auc,0.7155645255348867,0.6623799196760415,0.7661805168692843,35,8
episode,calibrated_rank,relative_low_soft,all_comparable_queries,excluding_S05,delta_control,-0.05452024893516213,-0.0823492565125112,-0.02818447330995135,35,8
episode,calibrated_rank,relative_low_soft,all_comparable_queries,excluding_S05,delta_old_ac,-0.0466226918457149,-0.07683386698585921,-0.016309882567778856,35,8
episode,calibrated_rank,relative_magnitude,all_comparable_queries,all,auc,0.6531594332616008,0.6138999900878966,0.6919428937091879,36,8
episode,calibrated_rank,relative_magnitude,all_comparable_queries,all,control_auc,0.7149683560459276,0.6639940212504606,0.7641710299996627,36,8
