channel,const_frac,switch_rate,n_distinct,dead,best_excess,sign,thr,tp_lead4,fp_lead4,tp_lead0,fp_lead0,median_lead
flow:state_action_alignment:L13:sm,0.0,1.0,141953,False,-186,1,1.789981963634492,36.0,125.0,42.0,145.0,29.0
flow:token_entropy:L12:s6,0.0,0.9999022382232597,36151,False,-186,1,1.439973611831665,36.0,130.0,46.0,140.0,12.0
flow:state_action_alignment:L13:s6,0.0,0.9999834834834834,142263,False,-186,1,1.7785756206512457,36.0,117.0,42.0,143.0,28.5
hb:partial_edge_std:L15:-,0.0,1.0,220410,False,-186,1,5.466420335769653,36.0,119.0,43.0,173.0,13.0
flow:state_action_alignment:L14:s3,0.0,0.9999967824967826,130039,False,-186,-1,5.345394430160523,36.0,154.0,38.0,162.0,36.0
chan:query_hard_churn_d9:L4:-,0.0,0.9022368774392152,777,False,-186,-1,3.7442848682403564,36.0,154.0,45.0,162.0,15.0
chan:selected_mass:L13:-,0.0,0.9999666114886704,74918,False,-187,-1,1.8123744034767153,35.0,160.0,35.0,168.0,21.0
flow:conditional_energy:L13:sm,0.0,1.0,219916,False,-187,-1,1.7993118572235107,35.0,126.0,41.0,146.0,29.0
deriv:log_mobility:L3:s9,0.0,0.9138089216693693,202571,False,-187,-1,2.7111002349853535,35.0,115.0,35.0,149.0,12.0
chan:tie_margin:L15:-,0.0,0.9990641201883856,3998,False,-187,-1,1.7882192134857178,35.0,159.0,36.0,172.0,13.0
flow:state_action_alignment:L14:s6,0.0,0.9999957374254049,131966,False,-187,-1,5.239851703643803,35.0,158.0,36.0,165.0,29.0
flow:state_mobility:L15:sm,0.0,0.9138089216693693,203865,False,-187,1,3.28194217681885,35.0,103.0,39.0,146.0,12.0
deriv:log_mobility:L15:s9,0.0,0.9138089216693693,202241,False,-187,1,2.399017324447634,35.0,115.0,41.0,148.0,14.0
flow:token_differentiation:L15:s0,0.0,0.9999130758582382,28633,False,-187,-1,1.419877536296845,35.0,102.0,53.0,125.0,6.0
flow:state_action_alignment:L13:s0,0.0,0.9999948547685616,140179,False,-187,1,1.7956177783012397,35.0,122.0,40.0,140.0,20.5
flow:conditional_energy:L13:s0,0.0,1.0,218067,False,-187,-1,1.8057351016998293,35.0,123.0,40.0,141.0,20.5
