prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
1,state,back_12_15,7,entropy,0.5,0.3333333333333333,0.16666666666666669,-0.02777777798473835,0.44722221046686156,0.058823529411764705,1.0,36,36
1,state,front_2_5,3,entropy,0.5555555555555556,0.3888888888888889,0.16666666666666669,0.0062500000465661315,0.2777777910232544,0.058823529411764705,1.0,36,36
1,state,front_2_5,4,top1_mass,0.5555555555555556,0.3888888888888889,0.16666666666666669,0.0,0.27152778804302213,0.058823529411764705,1.0,36,36
1,state,front_2_5,9,consensus_distance,0.5833333333333334,0.4166666666666667,0.16666666666666669,0.0062500000465661315,0.243750000372529,0.058823529411764705,1.0,36,36
1,action,front_2_5,9,consensus_distance,0.5,0.3611111111111111,0.1388888888888889,0.06180555643513799,0.2159722242504358,0.0784313725490196,1.0,36,36
1,state,front_2_5,0,entropy,0.5555555555555556,0.3888888888888889,0.16666666666666669,-0.02152777793817222,0.35486110821366307,0.0784313725490196,1.0,36,36
1,action,front_2_5,9,token_dispersion,0.5555555555555556,0.4444444444444444,0.11111111111111116,-0.09861111184582114,0.29930555596947667,0.09803921568627451,1.0,36,36
1,state,front_2_5,1,entropy,0.5555555555555556,0.4166666666666667,0.1388888888888889,-0.0555555559694767,0.27152778804302213,0.09803921568627451,1.0,36,36
1,action,back_12_15,8,consensus_distance,0.5833333333333334,0.4444444444444444,0.13888888888888895,-0.04305555587634444,0.27152778804302213,0.11764705882352941,1.0,36,36
1,state,front_2_5,6,consensus_distance,0.5277777777777778,0.3888888888888889,0.1388888888888889,0.0,0.2930555529892444,0.11764705882352941,1.0,36,36
1,action,front_2_5,8,consensus_distance,0.5555555555555556,0.4166666666666667,0.1388888888888889,0.02777777798473835,0.2222222238779068,0.13725490196078433,1.0,36,36
1,state,back_12_15,9,consensus_distance,0.5277777777777778,0.4166666666666667,0.1111111111111111,-0.02152777793817222,0.1881944481283426,0.13725490196078433,1.0,36,36
1,state,back_12_15,9,entropy,0.5555555555555556,0.4444444444444444,0.11111111111111116,-0.04930555592291057,0.1944444477558136,0.1568627450980392,1.0,36,36
1,state,front_2_5,6,entropy,0.5277777777777778,0.4166666666666667,0.1111111111111111,-0.02777777798473835,0.243750000372529,0.17647058823529413,1.0,36,36
1,state,front_2_5,8,consensus_distance,0.5277777777777778,0.3888888888888889,0.1388888888888889,-0.04930555592291057,0.2222222238779068,0.17647058823529413,1.0,36,36
1,action,front_2_5,7,top1_mass,0.5277777777777778,0.3888888888888889,0.1388888888888889,-0.02152777793817222,0.25,0.19607843137254902,1.0,36,36
1,state,back_12_15,1,top1_mass,0.5277777777777778,0.4166666666666667,0.1111111111111111,-0.04930555592291057,0.27152778804302213,0.19607843137254902,1.0,36,36
1,action,back_12_15,1,entropy,0.3888888888888889,0.5,-0.1111111111111111,-0.23750000074505806,0.0,0.21568627450980393,1.0,36,36
1,action,back_12_15,1,top1_mass,0.5833333333333334,0.4722222222222222,0.11111111111111116,-0.02152777793817222,0.1944444477558136,0.21568627450980393,1.0,36,36
1,action,back_12_15,9,entropy,0.4166666666666667,0.5277777777777778,-0.1111111111111111,-0.32708334028720853,0.049305555922910534,0.21568627450980393,1.0,36,36
1,state,back_12_15,7,top1_mass,0.5277777777777778,0.3888888888888889,0.1388888888888889,-0.09236111138015984,0.3333333432674408,0.21568627450980393,1.0,36,36
1,state,back_12_15,8,consensus_distance,0.5,0.3888888888888889,0.1111111111111111,-0.0555555559694767,0.3979166612029074,0.23529411764705882,1.0,36,36
1,state,front_2_5,5,entropy,0.5,0.3888888888888889,0.1111111111111111,-0.0770833353511989,0.243750000372529,0.23529411764705882,1.0,36,36
1,action,back_12_15,0,token_dispersion,0.5277777777777778,0.4166666666666667,0.1111111111111111,-0.02777777798473835,0.2652777884155511,0.2549019607843137,1.0,36,36
1,action,back_12_15,3,entropy,0.4166666666666667,0.5277777777777778,-0.1111111111111111,-0.2777777910232544,0.049305555922910534,0.2549019607843137,1.0,36,36
1,action,back_12_15,9,consensus_distance,0.5555555555555556,0.4444444444444444,0.11111111111111116,-0.0555555559694767,0.243750000372529,0.29411764705882354,1.0,36,36
1,action,back_12_15,7,top1_mass,0.3888888888888889,0.4722222222222222,-0.08333333333333331,-0.24375000037252903,0.02777777798473835,0.3137254901960784,1.0,36,36
1,action,back_12_15,0,top1_mass,0.5555555555555556,0.4444444444444444,0.11111111111111116,-0.02152777793817222,0.1944444477558136,0.3333333333333333,1.0,36,36
1,state,back_12_15,1,entropy,0.5,0.4166666666666667,0.08333333333333331,-0.0770833353511989,0.2159722242504358,0.3333333333333333,1.0,36,36
1,action,back_12_15,2,top1_mass,0.5277777777777778,0.4444444444444444,0.08333333333333337,-0.0770833353511989,0.1666666716337204,0.35294117647058826,1.0,36,36
1,action,front_2_5,8,top1_mass,0.5,0.4166666666666667,0.08333333333333331,-0.1111111119389534,0.1944444477558136,0.35294117647058826,1.0,36,36
1,state,front_2_5,3,consensus_distance,0.5,0.4166666666666667,0.08333333333333331,-0.0833333358168602,0.243750000372529,0.35294117647058826,1.0,36,36
1,state,front_2_5,2,entropy,0.5277777777777778,0.4444444444444444,0.08333333333333337,-0.0770833353511989,0.1881944481283426,0.37254901960784315,1.0,36,36
1,state,front_2_5,9,top1_mass,0.5277777777777778,0.4444444444444444,0.08333333333333337,-0.1111111119389534,0.1944444477558136,0.37254901960784315,1.0,36,36
1,action,back_12_15,4,entropy,0.4444444444444444,0.5277777777777778,-0.08333333333333337,-0.27152778804302213,0.0833333358168602,0.39215686274509803,1.0,36,36
1,state,front_2_5,5,consensus_distance,0.4444444444444444,0.3611111111111111,0.08333333333333331,-0.0770833353511989,0.2652777884155511,0.39215686274509803,1.0,36,36
1,action,back_12_15,6,entropy,0.4444444444444444,0.5277777777777778,-0.08333333333333337,-0.3361111059784889,0.07708333535119888,0.4117647058823529,1.0,36,36
1,state,back_12_15,0,consensus_distance,0.5277777777777778,0.4444444444444444,0.08333333333333337,-0.0555555559694767,0.2222222238779068,0.4117647058823529,1.0,36,36
1,state,back_12_15,5,top1_mass,0.5277777777777778,0.4444444444444444,0.08333333333333337,-0.02152777793817222,0.243750000372529,0.4117647058823529,1.0,36,36
1,state,front_2_5,2,consensus_distance,0.5277777777777778,0.4444444444444444,0.08333333333333337,-0.0770833353511989,0.1666666716337204,0.4117647058823529,1.0,36,36
1,action,back_12_15,7,consensus_distance,0.5277777777777778,0.4444444444444444,0.08333333333333337,-0.0833333358168602,0.1881944481283426,0.43137254901960786,1.0,36,36
1,state,back_12_15,6,consensus_distance,0.5277777777777778,0.4444444444444444,0.08333333333333337,-0.0833333358168602,0.1666666716337204,0.43137254901960786,1.0,36,36
1,state,back_12_15,8,top1_mass,0.4444444444444444,0.5277777777777778,-0.08333333333333337,-0.2993055559694767,0.1111111119389534,0.43137254901960786,1.0,36,36
1,action,front_2_5,6,top1_mass,0.5277777777777778,0.4444444444444444,0.08333333333333337,-0.04930555592291057,0.2159722242504358,0.45098039215686275,1.0,36,36
1,action,front_2_5,8,token_dispersion,0.5,0.4166666666666667,0.08333333333333331,-0.1111111119389534,0.2222222238779068,0.45098039215686275,1.0,36,36
1,state,front_2_5,8,top1_mass,0.5,0.4166666666666667,0.08333333333333331,-0.10486111231148243,0.1944444477558136,0.45098039215686275,1.0,36,36
1,state,back_12_15,0,entropy,0.5277777777777778,0.4444444444444444,0.08333333333333337,-0.0770833353511989,0.1881944481283426,0.49019607843137253,1.0,36,36
1,action,back_12_15,0,consensus_distance,0.5277777777777778,0.4444444444444444,0.08333333333333337,0.0062500000465661315,0.1388888955116272,0.5098039215686274,1.0,36,36
1,action,back_12_15,4,top1_mass,0.4166666666666667,0.5,-0.08333333333333331,-0.29305555298924446,-0.006250000046566168,0.5490196078431373,1.0,36,36
1,action,front_2_5,6,consensus_distance,0.5277777777777778,0.4722222222222222,0.05555555555555558,-0.0770833353511989,0.13263889420777555,0.5490196078431373,1.0,36,36
1,action,back_12_15,5,entropy,0.4166666666666667,0.4722222222222222,-0.055555555555555525,-0.23750000074505806,0.13263889420777555,0.5686274509803921,1.0,36,36
1,action,back_12_15,1,token_dispersion,0.4722222222222222,0.4166666666666667,0.055555555555555525,-0.0833333358168602,0.1666666716337204,0.5882352941176471,1.0,36,36
1,action,front_2_5,5,token_dispersion,0.4722222222222222,0.5277777777777778,-0.05555555555555558,-0.1944444477558136,0.0,0.5882352941176471,1.0,36,36
1,action,front_2_5,9,entropy,0.4444444444444444,0.5,-0.05555555555555558,-0.27152778804302213,0.10486111231148239,0.5882352941176471,1.0,36,36
1,state,back_12_15,9,top1_mass,0.5555555555555556,0.5,0.05555555555555558,-0.0833333358168602,0.1388888955116272,0.5882352941176471,1.0,36,36
1,action,back_12_15,2,consensus_distance,0.5277777777777778,0.4722222222222222,0.05555555555555558,0.0,0.1111111119389534,0.6078431372549019,1.0,36,36
1,action,back_12_15,4,consensus_distance,0.5277777777777778,0.4722222222222222,0.05555555555555558,-0.0770833353511989,0.1111111119389534,0.6078431372549019,1.0,36,36
1,action,back_12_15,6,top1_mass,0.3888888888888889,0.4444444444444444,-0.055555555555555525,-0.21597222425043583,0.02777777798473835,0.6274509803921569,1.0,36,36
1,action,back_12_15,9,token_dispersion,0.5,0.4444444444444444,0.05555555555555558,-0.1111111119389534,0.2652777884155511,0.6274509803921569,1.0,36,36
1,action,front_2_5,0,token_dispersion,0.5277777777777778,0.4722222222222222,0.05555555555555558,-0.16041667200624943,0.243750000372529,0.6470588235294118,1.0,36,36
1,action,back_12_15,8,entropy,0.4444444444444444,0.5,-0.05555555555555558,-0.32986110635101795,0.0833333358168602,0.6666666666666666,1.0,36,36
1,state,back_12_15,4,consensus_distance,0.4166666666666667,0.4722222222222222,-0.055555555555555525,-0.16041667200624943,0.02777777798473835,0.6666666666666666,1.0,36,36
1,action,back_12_15,5,top1_mass,0.3611111111111111,0.4166666666666667,-0.05555555555555558,-0.20972222462296486,0.021527777938172184,0.6862745098039216,1.0,36,36
1,state,back_12_15,3,consensus_distance,0.5,0.4444444444444444,0.05555555555555558,-0.0833333358168602,0.1666666716337204,0.7058823529411765,1.0,36,36
1,action,back_12_15,8,token_dispersion,0.5,0.4444444444444444,0.05555555555555558,-0.0833333358168602,0.1881944481283426,0.7647058823529411,1.0,36,36
1,action,back_12_15,9,top1_mass,0.4722222222222222,0.5,-0.02777777777777779,-0.1388888955116272,0.1111111119389534,0.7843137254901961,1.0,36,36
1,action,front_2_5,1,consensus_distance,0.5,0.5277777777777778,-0.02777777777777779,-0.1666666716337204,0.09861111184582107,0.7843137254901961,1.0,36,36
1,state,back_12_15,8,entropy,0.5,0.4722222222222222,0.02777777777777779,-0.0833333358168602,0.1666666716337204,0.7843137254901961,1.0,36,36
1,action,back_12_15,2,entropy,0.4722222222222222,0.5,-0.02777777777777779,-0.1944444477558136,0.1388888955116272,0.803921568627451,1.0,36,36
1,action,front_2_5,2,entropy,0.5,0.5277777777777778,-0.02777777777777779,-0.1541666707023978,0.1111111119389534,0.803921568627451,1.0,36,36
1,action,front_2_5,2,top1_mass,0.4722222222222222,0.4444444444444444,0.02777777777777779,-0.10486111231148243,0.18194444850087158,0.803921568627451,1.0,36,36
