method,family,threshold_mode,runtime_task_identity,config,source,alarms,tp,fp,precision,recall,timely_fpr,mean_matched_prior,lift,published_tp,published_fp,reproduces_published,alarms_on_timely_success,alarms_on_late_success_plus10,alarms_on_persistent_failure,recall_persistent,recall_late,mode_dropped_n,mode_dropped_hit,mode_dropped_recall,mode_dropped_persistent_n,mode_no_grasp_n,mode_no_grasp_hit,mode_no_grasp_recall,mode_no_grasp_persistent_n,mode_moved_unmet_n,mode_moved_unmet_hit,mode_moved_unmet_recall,mode_moved_unmet_persistent_n,mode_regressed_n,mode_regressed_hit,mode_regressed_recall,mode_regressed_persistent_n,mode_released_outside_n,mode_released_outside_hit,mode_released_outside_recall,mode_released_outside_persistent_n,mode_no_contact_n,mode_no_contact_hit,mode_no_contact_recall,mode_no_contact_persistent_n,mode_timeout_holding_n,mode_timeout_holding_hit,mode_timeout_holding_recall,mode_timeout_holding_persistent_n,mode_mechanism_n,mode_mechanism_hit,mode_mechanism_recall,mode_mechanism_persistent_n,mode_no_progress_n,mode_no_progress_hit,mode_no_progress_recall,mode_no_progress_persistent_n,worst_mode_recall,worst_mode_name,mean_mode_recall,modes_scored_n,alarm_chunk_q25,alarm_chunk_median,alarm_chunk_q75,remaining_budget_q25,remaining_budget_median,remaining_budget_q75,matched_prior_q25,matched_prior_median,matched_prior_q75,lead_median,early_tp,early_fp,early_precision,early_share_of_tp,budget0_tp,budget0_fp,budget0_precision,budget2_tp,budget2_fp,budget2_precision,budget4_tp,budget4_fp,budget4_precision,budget8_tp,budget8_fp,budget8_precision,budget12_tp,budget12_fp,budget12_precision,budget_won,budget_ceiling,frac_of_ceiling,avg_budget_per_tp,budget_wasted_fp,gain_per_loss,missed_risks,miss_dropped,miss_no_grasp,miss_moved_unmet,miss_regressed,miss_released_outside,miss_no_contact,miss_timeout_holding,miss_mechanism,miss_no_progress,missed_persistent,missed_late
mobility|per_task,frame_survey/adjacent_query,per_task,True,L2 | low | w4 | k4 | q0.7,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,329,272,57,0.8267477203647416,0.48226950354609927,0.003790901835594573,0.5953801599458113,1.3886047537089383,272.0,57.0,True,57,17,255,0.4875717017208413,0.4146341463414634,241,152,0.6307053941908713,231,143,36,0.2517482517482518,136,89,43,0.48314606741573035,83,26,12,0.46153846153846156,26,25,10,0.4,24,14,4,0.2857142857142857,14,23,12,0.5217391304347826,8,1,1,1.0,1,2,2,1.0,0,0.2517482517482518,no_grasp,0.43351308443462616,7,16.0,20.0,26.0,4.0,10.0,21.0,0.12694610778443113,0.8203592814371258,0.9790209790209791,6.0,72,43,0.6260869565217392,0.2647058823529412,272,57,0.8267477203647416,228,57,0.8,199,56,0.7803921568627451,122,53,0.6971428571428572,104,46,0.6933333333333334,3162,17792,0.17772032374100719,11.625,1455,2.1731958762886596,292,89,107,46,14,15,10,11,0,0,268,24
mobility|global,frame_survey/adjacent_query,global,False,L12 | low | w4 | k4 | q0.975,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,212,195,17,0.9198113207547169,0.34574468085106386,0.0011306198457036445,0.5214150585184776,1.7640674271437853,195.0,17.0,True,17,13,182,0.3479923518164436,0.3170731707317073,241,61,0.25311203319502074,231,143,78,0.5454545454545454,136,89,27,0.30337078651685395,83,26,12,0.46153846153846156,26,25,3,0.12,24,14,2,0.14285714285714285,14,23,9,0.391304347826087,8,1,1,1.0,1,2,2,1.0,0,0.12,released_outside,0.3168053310554445,7,26.0,34.0,36.0,12.0,15.0,18.0,0.46678023850085176,0.4963768115942029,0.5969498910675382,15.0,36,4,0.9,0.18461538461538463,195,17,0.9198113207547169,188,17,0.9170731707317074,171,17,0.9095744680851063,161,17,0.9044943820224719,151,16,0.9041916167664671,3016,17792,0.16951438848920863,15.466666666666667,374,8.064171122994653,369,180,65,62,14,22,12,14,0,0,341,28
conditional_query_d1|per_task,frame_survey/adjacent_query,per_task,True,front_median | low | w4 | k4 | q0.95,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,177,155,22,0.8757062146892656,0.274822695035461,0.0014631550944400106,0.6080416798227896,1.4402075445625462,155.0,22.0,True,22,14,141,0.2695984703632887,0.34146341463414637,241,91,0.3775933609958506,231,143,17,0.11888111888111888,136,89,22,0.24719101123595505,83,26,3,0.11538461538461539,26,25,4,0.16,24,14,3,0.21428571428571427,14,23,12,0.5217391304347826,8,1,1,1.0,1,2,2,1.0,0,0.11538461538461539,regressed,0.2507249930311481,7,17.0,21.0,30.0,4.0,12.0,18.0,0.212,0.5969498910675382,0.9655172413793104,9.0,37,12,0.7551020408163265,0.23870967741935484,155,22,0.8757062146892656,138,22,0.8625,121,20,0.8581560283687943,89,18,0.8317757009345794,73,17,0.8111111111111111,1727,17792,0.09706609712230216,11.141935483870968,438,3.942922374429224,409,150,126,67,23,21,11,11,0,0,382,27
conditional_query_d1|global,frame_survey/adjacent_query,global,False,L5 | low | w4 | k4 | q0.95,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,225,194,31,0.8622222222222222,0.34397163120567376,0.0020617185421654693,0.4994217760998185,1.7264409833220637,194.0,31.0,True,31,18,176,0.3365200764818356,0.43902439024390244,241,56,0.23236514522821577,231,143,81,0.5664335664335665,136,89,24,0.2696629213483146,83,26,9,0.34615384615384615,26,25,6,0.24,24,14,6,0.42857142857142855,14,23,9,0.391304347826087,8,1,1,1.0,1,2,2,1.0,0,0.23236514522821577,dropped,0.3534987507944941,7,21.0,31.0,35.0,12.0,18.0,25.0,0.27987742594484166,0.48841354723707664,0.5969498910675382,17.0,38,10,0.7916666666666666,0.1958762886597938,194,31,0.8622222222222222,186,31,0.8571428571428571,172,30,0.8514851485148515,157,29,0.8440860215053764,147,28,0.84,3530,17792,0.19840377697841727,18.195876288659793,762,4.63254593175853,370,185,62,65,17,19,8,14,0,0,347,23
partial_query_d1|per_task,frame_survey/adjacent_query,per_task,True,all_median | low | w4 | k4 | q0.9,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,176,156,20,0.8863636363636364,0.2765957446808511,0.0013301409949454642,0.6422757645658748,1.3800359366863932,156.0,20.0,True,20,13,143,0.2734225621414914,0.3170731707317073,241,95,0.3941908713692946,231,143,20,0.13986013986013987,136,89,21,0.23595505617977527,83,26,6,0.23076923076923078,26,25,4,0.16,24,14,4,0.2857142857142857,14,23,3,0.13043478260869565,8,1,1,1.0,1,2,2,1.0,0,0.13043478260869565,timeout_holding,0.22527490950020312,7,17.0,20.0,29.0,2.0,7.0,17.0,0.2231578947368421,0.8941568535593365,0.9859154929577465,5.0,42,12,0.7777777777777778,0.2692307692307692,156,20,0.8863636363636364,117,20,0.8540145985401459,93,19,0.8303571428571429,69,17,0.8023255813953488,62,16,0.7948717948717948,1681,17792,0.0944806654676259,10.775641025641026,416,4.040865384615385,408,146,123,68,20,21,10,20,0,0,380,28
partial_query_d1|global,frame_survey/adjacent_query,global,False,L3 | high | w4 | k4 | q0.925,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,238,65,173,0.27310924369747897,0.11524822695035461,0.011505719606278265,0.15404120866125848,1.772962222713111,65.0,173.0,True,173,4,61,0.11663479923518165,0.0975609756097561,241,15,0.06224066390041494,231,143,28,0.1958041958041958,136,89,6,0.06741573033707865,83,26,5,0.19230769230769232,26,25,2,0.08,24,14,6,0.42857142857142855,14,23,3,0.13043478260869565,8,1,0,0.0,1,2,0,0.0,0,0.06224066390041494,dropped,0.1652534990756437,7,16.0,17.0,22.0,29.0,34.0,35.0,0.06993363961204696,0.0714658320292123,0.09028006589785832,28.0,37,168,0.18048780487804877,0.5692307692307692,65,173,0.27310924369747897,61,173,0.2606837606837607,61,173,0.2606837606837607,58,173,0.2510822510822511,53,173,0.2345132743362832,1444,17792,0.08116007194244604,22.215384615384615,5808,0.24862258953168045,499,226,115,83,21,23,8,20,1,2,462,37
flow_path|per_task,frame_survey/denoising_steps,per_task,True,L3 | high | w4 | k4 | q0.96,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,190,153,37,0.8052631578947368,0.2712765957446808,0.0024607608406491087,0.58461568341509,1.37742311870717,153.0,37.0,True,37,13,140,0.2676864244741874,0.3170731707317073,241,99,0.4107883817427386,231,143,8,0.055944055944055944,136,89,25,0.2808988764044944,83,26,0,0.0,26,25,10,0.4,24,14,3,0.21428571428571427,14,23,8,0.34782608695652173,8,1,0,0.0,1,2,0,0.0,0,0.0,regressed,0.24424901647621786,7,13.0,18.0,21.0,3.0,8.0,16.0,0.1780910524344243,0.6666666666666666,0.9655172413793104,6.0,43,21,0.671875,0.28104575163398693,153,37,0.8052631578947368,130,36,0.7831325301204819,100,36,0.7352941176470589,66,35,0.6534653465346535,39,27,0.5909090909090909,1156,17792,0.06497302158273381,7.555555555555555,636,1.8176100628930818,411,142,135,64,26,15,11,15,1,2,383,28
flow_path|global,frame_survey/denoising_steps,global,False,L15 | high | w4 | k4 | q0.99,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,54,50,4,0.9259259259259259,0.08865248226950355,0.00026602819898909286,0.7499984373666172,1.2345704734759482,50.0,4.0,True,4,3,47,0.08986615678776291,0.07317073170731707,241,24,0.0995850622406639,231,143,7,0.04895104895104895,136,89,7,0.07865168539325842,83,26,2,0.07692307692307693,26,25,8,0.32,24,14,1,0.07142857142857142,14,23,1,0.043478260869565216,8,1,0,0.0,1,2,0,0.0,0,0.043478260869565216,timeout_holding,0.10557395797231213,7,15.25,18.0,21.0,3.0,6.0,9.75,0.5036764705882353,0.9523809523809523,0.9655172413793104,5.5,3,4,0.42857142857142855,0.06,50,4,0.9259259259259259,45,4,0.9183673469387755,33,4,0.8918918918918919,14,4,0.7777777777777778,6,3,0.6666666666666666,326,17792,0.018322841726618706,6.52,85,3.835294117647059,514,217,136,82,24,17,13,22,1,2,476,38
flow_endpoint|per_task,frame_survey/denoising_steps,per_task,True,L12 | high | w4 | k4 | q0.96,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,201,162,39,0.8059701492537313,0.2872340425531915,0.0025937749401436553,0.5578528296792264,1.4447720014563268,162.0,39.0,True,39,10,152,0.29063097514340347,0.24390243902439024,241,94,0.3900414937759336,231,143,11,0.07692307692307693,136,89,23,0.25842696629213485,83,26,6,0.23076923076923078,26,25,14,0.56,24,14,4,0.2857142857142857,14,23,10,0.43478260869565216,8,1,0,0.0,1,2,0,0.0,0,0.07692307692307693,no_grasp,0.31952252316718777,7,14.0,19.0,23.0,4.0,9.0,17.0,0.13584531482399603,0.5969498910675382,0.9655172413793104,8.0,42,23,0.6461538461538462,0.25925925925925924,162,39,0.8059701492537313,138,39,0.7796610169491526,118,37,0.7612903225806451,90,33,0.7317073170731707,51,31,0.6219512195121951,1489,17792,0.08368929856115108,9.191358024691358,682,2.1832844574780057,402,147,132,66,20,11,10,13,1,2,371,31
flow_endpoint|global,frame_survey/denoising_steps,global,False,back_median | high | w4 | k4 | q0.99,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,68,59,9,0.8676470588235294,0.10460992907801418,0.0005985634477254589,0.7899495654019094,1.0983575367651341,59.0,9.0,True,9,1,58,0.11089866156787763,0.024390243902439025,241,39,0.16182572614107885,231,143,7,0.04895104895104895,136,89,8,0.0898876404494382,83,26,0,0.0,26,25,4,0.16,24,14,1,0.07142857142857142,14,23,0,0.0,8,1,0,0.0,1,2,0,0.0,0,0.0,regressed,0.07601328385287677,7,14.0,17.0,19.0,2.0,4.0,7.0,0.8536585365853658,0.9655172413793104,0.9790209790209791,3.0,5,7,0.4166666666666667,0.0847457627118644,59,9,0.8676470588235294,47,9,0.8392857142857143,28,9,0.7567567567567568,6,8,0.42857142857142855,2,2,0.5,230,17792,0.012927158273381294,3.8983050847457625,93,2.4731182795698925,505,202,136,81,26,21,13,23,1,2,465,40
flow_settling_log_ratio|per_task,frame_survey/denoising_steps,per_task,True,front_median | high | w4 | k4 | q0.85,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,391,304,87,0.7774936061381074,0.5390070921985816,0.00578611332801277,0.5501162247905625,1.4133260774741025,304.0,87.0,True,87,21,283,0.5411089866156787,0.5121951219512195,241,162,0.6721991701244814,231,143,50,0.34965034965034963,136,89,39,0.43820224719101125,83,26,9,0.34615384615384615,26,25,20,0.8,24,14,8,0.5714285714285714,14,23,14,0.6086956521739131,8,1,0,0.0,1,2,2,1.0,0,0.34615384615384615,regressed,0.5409042623888818,7,13.0,17.0,23.5,4.5,9.0,17.0,0.08476976971491124,0.5569620253164557,0.9655172413793104,7.0,83,62,0.5724137931034483,0.2730263157894737,304,87,0.7774936061381074,281,87,0.7635869565217391,229,86,0.726984126984127,137,80,0.631336405529954,101,71,0.5872093023255814,2908,17792,0.16344424460431656,9.56578947368421,1785,1.6291316526610644,260,79,93,50,17,5,6,9,1,0,240,20
flow_settling_log_ratio|global,frame_survey/denoising_steps,global,False,L12 | low | w4 | k4 | q0.95,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,5,3,2,0.6,0.005319148936170213,0.00013301409949454643,0.13219577022243054,4.538723130024882,3.0,2.0,True,2,0,3,0.0057361376673040155,0.0,241,3,0.012448132780082987,231,143,0,0.0,136,89,0,0.0,83,26,0,0.0,26,25,0,0.0,24,14,0,0.0,14,23,0,0.0,8,1,0,0.0,1,2,0,0.0,0,0.0,no_grasp,0.0017783046828689982,7,12.0,15.0,15.0,14.0,14.0,15.0,0.014671557185728577,0.20423892100192678,0.20423892100192678,14.0,3,2,0.6,1.0,3,2,0.6,3,2,0.6,3,2,0.6,3,2,0.6,3,2,0.6,40,17792,0.0022482014388489208,13.333333333333334,30,1.3333333333333333,561,238,143,89,26,25,14,23,1,2,520,41
action_consensus|per_task,frame_survey/token_graph,per_task,True,L2 | low | w4 | k4 | q0.95,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,135,101,34,0.7481481481481481,0.17907801418439717,0.002261239691407289,0.49748101671935324,1.5038727569582924,101.0,34.0,True,34,10,91,0.1739961759082218,0.24390243902439024,241,51,0.21161825726141079,231,143,11,0.07692307692307693,136,89,16,0.1797752808988764,83,26,1,0.038461538461538464,26,25,10,0.4,24,14,3,0.21428571428571427,14,23,8,0.34782608695652173,8,1,1,1.0,1,2,0,0.0,0,0.038461538461538464,regressed,0.20984142211244836,7,15.0,19.0,23.0,5.0,11.0,19.0,0.09028006589785832,0.43630573248407645,0.958904109589041,9.0,35,22,0.6140350877192983,0.3465346534653465,101,34,0.7481481481481481,92,33,0.736,75,33,0.6944444444444444,55,32,0.632183908045977,39,27,0.5909090909090909,1058,17792,0.059464928057553955,10.475247524752476,732,1.4453551912568305,463,190,132,73,25,15,11,15,0,2,432,31
action_consensus|global,frame_survey/token_graph,global,False,L15 | high | w4 | k4 | q0.975,moe-hb-front-back-0905/results/frame_survey/external_first_alarms.npz,20,15,5,0.75,0.026595744680851064,0.00033253524873636604,0.2247714134348656,3.3367232449127053,15.0,5.0,True,5,0,15,0.028680688336520075,0.0,241,13,0.05394190871369295,231,143,1,0.006993006993006993,136,89,1,0.011235955056179775,83,26,0,0.0,26,25,0,0.0,24,14,0,0.0,14,23,0,0.0,8,1,0,0.0,1,2,0,0.0,0,0.0,regressed,0.010310124394697102,7,14.0,16.0,16.0,13.0,13.0,17.25,0.16915266875023954,0.212,0.212,13.0,13,5,0.7222222222222222,0.8666666666666667,15,5,0.75,15,5,0.75,15,5,0.75,14,5,0.7368421052631579,14,5,0.7368421052631579,194,17792,0.010903776978417266,12.933333333333334,94,2.0638297872340425,549,228,142,88,26,25,14,23,1,2,508,41
