method,threshold_mode,suite,horizon_cap,risks,episodes,alarms,tp,fp,precision,recall,mean_matched_prior,lift,median_alarm_chunk
v4_dual_regime,per_task,libero_long,52,222,2800,218,158,60,0.7247706422018348,0.7117117117117117,0.41264692937660197,1.7563941243832044,33.0
v4_dual_regime,per_task,libero_object,28,37,4000,31,27,4,0.8709677419354839,0.7297297297297297,0.5382633508727364,1.6181070855433553,19.0
v4_dual_regime,per_task,libero_spatial,22,126,4000,97,96,1,0.9896907216494846,0.7619047619047619,0.9770085440492267,1.012980620975633,18.0
v7:freeze,task_agnostic,libero_goal,30,102,4000,62,62,0,1.0,0.6078431372549019,0.7054718124816993,1.41749107803785,24.5
v7:freeze,task_agnostic,libero_long,52,222,2800,195,149,46,0.764102564102564,0.6711711711711712,0.41899136168340834,1.823671402275647,32.0
v7:freeze,task_agnostic,libero_object,28,37,4000,26,20,6,0.7692307692307693,0.5405405405405406,0.5036458959650632,1.527324605230436,18.5
v7:freeze,task_agnostic,libero_spatial,22,126,4000,78,78,0,1.0,0.6190476190476191,0.9976746010399856,1.0023308190441957,19.0
v7:acceleration,task_agnostic,libero_goal,30,102,4000,22,22,0,1.0,0.21568627450980393,0.8061974922301136,1.2403908591104489,22.0
v7:acceleration,task_agnostic,libero_long,52,222,2800,290,143,147,0.49310344827586206,0.6441441441441441,0.38089351153729323,1.2945966086050862,29.0
v7:acceleration,task_agnostic,libero_object,28,37,4000,20,18,2,0.9,0.4864864864864865,0.7614638088725874,1.1819340453389733,22.0
v7:acceleration,task_agnostic,libero_spatial,22,126,4000,51,51,0,1.0,0.40476190476190477,0.9984752621979024,1.001527066177625,19.0
v7:periodicity,task_agnostic,libero_goal,30,102,4000,90,77,13,0.8555555555555555,0.7549019607843137,0.6797222455969164,1.2586840596988647,22.0
v7:periodicity,task_agnostic,libero_long,52,222,2800,518,97,421,0.18725868725868725,0.4369369369369369,0.17351016998382937,1.0792375298585621,15.0
v7:periodicity,task_agnostic,libero_object,28,37,4000,938,20,918,0.021321961620469083,0.5405405405405406,0.025226790148776112,0.8452110432885781,12.0
v7:periodicity,task_agnostic,libero_spatial,22,126,4000,649,111,538,0.17103235747303544,0.8809523809523809,0.18141769856427048,0.9427545318156715,11.0
v7:turbulence,task_agnostic,libero_goal,30,102,4000,10,10,0,1.0,0.09803921568627451,0.9201876808123182,1.0867348268749104,24.5
v7:turbulence,task_agnostic,libero_long,52,222,2800,99,77,22,0.7777777777777778,0.34684684684684686,0.5790964992163888,1.3430883778959757,37.0
v7:turbulence,task_agnostic,libero_object,28,37,4000,11,9,2,0.8181818181818182,0.24324324324324326,0.8519871247922172,0.9603218104749607,21.0
v7:turbulence,task_agnostic,libero_spatial,22,126,4000,42,42,0,1.0,0.3333333333333333,0.9990742663344407,1.0009265914424517,20.0
v7_guard,task_agnostic,libero_goal,30,102,4000,70,70,0,1.0,0.6862745098039216,0.7342119271162456,1.3620045698899044,25.0
v7_guard,task_agnostic,libero_long,52,222,2800,247,187,60,0.757085020242915,0.8423423423423423,0.4530155010119166,1.6712121738699617,32.0
v7_guard,task_agnostic,libero_object,28,37,4000,30,23,7,0.7666666666666667,0.6216216216216216,0.5420300849385806,1.4144356336854262,19.0
v7_guard,task_agnostic,libero_spatial,22,126,4000,102,102,0,1.0,0.8095238095238095,0.9978405692859352,1.0021641039465954,19.0
mobility|per_task,per_task,libero_goal,30,102,4000,72,70,2,0.9722222222222222,0.6862745098039216,0.6470730684212391,1.5024921754111913,24.0
mobility|per_task,per_task,libero_long,52,222,2800,88,64,24,0.7272727272727273,0.2882882882882883,0.40254503199380254,1.8066866299915587,31.0
mobility|per_task,per_task,libero_object,28,37,4000,20,20,0,1.0,0.5405405405405406,0.7589299010788079,1.317644750297115,21.0
mobility|per_task,per_task,libero_spatial,22,126,4000,94,89,5,0.9468085106382979,0.7063492063492064,0.9359527836925343,1.0115985839616133,18.0
mobility|global,global,libero_goal,30,102,4000,42,40,2,0.9523809523809523,0.39215686274509803,0.602326887692795,1.581169580572826,19.5
mobility|global,global,libero_long,52,222,2800,141,128,13,0.9078014184397163,0.5765765765765766,0.49469956292875933,1.835056034950342,34.0
mobility|global,global,libero_object,28,37,4000,4,4,0,1.0,0.10810810810810811,0.9097568438964683,1.0991948087106687,23.0
mobility|global,global,libero_spatial,22,126,4000,0,0,0,0.0,0.0,,,
conditional_query_d1|per_task,per_task,libero_goal,30,102,4000,34,30,4,0.8823529411764706,0.29411764705882354,0.4127087874766041,2.1379553039599135,16.0
conditional_query_d1|per_task,per_task,libero_long,52,222,2800,64,55,9,0.859375,0.24774774774774774,0.5485489571037901,1.5666331853720012,33.5
conditional_query_d1|per_task,per_task,libero_object,28,37,4000,22,16,6,0.7272727272727273,0.43243243243243246,0.6281172327620721,1.1578614458237844,20.0
conditional_query_d1|per_task,per_task,libero_spatial,22,126,4000,47,46,1,0.9787234042553191,0.36507936507936506,0.9782941380370072,1.0004387905453194,19.0
conditional_query_d1|global,global,libero_goal,30,102,4000,17,17,0,1.0,0.16666666666666666,0.8613941895416478,1.1609086898207486,22.0
conditional_query_d1|global,global,libero_long,52,222,2800,161,131,30,0.8136645962732919,0.5900900900900901,0.4044153760431986,2.0119526716174567,32.0
conditional_query_d1|global,global,libero_object,28,37,4000,2,2,0,1.0,0.05405405405405406,0.9302325581395349,1.075,24.5
conditional_query_d1|global,global,libero_spatial,22,126,4000,28,28,0,1.0,0.2222222222222222,0.9980533637873753,1.0019504329961253,19.0
partial_query_d1|per_task,per_task,libero_goal,30,102,4000,47,42,5,0.8936170212765957,0.4117647058823529,0.545167997230926,1.6391589855155626,17.0
partial_query_d1|per_task,per_task,libero_long,52,222,2800,58,49,9,0.8448275862068966,0.22072072072072071,0.49311326010732565,1.713252622780861,33.0
partial_query_d1|per_task,per_task,libero_object,28,37,4000,7,7,0,1.0,0.1891891891891892,0.858597143779786,1.1646905737395292,23.0
partial_query_d1|per_task,per_task,libero_spatial,22,126,4000,59,56,3,0.9491525423728814,0.4444444444444444,0.9508281281372645,0.9982377616786898,19.0
