method,threshold_mode,suite,horizon_cap,risks,episodes,alarms,tp,fp,precision,recall,mean_matched_prior,lift,median_alarm_chunk
flow_path|per_task,per_task,libero_goal,30,106,4000,44,38,6,0.8636363636363636,0.3584905660377358,0.22891829377177217,3.7726839100827614,13.0
flow_path|per_task,per_task,libero_long,52,274,4000,25,9,16,0.36,0.032846715328467155,0.3739788797652806,0.962621205309631,28.0
flow_path|per_task,per_task,libero_object,28,44,3600,35,27,8,0.7714285714285715,0.6136363636363636,0.6882475489778965,1.120859162628629,20.0
flow_path|per_task,per_task,libero_spatial,22,140,4000,86,79,7,0.9186046511627907,0.5642857142857143,0.7856562641226827,1.1692195341795781,17.0
flow_path|global,global,libero_goal,30,106,4000,2,2,0,1.0,0.018867924528301886,0.9860678435444791,1.0141290039491004,25.5
flow_path|global,global,libero_long,52,274,4000,11,9,2,0.8181818181818182,0.032846715328467155,0.5342104193833986,1.5315721829727464,33.0
flow_path|global,global,libero_object,28,44,3600,6,6,0,1.0,0.13636363636363635,0.6376845900555381,1.5681733816288497,19.0
flow_path|global,global,libero_spatial,22,140,4000,35,33,2,0.9428571428571428,0.2357142857142857,0.8235816507759359,1.1448253393805359,17.0
flow_endpoint|per_task,per_task,libero_goal,30,106,4000,53,46,7,0.8679245283018868,0.4339622641509434,0.2923300475203223,2.968988428196216,12.0
flow_endpoint|per_task,per_task,libero_long,52,274,4000,49,33,16,0.673469387755102,0.12043795620437957,0.521110281164775,1.292374017741076,31.0
flow_endpoint|per_task,per_task,libero_object,28,44,3600,29,23,6,0.7931034482758621,0.5227272727272727,0.5863747957581886,1.3525537830294552,19.0
flow_endpoint|per_task,per_task,libero_spatial,22,140,4000,70,60,10,0.8571428571428571,0.42857142857142855,0.7727950484697994,1.1091464144860577,18.0
flow_endpoint|global,global,libero_goal,30,106,4000,0,0,0,0.0,0.0,,,
flow_endpoint|global,global,libero_long,52,274,4000,0,0,0,0.0,0.0,,,
flow_endpoint|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
flow_endpoint|global,global,libero_spatial,22,140,4000,68,59,9,0.8676470588235294,0.42142857142857143,0.7899495654019094,1.0983575367651341,17.0
flow_settling_log_ratio|per_task,per_task,libero_goal,30,106,4000,77,61,16,0.7922077922077922,0.5754716981132075,0.1670531233297598,4.742250706944213,12.0
flow_settling_log_ratio|per_task,per_task,libero_long,52,274,4000,121,84,37,0.6942148760330579,0.30656934306569344,0.5356632977103079,1.2959911179288903,32.0
flow_settling_log_ratio|per_task,per_task,libero_object,28,44,3600,59,32,27,0.5423728813559322,0.7272727272727273,0.31512448620467887,1.721138486850722,16.0
flow_settling_log_ratio|per_task,per_task,libero_spatial,22,140,4000,134,127,7,0.9477611940298507,0.9071428571428571,0.8867518633410084,1.06880090497806,17.0
flow_settling_log_ratio|global,global,libero_goal,30,106,4000,3,3,0,1.0,0.02830188679245283,0.21054524558023188,4.749572934996211,15.0
flow_settling_log_ratio|global,global,libero_long,52,274,4000,0,0,0,0.0,0.0,,,
flow_settling_log_ratio|global,global,libero_object,28,44,3600,2,0,2,0.0,0.0,0.014671557185728577,0.0,12.0
flow_settling_log_ratio|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
action_consensus|per_task,per_task,libero_goal,30,106,4000,39,31,8,0.7948717948717948,0.29245283018867924,0.39497592519007363,2.012456314873571,17.0
action_consensus|per_task,per_task,libero_long,52,274,4000,40,20,20,0.5,0.072992700729927,0.33887908551272544,1.4754525179489846,25.0
action_consensus|per_task,per_task,libero_object,28,44,3600,23,19,4,0.8260869565217391,0.4318181818181818,0.4183547536743105,1.9746087483563015,18.0
action_consensus|per_task,per_task,libero_spatial,22,140,4000,33,31,2,0.9393939393939394,0.22142857142857142,0.8660167702933836,1.0847295013417553,18.0
action_consensus|global,global,libero_goal,30,106,4000,19,14,5,0.7368421052631579,0.1320754716981132,0.21075730748284288,3.496163972028073,16.0
action_consensus|global,global,libero_long,52,274,4000,1,1,0,1.0,0.0036496350364963502,0.4910394265232975,2.0364963503649633,34.0
action_consensus|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
action_consensus|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
state_action_alignment|per_task,per_task,libero_goal,30,106,4000,27,25,2,0.9259259259259259,0.2358490566037736,0.3317605092186933,2.7909467829866528,15.0
state_action_alignment|per_task,per_task,libero_long,52,274,4000,17,10,7,0.5882352941176471,0.0364963503649635,0.5158823976491826,1.1402507563703828,34.0
state_action_alignment|per_task,per_task,libero_object,28,44,3600,3,2,1,0.6666666666666666,0.045454545454545456,0.4649944258639911,1.4337089426995924,17.0
state_action_alignment|per_task,per_task,libero_spatial,22,140,4000,2,0,2,0.0,0.0,0.035,0.0,6.0
state_action_alignment|global,global,libero_goal,30,106,4000,9,9,0,1.0,0.08490566037735849,0.8825822877131033,1.1330388269983784,26.0
state_action_alignment|global,global,libero_long,52,274,4000,32,24,8,0.75,0.08759124087591241,0.4509767305655054,1.6630569809212379,32.5
state_action_alignment|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
state_action_alignment|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
conditional_energy|per_task,per_task,libero_goal,30,106,4000,27,25,2,0.9259259259259259,0.2358490566037736,0.33295187289428624,2.7809602567393026,15.0
conditional_energy|per_task,per_task,libero_long,52,274,4000,17,10,7,0.5882352941176471,0.0364963503649635,0.5158823976491826,1.1402507563703828,34.0
conditional_energy|per_task,per_task,libero_object,28,44,3600,3,2,1,0.6666666666666666,0.045454545454545456,0.4649944258639911,1.4337089426995924,17.0
conditional_energy|per_task,per_task,libero_spatial,22,140,4000,2,0,2,0.0,0.0,0.035,0.0,6.0
conditional_energy|global,global,libero_goal,30,106,4000,9,9,0,1.0,0.08490566037735849,0.8825822877131033,1.1330388269983784,26.0
conditional_energy|global,global,libero_long,52,274,4000,32,24,8,0.75,0.08759124087591241,0.45287265736143123,1.6560946831493861,32.5
conditional_energy|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
conditional_energy|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
conditional_effective_rank|per_task,per_task,libero_goal,30,106,4000,40,40,0,1.0,0.37735849056603776,0.5561876107678482,1.7979544683123092,16.0
conditional_effective_rank|per_task,per_task,libero_long,52,274,4000,34,24,10,0.7058823529411765,0.08759124087591241,0.5176453542350932,1.3636408540442417,34.5
conditional_effective_rank|per_task,per_task,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
conditional_effective_rank|per_task,per_task,libero_spatial,22,140,4000,39,39,0,1.0,0.2785714285714286,0.9792853426247847,1.0211528310223592,20.0
conditional_effective_rank|global,global,libero_goal,30,106,4000,0,0,0,0.0,0.0,,,
conditional_effective_rank|global,global,libero_long,52,274,4000,244,86,158,0.3524590163934426,0.31386861313868614,0.1762582804851248,1.9996735212856465,17.0
conditional_effective_rank|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
conditional_effective_rank|global,global,libero_spatial,22,140,4000,2,2,0,1.0,0.014285714285714285,0.9163397578031724,1.0912982782689622,16.5
partial_edge_std|per_task,per_task,libero_goal,30,106,4000,39,36,3,0.9230769230769231,0.33962264150943394,0.3588234599425184,2.5725099558005353,13.0
partial_edge_std|per_task,per_task,libero_long,52,274,4000,30,24,6,0.8,0.08759124087591241,0.58158066899015,1.3755615388474154,37.0
partial_edge_std|per_task,per_task,libero_object,28,44,3600,1,1,0,1.0,0.022727272727272728,0.9565217391304348,1.0454545454545454,25.0
partial_edge_std|per_task,per_task,libero_spatial,22,140,4000,47,42,5,0.8936170212765957,0.3,0.8941225678465443,0.9994345891848293,19.0
partial_edge_std|global,global,libero_goal,30,106,4000,1,1,0,1.0,0.009433962264150943,0.9217391304347826,1.0849056603773586,22.0
partial_edge_std|global,global,libero_long,52,274,4000,235,89,146,0.37872340425531914,0.3248175182481752,0.17357978434214166,2.181840504587911,19.0
partial_edge_std|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
partial_edge_std|global,global,libero_spatial,22,140,4000,10,9,1,0.9,0.06428571428571428,0.7554314120321305,1.1913722221041567,14.0
expert_load_effective_rank|per_task,per_task,libero_goal,30,106,4000,105,95,10,0.9047619047619048,0.8962264150943396,0.3933757413622601,2.2999941522288956,17.0
expert_load_effective_rank|per_task,per_task,libero_long,52,274,4000,177,120,57,0.6779661016949152,0.43795620437956206,0.38465606121911505,1.762525461177432,29.0
expert_load_effective_rank|per_task,per_task,libero_object,28,44,3600,27,18,9,0.6666666666666666,0.4090909090909091,0.39962212904876787,1.6682426177287843,17.0
expert_load_effective_rank|per_task,per_task,libero_spatial,22,140,4000,154,137,17,0.8896103896103896,0.9785714285714285,0.7717799761108857,1.1526735820398826,16.0
expert_load_effective_rank|global,global,libero_goal,30,106,4000,0,0,0,0.0,0.0,,,
expert_load_effective_rank|global,global,libero_long,52,274,4000,119,101,18,0.8487394957983193,0.3686131386861314,0.548521055117094,1.5473234580159132,34.0
expert_load_effective_rank|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
expert_load_effective_rank|global,global,libero_spatial,22,140,4000,154,136,18,0.8831168831168831,0.9714285714285714,0.7658602717877118,1.1531044443073992,16.0
flow:mobility_s0|per_task,per_task,libero_goal,30,106,4000,97,93,4,0.9587628865979382,0.8773584905660378,0.6353621402274117,1.5090022302159418,24.0
flow:mobility_s0|per_task,per_task,libero_long,52,274,4000,199,160,39,0.8040201005025126,0.583941605839416,0.4708354948070696,1.707645471444266,34.0
flow:mobility_s0|per_task,per_task,libero_object,28,44,3600,9,8,1,0.8888888888888888,0.18181818181818182,0.6896842432046448,1.2888345611009349,21.0
flow:mobility_s0|per_task,per_task,libero_spatial,22,140,4000,63,57,6,0.9047619047619048,0.40714285714285714,0.9187512581684615,0.9847735137425068,18.0
flow:mobility_s0|global,global,libero_goal,30,106,4000,47,37,10,0.7872340425531915,0.3490566037735849,0.5137669862004177,1.5322783746289526,17.0
flow:mobility_s0|global,global,libero_long,52,274,4000,73,72,1,0.9863013698630136,0.26277372262773724,0.7538664268002739,1.3083237756710977,43.0
flow:mobility_s0|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
flow:mobility_s0|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
flow:mobility_s1|per_task,per_task,libero_goal,30,106,4000,98,95,3,0.9693877551020408,0.8962264150943396,0.6481149649937432,1.495703397485042,24.0
flow:mobility_s1|per_task,per_task,libero_long,52,274,4000,205,166,39,0.8097560975609757,0.6058394160583942,0.4363936009668532,1.8555636374294169,34.0
flow:mobility_s1|per_task,per_task,libero_object,28,44,3600,8,7,1,0.875,0.1590909090909091,0.7518773063563171,1.1637537036998091,22.0
flow:mobility_s1|per_task,per_task,libero_spatial,22,140,4000,67,60,7,0.8955223880597015,0.42857142857142855,0.9081178671988885,0.9861301273830917,18.0
flow:mobility_s1|global,global,libero_goal,30,106,4000,48,39,9,0.8125,0.36792452830188677,0.5408139290769368,1.5023651505921416,18.0
flow:mobility_s1|global,global,libero_long,52,274,4000,65,65,0,1.0,0.23722627737226276,0.8202919497953002,1.2190781590012496,43.0
flow:mobility_s1|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
flow:mobility_s1|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
flow:mobility_s2|per_task,per_task,libero_goal,30,106,4000,97,95,2,0.979381443298969,0.8962264150943396,0.670865008613438,1.4598785608496427,24.0
flow:mobility_s2|per_task,per_task,libero_long,52,274,4000,209,169,40,0.8086124401913876,0.6167883211678832,0.4266369130627981,1.8953175766869597,34.0
flow:mobility_s2|per_task,per_task,libero_object,28,44,3600,8,7,1,0.875,0.1590909090909091,0.7410675579286442,1.180729058556699,21.0
flow:mobility_s2|per_task,per_task,libero_spatial,22,140,4000,70,62,8,0.8857142857142857,0.44285714285714284,0.8996939415708717,0.9844617650395895,18.0
flow:mobility_s2|global,global,libero_goal,30,106,4000,42,39,3,0.9285714285714286,0.36792452830188677,0.6081691213876798,1.526830935534307,21.0
flow:mobility_s2|global,global,libero_long,52,274,4000,91,89,2,0.978021978021978,0.3248175182481752,0.6271669056918507,1.5594285494753366,38.0
flow:mobility_s2|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
flow:mobility_s2|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
flow:mobility_s3|per_task,per_task,libero_goal,30,106,4000,97,95,2,0.979381443298969,0.8962264150943396,0.6872417415364424,1.4250901598459373,24.0
flow:mobility_s3|per_task,per_task,libero_long,52,274,4000,213,170,43,0.7981220657276995,0.6204379562043796,0.41231286243456355,1.9357195432009258,33.0
flow:mobility_s3|per_task,per_task,libero_object,28,44,3600,8,7,1,0.875,0.1590909090909091,0.7384105530977263,1.1849776473660398,21.0
flow:mobility_s3|per_task,per_task,libero_spatial,22,140,4000,74,65,9,0.8783783783783784,0.4642857142857143,0.8957727657825648,0.9805816965321664,18.0
flow:mobility_s3|global,global,libero_goal,30,106,4000,45,42,3,0.9333333333333333,0.39622641509433965,0.6274112489085918,1.4875941975170286,24.0
flow:mobility_s3|global,global,libero_long,52,274,4000,102,100,2,0.9803921568627451,0.36496350364963503,0.5733013201608652,1.7100818058253422,37.0
flow:mobility_s3|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
flow:mobility_s3|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
flow:mobility_s4|per_task,per_task,libero_goal,30,106,4000,99,95,4,0.9595959595959596,0.8962264150943396,0.691888619778622,1.3869225944242205,24.0
flow:mobility_s4|per_task,per_task,libero_long,52,274,4000,221,173,48,0.7828054298642534,0.6313868613138686,0.39564423688237976,1.9785589094704088,33.0
flow:mobility_s4|per_task,per_task,libero_object,28,44,3600,9,8,1,0.8888888888888888,0.18181818181818182,0.7650069113955099,1.161935762472258,21.0
flow:mobility_s4|per_task,per_task,libero_spatial,22,140,4000,76,68,8,0.8947368421052632,0.4857142857142857,0.9106165345988619,0.9825616031663713,18.0
flow:mobility_s4|global,global,libero_goal,30,106,4000,69,54,15,0.782608695652174,0.5094339622641509,0.5559745339347866,1.4076340693402525,18.0
flow:mobility_s4|global,global,libero_long,52,274,4000,158,148,10,0.9367088607594937,0.5401459854014599,0.5013670414627078,1.8683096081200363,35.0
flow:mobility_s4|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
flow:mobility_s4|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
flow:mobility_s5|per_task,per_task,libero_goal,30,106,4000,77,76,1,0.987012987012987,0.7169811320754716,0.6829863180801318,1.445143132277483,25.0
flow:mobility_s5|per_task,per_task,libero_long,52,274,4000,177,138,39,0.7796610169491526,0.5036496350364964,0.4483713944422273,1.7388732345850222,33.0
flow:mobility_s5|per_task,per_task,libero_object,28,44,3600,8,7,1,0.875,0.1590909090909091,0.7603132966944814,1.150841375264812,22.0
flow:mobility_s5|per_task,per_task,libero_spatial,22,140,4000,78,74,4,0.9487179487179487,0.5285714285714286,0.9477878082824901,1.0009813804601941,18.0
flow:mobility_s5|global,global,libero_goal,30,106,4000,64,56,8,0.875,0.5283018867924528,0.6237919694438493,1.4027112288414338,23.5
flow:mobility_s5|global,global,libero_long,52,274,4000,161,150,11,0.9316770186335404,0.5474452554744526,0.492939032573962,1.8900451314813438,34.0
flow:mobility_s5|global,global,libero_object,28,44,3600,0,0,0,0.0,0.0,,,
flow:mobility_s5|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
flow:mobility_s6|per_task,per_task,libero_goal,30,106,4000,94,91,3,0.9680851063829787,0.8584905660377359,0.7061917432838057,1.3708530517241162,24.0
flow:mobility_s6|per_task,per_task,libero_long,52,274,4000,184,141,43,0.7663043478260869,0.5145985401459854,0.4410441858436744,1.7374774964105277,34.0
flow:mobility_s6|per_task,per_task,libero_object,28,44,3600,9,8,1,0.8888888888888888,0.18181818181818182,0.7025347172368468,1.265259733191543,21.0
flow:mobility_s6|per_task,per_task,libero_spatial,22,140,4000,67,64,3,0.9552238805970149,0.45714285714285713,0.9614065816991492,0.9935691088246897,18.0
flow:mobility_s6|global,global,libero_goal,30,106,4000,62,53,9,0.8548387096774194,0.5,0.6213037702349313,1.3758788383888003,23.5
flow:mobility_s6|global,global,libero_long,52,274,4000,175,157,18,0.8971428571428571,0.572992700729927,0.48395325716307325,1.8537799753676525,34.0
flow:mobility_s6|global,global,libero_object,28,44,3600,1,1,0,1.0,0.022727272727272728,0.9777777777777777,1.0227272727272727,26.0
flow:mobility_s6|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
flow:mobility_s7|per_task,per_task,libero_goal,30,106,4000,44,44,0,1.0,0.41509433962264153,0.5056366648321369,1.977704683128514,16.0
flow:mobility_s7|per_task,per_task,libero_long,52,274,4000,141,106,35,0.75177304964539,0.38686131386861317,0.410674431146553,1.8305815814890916,30.0
flow:mobility_s7|per_task,per_task,libero_object,28,44,3600,16,15,1,0.9375,0.3409090909090909,0.7212938604830186,1.299747649830539,22.5
flow:mobility_s7|per_task,per_task,libero_spatial,22,140,4000,87,85,2,0.9770114942528736,0.6071428571428571,0.9733267975431197,1.0037856727247774,19.0
flow:mobility_s7|global,global,libero_goal,30,106,4000,63,53,10,0.8412698412698413,0.5,0.6129119853449957,1.3725785453458013,24.0
flow:mobility_s7|global,global,libero_long,52,274,4000,185,163,22,0.8810810810810811,0.5948905109489051,0.48614712670122806,1.8123753750427245,34.0
flow:mobility_s7|global,global,libero_object,28,44,3600,3,2,1,0.6666666666666666,0.045454545454545456,0.9380998389694043,0.7106564130733314,25.0
flow:mobility_s7|global,global,libero_spatial,22,140,4000,0,0,0,0.0,0.0,,,
flow:mobility_s8|per_task,per_task,libero_goal,30,106,4000,82,80,2,0.975609756097561,0.7547169811320755,0.7267406573176222,1.3424455426761275,25.0
flow:mobility_s8|per_task,per_task,libero_long,52,274,4000,175,129,46,0.7371428571428571,0.4708029197080292,0.43653305103420564,1.688630117230451,31.0
flow:mobility_s8|per_task,per_task,libero_object,28,44,3600,16,15,1,0.9375,0.3409090909090909,0.7083077493719074,1.3235772174331413,22.0
flow:mobility_s8|per_task,per_task,libero_spatial,22,140,4000,87,85,2,0.9770114942528736,0.6071428571428571,0.9751780120604568,1.001880151284936,20.0
flow:mobility_s8|global,global,libero_goal,30,106,4000,60,55,5,0.9166666666666666,0.5188679245283019,0.6701528750599609,1.3678470999391732,25.0
flow:mobility_s8|global,global,libero_long,52,274,4000,213,180,33,0.8450704225352113,0.656934306569343,0.4651790889815431,1.8166560848326119,34.0
flow:mobility_s8|global,global,libero_object,28,44,3600,5,4,1,0.8,0.09090909090909091,0.9397575426123417,0.8512834042024893,25.0
