family,quantity,mode,primary,representation,direction,quantile,dev_low_prior_tp,dev_lift,median_alarm_chunk,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
circuit,th_min,global,False,L2,low,0.99,1,1.0499897334748556,20.0,23,0,0.040780141843971635,0.0,1.0,6,0,1.0,0.2608695652173913,0.7000601870893702,1.4284486083370704
circuit,ground_leak_cv,global,False,L15,low,0.975,3,1.8350478411320605,26.0,16,9,0.028368794326241134,0.0005985634477254589,0.64,5,6,0.45454545454545453,0.3125,0.401972988606694,1.5921467813505272
circuit,th_first,global,False,L14,high,0.975,3,1.5659188786335567,31.0,30,5,0.05319148936170213,0.00033253524873636604,0.8571428571428571,5,1,0.8333333333333334,0.16666666666666666,0.4774768861710694,1.7951504710863884
published,flow_endpoint,global,False,back_median,high,0.99,4,1.0810006661920892,17.0,59,9,0.10460992907801418,0.0005985634477254589,0.8676470588235294,5,7,0.4166666666666667,0.0847457627118644,0.7899495654019094,1.0983575367651341
circuit,thalt_mean,global,False,L3,high,0.98,10,2.8148225166473293,20.0,12,11,0.02127659574468085,0.0007315775472200053,0.5217391304347826,4,10,0.2857142857142857,0.3333333333333333,0.33951568805123017,1.536715824324608
circuit,ground_leak_mean,global,False,L14,high,0.975,2,1.48819928694205,30.0,33,8,0.05851063829787234,0.0005320563979781857,0.8048780487804879,3,2,0.6,0.09090909090909091,0.547199161584969,1.4709051206313053
circuit,lam_max,global,False,L14,low,0.98,2,1.4589340244781532,30.0,33,10,0.05851063829787234,0.0006650704974727321,0.7674418604651163,3,4,0.42857142857142855,0.09090909090909091,0.5309098477536284,1.4455219915627784
circuit,log_kirchhoff,global,True,L3,high,0.975,8,2.5955489252327797,30.0,16,4,0.028368794326241134,0.00026602819898909286,0.8,3,4,0.42857142857142855,0.1875,0.5506698174547163,1.452776191180638
circuit,log_spanning_trees,global,False,L3,low,0.975,8,2.5955489252327797,30.0,16,4,0.028368794326241134,0.00026602819898909286,0.8,3,4,0.42857142857142855,0.1875,0.5506698174547163,1.452776191180638
published,conditional_energy,global,False,L14,low,0.975,2,1.48819928694205,30.0,33,8,0.05851063829787234,0.0005320563979781857,0.8048780487804879,3,2,0.6,0.09090909090909091,0.547199161584969,1.4709051206313053
published,flow_settling_log_ratio,global,False,L12,low,0.95,2,4.619300106044539,15.0,3,2,0.005319148936170213,0.00013301409949454643,0.6,3,2,0.6,1.0,0.13219577022243054,4.538723130024882
published,state_action_alignment,global,False,L14,high,0.975,2,1.48819928694205,30.0,33,8,0.05851063829787234,0.0005320563979781857,0.8048780487804879,3,2,0.6,0.09090909090909091,0.5457194138418074,1.4748935595203234
circuit,th_cv,global,True,back_median,low,0.99,3,1.6497021785801165,27.0,8,1,0.014184397163120567,6.650704974727321e-05,0.8888888888888888,2,1,0.6666666666666666,0.25,0.6757078341472017,1.315492945276769
circuit,fiedler,global,False,L14,low,0.99,1,1.4966809235520018,32.0,16,5,0.028368794326241134,0.00033253524873636604,0.7619047619047619,1,1,0.5,0.0625,0.5121981512034831,1.4875195471021463
circuit,foster_residual,global,False,all_median,high,0.98,1,4.931372549019608,43.0,1,0,0.0017730496453900709,0.0,1.0,0,0,0.0,0.0,0.9225589225589226,1.083941605839416
circuit,th_last,global,False,L13,high,0.99,1,3.303052309172174,37.0,5,1,0.008865248226950355,6.650704974727321e-05,0.8333333333333334,0,1,0.0,0.0,0.6289958320246294,1.3248630450395462
published,expert_load_effective_rank,per_task,False,L3,low,0.85,58,1.453000774065528,18.0,370,93,0.6560283687943262,0.006185155626496409,0.7991360691144709,97,69,0.5843373493975904,0.26216216216216215,0.5162688757758398,1.5479067335088585
published,flow_settling_log_ratio,per_task,False,front_median,high,0.85,70,1.3748029678211247,17.0,304,87,0.5390070921985816,0.00578611332801277,0.7774936061381074,83,62,0.5724137931034483,0.2730263157894737,0.5501162247905625,1.4133260774741025
published,mobility,per_task,False,L2,low,0.7,41,1.31229780486713,20.0,272,57,0.48226950354609927,0.003790901835594573,0.8267477203647416,72,43,0.6260869565217392,0.2647058823529412,0.5953801599458113,1.3886047537089383
published,flow_path,per_task,False,L3,high,0.96,38,1.4150754707140176,18.0,153,37,0.2712765957446808,0.0024607608406491087,0.8052631578947368,43,21,0.671875,0.28104575163398693,0.58461568341509,1.37742311870717
published,flow_endpoint,per_task,False,L12,high,0.96,36,1.4818984426815,19.0,162,39,0.2872340425531915,0.0025937749401436553,0.8059701492537313,42,23,0.6461538461538462,0.25925925925925924,0.5578528296792264,1.4447720014563268
published,partial_query_d1,per_task,False,all_median,low,0.9,26,1.3237916662409284,20.0,156,20,0.2765957446808511,0.0013301409949454642,0.8863636363636364,42,12,0.7777777777777778,0.2692307692307692,0.6422757645658748,1.3800359366863932
circuit,norm_fiedler,per_task,True,L15,high,0.85,26,1.2270830589804607,19.0,161,27,0.2854609929078014,0.0017956903431763766,0.8563829787234043,41,22,0.6507936507936508,0.2546583850931677,0.6463077550102904,1.3250389958724371
published,conditional_query_d1,per_task,False,front_median,low,0.95,22,1.3493959102376307,21.0,155,22,0.274822695035461,0.0014631550944400106,0.8757062146892656,37,12,0.7551020408163265,0.23870967741935484,0.6080416798227896,1.4402075445625462
published,action_consensus,per_task,False,L2,low,0.95,34,1.4310254275519927,19.0,101,34,0.17907801418439717,0.002261239691407289,0.7481481481481481,35,22,0.6140350877192983,0.3465346534653465,0.49748101671935324,1.5038727569582924
circuit,th_min,per_task,False,L12,low,0.95,24,1.5773027200017609,17.0,69,16,0.12234042553191489,0.0010641127959563714,0.8117647058823529,30,12,0.7142857142857143,0.43478260869565216,0.46772372382715294,1.7355645320705182
published,partial_edge_std,per_task,False,L15,low,0.9,24,1.3276419636851606,20.0,103,14,0.18262411347517732,0.000931098696461825,0.8803418803418803,29,10,0.7435897435897436,0.2815533980582524,0.6360839097041088,1.384002750126779
circuit,res_cv,per_task,True,back_median,low,0.85,20,1.1815468843027452,20.0,126,13,0.22340425531914893,0.0008645916467145518,0.9064748201438849,27,10,0.7297297297297297,0.21428571428571427,0.7137815427429581,1.2699611377739395
circuit,res_end2end,per_task,False,L12,low,0.95,22,1.5066666951735699,19.0,74,9,0.13120567375886524,0.0005985634477254589,0.891566265060241,27,5,0.84375,0.36486486486486486,0.5770691477636745,1.544990350836364
circuit,dd_deficit,per_task,False,L13,high,0.9,26,1.2684023162456826,21.0,102,10,0.18085106382978725,0.0006650704974727321,0.9107142857142857,26,7,0.7878787878787878,0.2549019607843137,0.6822450055619032,1.334878640795931
circuit,fiedler,per_task,False,back_median,high,0.95,18,1.489430515359024,18.0,70,10,0.12411347517730496,0.0006650704974727321,0.875,26,5,0.8387096774193549,0.37142857142857144,0.5243503554746309,1.6687315854071814
circuit,kirchhoff_efficiency,per_task,True,back_median,high,0.9,20,1.196784980262898,20.0,114,8,0.20212765957446807,0.0005320563979781857,0.9344262295081968,26,6,0.8125,0.22807017543859648,0.7191635551340235,1.2993236696123414
circuit,log_kirchhoff,per_task,True,L12,low,0.95,25,1.6321041009773607,18.0,69,15,0.12234042553191489,0.0009976057462090981,0.8214285714285714,26,12,0.6842105263157895,0.37681159420289856,0.5071468022861765,1.619705709916021
circuit,log_spanning_trees,per_task,False,L12,high,0.95,25,1.6321041009773607,18.0,69,14,0.12234042553191489,0.000931098696461825,0.8313253012048193,26,11,0.7027027027027027,0.37681159420289856,0.5115687785236812,1.6250508946302635
circuit,spectral_erank,per_task,True,back_median,high,0.9,20,1.1974420819002485,20.0,114,8,0.20212765957446807,0.0005320563979781857,0.9344262295081968,26,6,0.8125,0.22807017543859648,0.7181605984965096,1.301138257187105
circuit,th_last,per_task,False,L12,low,0.96,21,1.57806130413505,18.5,66,8,0.11702127659574468,0.0005320563979781857,0.8918918918918919,26,5,0.8387096774193549,0.3939393939393939,0.5418175090649044,1.6461112403531646
circuit,th_mean,per_task,False,L12,low,0.95,25,1.631289069927373,18.0,69,17,0.12234042553191489,0.0011306198457036445,0.8023255813953488,26,14,0.65,0.37681159420289856,0.49592584275983875,1.6178337812169425
circuit,res_mean,per_task,False,L12,low,0.96,25,1.6537296661942273,19.0,64,4,0.11347517730496454,0.00026602819898909286,0.9411764705882353,25,1,0.9615384615384616,0.390625,0.5780323911255294,1.6282417474141913
published,conditional_effective_rank,per_task,False,L13,low,0.9,26,1.2737293276309822,21.0,103,10,0.18262411347517732,0.0006650704974727321,0.911504424778761,25,7,0.78125,0.24271844660194175,0.6906157065227762,1.3198431720705444
circuit,res_adjacent_mean,per_task,False,L12,low,0.96,25,1.6717985223824263,19.5,64,4,0.11347517730496454,0.00026602819898909286,0.9411764705882353,24,1,0.96,0.375,0.5810708080232093,1.619727677922933
circuit,res_chain_series,per_task,False,L12,low,0.96,25,1.6717985223824263,19.5,64,4,0.11347517730496454,0.00026602819898909286,0.9411764705882353,24,1,0.96,0.375,0.5810708080232093,1.619727677922933
circuit,thalt_mean,per_task,False,L12,low,0.96,25,1.6709070628738723,19.0,63,4,0.11170212765957446,0.00026602819898909286,0.9402985074626866,24,1,0.96,0.38095238095238093,0.5725606619065398,1.64226879354868
circuit,th_cv,per_task,True,L14,low,0.9,19,1.2924660886138395,19.5,79,17,0.1400709219858156,0.0011306198457036445,0.8229166666666666,22,15,0.5945945945945946,0.27848101265822783,0.6134085040032885,1.341547535282059
circuit,res_shortcut,per_task,True,back_median,high,0.925,14,1.1628080033247135,20.0,106,10,0.1879432624113475,0.0006650704974727321,0.9137931034482759,21,7,0.75,0.19811320754716982,0.754450126382681,1.2112041227026995
circuit,th_max,per_task,False,L12,low,0.95,24,1.5496472677928066,19.0,73,18,0.12943262411347517,0.0011971268954509178,0.8021978021978022,21,15,0.5833333333333334,0.2876712328767123,0.5548076069777382,1.445902673482973
circuit,thalt_cv,per_task,False,back_median,low,0.9,21,1.3191918854193,20.0,84,7,0.14893617021276595,0.0004655493482309125,0.9230769230769231,21,4,0.84,0.25,0.7079800268187756,1.3038177464195706
circuit,ground_leak_mean,per_task,False,L4,high,0.95,15,2.658107074732975,17.0,37,12,0.06560283687943262,0.0007980845969672786,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.3923405021586492,1.9246089472327506
circuit,lam_max,per_task,False,L4,low,0.95,15,2.64919180944078,17.0,38,12,0.0673758865248227,0.0007980845969672786,0.76,19,10,0.6551724137931034,0.5,0.3987266467961463,1.9060677436704123
circuit,th_first,per_task,False,L12,low,0.96,22,1.5660943453887906,19.0,66,14,0.11702127659574468,0.000931098696461825,0.825,19,11,0.6333333333333333,0.2878787878787879,0.5655482393108762,1.458761503714108
circuit,vol,per_task,False,L4,low,0.95,15,2.553113813821648,17.0,37,12,0.06560283687943262,0.0007980845969672786,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.3917896897619976,1.927314731725156
published,conditional_energy,per_task,False,L4,low,0.95,15,2.658107074732975,17.0,37,12,0.06560283687943262,0.0007980845969672786,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.3923405021586492,1.9246089472327506
published,state_action_alignment,per_task,False,L4,high,0.95,15,2.6890252868557716,17.0,37,12,0.06560283687943262,0.0007980845969672786,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.39168403645985306,1.9278346078158923
circuit,ground_leak_cv,per_task,False,back_median,low,0.9,15,1.4575046299288361,17.5,52,10,0.09219858156028368,0.0006650704974727321,0.8387096774193549,17,10,0.6296296296296297,0.3269230769230769,0.5609460777327299,1.4951698758805996
circuit,gap_ratio,per_task,True,L3,low,0.96,21,1.8441756313912965,16.0,37,16,0.06560283687943262,0.0010641127959563714,0.6981132075471698,13,16,0.4482758620689655,0.35135135135135137,0.4222333201854123,1.6533825592935496
circuit,th_slope,per_task,True,L3,low,0.98,8,1.8735794100075398,18.5,10,14,0.01773049645390071,0.000931098696461825,0.4166666666666667,0,14,0.0,0.0,0.4072705069065747,1.0230710537609526
