family,quantity,cohort,layer,survival_auc,survival_auc_early,abs_auc_gap
circuit,th_last,development_main,L15,0.506273815043123,0.5132184666294167,0.0062738150431229656
circuit,th_last,external_8b,L2,0.4802703999555827,0.4781482919674565,0.019729600044417317
circuit,th_last,external_8b,L3,0.5502492996185178,0.5520532331792504,0.05024929961851776
circuit,th_last,external_8b,L4,0.47855824951485715,0.4802699004231772,0.021441750485142852
circuit,th_last,external_8b,L5,0.5010372910108698,0.4930881751525906,0.0010372910108698008
circuit,th_last,external_8b,L12,0.45436961241721335,0.45523241311516033,0.04563038758278665
circuit,th_last,external_8b,L13,0.5018446069954233,0.5033939343547086,0.0018446069954233257
circuit,th_last,external_8b,L14,0.480744572823792,0.47620214235977304,0.019255427176207984
circuit,th_last,external_8b,L15,0.5220826990352664,0.5293811693308587,0.022082699035266384
circuit,th_slope,development_main,L2,0.47427493412882077,0.4693377968364334,0.02572506587117923
circuit,th_slope,development_main,L3,0.4916838690731793,0.49060850493520686,0.008316130926820708
circuit,th_slope,development_main,L4,0.5289280278410773,0.5244195814513316,0.028928027841077286
circuit,th_slope,development_main,L5,0.5110470537679719,0.5185670501298983,0.011047053767971882
circuit,th_slope,development_main,L12,0.5049908925926355,0.5077937417325177,0.004990892592635521
circuit,th_slope,development_main,L13,0.5190292082841044,0.5154254119326559,0.01902920828410437
circuit,th_slope,development_main,L14,0.48924621557076725,0.48871524516131254,0.010753784429232749
circuit,th_slope,development_main,L15,0.4890178176735096,0.4913408364123277,0.010982182326490397
circuit,th_slope,external_8b,L2,0.46048006322094204,0.45675703537125817,0.03951993677905796
circuit,th_slope,external_8b,L3,0.49052972507876935,0.4895165830804952,0.009470274921230648
circuit,th_slope,external_8b,L4,0.5312692551242829,0.5280988734031429,0.03126925512428291
circuit,th_slope,external_8b,L5,0.52379012170674,0.5289425700122733,0.023790121706739997
circuit,th_slope,external_8b,L12,0.4966578227092325,0.49837778072295763,0.003342177290767523
circuit,th_slope,external_8b,L13,0.5082089745650228,0.5059420961490996,0.008208974565022786
circuit,th_slope,external_8b,L14,0.47834154911641286,0.4781722473515506,0.021658450883587144
circuit,th_slope,external_8b,L15,0.4961296821574726,0.4974272409155557,0.003870317842527393
circuit,ground_leak_mean,development_main,L2,0.5008025246995347,0.4984121570065183,0.0008025246995346791
circuit,ground_leak_mean,development_main,L3,0.5390020681674925,0.5403632493832384,0.03900206816749252
circuit,ground_leak_mean,development_main,L4,0.5002835143805732,0.5016417722604145,0.0002835143805731688
circuit,ground_leak_mean,development_main,L5,0.5149450031749189,0.5051271715345886,0.01494500317491887
circuit,ground_leak_mean,development_main,L12,0.4746039263958734,0.4746408008850804,0.0253960736041266
circuit,ground_leak_mean,development_main,L13,0.5078212461902816,0.5099366447646153,0.007821246190281572
circuit,ground_leak_mean,development_main,L14,0.5009810423733274,0.4962656465300337,0.000981042373327412
circuit,ground_leak_mean,development_main,L15,0.5165787550353911,0.5219426250156812,0.01657875503539108
circuit,ground_leak_mean,external_8b,L2,0.47927698896462273,0.477314428811318,0.02072301103537727
circuit,ground_leak_mean,external_8b,L3,0.5484118567079777,0.5500007320459449,0.04841185670797765
circuit,ground_leak_mean,external_8b,L4,0.4803180595570394,0.48228424229584466,0.01968194044296062
circuit,ground_leak_mean,external_8b,L5,0.4968901813740852,0.48860070619488966,0.0031098186259148064
circuit,ground_leak_mean,external_8b,L12,0.4699822077844841,0.47089998547926776,0.030017792215515926
circuit,ground_leak_mean,external_8b,L13,0.5137393320323145,0.5155605243022319,0.013739332032314477
circuit,ground_leak_mean,external_8b,L14,0.5020446350933857,0.4978102402520161,0.002044635093385705
circuit,ground_leak_mean,external_8b,L15,0.5378820083648066,0.544223769619241,0.037882008364806596
circuit,ground_leak_cv,development_main,L2,0.5237461475187828,0.5238638728833878,0.02374614751878279
circuit,ground_leak_cv,development_main,L3,0.4694467146755414,0.4703297629767172,0.030553285324458612
circuit,ground_leak_cv,development_main,L4,0.5114599037668529,0.5108089775104215,0.011459903766852908
circuit,ground_leak_cv,development_main,L5,0.4698286319541943,0.4761117870002701,0.030171368045805724
circuit,ground_leak_cv,development_main,L12,0.47319226952728327,0.4692985202790054,0.02680773047271673
circuit,ground_leak_cv,development_main,L13,0.48336120251832293,0.4879976069267796,0.01663879748167707
circuit,ground_leak_cv,development_main,L14,0.47467197838037517,0.47690465463685294,0.02532802161962483
circuit,ground_leak_cv,development_main,L15,0.47916216816997104,0.4779185897081233,0.020837831830028963
circuit,ground_leak_cv,external_8b,L2,0.528329254282503,0.5274169644108762,0.02832925428250299
circuit,ground_leak_cv,external_8b,L3,0.46211654301508837,0.4626279755619026,0.037883456984911634
circuit,ground_leak_cv,external_8b,L4,0.5235435665648577,0.5225231006931382,0.023543566564857676
circuit,ground_leak_cv,external_8b,L5,0.4825916951504887,0.4887268475446578,0.01740830484951128
circuit,ground_leak_cv,external_8b,L12,0.46733463066482234,0.4631682145432181,0.03266536933517766
circuit,ground_leak_cv,external_8b,L13,0.4803738050925371,0.48300683719986526,0.019626194907462924
circuit,ground_leak_cv,external_8b,L14,0.4648655630499258,0.4659759248663006,0.03513443695007418
circuit,ground_leak_cv,external_8b,L15,0.4598824020734126,0.45774432770921736,0.04011759792658742
circuit,thalt_mean,development_main,L2,0.50090645476079,0.4985075313508197,0.0009064547607899875
circuit,thalt_mean,development_main,L3,0.5389238151730598,0.5402893778394692,0.03892381517305976
circuit,thalt_mean,development_main,L4,0.50025209682147,0.5016058194157926,0.0002520968214699826
circuit,thalt_mean,development_main,L5,0.5144077241271455,0.5046529344634767,0.014407724127145527
circuit,thalt_mean,development_main,L12,0.4713800387801283,0.4714164751985158,0.028619961219871703
circuit,thalt_mean,development_main,L13,0.5055710507905181,0.5079219276075084,0.005571050790518117
circuit,thalt_mean,development_main,L14,0.4967502801689923,0.49210064931972314,0.0032497198310076914
circuit,thalt_mean,development_main,L15,0.5125330655264394,0.5182253562401998,0.012533065526439402
circuit,thalt_mean,external_8b,L2,0.4793606533603272,0.47738823433905153,0.020639346639672818
circuit,thalt_mean,external_8b,L3,0.5481677905588213,0.5497546908575438,0.048167790558821255
circuit,thalt_mean,external_8b,L4,0.4802225954921155,0.4821853614629818,0.01977740450788451
circuit,thalt_mean,external_8b,L5,0.4960978125151611,0.48787166491612993,0.0039021874848388927
circuit,thalt_mean,external_8b,L12,0.4655793245142395,0.46646266713182544,0.0344206754857605
circuit,thalt_mean,external_8b,L13,0.5103770189220865,0.5123529202241459,0.010377018922086534
circuit,thalt_mean,external_8b,L14,0.4961623156176576,0.4918562073835902,0.003837684382342388
circuit,thalt_mean,external_8b,L15,0.531637942110296,0.5382407963523571,0.031637942110296025
circuit,thalt_cv,development_main,L2,0.525944077287816,0.52293074051308,0.025944077287816003
circuit,thalt_cv,development_main,L3,0.5112457601325215,0.5142737859784311,0.011245760132521543
circuit,thalt_cv,development_main,L4,0.5100901369770668,0.5120813920519893,0.010090136977066844
circuit,thalt_cv,development_main,L5,0.4875458662424184,0.47914935650690754,0.012454133757581587
circuit,thalt_cv,development_main,L12,0.45095431999389024,0.4470374470967267,0.04904568000610976
circuit,thalt_cv,development_main,L13,0.48444518588160057,0.48926037459459315,0.01555481411839943
circuit,thalt_cv,development_main,L14,0.4591649887686105,0.45742824478982685,0.040835011231389495
circuit,thalt_cv,development_main,L15,0.49050421730307714,0.4943064394300967,0.009495782696922861
circuit,thalt_cv,external_8b,L2,0.5078968759480231,0.5051437699994679,0.00789687594802313
circuit,thalt_cv,external_8b,L3,0.5231252445863355,0.5263412529414316,0.02312524458633547
circuit,thalt_cv,external_8b,L4,0.4970945553323627,0.49956507456871296,0.0029054446676373136
circuit,thalt_cv,external_8b,L5,0.47532586445878,0.46899195415950146,0.02467413554122
circuit,thalt_cv,external_8b,L12,0.4370853094486957,0.43312272717488937,0.06291469055130428
