family,quantity,representation,direction,quantile,mode,primary,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
circuit,dd_deficit,L13,high,0.85,per_task,False,130,43,0.2669404517453799,0.0030042618598476907,0.7514450867052023,26,36,0.41935483870967744,0.2,0.6113313004464141,1.2291945237491888
circuit,dd_deficit,L13,high,0.9,per_task,False,119,21,0.24435318275154005,0.001467197652483756,0.85,26,17,0.6046511627906976,0.2184873949579832,0.6701343801672462,1.2684023162456826
circuit,dd_deficit,L13,high,0.925,per_task,False,106,10,0.21765913757700206,0.0006986655488017886,0.9137931034482759,25,7,0.78125,0.2358490566037736,0.6985654942652315,1.3080993993403955
circuit,dd_deficit,L13,high,0.95,per_task,False,80,7,0.16427104722792607,0.000489065884161252,0.9195402298850575,20,5,0.8,0.25,0.6722583151863123,1.3678376438232862
circuit,dd_deficit,L13,high,0.96,per_task,False,69,4,0.14168377823408623,0.00027946621952071543,0.9452054794520548,19,2,0.9047619047619048,0.2753623188405797,0.6624053461552926,1.4269291226862522
circuit,dd_deficit,L13,high,0.975,per_task,False,47,1,0.09650924024640657,6.986655488017886e-05,0.9791666666666666,6,0,1.0,0.1276595744680851,0.7394028793366245,1.3242667753000268
circuit,dd_deficit,L13,high,0.98,per_task,False,41,1,0.08418891170431211,6.986655488017886e-05,0.9761904761904762,5,0,1.0,0.12195121951219512,0.7320687454806133,1.3334683145769235
circuit,dd_deficit,L13,high,0.99,per_task,False,22,1,0.045174537987679675,6.986655488017886e-05,0.9565217391304348,4,0,1.0,0.18181818181818182,0.6629059410956336,1.4429222606596657
circuit,dd_deficit,L13,high,0.995,per_task,False,16,1,0.03285420944558522,6.986655488017886e-05,0.9411764705882353,3,0,1.0,0.1875,0.7104485818103821,1.3247636700039669
circuit,dd_deficit,L13,low,0.5,global,False,208,1663,0.4271047227926078,0.11618808076573744,0.11117049706039552,65,1639,0.03814553990610329,0.3125,0.10219806986621612,1.0877944877620966
circuit,dd_deficit,L13,low,0.6,global,False,160,1106,0.32854209445585214,0.07727240969747781,0.1263823064770932,43,1089,0.037985865724381625,0.26875,0.11532368187056026,1.0958920529344978
circuit,dd_deficit,L13,low,0.7,global,False,112,660,0.2299794661190965,0.046111926220918045,0.14507772020725387,27,647,0.040059347181008904,0.24107142857142858,0.13223767968158043,1.097098198914193
circuit,dd_deficit,L13,low,0.75,global,False,90,496,0.18480492813141683,0.034653811220568716,0.15358361774744028,17,486,0.033797216699801194,0.18888888888888888,0.144616703254201,1.0620046944195487
circuit,dd_deficit,L13,low,0.8,global,False,65,362,0.13347022587268995,0.025291692866624745,0.1522248243559719,9,353,0.024861878453038673,0.13846153846153847,0.15285715858732113,0.9958632344262242
