family,quantity,mode,primary,representation,direction,quantile,dev_low_prior_tp,dev_lift,median_alarm_chunk,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,precision_lo95,precision_hi95,lift_lo95,lift_hi95,lift_significant
circuit,norm_fiedler,global,True,L15,high,0.95,14,1.5115170329632828,21.0,42,2,0.0744680851063829,0.0001330140994945,0.9545454545454546,15,2,0.8823529411764706,0.3571428571428571,0.6494644432270036,1.469742438558438,0.8486500155888282,0.9874448900537712,1.306692035936761,1.520398692109208,True
published,action_consensus,global,False,L15,high,0.975,13,3.477332966377684,16.0,15,5,0.026595744680851,0.0003325352487363,0.75,13,5,0.7222222222222222,0.8666666666666667,0.2247714134348656,3.3367232449127053,0.5312991223284828,0.8881382986133887,2.36373084196689,3.951295607574021,True
circuit,res_adjacent_mean,global,False,L3,high,0.975,17,3.0078419378803565,19.0,20,23,0.0354609929078014,0.0015296621441872,0.4651162790697674,10,22,0.3125,0.5,0.2393520591220768,1.9432307404238536,0.3251105770116614,0.6108435953088822,1.3582944646648942,2.552071611789784,True
circuit,res_chain_series,global,False,L3,high,0.975,17,3.0078419378803565,19.0,20,23,0.0354609929078014,0.0015296621441872,0.4651162790697674,10,22,0.3125,0.5,0.2393520591220768,1.9432307404238536,0.3251105770116614,0.6108435953088822,1.3582944646648942,2.552071611789784,True
circuit,res_mean,global,False,L3,high,0.975,17,3.0078419378803565,19.0,21,23,0.0372340425531914,0.0015296621441872,0.4772727272727273,10,22,0.3125,0.4761904761904761,0.2525567687201461,1.8897641496260396,0.3375499102927437,0.6206453444251263,1.3365308401881602,2.4574488641516194,True
published,partial_query_d1,global,False,L3,high,0.96,30,3.225353913205714,17.0,20,63,0.0354609929078014,0.0041899441340782,0.2409638554216867,10,62,0.1388888888888889,0.5,0.1609681211785179,1.4969663164202025,0.1617474383960681,0.3430973605853551,1.0048414382415878,2.1314615470031555,True
circuit,res_end2end,global,False,L3,high,0.975,20,3.0587739958748386,19.0,21,21,0.0372340425531914,0.0013966480446927,0.5,9,19,0.3214285714285714,0.4285714285714285,0.2959498746179685,1.6894752891699405,0.35525989593262486,0.6447401040673751,1.2004056308225088,2.178544947517372,True
circuit,res_shortcut,global,True,L12,high,0.96,6,1.1865139776300748,21.0,39,6,0.0691489361702127,0.0003990422984836,0.8666666666666667,9,4,0.6923076923076923,0.2307692307692307,0.6716289721782805,1.2903949986788454,0.7382269817024182,0.937428512535189,1.099158928936823,1.3957535356088737,True
circuit,th_max,global,False,L2,low,0.975,1,1.0903155617612557,20.0,36,1,0.0638297872340425,6.650704974727321e-05,0.972972972972973,7,0,1.0,0.1944444444444444,0.7745058679266432,1.2562499695162122,0.8617593013232878,0.9952130255496354,1.1126569042404062,1.2849651200368908,True
circuit,th_mean,global,False,L2,low,0.98,1,1.086287896040356,20.0,36,2,0.0638297872340425,0.0001330140994945,0.9473684210526316,6,1,0.8571428571428571,0.1666666666666666,0.7676682370935423,1.234085735576933,0.8271453786433773,0.9854457918566115,1.0774776637561827,1.283687072409813,True
circuit,th_min,global,False,L2,low,0.99,1,1.0499897334748556,20.0,23,0,0.0407801418439716,0.0,1.0,6,0,1.0,0.2608695652173913,0.7000601870893702,1.4284486083370704,0.8568833814920158,1.0,1.2240138737994328,1.4284486083370704,True
circuit,ground_leak_cv,global,False,L15,low,0.975,3,1.8350478411320603,26.0,16,9,0.0283687943262411,0.0005985634477254,0.64,5,6,0.4545454545454545,0.3125,0.401972988606694,1.5921467813505272,0.4451849774378259,0.7975211922840683,1.1074997327081901,1.9840168739904909,True
circuit,th_first,global,False,L14,high,0.975,3,1.5659188786335567,31.0,30,5,0.0531914893617021,0.0003325352487363,0.8571428571428571,5,1,0.8333333333333334,0.1666666666666666,0.4774768861710694,1.7951504710863884,0.7062444590923874,0.937397689217447,1.4791175856821592,1.9632315539596572,True
published,flow_endpoint,global,False,back_median,high,0.99,4,1.0810006661920892,17.0,59,9,0.1046099290780141,0.0005985634477254,0.8676470588235294,5,7,0.4166666666666667,0.0847457627118644,0.7899495654019094,1.098357536765134,0.7671994025156819,0.9287775559079763,0.9712004868631673,1.175742853197766,False
circuit,thalt_mean,global,False,L3,high,0.98,10,2.8148225166473293,20.0,12,11,0.0212765957446808,0.00073157754722,0.5217391304347826,4,10,0.2857142857142857,0.3333333333333333,0.3395156880512301,1.536715824324608,0.3296273733250073,0.7076284258702978,0.9708752347115968,2.0842289495721995,False
circuit,ground_leak_mean,global,False,L14,high,0.975,2,1.48819928694205,30.0,33,8,0.0585106382978723,0.0005320563979781,0.8048780487804879,3,2,0.6,0.0909090909090909,0.547199161584969,1.4709051206313053,0.6598641480914155,0.8976556261639538,1.2058939311604773,1.6404550466851657,True
circuit,lam_max,global,False,L14,low,0.98,2,1.4589340244781532,30.0,33,10,0.0585106382978723,0.0006650704974727,0.7674418604651163,3,4,0.4285714285714285,0.0909090909090909,0.5309098477536284,1.4455219915627784,0.6225547969851299,0.8684632152240357,1.1726186651448778,1.6358016693392563,True
circuit,log_kirchhoff,global,True,L3,high,0.975,8,2.59554892523278,30.0,16,4,0.0283687943262411,0.000266028198989,0.8,3,4,0.4285714285714285,0.1875,0.5506698174547163,1.452776191180638,0.5839825676933227,0.9193423374369231,1.060494963011743,1.6694983242158974,True
circuit,log_spanning_trees,global,False,L3,low,0.975,8,2.59554892523278,30.0,16,4,0.0283687943262411,0.000266028198989,0.8,3,4,0.4285714285714285,0.1875,0.5506698174547163,1.452776191180638,0.5839825676933227,0.9193423374369231,1.060494963011743,1.6694983242158974,True
published,conditional_energy,global,False,L14,low,0.975,2,1.48819928694205,30.0,33,8,0.0585106382978723,0.0005320563979781,0.8048780487804879,3,2,0.6,0.0909090909090909,0.547199161584969,1.4709051206313053,0.6598641480914155,0.8976556261639538,1.2058939311604773,1.6404550466851657,True
published,flow_settling_log_ratio,global,False,L12,low,0.95,2,4.619300106044539,15.0,3,2,0.0053191489361702,0.0001330140994945,0.6,3,2,0.6,1.0,0.1321957702224305,4.538723130024882,0.23072428122047123,0.8823792257998295,1.745322719722864,6.674791669318559,True
published,state_action_alignment,global,False,L14,high,0.975,2,1.48819928694205,30.0,33,8,0.0585106382978723,0.0005320563979781,0.8048780487804879,3,2,0.6,0.0909090909090909,0.5457194138418074,1.4748935595203234,0.6598641480914155,0.8976556261639538,1.2091637778580042,1.6449032293803738,True
circuit,th_cv,global,True,back_median,low,0.99,3,1.6497021785801165,27.0,8,1,0.0141843971631205,6.650704974727321e-05,0.8888888888888888,2,1,0.6666666666666666,0.25,0.6757078341472017,1.315492945276769,0.5650002943402161,0.980109112368049,0.8361606389443339,1.45049245078685,False
circuit,fiedler,global,False,L14,low,0.99,1,1.4966809235520018,32.0,16,5,0.0283687943262411,0.0003325352487363,0.7619047619047619,1,1,0.5,0.0625,0.5121981512034831,1.4875195471021465,0.5490882631183506,0.8937198697936387,1.0720231258706985,1.744871330936505,True
circuit,foster_residual,global,False,all_median,high,0.98,1,4.931372549019608,43.0,1,0,0.00177304964539,0.0,1.0,0,0,0.0,0.0,0.9225589225589226,1.083941605839416,0.20654931430031864,1.0,0.22388739542771766,1.083941605839416,False
circuit,th_last,global,False,L13,high,0.99,1,3.303052309172174,37.0,5,1,0.0088652482269503,6.650704974727321e-05,0.8333333333333334,0,1,0.0,0.0,0.6289958320246294,1.3248630450395462,0.4364971777290583,0.9699466302617041,0.6939587760447458,1.5420557353132418,False
published,expert_load_effective_rank,per_task,False,L3,low,0.85,58,1.453000774065528,18.0,370,93,0.6560283687943262,0.0061851556264964,0.7991360691144709,97,69,0.5843373493975904,0.2621621621621621,0.5162688757758398,1.5479067335088583,0.760248002066326,0.8331011848260945,1.4725815127317887,1.6136963197212397,True
published,flow_settling_log_ratio,per_task,False,front_median,high,0.85,70,1.3748029678211249,17.0,304,87,0.5390070921985816,0.0057861133280127,0.7774936061381074,83,62,0.5724137931034483,0.2730263157894737,0.5501162247905625,1.4133260774741023,0.7336793671922055,0.8159083094594335,1.3336806553406568,1.4831562362481892,True
published,mobility,per_task,False,L2,low,0.7,41,1.31229780486713,20.0,272,57,0.4822695035460992,0.0037909018355945,0.8267477203647416,72,43,0.6260869565217392,0.2647058823529412,0.5953801599458113,1.3886047537089383,0.7821432038321577,0.8638099798866367,1.3136870464466681,1.450854492640898,True
published,flow_path,per_task,False,L3,high,0.96,38,1.4150754707140176,18.0,153,37,0.2712765957446808,0.0024607608406491,0.8052631578947368,43,21,0.671875,0.2810457516339869,0.58461568341509,1.37742311870717,0.7431397942128415,0.855287398321974,1.2711595246157568,1.4629908546512618,True
published,flow_endpoint,per_task,False,L12,high,0.96,36,1.4818984426815,19.0,162,39,0.2872340425531915,0.0025937749401436,0.8059701492537313,42,23,0.6461538461538462,0.2592592592592592,0.5578528296792264,1.4447720014563268,0.7457747586842326,0.8546896234142379,1.3368664977697864,1.5321059210288437,True
published,partial_query_d1,per_task,False,all_median,low,0.9,26,1.3237916662409284,20.0,156,20,0.2765957446808511,0.0013301409949454,0.8863636363636364,42,12,0.7777777777777778,0.2692307692307692,0.6422757645658748,1.3800359366863932,0.8309983852198102,0.9252232384839407,1.2938342547947397,1.4405389235094601,True
circuit,norm_fiedler,per_task,True,L15,high,0.85,26,1.2270830589804609,19.0,161,27,0.2854609929078014,0.0017956903431763,0.8563829787234043,41,22,0.6507936507936508,0.2546583850931677,0.6463077550102904,1.3250389958724371,0.799109728719819,0.8993837086345364,1.2364229309102066,1.3915718969211759,True
published,conditional_query_d1,per_task,False,front_median,low,0.95,22,1.3493959102376307,21.0,155,22,0.274822695035461,0.00146315509444,0.8757062146892656,37,12,0.7551020408163265,0.2387096774193548,0.6080416798227896,1.4402075445625462,0.8189833351392187,0.9164674893896007,1.3469197298742859,1.5072445192518713,True
published,action_consensus,per_task,False,L2,low,0.95,34,1.4310254275519927,19.0,101,34,0.1790780141843971,0.0022612396914072,0.7481481481481481,35,22,0.6140350877192983,0.3465346534653465,0.4974810167193532,1.5038727569582924,0.6687537604400623,0.8138110337375662,1.3442799583593563,1.6358634930519693,True
circuit,th_min,per_task,False,L12,low,0.95,24,1.5773027200017609,17.0,69,16,0.1223404255319148,0.0010641127959563,0.8117647058823529,30,12,0.7142857142857143,0.4347826086956521,0.4677237238271529,1.7355645320705182,0.715889756280922,0.880678565564092,1.5305825208589992,1.8829033480661042,True
published,partial_edge_std,per_task,False,L15,low,0.9,24,1.3276419636851606,20.0,103,14,0.1826241134751773,0.0009310986964618,0.8803418803418803,29,10,0.7435897435897436,0.2815533980582524,0.6360839097041088,1.384002750126779,0.8091336914910002,0.9273685062417439,1.2720549587040964,1.4579342317794737,True
circuit,res_cv,per_task,True,back_median,low,0.85,20,1.1815468843027452,20.0,126,13,0.2234042553191489,0.0008645916467145,0.9064748201438848,27,10,0.7297297297297297,0.2142857142857142,0.7137815427429581,1.2699611377739397,0.8465592449606815,0.9445276070744847,1.1860200835503227,1.323272668896429,True
circuit,res_end2end,per_task,False,L12,low,0.95,22,1.50666669517357,19.0,74,9,0.1312056737588652,0.0005985634477254,0.891566265060241,27,5,0.84375,0.3648648648648648,0.5770691477636745,1.544990350836364,0.8065953353289435,0.9418950848154168,1.3977446870184544,1.6322048899435333,True
circuit,dd_deficit,per_task,False,L13,high,0.9,26,1.2684023162456826,21.0,102,10,0.1808510638297872,0.0006650704974727,0.9107142857142856,26,7,0.7878787878787878,0.2549019607843137,0.6822450055619032,1.334878640795931,0.8434104235421279,0.9507784699262359,1.2362280656748634,1.3936026825775971,True
circuit,fiedler,per_task,False,back_median,high,0.95,18,1.489430515359024,18.0,70,10,0.1241134751773049,0.0006650704974727,0.875,26,5,0.8387096774193549,0.3714285714285714,0.5243503554746309,1.6687315854071814,0.7849719789834896,0.9306644238494758,1.49703718284495,1.7748904222770248,True
circuit,kirchhoff_efficiency,per_task,True,back_median,high,0.9,20,1.196784980262898,20.0,114,8,0.202127659574468,0.0005320563979781,0.9344262295081968,26,6,0.8125,0.2280701754385964,0.7191635551340235,1.2993236696123414,0.8759285826137337,0.9664011312329246,1.217982441352295,1.3437849072494028,True
circuit,log_kirchhoff,per_task,True,L12,low,0.95,25,1.6321041009773607,18.0,69,15,0.1223404255319148,0.000997605746209,0.8214285714285714,26,12,0.6842105263157895,0.3768115942028985,0.5071468022861765,1.619705709916021,0.7260557754589172,0.8886881134047551,1.4316481385388153,1.7523291271849126,True
circuit,log_spanning_trees,per_task,False,L12,high,0.95,25,1.6321041009773607,18.0,69,14,0.1223404255319148,0.0009310986964618,0.8313253012048193,26,11,0.7027027027027027,0.3768115942028985,0.5115687785236812,1.6250508946302635,0.7365588598235582,0.8967791879909006,1.4398041685600285,1.7529982783133968,True
circuit,spectral_erank,per_task,True,back_median,high,0.9,20,1.1974420819002485,20.0,114,8,0.202127659574468,0.0005320563979781,0.9344262295081968,26,6,0.8125,0.2280701754385964,0.7181605984965096,1.301138257187105,0.8759285826137337,0.9664011312329246,1.2196834307639768,1.345661587750865,True
circuit,th_last,per_task,False,L12,low,0.96,21,1.57806130413505,18.5,66,8,0.1170212765957446,0.0005320563979781,0.8918918918918919,26,5,0.8387096774193549,0.3939393939393939,0.5418175090649044,1.6461112403531646,0.800911555615328,0.9441926713270034,1.4781943038304186,1.7426396444008203,True
circuit,th_mean,per_task,False,L12,low,0.95,25,1.631289069927373,18.0,69,17,0.1223404255319148,0.0011306198457036,0.8023255813953488,26,14,0.65,0.3768115942028985,0.4959258427598387,1.6178337812169423,0.7060408871803934,0.8727564818910307,1.4236823861633416,1.759852797817756,True
circuit,res_mean,per_task,False,L12,low,0.96,25,1.6537296661942271,19.0,64,4,0.1134751773049645,0.000266028198989,0.9411764705882352,25,1,0.9615384615384616,0.390625,0.5780323911255294,1.6282417474141913,0.8582831156432486,0.9768892344651413,1.4848356749905007,1.6900250737903604,True
published,conditional_effective_rank,per_task,False,L13,low,0.9,26,1.2737293276309822,21.0,103,10,0.1826241134751773,0.0006650704974727,0.911504424778761,25,7,0.78125,0.2427184466019417,0.6906157065227762,1.3198431720705444,0.8447297297090448,0.9512206199120046,1.2231545296909434,1.3773515588015863,True
circuit,res_adjacent_mean,per_task,False,L12,low,0.96,25,1.6717985223824263,19.5,64,4,0.1134751773049645,0.000266028198989,0.9411764705882352,24,1,0.96,0.375,0.5810708080232093,1.619727677922933,0.8582831156432486,0.9768892344651413,1.4770714752701304,1.6811879395361435,True
circuit,res_chain_series,per_task,False,L12,low,0.96,25,1.6717985223824263,19.5,64,4,0.1134751773049645,0.000266028198989,0.9411764705882352,24,1,0.96,0.375,0.5810708080232093,1.619727677922933,0.8582831156432486,0.9768892344651413,1.4770714752701304,1.6811879395361435,True
circuit,thalt_mean,per_task,False,L12,low,0.96,25,1.6709070628738725,19.0,63,4,0.1117021276595744,0.000266028198989,0.9402985074626866,24,1,0.96,0.3809523809523809,0.5725606619065398,1.64226879354868,0.8563049895602391,0.9765406488650302,1.4955707692332094,1.7055671369620446,True
circuit,th_cv,per_task,True,L14,low,0.9,19,1.2924660886138395,19.5,79,17,0.1400709219858156,0.0011306198457036,0.8229166666666666,22,15,0.5945945945945946,0.2784810126582278,0.6134085040032885,1.341547535282059,0.7345895948087263,0.8863949213553107,1.1975536530950803,1.4450320065183817,True
circuit,res_shortcut,per_task,True,back_median,high,0.925,14,1.1628080033247137,20.0,106,10,0.1879432624113475,0.0006650704974727,0.913793103448276,21,7,0.75,0.1981132075471698,0.754450126382681,1.2112041227026995,0.8485576942295899,0.9525006452069334,1.1247366320927283,1.2625097563093188,True
circuit,th_max,per_task,False,L12,low,0.95,24,1.5496472677928066,19.0,73,18,0.1294326241134751,0.0011971268954509,0.8021978021978022,21,15,0.5833333333333334,0.2876712328767123,0.5548076069777382,1.445902673482973,0.7088597630063793,0.8710553994431633,1.27766770695129,1.5700134397726717,True
circuit,thalt_cv,per_task,False,back_median,low,0.9,21,1.3191918854193,20.0,84,7,0.1489361702127659,0.0004655493482309,0.9230769230769232,21,4,0.84,0.25,0.7079800268187756,1.3038177464195706,0.8496407287461787,0.962240498683181,1.2000913819051346,1.3591350917156444,True
circuit,ground_leak_mean,per_task,False,L4,high,0.95,15,2.658107074732975,17.0,37,12,0.0656028368794326,0.0007980845969672,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.3923405021586492,1.9246089472327503,0.6191368100897001,0.8539765474347203,1.5780598910467372,2.176620926812703,True
circuit,lam_max,per_task,False,L4,low,0.95,15,2.64919180944078,17.0,38,12,0.0673758865248227,0.0007980845969672,0.76,19,10,0.6551724137931034,0.5,0.3987266467961463,1.9060677436704123,0.6258731623866494,0.8570260860478336,1.5696797979660346,2.1494076027629987,True
circuit,th_first,per_task,False,L12,low,0.96,22,1.5660943453887906,19.0,66,14,0.1170212765957446,0.0009310986964618,0.825,19,11,0.6333333333333333,0.2878787878787879,0.5655482393108762,1.458761503714108,0.7274245801859028,0.892793635602667,1.2862290599158683,1.5786339228825843,True
circuit,vol,per_task,False,L4,low,0.95,15,2.553113813821648,17.0,37,12,0.0656028368794326,0.0007980845969672,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.3917896897619976,1.927314731725156,0.6191368100897001,0.8539765474347203,1.580278466403264,2.1796810119058767,True
published,conditional_energy,per_task,False,L4,low,0.95,15,2.658107074732975,17.0,37,12,0.0656028368794326,0.0007980845969672,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.3923405021586492,1.9246089472327503,0.6191368100897001,0.8539765474347203,1.5780598910467372,2.176620926812703,True
published,state_action_alignment,per_task,False,L4,high,0.95,15,2.689025286855772,17.0,37,12,0.0656028368794326,0.0007980845969672,0.7551020408163265,19,10,0.6551724137931034,0.5135135135135135,0.391684036459853,1.9278346078158923,0.6191368100897001,0.8539765474347203,1.5807047325329548,2.1802689615670654,True
circuit,ground_leak_cv,per_task,False,back_median,low,0.9,15,1.457504629928836,17.5,52,10,0.0921985815602836,0.0006650704974727,0.8387096774193549,17,10,0.6296296296296297,0.3269230769230769,0.5609460777327299,1.4951698758805996,0.727936639830432,0.9099593113092351,1.297694499928863,1.622186779497899,True
circuit,gap_ratio,per_task,True,L3,low,0.96,21,1.8441756313912965,16.0,37,16,0.0656028368794326,0.0010641127959563,0.6981132075471698,13,16,0.4482758620689655,0.3513513513513513,0.4222333201854123,1.6533825592935496,0.5646316732790353,0.8048169727449559,1.3372503928185786,1.9060953607155928,True
circuit,th_slope,per_task,True,L3,low,0.98,8,1.87357941000754,18.5,10,14,0.0177304964539007,0.0009310986964618,0.4166666666666667,0,14,0.0,0.0,0.4072705069065747,1.0230710537609526,0.2446760260655056,0.6116533413896283,0.6007703035605099,1.5018355884285473,False
