horizon_phase,tp,fn,fp,tn,tpr,fpr,precision,tp_with_at_least_3_query_lead,tp_with_at_least_5_query_lead,median_failure_alarm_lead_queries
0.9,530,0,11,15059,1.0,0.00072992700729927,0.9796672828096118,367,267,5.0
0.91,530,0,9,15061,1.0,0.0005972130059721301,0.9833024118738405,267,0,4.0
0.92,530,0,9,15061,1.0,0.0005972130059721301,0.9833024118738405,267,0,4.0
0.93,530,0,7,15063,1.0,0.00046449900464499007,0.9869646182495344,267,0,3.0
0.94,530,0,7,15063,1.0,0.00046449900464499007,0.9869646182495344,267,0,3.0
0.95,530,0,5,15065,1.0,0.00033178500331785003,0.9906542056074766,0,0,2.0
0.96,530,0,5,15065,1.0,0.00033178500331785003,0.9906542056074766,0,0,2.0
0.97,530,0,2,15068,1.0,0.00013271400132714,0.9962406015037594,0,0,1.0
0.98,530,0,2,15068,1.0,0.00013271400132714,0.9962406015037594,0,0,1.0
0.99,530,0,1,15069,1.0,6.635700066357e-05,0.9981167608286252,0,0,0.0
1.0,530,0,1,15069,1.0,6.635700066357e-05,0.9981167608286252,0,0,0.0
