corpus,target,horizon,feature_block,t_bin,metric,value,n
A,dgoal,1,route,q0-11,r2,nan,4224
A,dgoal,1,route,q12-23,r2,-684660.1714312029,4224
A,dgoal,1,route,q24+,r2,-0.43695522373695667,7358
A,undo,1,route,all,auc,0.16007617952261557,15806
A,undo,1,route,q0-11,auc,nan,4224
A,undo,1,route,q12-23,auc,0.30345227734261676,4224
A,undo,1,route,q24+,auc,0.18465665099718254,7358
A,grip_flips,1,route,all,r2,0.6137172576217635,15806
A,grip_flips,1,route,all,r2_within_branch,0.6233862526170734,15806
A,grip_flips,1,route,q0-11,r2,0.5655863739175804,4224
A,grip_flips,1,route,q12-23,r2,0.6960676630066676,4224
A,grip_flips,1,route,q24+,r2,0.5395616895389057,7358
A,obj_disp_p1,1,route,all,r2,-0.7995633842945093,15806
A,obj_disp_p1,1,route,all,r2_within_branch,-0.3546102214776441,15806
A,obj_disp_p1,1,route,q0-11,r2,-570882555838.5487,4224
A,obj_disp_p1,1,route,q12-23,r2,-140272.25936654015,4224
A,obj_disp_p1,1,route,q24+,r2,-0.5354668242472396,7358
A,obj_disp_p2,1,route,all,r2,-0.4061011130063583,15806
A,obj_disp_p2,1,route,all,r2_within_branch,-0.10647654809986531,15806
A,obj_disp_p2,1,route,q0-11,r2,-27.95167116364178,4224
A,obj_disp_p2,1,route,q12-23,r2,-0.13687349162217127,4224
A,obj_disp_p2,1,route,q24+,r2,-65.94820015137903,7358
A,obj_nc,1,route,all,auc,0.7357762552381204,15806
A,obj_nc,1,route,q0-11,auc,0.6064023772540015,4224
A,obj_nc,1,route,q12-23,auc,0.7770950743033558,4224
A,obj_nc,1,route,q24+,auc,0.6303354828029158,7358
A,obj_ncfar,1,route,all,auc,0.6659493971314439,15806
A,obj_ncfar,1,route,q0-11,auc,nan,4224
A,obj_ncfar,1,route,q12-23,auc,0.807351937109327,4224
A,obj_ncfar,1,route,q24+,auc,0.641041944699258,7358
A,obj_free_disp,1,route,all,r2,-0.0863657385264987,15806
A,obj_free_disp,1,route,all,r2_within_branch,-0.045155979934056234,15806
A,obj_free_disp,1,route,q0-11,r2,-0.0428745870662115,4224
A,obj_free_disp,1,route,q12-23,r2,-0.046759467911184766,4224
A,obj_free_disp,1,route,q24+,r2,-0.08687991641021872,7358
A,obj_gt_arm,1,route,all,auc,0.7363933644664209,15806
A,obj_gt_arm,1,route,q0-11,auc,0.8523602533251381,4224
A,obj_gt_arm,1,route,q12-23,auc,0.7135536495313605,4224
A,obj_gt_arm,1,route,q24+,auc,0.6860533403518431,7358
A,undo_nc,1,route,all,auc,0.05219412336665524,15806
A,undo_nc,1,route,q0-11,auc,nan,4224
A,undo_nc,1,route,q12-23,auc,0.11086956521739133,4224
A,undo_nc,1,route,q24+,auc,0.010505252626313188,7358
A,eef_disp,1,t1,all,r2,0.9562662993931951,15806
A,eef_disp,1,t1,all,r2_within_branch,0.957905534346206,15806
A,eef_disp,1,t1,q0-11,r2,0.9375719470331464,4224
A,eef_disp,1,t1,q12-23,r2,0.9601758024569165,4224
A,eef_disp,1,t1,q24+,r2,0.9442631619503348,7358
A,eef_path,1,t1,all,r2,0.9562663008415168,15806
A,eef_path,1,t1,all,r2_within_branch,0.9579055348700142,15806
A,eef_path,1,t1,q0-11,r2,0.9375719367925079,4224
A,eef_path,1,t1,q12-23,r2,0.9601758095449915,4224
A,eef_path,1,t1,q24+,r2,0.9442631638872696,7358
A,obj_disp,1,t1,all,r2,0.43426270717666304,15806
A,obj_disp,1,t1,all,r2_within_branch,0.401424415567323,15806
A,obj_disp,1,t1,q0-11,r2,-16.251931515373055,4224
A,obj_disp,1,t1,q12-23,r2,0.6177810178621322,4224
A,obj_disp,1,t1,q24+,r2,0.18764895864721212,7358
A,dgoal,1,t1,all,r2,-0.6925835538707538,15806
A,dgoal,1,t1,all,r2_within_branch,-0.7627988426243835,15806
A,dgoal,1,t1,q0-11,r2,nan,4224
