task,denoise,family,conditional_auc,auc_ci_low,auc_ci_high,conditional_pairs,mixed_scenes
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,9,routed_full,0.4831223628691983,0.3677381104169323,0.5800977027905236,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,9,shared_identity,0.4620253164556962,0.38972754131864223,0.5294117647058824,474,13
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,9,hidden_identity,0.5042194092827004,0.43840070835368833,0.5647973529622465,474,13
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,routed_identity,0.34615384615384615,0.2,0.5,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,routed_scalar,0.4230769230769231,0.2539570757880617,0.6428571428571429,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,routed_full,0.47435897435897434,0.3275862068965517,0.6785714285714286,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,shared_identity,0.4230769230769231,0.16326530612244897,0.6285714285714286,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,hidden_identity,0.358974358974359,0.15873015873015872,0.5714285714285714,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,routed_identity,0.38461538461538464,0.23910455486542445,0.5238095238095238,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,routed_scalar,0.3717948717948718,0.20407218442932729,0.625,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,routed_full,0.2948717948717949,0.16326530612244897,0.4600079365079364,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,shared_identity,0.44871794871794873,0.19047619047619047,0.6428571428571429,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,hidden_identity,0.38461538461538464,0.171875,0.5892857142857143,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,2,routed_identity,0.41025641025641024,0.2758336491095112,0.6122448979591837,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,2,routed_scalar,0.5384615384615384,0.3437005537974684,0.7755102040816326,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,2,routed_full,0.48717948717948717,0.2656170280612245,0.7473214285714276,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,2,shared_identity,0.44871794871794873,0.21794871794871795,0.609375,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,2,hidden_identity,0.41025641025641024,0.20408163265306123,0.6161616161616161,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,3,routed_identity,0.358974358974359,0.10204081632653061,0.5555555555555556,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,3,routed_scalar,0.4358974358974359,0.26015853658536586,0.6507936507936508,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,3,routed_full,0.4230769230769231,0.21310603418207183,0.6857792207792198,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,3,shared_identity,0.38461538461538464,0.17543859649122806,0.5757658102766797,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,3,hidden_identity,0.4230769230769231,0.22446578631452582,0.6285714285714286,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,4,routed_identity,0.3333333333333333,0.11904761904761904,0.535782967032966,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,4,routed_scalar,0.32051282051282054,0.15492957746478872,0.4603174603174603,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,4,routed_full,0.3974358974358974,0.24489795918367346,0.5178824123989215,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,4,shared_identity,0.4358974358974359,0.1836734693877551,0.6607142857142857,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,4,hidden_identity,0.4358974358974359,0.2234967320261438,0.625,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,routed_identity,0.34615384615384615,0.12983766233766234,0.5352112676056338,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,routed_scalar,0.34615384615384615,0.16666666666666666,0.554378019323671,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,routed_full,0.358974358974359,0.19230769230769232,0.5625,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,shared_identity,0.3717948717948718,0.16326530612244897,0.5769366197183096,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,hidden_identity,0.5,0.21052631578947367,0.7453017370470197,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,6,routed_identity,0.46153846153846156,0.25878151260504206,0.6857142857142857,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,6,routed_scalar,0.358974358974359,0.2222222222222222,0.4683763388510221,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,6,routed_full,0.4230769230769231,0.19642857142857142,0.5897540983606556,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,6,shared_identity,0.4358974358974359,0.26527069160997735,0.6122959183673462,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,6,hidden_identity,0.5384615384615384,0.2957520765619357,0.7777777777777778,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,7,routed_identity,0.5128205128205128,0.24284632034632034,0.7936507936507936,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,7,routed_scalar,0.44871794871794873,0.2987012987012987,0.5918367346938775,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,7,routed_full,0.5256410256410257,0.2857142857142857,0.7380952380952381,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,7,shared_identity,0.46153846153846156,0.2631578947368421,0.7173742923742894,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,7,hidden_identity,0.5897435897435898,0.37142857142857144,0.8035714285714286,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,8,routed_identity,0.41025641025641024,0.19047619047619047,0.5833333333333334,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,8,routed_scalar,0.5769230769230769,0.36507936507936506,0.7341772151898734,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,8,routed_full,0.6282051282051282,0.40476190476190477,0.78125,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,8,shared_identity,0.46153846153846156,0.25878151260504206,0.6857431457431453,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,8,hidden_identity,0.5512820512820513,0.3060586734693878,0.7714285714285715,78,8
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,9,routed_identity,0.48717948717948717,0.2872340425531915,0.7142857142857143,78,8
