corpus,group,relative,concordant,pairs,n_events,auc_trap_high,metric,token
A,w00_s004,-2,53.0,63,7,0.8412698412698413,top45_margin,5
A,w00_s005,-2,32.5,52,7,0.625,top45_margin,5
A,w01_s000,-2,9.0,15,15,0.6,top45_margin,5
A,w01_s003,-2,2.0,15,15,0.13333333333333333,top45_margin,5
A,w02_s000,-2,34.0,63,7,0.5396825396825397,top45_margin,5
A,w02_s001,-2,57.0,63,7,0.9047619047619048,top45_margin,5
A,w02_s002,-2,39.0,63,8,0.6190476190476191,top45_margin,5
A,w02_s003,-2,41.0,59,10,0.6949152542372882,top45_margin,5
A,w02_s004,-2,36.5,60,6,0.6083333333333333,top45_margin,5
A,w03_s001,-2,1.0,1,1,1.0,top45_margin,5
A,w03_s004,-2,1.0,3,2,0.3333333333333333,top45_margin,5
A,w03_s005,-2,5.0,14,1,0.35714285714285715,top45_margin,5
A,w00_s000,-2,24.0,55,5,0.43636363636363634,top45_margin,6
A,w00_s001,-2,25.0,39,13,0.6410256410256411,top45_margin,6
A,w00_s002,-2,48.5,64,8,0.7578125,top45_margin,6
A,w00_s003,-2,37.0,63,9,0.5873015873015873,top45_margin,6
A,w00_s004,-2,39.5,63,7,0.626984126984127,top45_margin,6
A,w00_s005,-2,34.0,52,7,0.6538461538461539,top45_margin,6
A,w01_s000,-2,13.0,15,15,0.8666666666666667,top45_margin,6
A,w01_s003,-2,6.0,15,15,0.4,top45_margin,6
A,w02_s000,-2,33.0,63,7,0.5238095238095238,top45_margin,6
A,w02_s001,-2,32.5,63,7,0.5158730158730159,top45_margin,6
A,w02_s002,-2,46.0,63,8,0.7301587301587301,top45_margin,6
A,w02_s003,-2,38.0,59,10,0.6440677966101694,top45_margin,6
A,w02_s004,-2,44.5,60,6,0.7416666666666667,top45_margin,6
A,w03_s001,-2,0.0,1,1,0.0,top45_margin,6
A,w03_s004,-2,2.0,3,2,0.6666666666666666,top45_margin,6
A,w03_s005,-2,5.0,14,1,0.35714285714285715,top45_margin,6
A,w00_s000,-2,26.0,55,5,0.4727272727272727,top45_margin,7
A,w00_s001,-2,22.5,39,13,0.5769230769230769,top45_margin,7
A,w00_s002,-2,42.0,64,8,0.65625,top45_margin,7
A,w00_s003,-2,43.0,63,9,0.6825396825396826,top45_margin,7
A,w00_s004,-2,36.0,63,7,0.5714285714285714,top45_margin,7
A,w00_s005,-2,33.5,52,7,0.6442307692307693,top45_margin,7
A,w01_s000,-2,1.0,15,15,0.06666666666666667,top45_margin,7
A,w01_s003,-2,14.0,15,15,0.9333333333333333,top45_margin,7
A,w02_s000,-2,34.5,63,7,0.5476190476190477,top45_margin,7
A,w02_s001,-2,33.5,63,7,0.5317460317460317,top45_margin,7
A,w02_s002,-2,39.0,63,8,0.6190476190476191,top45_margin,7
A,w02_s003,-2,38.0,59,10,0.6440677966101694,top45_margin,7
A,w02_s004,-2,30.0,60,6,0.5,top45_margin,7
A,w03_s001,-2,0.0,1,1,0.0,top45_margin,7
A,w03_s004,-2,1.0,3,2,0.3333333333333333,top45_margin,7
A,w03_s005,-2,7.0,14,1,0.5,top45_margin,7
A,w00_s000,-2,41.0,55,5,0.7454545454545455,top45_margin,8
A,w00_s001,-2,27.0,39,13,0.6923076923076923,top45_margin,8
A,w00_s002,-2,46.0,64,8,0.71875,top45_margin,8
A,w00_s003,-2,45.0,63,9,0.7142857142857143,top45_margin,8
A,w00_s004,-2,34.0,63,7,0.5396825396825397,top45_margin,8
A,w00_s005,-2,27.0,52,7,0.5192307692307693,top45_margin,8
A,w01_s000,-2,13.0,15,15,0.8666666666666667,top45_margin,8
A,w01_s003,-2,4.0,15,15,0.26666666666666666,top45_margin,8
A,w02_s000,-2,31.0,63,7,0.49206349206349204,top45_margin,8
A,w02_s001,-2,40.0,63,7,0.6349206349206349,top45_margin,8
A,w02_s002,-2,49.0,63,8,0.7777777777777778,top45_margin,8
A,w02_s003,-2,44.0,59,10,0.7457627118644068,top45_margin,8
A,w02_s004,-2,45.0,60,6,0.75,top45_margin,8
A,w03_s001,-2,1.0,1,1,1.0,top45_margin,8
A,w03_s004,-2,0.0,3,2,0.0,top45_margin,8
A,w03_s005,-2,14.0,14,1,1.0,top45_margin,8
A,w00_s000,-2,42.5,55,5,0.7727272727272727,top45_margin,9
A,w00_s001,-2,22.0,39,13,0.5641025641025641,top45_margin,9
A,w00_s002,-2,49.0,64,8,0.765625,top45_margin,9
A,w00_s003,-2,52.0,63,9,0.8253968253968254,top45_margin,9
A,w00_s004,-2,47.0,63,7,0.746031746031746,top45_margin,9
A,w00_s005,-2,34.0,52,7,0.6538461538461539,top45_margin,9
A,w01_s000,-2,11.0,15,15,0.7333333333333333,top45_margin,9
A,w01_s003,-2,5.0,15,15,0.3333333333333333,top45_margin,9
A,w02_s000,-2,46.5,63,7,0.7380952380952381,top45_margin,9
A,w02_s001,-2,48.0,63,7,0.7619047619047619,top45_margin,9
A,w02_s002,-2,44.0,63,8,0.6984126984126984,top45_margin,9
A,w02_s003,-2,33.5,59,10,0.5677966101694916,top45_margin,9
A,w02_s004,-2,43.0,60,6,0.7166666666666667,top45_margin,9
A,w03_s001,-2,1.0,1,1,1.0,top45_margin,9
A,w03_s004,-2,2.0,3,2,0.6666666666666666,top45_margin,9
A,w03_s005,-2,11.0,14,1,0.7857142857142857,top45_margin,9
A,w00_s000,-2,28.0,55,5,0.509090909090909,top45_margin,10
A,w00_s001,-2,23.0,39,13,0.5897435897435898,top45_margin,10
A,w00_s002,-2,47.0,64,8,0.734375,top45_margin,10
A,w00_s003,-2,45.0,63,9,0.7142857142857143,top45_margin,10
A,w00_s004,-2,62.0,63,7,0.9841269841269841,top45_margin,10
A,w00_s005,-2,38.0,52,7,0.7307692307692307,top45_margin,10
A,w01_s000,-2,7.0,15,15,0.4666666666666667,top45_margin,10
A,w01_s003,-2,7.0,15,15,0.4666666666666667,top45_margin,10
A,w02_s000,-2,34.0,63,7,0.5396825396825397,top45_margin,10
A,w02_s001,-2,50.0,63,7,0.7936507936507936,top45_margin,10
A,w02_s002,-2,51.0,63,8,0.8095238095238095,top45_margin,10
A,w02_s003,-2,46.0,59,10,0.7796610169491526,top45_margin,10
A,w02_s004,-2,44.0,60,6,0.7333333333333333,top45_margin,10
A,w03_s001,-2,0.0,1,1,0.0,top45_margin,10
A,w03_s004,-2,0.0,3,2,0.0,top45_margin,10
A,w03_s005,-2,11.0,14,1,0.7857142857142857,top45_margin,10
A,w00_s000,-2,18.0,55,5,0.32727272727272727,tail_mass,1
A,w00_s001,-2,1.0,39,13,0.02564102564102564,tail_mass,1
A,w00_s002,-2,16.0,64,8,0.25,tail_mass,1
A,w00_s003,-2,14.0,63,9,0.2222222222222222,tail_mass,1
A,w00_s004,-2,8.0,63,7,0.12698412698412698,tail_mass,1
A,w00_s005,-2,21.0,52,7,0.40384615384615385,tail_mass,1
A,w01_s000,-2,0.0,15,15,0.0,tail_mass,1
A,w01_s003,-2,4.0,15,15,0.26666666666666666,tail_mass,1
A,w02_s000,-2,20.0,63,7,0.31746031746031744,tail_mass,1
A,w02_s001,-2,10.0,63,7,0.15873015873015872,tail_mass,1
A,w02_s002,-2,24.0,63,8,0.38095238095238093,tail_mass,1
A,w02_s003,-2,5.0,59,10,0.0847457627118644,tail_mass,1
A,w02_s004,-2,20.0,60,6,0.3333333333333333,tail_mass,1
A,w03_s001,-2,0.0,1,1,0.0,tail_mass,1
A,w03_s004,-2,3.0,3,2,1.0,tail_mass,1
A,w03_s005,-2,2.0,14,1,0.14285714285714285,tail_mass,1
A,w00_s000,-2,7.0,55,5,0.12727272727272726,tail_mass,2
A,w00_s001,-2,0.0,39,13,0.0,tail_mass,2
A,w00_s002,-2,7.0,64,8,0.109375,tail_mass,2
A,w00_s003,-2,2.0,63,9,0.031746031746031744,tail_mass,2
A,w00_s004,-2,15.0,63,7,0.23809523809523808,tail_mass,2
A,w00_s005,-2,13.0,52,7,0.25,tail_mass,2
A,w01_s000,-2,0.0,15,15,0.0,tail_mass,2
A,w01_s003,-2,3.0,15,15,0.2,tail_mass,2
A,w02_s000,-2,15.0,63,7,0.23809523809523808,tail_mass,2
A,w02_s001,-2,11.0,63,7,0.1746031746031746,tail_mass,2
A,w02_s002,-2,12.0,63,8,0.19047619047619047,tail_mass,2
A,w02_s003,-2,5.0,59,10,0.0847457627118644,tail_mass,2
A,w02_s004,-2,21.0,60,6,0.35,tail_mass,2
A,w03_s001,-2,0.0,1,1,0.0,tail_mass,2
A,w03_s004,-2,3.0,3,2,1.0,tail_mass,2
A,w03_s005,-2,0.0,14,1,0.0,tail_mass,2
A,w00_s000,-2,5.0,55,5,0.09090909090909091,tail_mass,3
A,w00_s001,-2,2.0,39,13,0.05128205128205128,tail_mass,3
A,w00_s002,-2,12.0,64,8,0.1875,tail_mass,3
A,w00_s003,-2,0.0,63,9,0.0,tail_mass,3
A,w00_s004,-2,8.0,63,7,0.12698412698412698,tail_mass,3
A,w00_s005,-2,5.0,52,7,0.09615384615384616,tail_mass,3
A,w01_s000,-2,0.0,15,15,0.0,tail_mass,3
A,w01_s003,-2,5.0,15,15,0.3333333333333333,tail_mass,3
A,w02_s000,-2,21.0,63,7,0.3333333333333333,tail_mass,3
A,w02_s001,-2,12.0,63,7,0.19047619047619047,tail_mass,3
A,w02_s002,-2,10.0,63,8,0.15873015873015872,tail_mass,3
A,w02_s003,-2,2.0,59,10,0.03389830508474576,tail_mass,3
A,w02_s004,-2,16.0,60,6,0.26666666666666666,tail_mass,3
A,w03_s001,-2,0.0,1,1,0.0,tail_mass,3
A,w03_s004,-2,1.0,3,2,0.3333333333333333,tail_mass,3
A,w03_s005,-2,12.0,14,1,0.8571428571428571,tail_mass,3
A,w00_s000,-2,3.0,55,5,0.05454545454545454,tail_mass,4
A,w00_s001,-2,1.0,39,13,0.02564102564102564,tail_mass,4
A,w00_s002,-2,5.0,64,8,0.078125,tail_mass,4
A,w00_s003,-2,10.0,63,9,0.15873015873015872,tail_mass,4
A,w00_s004,-2,4.0,63,7,0.06349206349206349,tail_mass,4
A,w00_s005,-2,10.0,52,7,0.19230769230769232,tail_mass,4
A,w01_s000,-2,1.0,15,15,0.06666666666666667,tail_mass,4
A,w01_s003,-2,5.0,15,15,0.3333333333333333,tail_mass,4
A,w02_s000,-2,13.0,63,7,0.20634920634920634,tail_mass,4
A,w02_s001,-2,8.0,63,7,0.12698412698412698,tail_mass,4
A,w02_s002,-2,11.0,63,8,0.1746031746031746,tail_mass,4
A,w02_s003,-2,7.0,59,10,0.11864406779661017,tail_mass,4
A,w02_s004,-2,17.0,60,6,0.2833333333333333,tail_mass,4
A,w03_s001,-2,0.0,1,1,0.0,tail_mass,4
A,w03_s004,-2,1.0,3,2,0.3333333333333333,tail_mass,4
A,w03_s005,-2,7.0,14,1,0.5,tail_mass,4
A,w00_s000,-2,2.0,55,5,0.03636363636363636,tail_mass,5
A,w00_s001,-2,4.0,39,13,0.10256410256410256,tail_mass,5
A,w00_s002,-2,3.0,64,8,0.046875,tail_mass,5
A,w00_s003,-2,9.0,63,9,0.14285714285714285,tail_mass,5
A,w00_s004,-2,12.0,63,7,0.19047619047619047,tail_mass,5
A,w00_s005,-2,16.0,52,7,0.3076923076923077,tail_mass,5
A,w01_s000,-2,7.0,15,15,0.4666666666666667,tail_mass,5
A,w01_s003,-2,5.0,15,15,0.3333333333333333,tail_mass,5
A,w02_s000,-2,26.0,63,7,0.4126984126984127,tail_mass,5
A,w02_s001,-2,4.0,63,7,0.06349206349206349,tail_mass,5
A,w02_s002,-2,9.0,63,8,0.14285714285714285,tail_mass,5
A,w02_s003,-2,7.0,59,10,0.11864406779661017,tail_mass,5
A,w02_s004,-2,15.0,60,6,0.25,tail_mass,5
A,w03_s001,-2,0.0,1,1,0.0,tail_mass,5
A,w03_s004,-2,1.0,3,2,0.3333333333333333,tail_mass,5
A,w03_s005,-2,7.0,14,1,0.5,tail_mass,5
A,w00_s000,-2,22.0,55,5,0.4,tail_mass,6
A,w00_s001,-2,9.0,39,13,0.23076923076923078,tail_mass,6
A,w00_s002,-2,4.0,64,8,0.0625,tail_mass,6
A,w00_s003,-2,14.0,63,9,0.2222222222222222,tail_mass,6
A,w00_s004,-2,8.0,63,7,0.12698412698412698,tail_mass,6
A,w00_s005,-2,7.0,52,7,0.1346153846153846,tail_mass,6
A,w01_s000,-2,0.0,15,15,0.0,tail_mass,6
A,w01_s003,-2,12.0,15,15,0.8,tail_mass,6
A,w02_s000,-2,33.0,63,7,0.5238095238095238,tail_mass,6
A,w02_s001,-2,16.0,63,7,0.25396825396825395,tail_mass,6
A,w02_s002,-2,12.0,63,8,0.19047619047619047,tail_mass,6
A,w02_s003,-2,10.0,59,10,0.1694915254237288,tail_mass,6
A,w02_s004,-2,21.0,60,6,0.35,tail_mass,6
A,w03_s001,-2,0.0,1,1,0.0,tail_mass,6
A,w03_s004,-2,1.0,3,2,0.3333333333333333,tail_mass,6
A,w03_s005,-2,3.0,14,1,0.21428571428571427,tail_mass,6
A,w00_s000,-2,38.0,55,5,0.6909090909090909,tail_mass,7
A,w00_s001,-2,14.0,39,13,0.358974358974359,tail_mass,7
A,w00_s002,-2,20.0,64,8,0.3125,tail_mass,7
A,w00_s003,-2,9.0,63,9,0.14285714285714285,tail_mass,7
A,w00_s004,-2,14.0,63,7,0.2222222222222222,tail_mass,7
A,w00_s005,-2,11.0,52,7,0.21153846153846154,tail_mass,7
A,w01_s000,-2,2.0,15,15,0.13333333333333333,tail_mass,7
A,w01_s003,-2,11.0,15,15,0.7333333333333333,tail_mass,7
A,w02_s000,-2,25.0,63,7,0.3968253968253968,tail_mass,7
A,w02_s001,-2,26.0,63,7,0.4126984126984127,tail_mass,7
A,w02_s002,-2,15.0,63,8,0.23809523809523808,tail_mass,7
A,w02_s003,-2,16.0,59,10,0.2711864406779661,tail_mass,7
A,w02_s004,-2,2.0,60,6,0.03333333333333333,tail_mass,7
A,w03_s001,-2,0.0,1,1,0.0,tail_mass,7
A,w03_s004,-2,1.0,3,2,0.3333333333333333,tail_mass,7
A,w03_s005,-2,10.0,14,1,0.7142857142857143,tail_mass,7
A,w00_s000,-2,5.0,55,5,0.09090909090909091,tail_mass,8
A,w00_s001,-2,12.0,39,13,0.3076923076923077,tail_mass,8
A,w00_s002,-2,11.0,64,8,0.171875,tail_mass,8
A,w00_s003,-2,8.0,63,9,0.12698412698412698,tail_mass,8
A,w00_s004,-2,16.0,63,7,0.25396825396825395,tail_mass,8
A,w00_s005,-2,6.0,52,7,0.11538461538461539,tail_mass,8
A,w01_s000,-2,0.0,15,15,0.0,tail_mass,8
A,w01_s003,-2,9.0,15,15,0.6,tail_mass,8
A,w02_s000,-2,10.0,63,7,0.15873015873015872,tail_mass,8
A,w02_s001,-2,12.0,63,7,0.19047619047619047,tail_mass,8
A,w02_s002,-2,10.0,63,8,0.15873015873015872,tail_mass,8
A,w02_s003,-2,4.0,59,10,0.06779661016949153,tail_mass,8
A,w02_s004,-2,2.0,60,6,0.03333333333333333,tail_mass,8
A,w03_s001,-2,0.0,1,1,0.0,tail_mass,8
A,w03_s004,-2,2.0,3,2,0.6666666666666666,tail_mass,8
A,w03_s005,-2,7.0,14,1,0.5,tail_mass,8
A,w00_s000,-2,0.0,55,5,0.0,tail_mass,9
A,w00_s001,-2,7.0,39,13,0.1794871794871795,tail_mass,9
A,w00_s002,-2,7.0,64,8,0.109375,tail_mass,9
A,w00_s003,-2,1.0,63,9,0.015873015873015872,tail_mass,9
A,w00_s004,-2,17.0,63,7,0.2698412698412698,tail_mass,9
A,w00_s005,-2,15.0,52,7,0.28846153846153844,tail_mass,9
A,w01_s000,-2,0.0,15,15,0.0,tail_mass,9
A,w01_s003,-2,4.0,15,15,0.26666666666666666,tail_mass,9
A,w02_s000,-2,14.0,63,7,0.2222222222222222,tail_mass,9
A,w02_s001,-2,1.0,63,7,0.015873015873015872,tail_mass,9
A,w02_s002,-2,6.0,63,8,0.09523809523809523,tail_mass,9
A,w02_s003,-2,3.0,59,10,0.05084745762711865,tail_mass,9
A,w02_s004,-2,4.0,60,6,0.06666666666666667,tail_mass,9
A,w03_s001,-2,0.0,1,1,0.0,tail_mass,9
A,w03_s004,-2,3.0,3,2,1.0,tail_mass,9
A,w03_s005,-2,1.0,14,1,0.07142857142857142,tail_mass,9
A,w00_s000,-2,6.0,55,5,0.10909090909090909,tail_mass,10
A,w00_s001,-2,2.0,39,13,0.05128205128205128,tail_mass,10
A,w00_s002,-2,5.0,64,8,0.078125,tail_mass,10
A,w00_s003,-2,4.0,63,9,0.06349206349206349,tail_mass,10
A,w00_s004,-2,1.0,63,7,0.015873015873015872,tail_mass,10
A,w00_s005,-2,14.0,52,7,0.2692307692307692,tail_mass,10
A,w01_s000,-2,0.0,15,15,0.0,tail_mass,10
A,w01_s003,-2,5.0,15,15,0.3333333333333333,tail_mass,10
A,w02_s000,-2,13.0,63,7,0.20634920634920634,tail_mass,10
A,w02_s001,-2,8.0,63,7,0.12698412698412698,tail_mass,10
A,w02_s002,-2,9.0,63,8,0.14285714285714285,tail_mass,10
A,w02_s003,-2,6.0,59,10,0.1016949152542373,tail_mass,10
A,w02_s004,-2,3.0,60,6,0.05,tail_mass,10
A,w03_s001,-2,1.0,1,1,1.0,tail_mass,10
A,w03_s004,-2,2.0,3,2,0.6666666666666666,tail_mass,10
A,w03_s005,-2,0.0,14,1,0.0,tail_mass,10
A,w00_s000,-2,13.0,55,5,0.23636363636363636,exec_entropy,1
A,w00_s001,-2,0.0,39,13,0.0,exec_entropy,1
A,w00_s002,-2,20.0,64,8,0.3125,exec_entropy,1
A,w00_s003,-2,10.0,63,9,0.15873015873015872,exec_entropy,1
A,w00_s004,-2,11.0,63,7,0.1746031746031746,exec_entropy,1
A,w00_s005,-2,21.0,52,7,0.40384615384615385,exec_entropy,1
A,w01_s000,-2,0.0,15,15,0.0,exec_entropy,1
A,w01_s003,-2,0.0,15,15,0.0,exec_entropy,1
A,w02_s000,-2,35.0,63,7,0.5555555555555556,exec_entropy,1
A,w02_s001,-2,9.0,63,7,0.14285714285714285,exec_entropy,1
A,w02_s002,-2,38.0,63,8,0.6031746031746031,exec_entropy,1
A,w02_s003,-2,14.0,59,10,0.23728813559322035,exec_entropy,1
A,w02_s004,-2,10.0,60,6,0.16666666666666666,exec_entropy,1
A,w03_s001,-2,0.0,1,1,0.0,exec_entropy,1
A,w03_s004,-2,1.0,3,2,0.3333333333333333,exec_entropy,1
A,w03_s005,-2,1.0,14,1,0.07142857142857142,exec_entropy,1
A,w00_s000,-2,19.0,55,5,0.34545454545454546,exec_entropy,2
A,w00_s001,-2,12.0,39,13,0.3076923076923077,exec_entropy,2
A,w00_s002,-2,28.0,64,8,0.4375,exec_entropy,2
A,w00_s003,-2,18.0,63,9,0.2857142857142857,exec_entropy,2
A,w00_s004,-2,27.0,63,7,0.42857142857142855,exec_entropy,2
A,w00_s005,-2,17.0,52,7,0.3269230769230769,exec_entropy,2
A,w01_s000,-2,1.0,15,15,0.06666666666666667,exec_entropy,2
A,w01_s003,-2,1.0,15,15,0.06666666666666667,exec_entropy,2
A,w02_s000,-2,12.0,63,7,0.19047619047619047,exec_entropy,2
A,w02_s001,-2,31.0,63,7,0.49206349206349204,exec_entropy,2
A,w02_s002,-2,35.0,63,8,0.5555555555555556,exec_entropy,2
A,w02_s003,-2,25.0,59,10,0.423728813559322,exec_entropy,2
A,w02_s004,-2,26.0,60,6,0.43333333333333335,exec_entropy,2
A,w03_s001,-2,0.0,1,1,0.0,exec_entropy,2
A,w03_s004,-2,2.0,3,2,0.6666666666666666,exec_entropy,2
A,w03_s005,-2,0.0,14,1,0.0,exec_entropy,2
A,w00_s000,-2,12.0,55,5,0.21818181818181817,exec_entropy,3
A,w00_s001,-2,2.0,39,13,0.05128205128205128,exec_entropy,3
A,w00_s002,-2,21.0,64,8,0.328125,exec_entropy,3
A,w00_s003,-2,7.0,63,9,0.1111111111111111,exec_entropy,3
A,w00_s004,-2,16.0,63,7,0.25396825396825395,exec_entropy,3
A,w00_s005,-2,18.0,52,7,0.34615384615384615,exec_entropy,3
A,w01_s000,-2,1.0,15,15,0.06666666666666667,exec_entropy,3
A,w01_s003,-2,4.0,15,15,0.26666666666666666,exec_entropy,3
A,w02_s000,-2,22.0,63,7,0.3492063492063492,exec_entropy,3
A,w02_s001,-2,32.0,63,7,0.5079365079365079,exec_entropy,3
A,w02_s002,-2,39.0,63,8,0.6190476190476191,exec_entropy,3
A,w02_s003,-2,22.0,59,10,0.3728813559322034,exec_entropy,3
A,w02_s004,-2,11.0,60,6,0.18333333333333332,exec_entropy,3
A,w03_s001,-2,0.0,1,1,0.0,exec_entropy,3
A,w03_s004,-2,0.0,3,2,0.0,exec_entropy,3
A,w03_s005,-2,7.0,14,1,0.5,exec_entropy,3
A,w00_s000,-2,5.0,55,5,0.09090909090909091,exec_entropy,4
A,w00_s001,-2,6.0,39,13,0.15384615384615385,exec_entropy,4
A,w00_s002,-2,15.0,64,8,0.234375,exec_entropy,4
A,w00_s003,-2,14.0,63,9,0.2222222222222222,exec_entropy,4
A,w00_s004,-2,14.0,63,7,0.2222222222222222,exec_entropy,4
A,w00_s005,-2,16.0,52,7,0.3076923076923077,exec_entropy,4
A,w01_s000,-2,9.0,15,15,0.6,exec_entropy,4
A,w01_s003,-2,6.0,15,15,0.4,exec_entropy,4
A,w02_s000,-2,12.0,63,7,0.19047619047619047,exec_entropy,4
A,w02_s001,-2,25.0,63,7,0.3968253968253968,exec_entropy,4
A,w02_s002,-2,30.0,63,8,0.47619047619047616,exec_entropy,4
A,w02_s003,-2,21.0,59,10,0.3559322033898305,exec_entropy,4
A,w02_s004,-2,12.0,60,6,0.2,exec_entropy,4
A,w03_s001,-2,0.0,1,1,0.0,exec_entropy,4
A,w03_s004,-2,1.0,3,2,0.3333333333333333,exec_entropy,4
A,w03_s005,-2,7.0,14,1,0.5,exec_entropy,4
A,w00_s000,-2,4.0,55,5,0.07272727272727272,exec_entropy,5
A,w00_s001,-2,6.0,39,13,0.15384615384615385,exec_entropy,5
A,w00_s002,-2,7.0,64,8,0.109375,exec_entropy,5
A,w00_s003,-2,20.0,63,9,0.31746031746031744,exec_entropy,5
A,w00_s004,-2,19.0,63,7,0.30158730158730157,exec_entropy,5
A,w00_s005,-2,21.0,52,7,0.40384615384615385,exec_entropy,5
A,w01_s000,-2,11.0,15,15,0.7333333333333333,exec_entropy,5
A,w01_s003,-2,4.0,15,15,0.26666666666666666,exec_entropy,5
A,w02_s000,-2,26.0,63,7,0.4126984126984127,exec_entropy,5
A,w02_s001,-2,6.0,63,7,0.09523809523809523,exec_entropy,5
A,w02_s002,-2,9.0,63,8,0.14285714285714285,exec_entropy,5
A,w02_s003,-2,17.0,59,10,0.288135593220339,exec_entropy,5
A,w02_s004,-2,22.0,60,6,0.36666666666666664,exec_entropy,5
A,w03_s001,-2,0.0,1,1,0.0,exec_entropy,5
