corpus,event_kind,relative,metric,token,auc_event_high,det_auc,direction,ci95_low,ci95_high,n_groups,n_events,npairs,p_point,p_maxT
A,loop,-2,tail_mass,6,0.24855491329479767,0.7514450867052023,event_low,0.17184893659312261,0.334423720436871,16,121,692,0.0004997501249375312,0.03698150924537731
A,loop,-2,tail_mass,7,0.3092485549132948,0.6907514450867052,event_low,0.22170108365565963,0.41478287337662334,16,121,692,0.009495252373813094,0.13093453273363317
A,loop,-2,tail_mass,8,0.16473988439306358,0.8352601156069364,event_low,0.12287535976974737,0.21805973138491683,16,121,692,0.0004997501249375312,0.001999000499750125
A,loop,-2,tail_mass,9,0.1199421965317919,0.880057803468208,event_low,0.06461406025824964,0.178136185691896,16,121,692,0.0004997501249375312,0.0004997501249375312
A,loop,-2,tail_mass,10,0.11416184971098266,0.8858381502890174,event_low,0.0767123577071555,0.1573696136047014,16,121,692,0.0004997501249375312,0.0004997501249375312
A,loop,-2,exec_entropy,1,0.26445086705202314,0.7355491329479769,event_low,0.1699234866011182,0.3672524661177919,16,121,692,0.0014992503748125937,0.0544727636181909
A,loop,-2,exec_entropy,2,0.3670520231213873,0.6329479768786127,event_low,0.2955741726364645,0.42607350618158635,16,121,692,0.0004997501249375312,0.4352823588205897
A,loop,-2,exec_entropy,3,0.3092485549132948,0.6907514450867052,event_low,0.21817281728172816,0.39684834416856857,16,121,692,0.0014992503748125937,0.13093453273363317
A,loop,-2,exec_entropy,4,0.27890173410404623,0.7210982658959537,event_low,0.22067522260684042,0.34593799684522836,16,121,692,0.0009995002498750624,0.07796101949025487
A,loop,-2,exec_entropy,5,0.2586705202312139,0.7413294797687862,event_low,0.18776189102979082,0.33660617847758145,16,121,692,0.0004997501249375312,0.047476261869065464
A,loop,-2,exec_entropy,6,0.3699421965317919,0.630057803468208,event_low,0.28133482736886334,0.4687010934991974,16,121,692,0.029985007496251874,0.4577711144427786
A,loop,-2,exec_entropy,7,0.37283236994219654,0.6271676300578035,event_low,0.2842735481557544,0.48035187583882133,16,121,692,0.04297851074462768,0.48425787106446777
A,loop,-2,exec_entropy,8,0.24132947976878613,0.7586705202312138,event_low,0.16114597079732662,0.34260990020125304,16,121,692,0.001999000499750125,0.029985007496251874
