calibration,alpha,method,query,tp,fp,recall,fpr
episode,0.005,v82_integrated,12,19,4,0.03368794326241135,0.0002591344908007256
episode,0.005,v82_integrated,13,22,5,0.03900709219858156,0.000323918113500907
episode,0.005,v82_integrated,14,27,6,0.047872340425531915,0.00038870173620108835
episode,0.005,v82_integrated,15,44,9,0.07801418439716312,0.0005830526043016325
episode,0.005,v82_integrated,16,54,9,0.09574468085106383,0.0005830526043016325
episode,0.005,v82_integrated,17,62,14,0.1099290780141844,0.0009069707178025395
episode,0.005,v82_integrated,18,72,18,0.1276595744680851,0.001166105208603265
episode,0.005,v82_integrated,19,86,22,0.1524822695035461,0.0014252396994039907
episode,0.005,v82_integrated,20,108,26,0.19148936170212766,0.0016843741902047163
episode,0.005,v82_integrated,21,135,40,0.2393617021276596,0.002591344908007256
episode,0.005,v82_integrated,22,140,45,0.24822695035460993,0.002915263021508163
episode,0.005,v82_integrated,23,145,47,0.2570921985815603,0.0030448302669085253
episode,0.005,v82_integrated,24,151,47,0.26773049645390073,0.0030448302669085253
episode,0.005,v82_integrated,25,163,51,0.28900709219858156,0.003303964757709251
episode,0.005,v82_integrated,26,173,56,0.3067375886524823,0.003627882871210158
episode,0.005,v82_integrated,27,179,57,0.3173758865248227,0.0036926664939103395
episode,0.005,v82_integrated,28,186,58,0.32978723404255317,0.003757450116610521
episode,0.005,v82_integrated,29,194,58,0.34397163120567376,0.003757450116610521
episode,0.005,v82_integrated,30,206,59,0.36524822695035464,0.0038222337393107025
episode,0.005,v82_integrated,31,216,61,0.3829787234042553,0.003951800984711065
episode,0.005,v82_integrated,32,238,65,0.4219858156028369,0.00421093547551179
episode,0.005,v82_integrated,33,264,66,0.46808510638297873,0.004275719098211972
episode,0.005,v82_integrated,34,282,68,0.5,0.004405286343612335
episode,0.005,v82_integrated,35,300,68,0.5319148936170213,0.004405286343612335
episode,0.005,v82_integrated,36,306,68,0.5425531914893617,0.004405286343612335
episode,0.005,v82_integrated,37,313,68,0.5549645390070922,0.004405286343612335
episode,0.005,v82_integrated,38,315,68,0.5585106382978723,0.004405286343612335
episode,0.005,v82_integrated,39,319,68,0.5656028368794326,0.004405286343612335
episode,0.005,v82_integrated,40,320,68,0.5673758865248227,0.004405286343612335
episode,0.005,v82_integrated,41,322,68,0.5709219858156028,0.004405286343612335
episode,0.005,v82_integrated,42,326,68,0.5780141843971631,0.004405286343612335
episode,0.005,v82_integrated,43,328,68,0.5815602836879432,0.004405286343612335
episode,0.005,v82_integrated,44,332,68,0.5886524822695035,0.004405286343612335
episode,0.005,v82_integrated,45,334,68,0.5921985815602837,0.004405286343612335
episode,0.005,v82_integrated,46,335,68,0.5939716312056738,0.004405286343612335
episode,0.005,v82_integrated,47,338,68,0.599290780141844,0.004405286343612335
episode,0.005,v82_integrated,48,341,68,0.6046099290780141,0.004405286343612335
episode,0.005,v82_integrated,49,342,68,0.6063829787234043,0.004405286343612335
episode,0.005,v82_integrated,50,345,68,0.6117021276595744,0.004405286343612335
episode,0.005,v82_integrated,51,345,68,0.6117021276595744,0.004405286343612335
episode,0.005,v82_frozen_plus_dynamics,0,0,0,0.0,0.0
episode,0.005,v82_frozen_plus_dynamics,1,0,0,0.0,0.0
episode,0.005,v82_frozen_plus_dynamics,2,0,0,0.0,0.0
episode,0.005,v82_frozen_plus_dynamics,3,0,0,0.0,0.0
episode,0.005,v82_frozen_plus_dynamics,4,0,0,0.0,0.0
episode,0.005,v82_frozen_plus_dynamics,5,0,0,0.0,0.0
episode,0.005,v82_frozen_plus_dynamics,6,0,0,0.0,0.0
episode,0.005,v82_frozen_plus_dynamics,7,0,1,0.0,6.47836227001814e-05
episode,0.005,v82_frozen_plus_dynamics,8,7,2,0.012411347517730497,0.0001295672454003628
episode,0.005,v82_frozen_plus_dynamics,9,10,4,0.01773049645390071,0.0002591344908007256
episode,0.005,v82_frozen_plus_dynamics,10,17,5,0.030141843971631204,0.000323918113500907
episode,0.005,v82_frozen_plus_dynamics,11,24,8,0.0425531914893617,0.0005182689816014512
episode,0.005,v82_frozen_plus_dynamics,12,27,12,0.047872340425531915,0.0007774034724021767
episode,0.005,v82_frozen_plus_dynamics,13,32,17,0.05673758865248227,0.0011013215859030838
episode,0.005,v82_frozen_plus_dynamics,14,50,20,0.08865248226950355,0.001295672454003628
episode,0.005,v82_frozen_plus_dynamics,15,68,22,0.12056737588652482,0.0014252396994039907
episode,0.005,v82_frozen_plus_dynamics,16,93,26,0.16489361702127658,0.0016843741902047163
episode,0.005,v82_frozen_plus_dynamics,17,112,33,0.19858156028368795,0.002137859549105986
episode,0.005,v82_frozen_plus_dynamics,18,140,40,0.24822695035460993,0.002591344908007256
episode,0.005,v82_frozen_plus_dynamics,19,174,51,0.30851063829787234,0.003303964757709251
episode,0.005,v82_frozen_plus_dynamics,20,197,64,0.34929078014184395,0.004146151852811609
episode,0.005,v82_frozen_plus_dynamics,21,220,73,0.3900709219858156,0.004729204457113242
episode,0.005,v82_frozen_plus_dynamics,22,224,81,0.3971631205673759,0.005247473438714693
episode,0.005,v82_frozen_plus_dynamics,23,229,86,0.40602836879432624,0.0055713915522156
episode,0.005,v82_frozen_plus_dynamics,24,252,92,0.44680851063829785,0.005960093288416689
episode,0.005,v82_frozen_plus_dynamics,25,271,97,0.4804964539007092,0.0062840114019175955
episode,0.005,v82_frozen_plus_dynamics,26,280,103,0.49645390070921985,0.006672713138118683
episode,0.005,v82_frozen_plus_dynamics,27,285,104,0.5053191489361702,0.006737496760818865
episode,0.005,v82_frozen_plus_dynamics,28,290,108,0.5141843971631206,0.00699663125161959
episode,0.005,v82_frozen_plus_dynamics,29,303,108,0.5372340425531915,0.00699663125161959
episode,0.005,v82_frozen_plus_dynamics,30,324,109,0.574468085106383,0.007061414874319772
episode,0.005,v82_frozen_plus_dynamics,31,353,114,0.625886524822695,0.007385332987820679
episode,0.005,v82_frozen_plus_dynamics,32,387,117,0.6861702127659575,0.007579683855921223
episode,0.005,v82_frozen_plus_dynamics,33,411,118,0.7287234042553191,0.007644467478621405
episode,0.005,v82_frozen_plus_dynamics,34,422,120,0.74822695035461,0.007774034724021767
episode,0.005,v82_frozen_plus_dynamics,35,435,121,0.7712765957446809,0.007838818346721949
episode,0.005,v82_frozen_plus_dynamics,36,439,122,0.7783687943262412,0.00790360196942213
episode,0.005,v82_frozen_plus_dynamics,37,440,124,0.7801418439716312,0.008033169214822493
episode,0.005,v82_frozen_plus_dynamics,38,443,125,0.7854609929078015,0.008097952837522675
episode,0.005,v82_frozen_plus_dynamics,39,450,127,0.7978723404255319,0.008227520082923037
episode,0.005,v82_frozen_plus_dynamics,40,456,127,0.8085106382978723,0.008227520082923037
episode,0.005,v82_frozen_plus_dynamics,41,460,127,0.8156028368794326,0.008227520082923037
episode,0.005,v82_frozen_plus_dynamics,42,466,127,0.8262411347517731,0.008227520082923037
episode,0.005,v82_frozen_plus_dynamics,43,469,127,0.8315602836879432,0.008227520082923037
episode,0.005,v82_frozen_plus_dynamics,44,472,127,0.8368794326241135,0.008227520082923037
episode,0.005,v82_frozen_plus_dynamics,45,472,127,0.8368794326241135,0.008227520082923037
episode,0.005,v82_frozen_plus_dynamics,46,473,127,0.8386524822695035,0.008227520082923037
episode,0.005,v82_frozen_plus_dynamics,47,476,127,0.8439716312056738,0.008227520082923037
episode,0.005,v82_frozen_plus_dynamics,48,479,127,0.849290780141844,0.008227520082923037
episode,0.005,v82_frozen_plus_dynamics,49,479,127,0.849290780141844,0.008227520082923037
episode,0.005,v82_frozen_plus_dynamics,50,480,127,0.851063829787234,0.008227520082923037
episode,0.005,v82_frozen_plus_dynamics,51,480,127,0.851063829787234,0.008227520082923037
episode,0.01,v82_reference,0,0,0,0.0,0.0
episode,0.01,v82_reference,1,0,0,0.0,0.0
episode,0.01,v82_reference,2,0,0,0.0,0.0
episode,0.01,v82_reference,3,0,0,0.0,0.0
episode,0.01,v82_reference,4,0,0,0.0,0.0
episode,0.01,v82_reference,5,0,0,0.0,0.0
episode,0.01,v82_reference,6,0,0,0.0,0.0
episode,0.01,v82_reference,7,3,1,0.005319148936170213,6.47836227001814e-05
episode,0.01,v82_reference,8,7,1,0.012411347517730497,6.47836227001814e-05
episode,0.01,v82_reference,9,13,2,0.02304964539007092,0.0001295672454003628
episode,0.01,v82_reference,10,24,3,0.0425531914893617,0.00019435086810054417
episode,0.01,v82_reference,11,28,12,0.04964539007092199,0.0007774034724021767
episode,0.01,v82_reference,12,29,54,0.051418439716312055,0.003498315625809795
episode,0.01,v82_reference,13,35,72,0.06205673758865248,0.00466442083441306
episode,0.01,v82_reference,14,55,75,0.0975177304964539,0.004858771702513604
episode,0.01,v82_reference,15,72,81,0.1276595744680851,0.005247473438714693
episode,0.01,v82_reference,16,90,83,0.1595744680851064,0.005377040684115056
episode,0.01,v82_reference,17,108,87,0.19148936170212766,0.005636175174915781
episode,0.01,v82_reference,18,125,99,0.22163120567375885,0.006413578647317958
episode,0.01,v82_reference,19,159,106,0.28191489361702127,0.006867064006219227
episode,0.01,v82_reference,20,178,117,0.31560283687943264,0.007579683855921223
episode,0.01,v82_reference,21,202,128,0.35815602836879434,0.008292303705623219
episode,0.01,v82_reference,22,208,133,0.36879432624113473,0.008616221819124125
episode,0.01,v82_reference,23,218,138,0.38652482269503546,0.008940139932625032
episode,0.01,v82_reference,24,235,140,0.4166666666666667,0.009069707178025395
episode,0.01,v82_reference,25,251,141,0.4450354609929078,0.009134490800725576
episode,0.01,v82_reference,26,254,143,0.450354609929078,0.009264058046125939
episode,0.01,v82_reference,27,256,144,0.45390070921985815,0.00932884166882612
episode,0.01,v82_reference,28,266,144,0.4716312056737589,0.00932884166882612
episode,0.01,v82_reference,29,284,146,0.5035460992907801,0.009458408914226484
episode,0.01,v82_reference,30,304,151,0.5390070921985816,0.00978232702772739
episode,0.01,v82_reference,31,332,153,0.5886524822695035,0.009911894273127754
episode,0.01,v82_reference,32,362,155,0.6418439716312057,0.010041461518528116
episode,0.01,v82_reference,33,381,158,0.675531914893617,0.01023581238662866
episode,0.01,v82_reference,34,393,160,0.6968085106382979,0.010365379632029024
episode,0.01,v82_reference,35,401,161,0.7109929078014184,0.010430163254729204
episode,0.01,v82_reference,36,403,162,0.7145390070921985,0.010494946877429386
episode,0.01,v82_reference,37,405,163,0.7180851063829787,0.010559730500129568
episode,0.01,v82_reference,38,409,165,0.725177304964539,0.01068929774552993
episode,0.01,v82_reference,39,411,165,0.7287234042553191,0.01068929774552993
episode,0.01,v82_reference,40,414,165,0.7340425531914894,0.01068929774552993
episode,0.01,v82_reference,41,416,165,0.7375886524822695,0.01068929774552993
episode,0.01,v82_reference,42,416,165,0.7375886524822695,0.01068929774552993
episode,0.01,v82_reference,43,418,165,0.7411347517730497,0.01068929774552993
episode,0.01,v82_reference,44,419,165,0.7429078014184397,0.01068929774552993
episode,0.01,v82_reference,45,420,165,0.7446808510638298,0.01068929774552993
episode,0.01,v82_reference,46,424,165,0.75177304964539,0.01068929774552993
episode,0.01,v82_reference,47,426,165,0.7553191489361702,0.01068929774552993
episode,0.01,v82_reference,48,429,165,0.7606382978723404,0.01068929774552993
episode,0.01,v82_reference,49,432,165,0.7659574468085106,0.01068929774552993
episode,0.01,v82_reference,50,434,165,0.7695035460992907,0.01068929774552993
episode,0.01,v82_reference,51,435,165,0.7712765957446809,0.01068929774552993
episode,0.01,dynamics_only,0,0,0,0.0,0.0
episode,0.01,dynamics_only,1,0,0,0.0,0.0
episode,0.01,dynamics_only,2,0,0,0.0,0.0
episode,0.01,dynamics_only,3,0,0,0.0,0.0
episode,0.01,dynamics_only,4,0,0,0.0,0.0
episode,0.01,dynamics_only,5,0,0,0.0,0.0
episode,0.01,dynamics_only,6,0,0,0.0,0.0
episode,0.01,dynamics_only,7,0,0,0.0,0.0
episode,0.01,dynamics_only,8,0,1,0.0,6.47836227001814e-05
episode,0.01,dynamics_only,9,0,2,0.0,0.0001295672454003628
episode,0.01,dynamics_only,10,0,2,0.0,0.0001295672454003628
episode,0.01,dynamics_only,11,6,2,0.010638297872340425,0.0001295672454003628
episode,0.01,dynamics_only,12,10,4,0.01773049645390071,0.0002591344908007256
episode,0.01,dynamics_only,13,13,6,0.02304964539007092,0.00038870173620108835
episode,0.01,dynamics_only,14,14,15,0.024822695035460994,0.0009717543405027209
episode,0.01,dynamics_only,15,21,18,0.03723404255319149,0.001166105208603265
episode,0.01,dynamics_only,16,30,22,0.05319148936170213,0.0014252396994039907
episode,0.01,dynamics_only,17,45,30,0.0797872340425532,0.0019435086810054417
episode,0.01,dynamics_only,18,58,38,0.10283687943262411,0.002461777662606893
episode,0.01,dynamics_only,19,67,52,0.11879432624113476,0.0033687483804094327
episode,0.01,dynamics_only,20,86,63,0.1524822695035461,0.0040813682301114275
episode,0.01,dynamics_only,21,96,75,0.1702127659574468,0.004858771702513604
episode,0.01,dynamics_only,22,97,79,0.17198581560283688,0.00511790619331433
episode,0.01,dynamics_only,23,102,90,0.18085106382978725,0.005830526043016326
episode,0.01,dynamics_only,24,110,98,0.1950354609929078,0.0063487950246177765
episode,0.01,dynamics_only,25,114,104,0.20212765957446807,0.006737496760818865
episode,0.01,dynamics_only,26,119,108,0.21099290780141844,0.00699663125161959
episode,0.01,dynamics_only,27,124,111,0.2198581560283688,0.007190982119720135
episode,0.01,dynamics_only,28,126,113,0.22340425531914893,0.007320549365120497
episode,0.01,dynamics_only,29,131,114,0.2322695035460993,0.007385332987820679
episode,0.01,dynamics_only,30,133,114,0.23581560283687944,0.007385332987820679
episode,0.01,dynamics_only,31,137,114,0.2429078014184397,0.007385332987820679
episode,0.01,dynamics_only,32,145,114,0.2570921985815603,0.007385332987820679
episode,0.01,dynamics_only,33,149,114,0.2641843971631206,0.007385332987820679
episode,0.01,dynamics_only,34,152,115,0.2695035460992908,0.00745011661052086
episode,0.01,dynamics_only,35,154,115,0.2730496453900709,0.00745011661052086
episode,0.01,dynamics_only,36,160,116,0.28368794326241137,0.007514900233221042
episode,0.01,dynamics_only,37,160,116,0.28368794326241137,0.007514900233221042
episode,0.01,dynamics_only,38,160,116,0.28368794326241137,0.007514900233221042
episode,0.01,dynamics_only,39,163,117,0.28900709219858156,0.007579683855921223
episode,0.01,dynamics_only,40,164,117,0.2907801418439716,0.007579683855921223
episode,0.01,dynamics_only,41,164,117,0.2907801418439716,0.007579683855921223
episode,0.01,dynamics_only,42,165,117,0.2925531914893617,0.007579683855921223
episode,0.01,dynamics_only,43,166,117,0.29432624113475175,0.007579683855921223
episode,0.01,dynamics_only,44,166,117,0.29432624113475175,0.007579683855921223
episode,0.01,dynamics_only,45,168,117,0.2978723404255319,0.007579683855921223
episode,0.01,dynamics_only,46,171,117,0.30319148936170215,0.007579683855921223
episode,0.01,dynamics_only,47,174,117,0.30851063829787234,0.007579683855921223
episode,0.01,dynamics_only,48,179,117,0.3173758865248227,0.007579683855921223
episode,0.01,dynamics_only,49,181,117,0.32092198581560283,0.007579683855921223
episode,0.01,dynamics_only,50,183,117,0.324468085106383,0.007579683855921223
episode,0.01,dynamics_only,51,183,117,0.324468085106383,0.007579683855921223
episode,0.01,v82_integrated,0,0,0,0.0,0.0
episode,0.01,v82_integrated,1,0,0,0.0,0.0
episode,0.01,v82_integrated,2,0,0,0.0,0.0
episode,0.01,v82_integrated,3,0,0,0.0,0.0
episode,0.01,v82_integrated,4,0,0,0.0,0.0
episode,0.01,v82_integrated,5,0,0,0.0,0.0
episode,0.01,v82_integrated,6,0,0,0.0,0.0
episode,0.01,v82_integrated,7,0,0,0.0,0.0
episode,0.01,v82_integrated,8,2,2,0.0035460992907801418,0.0001295672454003628
episode,0.01,v82_integrated,9,10,3,0.01773049645390071,0.00019435086810054417
episode,0.01,v82_integrated,10,14,4,0.024822695035460994,0.0002591344908007256
episode,0.01,v82_integrated,11,18,4,0.031914893617021274,0.0002591344908007256
episode,0.01,v82_integrated,12,21,6,0.03723404255319149,0.00038870173620108835
episode,0.01,v82_integrated,13,27,11,0.047872340425531915,0.0007126198497019953
