run,run_id,task,episodes,route_queries,successes,failures,probability_sum_max_abs_error,ok,problems
seed1000_1007,right-50x8-20260903,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,3310,400,0,0.00018310546875,True,
seed1000_1007,right-50x8-20260903,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,400,4140,392,8,0.0001983642578125,True,
seed1000_1007,right-50x8-20260903,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,400,5402,388,12,0.00019073486328125,True,
seed1000_1007,right-50x8-20260903,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,400,4401,397,3,0.0001983642578125,True,
seed1000_1007,right-50x8-20260903,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,400,4170,386,14,0.00023651123046875,True,
seed1000_1007,right-50x8-20260903,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,400,4648,391,9,0.00018310546875,True,
seed1000_1007,right-50x8-20260903,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,400,3700,391,9,0.00018310546875,True,
seed1000_1007,right-50x8-20260903,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,400,4206,375,25,0.00018310546875,True,
seed1000_1007,right-50x8-20260903,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,400,5316,365,35,0.0001983642578125,True,
seed1000_1007,right-50x8-20260903,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,400,4989,389,11,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_goal/open_the_middle_drawer_of_the_cabinet,400,5079,400,0,0.0001983642578125,True,
seed1008_1015,right-50x8b-20260903,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,8049,349,51,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_goal/push_the_plate_to_the_front_of_the_stove,400,5633,399,1,0.0001678466796875,True,
seed1008_1015,right-50x8b-20260903,libero_goal/put_the_bowl_on_the_plate,400,3606,382,18,0.00022125244140625,True,
seed1008_1015,right-50x8b-20260903,libero_goal/put_the_bowl_on_the_stove,400,3827,391,9,0.0001983642578125,True,
seed1008_1015,right-50x8b-20260903,libero_goal/put_the_bowl_on_top_of_the_cabinet,400,3904,384,16,0.0001983642578125,True,
seed1008_1015,right-50x8b-20260903,libero_goal/put_the_cream_cheese_in_the_bowl,400,3971,391,9,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_goal/put_the_wine_bottle_on_the_rack,400,5404,399,1,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,400,3782,399,1,0.000213623046875,True,
seed1008_1015,right-50x8b-20260903,libero_goal/turn_on_the_stove,400,3125,400,0,0.000213623046875,True,
seed1008_1015,right-50x8b-20260903,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,400,10042,396,4,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,8967,399,1,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,10402,399,1,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,17667,249,151,0.0001983642578125,True,
seed1008_1015,right-50x8b-20260903,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,400,10909,370,30,0.0001678466796875,True,
seed1008_1015,right-50x8b-20260903,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,400,10868,390,10,0.000225067138671875,True,
seed1008_1015,right-50x8b-20260903,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,10187,396,4,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,400,9807,380,20,0.00022220611572265625,True,
seed1008_1015,right-50x8b-20260903,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,10674,353,47,0.0002288818359375,True,
seed1008_1015,right-50x8b-20260903,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,400,7642,394,6,0.0001678466796875,True,
seed1008_1015,right-50x8b-20260903,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,400,5808,397,3,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,5711,390,10,0.0001983642578125,True,
seed1008_1015,right-50x8b-20260903,libero_object/pick_up_the_butter_and_place_it_in_the_basket,400,6113,400,0,0.0001983642578125,True,
seed1008_1015,right-50x8b-20260903,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,400,6046,400,0,0.0001678466796875,True,
seed1008_1015,right-50x8b-20260903,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,400,5371,393,7,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,5749,399,1,0.00015497207641601562,True,
seed1008_1015,right-50x8b-20260903,libero_object/pick_up_the_milk_and_place_it_in_the_basket,400,5575,393,7,0.000152587890625,True,
seed1008_1015,right-50x8b-20260903,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,400,5168,395,5,0.00019073486328125,True,
seed1008_1015,right-50x8b-20260903,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,400,5086,396,4,0.0001983642578125,True,
seed1008_1015,right-50x8b-20260903,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,5654,393,7,0.00019407272338867188,True,
seed1008_1015,right-50x8b-20260903,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,3355,399,1,0.000152587890625,True,
seed1008_1015,right-50x8b-20260903,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,400,4072,397,3,0.00018787384033203125,True,
seed1008_1015,right-50x8b-20260903,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,400,5413,386,14,0.00020742416381835938,True,
seed1008_1015,right-50x8b-20260903,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,400,4391,397,3,0.0001678466796875,True,
seed1008_1015,right-50x8b-20260903,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,400,4332,376,24,0.000171661376953125,True,
seed1008_1015,right-50x8b-20260903,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,400,4654,392,8,0.0001678466796875,True,
seed1008_1015,right-50x8b-20260903,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,400,3761,387,13,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,400,4036,388,12,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,400,5354,359,41,0.00018310546875,True,
seed1008_1015,right-50x8b-20260903,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,400,5107,379,21,0.00018310546875,True,
