level,cohort,window,feature,scope,metric,estimate,lo,hi,tasks
same_task_query,B,q7_13,decoupling,excluding_S05,delta,-0.03832780563597918,-0.09436114429878442,0.01780940314166248,35
same_task_query,B,q7_13,decoupling,libero_goal,auc,0.5510009414534516,0.5059211000246882,0.5963627610994539,8
same_task_query,B,q7_13,decoupling,libero_goal,v82_auc,0.49009544563832935,0.35327088496669273,0.5821110689698918,8
same_task_query,B,q7_13,decoupling,libero_goal,delta,0.060905495815122286,-0.024633972532548308,0.18307043804421816,8
same_task_query,B,q7_13,decoupling,libero_long,auc,0.5883022841852364,0.5133834416316314,0.6855268418989765,10
same_task_query,B,q7_13,decoupling,libero_long,v82_auc,0.6229784819914069,0.5148599298336777,0.7421616700549378,10
same_task_query,B,q7_13,decoupling,libero_long,delta,-0.03467619780617047,-0.10073434301700038,0.024400840691072952,10
same_task_query,B,q7_13,decoupling,libero_object,auc,0.5522718459342015,0.517073745552175,0.6031745436125916,8
same_task_query,B,q7_13,decoupling,libero_object,v82_auc,0.6258035049835127,0.48636255561501246,0.7663078081840153,8
same_task_query,B,q7_13,decoupling,libero_object,delta,-0.07353165904931122,-0.2250261402470039,0.08216537902137068,8
same_task_query,B,q7_13,decoupling,libero_spatial,auc,0.5668141445599285,0.5282819812285396,0.6109894705996938,10
same_task_query,B,q7_13,decoupling,libero_spatial,v82_auc,0.6507557288672241,0.561717231299168,0.7416246803857995,10
same_task_query,B,q7_13,decoupling,libero_spatial,delta,-0.08394158430729565,-0.19362743257639675,0.023210622392722716,10
same_task_query,B,q7_13,decoupling_occupancy,all,auc,0.6427662746595655,0.5893709886167358,0.6944060861395981,34
same_task_query,B,q7_13,decoupling_occupancy,all,v82_auc,0.6028851019232484,0.5233794769288322,0.6900790618692885,34
same_task_query,B,q7_13,decoupling_occupancy,all,delta,0.03988117273631705,-0.052739053863640924,0.12692331521733563,34
same_task_query,B,q7_13,decoupling_occupancy,excluding_S05,auc,0.6439754168209665,0.590798212424489,0.7020114225767985,33
same_task_query,B,q7_13,decoupling_occupancy,excluding_S05,v82_auc,0.606753434234289,0.5258127420771624,0.6957557206278551,33
same_task_query,B,q7_13,decoupling_occupancy,excluding_S05,delta,0.0372219825866776,-0.0510547528366166,0.1274888758500071,33
same_task_query,B,q7_13,decoupling_occupancy,libero_goal,auc,0.6719633277206088,0.5508001380662436,0.8216735349973736,6
same_task_query,B,q7_13,decoupling_occupancy,libero_goal,v82_auc,0.5036264280366253,0.2689423107221663,0.7588909711954814,6
same_task_query,B,q7_13,decoupling_occupancy,libero_goal,delta,0.16833689968398366,0.04625811921393836,0.30778808001566427,6
same_task_query,B,q7_13,decoupling_occupancy,libero_long,auc,0.6279860292317099,0.540433805669247,0.7295966604665971,10
same_task_query,B,q7_13,decoupling_occupancy,libero_long,v82_auc,0.6411095937762463,0.5277282643417118,0.762251463685599,10
same_task_query,B,q7_13,decoupling_occupancy,libero_long,delta,-0.013123564544536333,-0.07927747272913571,0.05289889459583644,10
same_task_query,B,q7_13,decoupling_occupancy,libero_object,auc,0.5964166868653594,0.529198093063231,0.6862743018027084,8
same_task_query,B,q7_13,decoupling_occupancy,libero_object,v82_auc,0.5649854052334523,0.37369294469644165,0.750384876655009,8
same_task_query,B,q7_13,decoupling_occupancy,libero_object,delta,0.03143128163190702,-0.1670086530366475,0.25350605482431915,8
same_task_query,B,q7_13,decoupling_occupancy,libero_spatial,auc,0.6771079584861601,0.5744371531685185,0.7939459202247271,10
same_task_query,B,q7_13,decoupling_occupancy,libero_spatial,v82_auc,0.6545355717540616,0.5220462995281414,0.7935352387210097,10
same_task_query,B,q7_13,decoupling_occupancy,libero_spatial,delta,0.022572386732098475,-0.18657759172307348,0.23180059386293975,10
same_task_query,B,q7_13,layer_agreement,all,auc,0.5691544029463921,0.5311775758638257,0.6081913111671853,36
same_task_query,B,q7_13,layer_agreement,all,v82_auc,0.6017926031544735,0.5428238671471765,0.6578792132331329,36
same_task_query,B,q7_13,layer_agreement,all,delta,-0.03263820020808143,-0.09626953380938723,0.03126040782673033,36
same_task_query,B,q7_13,layer_agreement,excluding_S05,auc,0.5673414991754113,0.5299653994162791,0.6090390155107982,35
