method,kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,fold
dyn_pca2_success_knn_k20,task_init,0.2,70,57,0.7013489007949829,13,552,libero_object_20260909
route_success_knn_k20,episode,0.01,552,548,1.3887279033660889,4,552,libero_object_20260909
route_success_knn_k20,episode,0.03,552,537,1.3281131982803345,15,552,libero_object_20260909
route_success_knn_k20,episode,0.05,552,526,1.3012256622314453,26,552,libero_object_20260909
route_success_knn_k20,episode,0.1,552,498,1.2341498136520386,54,552,libero_object_20260909
route_success_knn_k20,episode,0.15,552,471,1.1888036727905273,81,552,libero_object_20260909
route_success_knn_k20,episode,0.2,552,443,1.1651531457901,109,552,libero_object_20260909
route_success_knn_k20,task_init,0.01,70,71,inf,0,552,libero_object_20260909
route_success_knn_k20,task_init,0.03,70,69,1.4245160818099976,1,552,libero_object_20260909
route_success_knn_k20,task_init,0.05,70,68,1.4006469249725342,2,552,libero_object_20260909
route_success_knn_k20,task_init,0.1,70,64,1.3660598993301392,6,552,libero_object_20260909
route_success_knn_k20,task_init,0.15,70,61,1.3550994396209717,9,552,libero_object_20260909
route_success_knn_k20,task_init,0.2,70,57,1.3233845233917236,13,552,libero_object_20260909
eef_motion_low,episode,0.01,552,548,-0.015363379381597042,4,552,libero_object_20260909
eef_motion_low,episode,0.03,552,537,-0.03876283019781113,15,552,libero_object_20260909
eef_motion_low,episode,0.05,552,526,-0.04637454077601433,26,552,libero_object_20260909
eef_motion_low,episode,0.1,552,498,-0.055465999990701675,54,552,libero_object_20260909
eef_motion_low,episode,0.15,552,471,-0.058587994426488876,81,552,libero_object_20260909
eef_motion_low,episode,0.2,552,443,-0.06192139536142349,109,552,libero_object_20260909
eef_motion_low,task_init,0.01,70,71,inf,0,552,libero_object_20260909
eef_motion_low,task_init,0.03,70,69,-0.009108292870223522,1,552,libero_object_20260909
eef_motion_low,task_init,0.05,70,68,-0.014302563853561878,2,552,libero_object_20260909
eef_motion_low,task_init,0.1,70,64,-0.021323712542653084,6,552,libero_object_20260909
eef_motion_low,task_init,0.15,70,61,-0.03769277408719063,9,552,libero_object_20260909
eef_motion_low,task_init,0.2,70,57,-0.04832149296998978,13,552,libero_object_20260909
clock_q7,episode,0.01,552,548,17.0,4,552,libero_object_20260909
clock_q7,episode,0.03,552,537,16.0,9,552,libero_object_20260909
clock_q7,episode,0.05,552,526,15.0,21,552,libero_object_20260909
clock_q7,episode,0.1,552,498,14.0,44,552,libero_object_20260909
clock_q7,episode,0.15,552,471,14.0,44,552,libero_object_20260909
clock_q7,episode,0.2,552,443,14.0,44,552,libero_object_20260909
clock_q7,task_init,0.01,70,71,inf,0,552,libero_object_20260909
clock_q7,task_init,0.03,70,69,22.0,1,552,libero_object_20260909
clock_q7,task_init,0.05,70,68,19.0,2,552,libero_object_20260909
clock_q7,task_init,0.1,70,64,16.0,6,552,libero_object_20260909
clock_q7,task_init,0.15,70,61,16.0,6,552,libero_object_20260909
clock_q7,task_init,0.2,70,57,15.0,11,552,libero_object_20260909
