concept,kind,family,unit,task,valid_init_clusters,queries,geometry,state_soft_routing,geometry_plus_state_soft
eef_axis_angle_y,continuous,eef_orientation,rad,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9996173945244405,0.9861985996227114,0.998428697143452
eef_axis_angle_y,continuous,eef_orientation,rad,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9941002579467701,0.985424325877618,0.9947600524404487
eef_axis_angle_y,continuous,eef_orientation,rad,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9975573709632319,0.9433754028934267,0.9902052230279008
eef_axis_angle_z,continuous,eef_orientation,rad,libero_goal/open_the_middle_drawer_of_the_cabinet,16,6452,0.9968217594037125,0.9903132968323656,0.9937683841988547
eef_axis_angle_z,continuous,eef_orientation,rad,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9995715634721418,0.9672515857727488,0.9953457576933438
eef_axis_angle_z,continuous,eef_orientation,rad,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9999401140081969,0.970105819187167,0.9989596175166429
eef_axis_angle_z,continuous,eef_orientation,rad,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9982317575446071,0.9405665662281388,0.9888710035020295
eef_axis_angle_z,continuous,eef_orientation,rad,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9991948775570956,0.9461312525942476,0.9931646545439513
eef_axis_angle_norm_rad,continuous,eef_orientation,rad,libero_goal/open_the_middle_drawer_of_the_cabinet,16,6452,0.9573497027784899,0.9873243836315561,0.9899485756498372
eef_axis_angle_norm_rad,continuous,eef_orientation,rad,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9682937291907023,0.4331702398900401,0.9812606737829197
eef_axis_angle_norm_rad,continuous,eef_orientation,rad,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9277518322592555,0.908245444016518,0.9719750088302026
eef_axis_angle_norm_rad,continuous,eef_orientation,rad,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9028462600567415,0.9253267882743027,0.9481963263664184
eef_axis_angle_norm_rad,continuous,eef_orientation,rad,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9317678890549475,0.945041554576064,0.9702507073153008
target_x_m,continuous,target_position,m,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9989301701171165,0.8521953416391321,0.9967087444896728
target_x_m,continuous,target_position,m,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9998311996910089,0.9144745294782732,0.9992901883950738
target_x_m,continuous,target_position,m,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9952810713072386,0.9842963423509483,0.9929563665059766
target_x_m,continuous,target_position,m,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9971563395476993,0.9453280028374339,0.9949151827104801
target_y_m,continuous,target_position,m,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9984648792949662,0.6791192024555286,0.9943795397412754
target_y_m,continuous,target_position,m,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9996690141876337,0.9378945214910805,0.9990591174618564
target_y_m,continuous,target_position,m,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9990737727653565,0.44769783897187165,0.9924691607864491
target_y_m,continuous,target_position,m,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9968024540109794,0.939262173604247,0.9943546560131085
target_z_m,continuous,target_position,m,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9961123292791746,0.93988075323281,0.9928651373837589
target_z_m,continuous,target_position,m,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9998164990382752,0.9351362398460743,0.9992115596552839
target_z_m,continuous,target_position,m,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9960673360155354,0.9736462543956389,0.9921960028983278
target_z_m,continuous,target_position,m,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9970102244439076,0.9479442806564958,0.9952331441766277
target_quat_w,continuous,target_orientation,unitless,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9960420584423617,0.6448571305129521,0.9948605278859622
target_quat_w,continuous,target_orientation,unitless,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9999487713106111,0.5447992274115008,0.9998823348548955
target_quat_w,continuous,target_orientation,unitless,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.996979200109006,0.8056980913583316,0.9959190914465719
target_quat_w,continuous,target_orientation,unitless,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9976493864819305,0.5491058266655217,0.9963881715830771
target_quat_x,continuous,target_orientation,unitless,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9991621222489397,0.426725459332372,0.9982606175156096
target_quat_x,continuous,target_orientation,unitless,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9999656670612138,0.31849837653375557,0.9999317669681357
target_quat_x,continuous,target_orientation,unitless,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,5139,0.9989007404174787,0.6245380334826844,0.9960457950339492
target_quat_x,continuous,target_orientation,unitless,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,6816,0.9994385712360502,0.6827375915241412,0.9978975356164071
target_quat_y,continuous,target_orientation,unitless,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,10018,0.9993478010407999,0.588936595204792,0.9984245376872047
target_quat_y,continuous,target_orientation,unitless,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,22883,0.9999753927876152,-0.03109654983123661,0.9999639154354939
