failure_type,prefix_queries,model,n_failure_branches,n_type_positive,brier,log_loss,brier_improvement_vs_rate,brier_relative_improvement_vs_rate,brier_improvement_vs_noise_action
single_subtask_omission,1,moe_state,42,18,0.7019537288255522,6.066497818709915,-0.2842656791335755,-0.6805693371960406,-0.13997376851638876
single_subtask_omission,1,moe_action+state,42,18,0.4931304629444603,3.2028561033310248,-0.07544241325248358,-0.1806190368819947,0.06884949736470314
single_subtask_omission,1,noise+action+moe_action,42,18,0.4481697403128278,2.1764686340826307,-0.0304816906208511,-0.07297716715460202,0.11381021999633562
single_subtask_omission,1,noise+action+moe_action+state,42,18,0.49096896074078633,3.112636155414616,-0.07328091104880963,-0.17544411697402046,0.07101099956837709
single_subtask_omission,3,failure_rate_only,42,18,0.4176880496919767,1.0757016363679663,0.0,0.0,-0.17461535150137023
single_subtask_omission,3,noise+action,42,18,0.24307269819060648,0.7733833252301325,0.17461535150137023,0.4180520645255233,0.0
single_subtask_omission,3,moe_action,42,18,0.22101454253828534,0.7271294720311664,0.19667350715369136,0.47086218362897353,0.022058155652321138
single_subtask_omission,3,moe_state,42,18,0.7011599830902526,5.881261785400369,-0.2834719333982759,-0.6786690057503962,-0.4580872848996461
single_subtask_omission,3,moe_action+state,42,18,0.4281129100444442,2.0752343226331025,-0.01042486035246748,-0.0249584836342703,-0.1850402118538377
single_subtask_omission,3,noise+action+moe_action,42,18,0.21218083346414862,0.7952157857952442,0.20550721622782808,0.4920112423120053,0.030891864726457857
single_subtask_omission,3,noise+action+moe_action+state,42,18,0.2803866112339677,1.1615023724273519,0.13730143845800902,0.3287176603670172,-0.03731391304336121
