left,right,metric,delta,ci_low,ci_high,p_two_sided,bootstrap_draws,query,budget_per_head,family
double_soft_union,single_soft_mean_matched,trap_recall,-0.01036269430051806,-0.039999999999999925,0.018294081449988706,0.6054,20000,30,16,soft
double_soft_union,single_soft_mean_matched,loop_recall,0.01754385964912275,0.0,0.06666666666666665,0.7102,20000,30,16,soft
double_soft_union,single_soft_mean_matched,static_recall,-0.013698630136986245,-0.04854368932038844,0.01724387083914672,0.5713,20000,30,16,soft
double_soft_union,single_soft_mean_matched,macro_subtype_recall,0.0019226147560682527,-0.021739130434782594,0.030188711246511856,0.9217,20000,30,16,soft
double_soft_max_topk,single_soft_mean_topk,trap_precision,-0.0234375,-0.06640625,0.01171875,0.2748,20000,30,16,soft
double_soft_max_topk,single_soft_mean_topk,trap_recall,-0.031088082901554404,-0.09195402298850569,0.017241379310344862,0.2762,20000,30,16,soft
double_soft_max_topk,single_soft_mean_topk,macro_subtype_recall,-0.00450612833453512,-0.07326008294031547,0.07195137119281635,0.9434,20000,30,16,soft
loop_soft_topk,single_mobility_topk_soft,loop_recall,-0.01754385964912275,-0.3191489361702127,0.3181818181818182,0.9507,20000,30,16,soft
static_soft_topk,single_mobility_topk_soft,static_recall,0.020547945205479423,-0.030612244897959218,0.07692307692307698,0.5038,20000,30,16,soft
double_soft_union,single_mobility_matched_soft,trap_precision,-0.02777777777777779,-0.061382173850204544,0.0,0.0607,20000,30,16,soft
double_soft_union,single_mobility_matched_soft,trap_recall,-0.05699481865284972,-0.12209413278892242,0.0,0.0644,20000,30,16,soft
double_soft_union,single_mobility_matched_soft,loop_recall,-0.01754385964912286,-0.13636363636363635,0.12,0.876,20000,30,16,soft
double_soft_union,single_mobility_matched_soft,static_recall,-0.06849315068493145,-0.13793579729472286,-0.010000000000000009,0.0195,20000,30,16,soft
double_soft_union,single_mobility_matched_soft,macro_subtype_recall,-0.04301850516702721,-0.11263950892857147,0.029770866282130277,0.2165,20000,30,16,soft
double_soft_max_topk,single_mobility_topk_soft,trap_precision,-0.078125,-0.14453125,-0.015625,0.0112,20000,30,16,soft
double_soft_max_topk,single_mobility_topk_soft,trap_recall,-0.10362694300518138,-0.19307016046432235,-0.025000000000000022,0.0111,20000,30,16,soft
double_soft_max_topk,single_mobility_topk_soft,macro_subtype_recall,-0.08219178082191791,-0.21619445128015832,0.07673657201099776,0.2677,20000,30,16,soft
loop_hard_diagnostic_topk,single_hard_diagnostic_mean_topk,loop_recall,0.03508771929824561,-0.10256410256410253,0.18181818181818188,0.6807,20000,30,16,hard_diagnostic
static_hard_diagnostic_topk,single_hard_diagnostic_mean_topk,static_recall,0.11643835616438347,0.04278074866310155,0.24138649425287298,0.0004,20000,30,16,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,trap_precision,-0.0026178010471204494,-0.013333333333333308,0.008021390374331527,0.801,20000,30,16,hard_diagnostic
