task,family,threshold,label,n_events,event_rate,n_Y0,n_Y1,n_clusters,n_mixed_clusters,n_in_mixed,n_Y0_in_mixed,n_Y1_in_mixed,setback_fraction,onset_med_Y0,onset_med_Y1,lead_med_Y0,lead_med_Y1,sentinel_auc_onset,passes_gate
spatial/ramekin,push_ungrasped,0.01,Y_local_h8,10,0.0195,6,4,6,3,6,3,3,0.3,10.0,11.0,11.0,10.0,0.792,False
long/SCENE8,liftloss,0.0,Y_local_h8,9,0.0176,3,6,5,2,6,2,4,0.667,34.0,40.5,17.0,10.5,0.833,False
long/SCENE8,liftloss,0.01,Y_local_h8,9,0.0176,3,6,5,2,6,2,4,0.667,34.0,40.5,17.0,10.5,0.833,False
long/SCENE8,heightloss,0.05,Y_terminal,8,0.0156,4,4,3,1,6,4,2,0.125,17.0,35.0,20.5,16.0,1.0,False
long/SCENE8,heightloss,0.05,Y_local_h4,8,0.0156,7,1,3,1,6,5,1,0.125,17.0,40.0,20.0,11.0,1.0,False
long/SCENE8,heightloss,0.05,Y_local_h8,8,0.0156,7,1,3,1,6,5,1,0.125,17.0,40.0,20.0,11.0,1.0,False
goal/top_drawer,grasp_fail,0.05,Y_terminal,26,0.0508,22,4,6,1,4,1,3,0.115,12.0,14.0,5.0,15.0,0.824,False
goal/top_drawer,grasp_fail,0.05,Y_local_h4,26,0.0508,23,3,6,1,4,2,2,0.115,12.0,14.0,5.0,15.0,1.0,False
spatial/ramekin,heightloss,0.02,Y_terminal,12,0.0234,11,1,4,1,3,2,1,0.0,8.0,7.0,1.0,14.0,0.136,False
goal/top_drawer,grasp_fail,0.05,Y_local_h8,4,0.0078,1,3,2,1,3,1,2,0.75,12.0,14.0,17.0,15.0,1.0,False
spatial/ramekin,drop_separation,0.01,Y_terminal,3,0.0059,2,1,1,1,3,2,1,0.0,6.5,7.0,4.0,14.0,0.75,False
spatial/ramekin,drop_separation,0.02,Y_terminal,3,0.0059,2,1,1,1,3,2,1,0.0,6.5,7.0,4.0,14.0,0.75,False
spatial/stove,grasp_fail,0.08,Y_local_h4,29,0.0566,17,12,6,1,2,1,1,0.0,6.0,7.0,15.0,14.0,0.762,False
spatial/stove,grasp_fail,0.08,Y_local_h8,29,0.0566,17,12,6,1,2,1,1,0.0,6.0,7.0,15.0,14.0,0.762,False
spatial/stove,drop_separation,0.01,Y_terminal,16,0.0312,10,6,10,1,2,1,1,0.0,9.0,8.0,2.0,13.0,0.2,False
spatial/stove,eef_approach_leave,0.12,Y_terminal,16,0.0312,1,15,8,1,2,1,1,0.0,7.0,7.0,8.0,14.0,0.633,False
spatial/stove,eef_approach_leave,0.15,Y_terminal,16,0.0312,1,15,8,1,2,1,1,0.0,7.0,8.0,8.0,13.0,0.833,False
long/SCENE8,goal_regression,0.02,Y_terminal,14,0.0273,1,13,6,1,2,1,1,1.0,41.0,41.0,10.0,10.0,0.538,False
spatial/stove,drop_separation,0.02,Y_terminal,12,0.0234,6,6,9,1,2,1,1,0.0,9.0,8.0,2.0,13.0,0.222,False
long/SCENE8,goal_regression,0.03,Y_terminal,11,0.0215,1,10,5,1,2,1,1,1.0,43.0,42.0,8.0,9.0,0.45,False
spatial/stove,drop_separation,0.03,Y_terminal,10,0.0195,4,6,8,1,2,1,1,0.0,9.0,8.0,2.0,13.0,0.292,False
long/SCENE8,goal_regression,0.02,Y_local_h8,9,0.0176,1,8,4,1,2,1,1,1.0,41.0,40.0,10.0,11.0,0.25,False
long/SCENE8,goal_regression,0.03,Y_local_h4,9,0.0176,1,8,5,1,2,1,1,1.0,43.0,41.0,8.0,10.0,0.312,False
long/SCENE8,goal_regression,0.03,Y_local_h8,7,0.0137,1,6,4,1,2,1,1,1.0,43.0,40.5,8.0,10.5,0.083,False
spatial/ramekin,push_ungrasped,0.02,Y_local_h4,7,0.0137,6,1,4,1,2,1,1,0.286,9.5,10.0,11.0,11.0,0.75,False
spatial/stove,liftloss,0.0,Y_terminal,7,0.0137,1,6,6,1,2,1,1,0.0,7.0,8.0,8.0,13.0,0.833,False
spatial/stove,liftloss,0.01,Y_terminal,7,0.0137,1,6,6,1,2,1,1,0.0,7.0,8.0,8.0,13.0,0.833,False
spatial/ramekin,eef_approach_leave,0.12,Y_local_h4,6,0.0117,1,5,4,1,2,1,1,0.167,13.0,12.0,8.0,9.0,0.4,False
spatial/ramekin,push_ungrasped,0.02,Y_local_h8,6,0.0117,5,1,4,1,2,1,1,0.333,10.0,10.0,11.0,11.0,0.7,False
spatial/ramekin,liftloss,0.0,Y_terminal,3,0.0059,2,1,2,1,2,1,1,0.0,6.5,8.0,8.0,13.0,1.0,False
spatial/ramekin,goal_regression,0.02,Y_terminal,2,0.0039,1,1,1,1,2,1,1,1.0,4.0,5.0,5.0,16.0,1.0,False
spatial/ramekin,liftloss,0.01,Y_terminal,2,0.0039,1,1,1,1,2,1,1,0.0,6.0,8.0,7.0,13.0,1.0,False
long/SCENE8,heightloss,0.02,Y_local_h4,260,0.5078,260,0,15,0,0,0,0,0.0,18.0,,21.0,,,False
long/SCENE8,heightloss,0.02,Y_local_h8,260,0.5078,260,0,15,0,0,0,0,0.0,18.0,,21.0,,,False
long/SCENE8,heightloss,0.03,Y_local_h4,143,0.2793,143,0,12,0,0,0,0,0.0,18.0,,21.0,,,False
long/SCENE8,heightloss,0.03,Y_local_h8,143,0.2793,143,0,12,0,0,0,0,0.0,18.0,,21.0,,,False
long/SCENE8,grasp_fail,0.1,Y_terminal,59,0.1152,0,59,9,0,0,0,0,0.508,,37.0,,14.0,,False
spatial/stove,goal_regression,0.01,Y_terminal,53,0.1035,53,0,4,0,0,0,0,1.0,6.0,,7.0,,,False
spatial/stove,goal_regression,0.01,Y_local_h4,53,0.1035,53,0,4,0,0,0,0,1.0,6.0,,7.0,,,False
goal/top_drawer,goal_regression,0.02,Y_terminal,40,0.0781,0,40,7,0,0,0,0,1.0,,16.5,,12.5,,False
goal/top_drawer,liftloss,0.0,Y_terminal,40,0.0781,0,40,7,0,0,0,0,1.0,,16.5,,12.5,,False
goal/top_drawer,liftloss,0.01,Y_terminal,40,0.0781,0,40,7,0,0,0,0,1.0,,16.5,,12.5,,False
goal/top_drawer,goal_regression,0.03,Y_terminal,39,0.0762,0,39,7,0,0,0,0,1.0,,17.0,,12.0,,False
goal/top_drawer,goal_regression,0.03,Y_local_h4,39,0.0762,0,39,7,0,0,0,0,1.0,,17.0,,12.0,,False
goal/top_drawer,goal_regression,0.05,Y_terminal,39,0.0762,0,39,7,0,0,0,0,1.0,,17.0,,12.0,,False
goal/top_drawer,liftloss,0.0,Y_local_h4,39,0.0762,0,39,7,0,0,0,0,1.0,,16.0,,13.0,,False
goal/top_drawer,liftloss,0.01,Y_local_h4,39,0.0762,0,39,7,0,0,0,0,1.0,,16.0,,13.0,,False
spatial/stove,goal_regression,0.02,Y_terminal,39,0.0762,39,0,3,0,0,0,0,1.0,6.0,,7.0,,,False
spatial/stove,goal_regression,0.02,Y_local_h4,39,0.0762,39,0,3,0,0,0,0,1.0,6.0,,7.0,,,False
goal/top_drawer,goal_regression,0.05,Y_local_h4,38,0.0742,0,38,7,0,0,0,0,1.0,,16.5,,12.5,,False
goal/top_drawer,liftloss,0.0,Y_local_h8,38,0.0742,0,38,7,0,0,0,0,1.0,,16.0,,13.0,,False
goal/top_drawer,liftloss,0.01,Y_local_h8,38,0.0742,0,38,7,0,0,0,0,1.0,,16.0,,13.0,,False
goal/top_drawer,goal_regression,0.03,Y_local_h8,37,0.0723,0,37,7,0,0,0,0,1.0,,16.0,,13.0,,False
goal/top_drawer,goal_regression,0.05,Y_local_h8,37,0.0723,0,37,7,0,0,0,0,1.0,,16.0,,13.0,,False
spatial/ramekin,goal_regression,0.01,Y_local_h4,37,0.0723,36,1,7,0,0,0,0,1.0,4.0,11.0,4.0,10.0,0.972,False
spatial/stove,grasp_fail,0.08,Y_terminal,29,0.0566,0,29,6,0,0,0,0,0.0,,6.0,,15.0,,False
spatial/stove,grasp_fail,0.1,Y_terminal,29,0.0566,0,29,6,0,0,0,0,0.0,,7.0,,14.0,,False
goal/top_drawer,drop_separation,0.01,Y_terminal,27,0.0527,0,27,7,0,0,0,0,0.963,,15.0,,14.0,,False
goal/top_drawer,drop_separation,0.01,Y_local_h4,27,0.0527,0,27,7,0,0,0,0,0.963,,15.0,,14.0,,False
goal/top_drawer,drop_separation,0.01,Y_local_h8,26,0.0508,0,26,7,0,0,0,0,0.962,,15.0,,14.0,,False
goal/top_drawer,drop_separation,0.02,Y_terminal,25,0.0488,0,25,7,0,0,0,0,0.96,,15.0,,14.0,,False
goal/top_drawer,drop_separation,0.02,Y_local_h4,25,0.0488,0,25,7,0,0,0,0,0.96,,15.0,,14.0,,False
goal/top_drawer,drop_separation,0.03,Y_terminal,25,0.0488,0,25,7,0,0,0,0,0.96,,15.0,,14.0,,False
goal/top_drawer,drop_separation,0.03,Y_local_h4,25,0.0488,0,25,7,0,0,0,0,0.96,,15.0,,14.0,,False
goal/top_drawer,eef_approach_leave,0.12,Y_terminal,25,0.0488,0,25,5,0,0,0,0,0.96,,15.0,,14.0,,False
goal/top_drawer,eef_approach_leave,0.12,Y_local_h4,25,0.0488,0,25,5,0,0,0,0,0.96,,15.0,,14.0,,False
goal/top_drawer,eef_approach_leave,0.15,Y_terminal,25,0.0488,0,25,5,0,0,0,0,0.96,,15.0,,14.0,,False
goal/top_drawer,eef_approach_leave,0.15,Y_local_h4,25,0.0488,0,25,5,0,0,0,0,0.96,,15.0,,14.0,,False
goal/top_drawer,heightloss,0.02,Y_terminal,25,0.0488,0,25,7,0,0,0,0,0.96,,15.0,,14.0,,False
goal/top_drawer,heightloss,0.02,Y_local_h4,25,0.0488,0,25,7,0,0,0,0,0.96,,15.0,,14.0,,False
goal/top_drawer,heightloss,0.03,Y_terminal,25,0.0488,0,25,7,0,0,0,0,0.96,,15.0,,14.0,,False
goal/top_drawer,heightloss,0.03,Y_local_h4,25,0.0488,0,25,7,0,0,0,0,0.96,,15.0,,14.0,,False
goal/top_drawer,drop_separation,0.02,Y_local_h8,24,0.0469,0,24,7,0,0,0,0,0.958,,15.0,,14.0,,False
goal/top_drawer,drop_separation,0.03,Y_local_h8,24,0.0469,0,24,7,0,0,0,0,0.958,,15.0,,14.0,,False
goal/top_drawer,eef_approach_leave,0.12,Y_local_h8,24,0.0469,0,24,5,0,0,0,0,0.958,,15.0,,14.0,,False
goal/top_drawer,eef_approach_leave,0.15,Y_local_h8,24,0.0469,0,24,5,0,0,0,0,0.958,,15.0,,14.0,,False
goal/top_drawer,heightloss,0.02,Y_local_h8,24,0.0469,0,24,7,0,0,0,0,0.958,,15.0,,14.0,,False
goal/top_drawer,heightloss,0.03,Y_local_h8,24,0.0469,0,24,7,0,0,0,0,0.958,,15.0,,14.0,,False
goal/top_drawer,heightloss,0.05,Y_terminal,21,0.041,0,21,6,0,0,0,0,1.0,,15.0,,14.0,,False
goal/top_drawer,heightloss,0.05,Y_local_h4,21,0.041,0,21,6,0,0,0,0,1.0,,15.0,,14.0,,False
goal/top_drawer,heightloss,0.05,Y_local_h8,20,0.0391,0,20,6,0,0,0,0,1.0,,15.0,,14.0,,False
goal/top_drawer,release_offgoal,0.0,Y_terminal,17,0.0332,0,17,1,0,0,0,0,0.176,,18.0,,11.0,,False
long/SCENE8,grasp_fail,0.08,Y_terminal,17,0.0332,1,16,7,0,0,0,0,0.412,31.0,42.5,5.0,8.5,0.938,False
goal/top_drawer,push_ungrasped,0.02,Y_local_h4,16,0.0312,0,16,2,0,0,0,0,0.188,,18.0,,11.0,,False
goal/top_drawer,push_ungrasped,0.02,Y_local_h8,16,0.0312,0,16,2,0,0,0,0,0.188,,18.0,,11.0,,False
spatial/stove,eef_approach_leave,0.12,Y_local_h4,16,0.0312,7,9,8,0,0,0,0,0.0,8.0,7.0,13.0,14.0,0.214,False
spatial/stove,eef_approach_leave,0.12,Y_local_h8,16,0.0312,7,9,8,0,0,0,0,0.0,8.0,7.0,13.0,14.0,0.214,False
spatial/stove,eef_approach_leave,0.15,Y_local_h4,16,0.0312,7,9,8,0,0,0,0,0.0,8.0,8.0,13.0,13.0,0.452,False
spatial/stove,eef_approach_leave,0.15,Y_local_h8,16,0.0312,7,9,8,0,0,0,0,0.0,8.0,8.0,13.0,13.0,0.452,False
spatial/stove,goal_regression,0.03,Y_terminal,16,0.0312,16,0,2,0,0,0,0,1.0,6.0,,7.0,,,False
spatial/stove,goal_regression,0.03,Y_local_h4,16,0.0312,16,0,2,0,0,0,0,1.0,6.0,,7.0,,,False
long/SCENE8,goal_regression,0.02,Y_local_h4,12,0.0234,0,12,5,0,0,0,0,1.0,,41.0,,10.0,,False
long/SCENE8,drop_separation,0.01,Y_local_h4,11,0.0215,11,0,5,0,0,0,0,0.0,18.0,,21.0,,,False
long/SCENE8,drop_separation,0.01,Y_local_h8,11,0.0215,11,0,5,0,0,0,0,0.0,18.0,,21.0,,,False
long/SCENE8,drop_separation,0.02,Y_local_h4,11,0.0215,11,0,5,0,0,0,0,0.0,18.0,,21.0,,,False
long/SCENE8,drop_separation,0.02,Y_local_h8,11,0.0215,11,0,5,0,0,0,0,0.0,18.0,,21.0,,,False
long/SCENE8,drop_separation,0.03,Y_local_h4,10,0.0195,10,0,5,0,0,0,0,0.0,18.0,,21.0,,,False
long/SCENE8,drop_separation,0.03,Y_local_h8,10,0.0195,10,0,5,0,0,0,0,0.0,18.0,,21.0,,,False
long/SCENE8,liftloss,0.0,Y_terminal,10,0.0195,0,10,6,0,0,0,0,0.7,,40.0,,11.0,,False
long/SCENE8,liftloss,0.01,Y_terminal,10,0.0195,0,10,6,0,0,0,0,0.7,,40.0,,11.0,,False
spatial/ramekin,grasp_fail,0.1,Y_terminal,10,0.0195,10,0,1,0,0,0,0,0.0,6.0,,6.0,,,False
spatial/ramekin,grasp_fail,0.1,Y_local_h4,10,0.0195,10,0,1,0,0,0,0,0.0,6.0,,6.0,,,False
spatial/stove,grasp_fail,0.05,Y_local_h8,10,0.0195,1,9,3,0,0,0,0,0.0,4.0,6.0,8.0,15.0,1.0,False
spatial/stove,heightloss,0.02,Y_local_h4,10,0.0195,10,0,7,0,0,0,0,0.0,8.5,,12.0,,,False
spatial/stove,heightloss,0.02,Y_local_h8,10,0.0195,10,0,7,0,0,0,0,0.0,8.5,,12.0,,,False
long/SCENE8,goal_regression,0.05,Y_terminal,9,0.0176,0,9,5,0,0,0,0,1.0,,41.0,,10.0,,False
spatial/stove,heightloss,0.03,Y_local_h4,9,0.0176,9,0,7,0,0,0,0,0.0,8.0,,12.0,,,False
spatial/stove,heightloss,0.03,Y_local_h8,9,0.0176,9,0,7,0,0,0,0,0.0,8.0,,12.0,,,False
long/SCENE8,goal_regression,0.05,Y_local_h4,8,0.0156,0,8,5,0,0,0,0,1.0,,41.0,,10.0,,False
spatial/stove,heightloss,0.05,Y_local_h4,8,0.0156,8,0,7,0,0,0,0,0.0,8.0,,12.5,,,False
spatial/stove,heightloss,0.05,Y_local_h8,8,0.0156,8,0,7,0,0,0,0,0.0,8.0,,12.5,,,False
long/SCENE8,goal_nbr_loss,0.025,Y_terminal,7,0.0137,0,7,5,0,0,0,0,1.0,,41.0,,10.0,,False
long/SCENE8,goal_nbr_loss,0.025,Y_local_h4,7,0.0137,0,7,5,0,0,0,0,1.0,,41.0,,10.0,,False
spatial/stove,drop_separation,0.01,Y_local_h4,7,0.0137,7,0,6,0,0,0,0,0.0,8.0,,13.0,,,False
spatial/stove,drop_separation,0.01,Y_local_h8,7,0.0137,7,0,6,0,0,0,0,0.0,8.0,,13.0,,,False
spatial/stove,drop_separation,0.02,Y_local_h4,7,0.0137,7,0,6,0,0,0,0,0.0,8.0,,13.0,,,False
spatial/stove,drop_separation,0.02,Y_local_h8,7,0.0137,7,0,6,0,0,0,0,0.0,8.0,,13.0,,,False
spatial/stove,drop_separation,0.03,Y_local_h4,7,0.0137,7,0,6,0,0,0,0,0.0,8.0,,13.0,,,False
spatial/stove,drop_separation,0.03,Y_local_h8,7,0.0137,7,0,6,0,0,0,0,0.0,8.0,,13.0,,,False
spatial/stove,liftloss,0.0,Y_local_h4,7,0.0137,7,0,6,0,0,0,0,0.0,8.0,,13.0,,,False
spatial/stove,liftloss,0.0,Y_local_h8,7,0.0137,7,0,6,0,0,0,0,0.0,8.0,,13.0,,,False
spatial/stove,liftloss,0.01,Y_local_h4,7,0.0137,7,0,6,0,0,0,0,0.0,8.0,,13.0,,,False
spatial/stove,liftloss,0.01,Y_local_h8,7,0.0137,7,0,6,0,0,0,0,0.0,8.0,,13.0,,,False
long/SCENE8,goal_nbr_loss,0.025,Y_local_h8,6,0.0117,0,6,4,0,0,0,0,1.0,,40.5,,10.5,,False
long/SCENE8,goal_regression,0.05,Y_local_h8,6,0.0117,0,6,4,0,0,0,0,1.0,,40.5,,10.5,,False
spatial/ramekin,eef_approach_leave,0.12,Y_terminal,6,0.0117,0,6,4,0,0,0,0,0.167,,12.5,,8.5,,False
long/SCENE8,goal_nbr_loss,0.05,Y_terminal,5,0.0098,0,5,3,0,0,0,0,1.0,,41.0,,10.0,,False
spatial/ramekin,eef_approach_leave,0.15,Y_terminal,5,0.0098,0,5,3,0,0,0,0,0.2,,17.0,,4.0,,False
spatial/stove,push_ungrasped,0.01,Y_local_h4,5,0.0098,5,0,2,0,0,0,0,0.0,13.0,,8.0,,,False
spatial/stove,push_ungrasped,0.02,Y_local_h4,5,0.0098,5,0,2,0,0,0,0,0.0,13.0,,8.0,,,False
long/SCENE8,goal_nbr_loss,0.05,Y_local_h4,4,0.0078,0,4,3,0,0,0,0,1.0,,41.0,,10.0,,False
long/SCENE8,goal_nbr_loss,0.05,Y_local_h8,4,0.0078,0,4,3,0,0,0,0,1.0,,41.0,,10.0,,False
spatial/ramekin,eef_approach_leave,0.12,Y_local_h8,4,0.0078,1,3,3,0,0,0,0,0.0,13.0,12.0,8.0,9.0,0.0,False
spatial/ramekin,goal_regression,0.01,Y_local_h8,4,0.0078,3,1,4,0,0,0,0,1.0,4.0,11.0,17.0,10.0,1.0,False
spatial/ramekin,grasp_fail,0.05,Y_terminal,4,0.0078,1,3,4,0,0,0,0,0.0,5.0,10.0,4.0,11.0,1.0,False
spatial/ramekin,grasp_fail,0.05,Y_local_h4,4,0.0078,3,1,4,0,0,0,0,0.0,10.0,12.0,11.0,9.0,1.0,False
spatial/ramekin,eef_approach_leave,0.15,Y_local_h4,3,0.0059,0,3,2,0,0,0,0,0.333,,14.0,,7.0,,False
spatial/ramekin,grasp_fail,0.05,Y_local_h8,3,0.0059,2,1,3,0,0,0,0,0.0,10.0,12.0,11.0,9.0,1.0,False
spatial/ramekin,liftloss,0.0,Y_local_h4,3,0.0059,3,0,2,0,0,0,0,0.0,7.0,,9.0,,,False
spatial/stove,push_ungrasped,0.01,Y_local_h8,3,0.0059,3,0,2,0,0,0,0,0.0,13.0,,8.0,,,False
spatial/stove,push_ungrasped,0.02,Y_local_h8,3,0.0059,3,0,2,0,0,0,0,0.0,13.0,,8.0,,,False
spatial/ramekin,drop_separation,0.01,Y_local_h4,2,0.0039,2,0,1,0,0,0,0,0.0,6.5,,10.5,,,False
spatial/ramekin,drop_separation,0.02,Y_local_h4,2,0.0039,2,0,1,0,0,0,0,0.0,6.5,,10.5,,,False
spatial/ramekin,goal_regression,0.02,Y_local_h4,2,0.0039,2,0,1,0,0,0,0,1.0,4.5,,10.5,,,False
spatial/ramekin,heightloss,0.02,Y_local_h4,2,0.0039,2,0,1,0,0,0,0,0.0,6.5,,10.5,,,False
spatial/ramekin,liftloss,0.0,Y_local_h8,2,0.0039,2,0,2,0,0,0,0,0.0,7.5,,11.0,,,False
spatial/ramekin,liftloss,0.01,Y_local_h4,2,0.0039,2,0,1,0,0,0,0,0.0,7.0,,10.0,,,False
goal/top_drawer,grasp_fail,0.08,Y_terminal,1,0.002,0,1,1,0,0,0,0,1.0,,17.0,,12.0,,False
goal/top_drawer,grasp_fail,0.08,Y_local_h4,1,0.002,0,1,1,0,0,0,0,1.0,,17.0,,12.0,,False
goal/top_drawer,grasp_fail,0.08,Y_local_h8,1,0.002,0,1,1,0,0,0,0,1.0,,17.0,,12.0,,False
goal/top_drawer,grasp_fail,0.1,Y_terminal,1,0.002,0,1,1,0,0,0,0,1.0,,17.0,,12.0,,False
goal/top_drawer,grasp_fail,0.1,Y_local_h4,1,0.002,0,1,1,0,0,0,0,1.0,,17.0,,12.0,,False
goal/top_drawer,grasp_fail,0.1,Y_local_h8,1,0.002,0,1,1,0,0,0,0,1.0,,17.0,,12.0,,False
spatial/ramekin,drop_separation,0.01,Y_local_h8,1,0.002,1,0,1,0,0,0,0,0.0,7.0,,14.0,,,False
spatial/ramekin,drop_separation,0.02,Y_local_h8,1,0.002,1,0,1,0,0,0,0,0.0,7.0,,14.0,,,False
spatial/ramekin,drop_separation,0.03,Y_terminal,1,0.002,0,1,1,0,0,0,0,0.0,,7.0,,14.0,,False
spatial/ramekin,drop_separation,0.03,Y_local_h4,1,0.002,1,0,1,0,0,0,0,0.0,7.0,,14.0,,,False
