fold,suite,seed,reference_cap,method,view,scope,task,episodes,failures,auc,ap,task_macro_auc,within_init_macro_auc,scorable_fraction,mixed_tasks
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,common_horizon,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,common_horizon,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,0.6835443037974683,0.038461538461538464,0.6835443037974683,0.42857142857142855,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,common_horizon,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,0.5064935064935064,0.04893148962916405,0.5064935064935064,0.26666666666666666,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,common_horizon,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,0.1111111111111111,0.06253678796434844,0.1111111111111111,0.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,common_horizon,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,common_horizon,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,common_horizon,seen,libero_goal/turn_on_the_stove,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,common_horizon,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,0.582785549749986,0.14384785174657305,0.582785549749986,0.45174603174603173,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,common_horizon,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,0.30497382198952877,0.03140248062780858,0.30497382198952877,0.4443877551020408,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,common_horizon,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,0.3878942881500426,0.0197811203310476,0.3878942881500426,0.45396825396825397,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,full,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,full,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,full,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,full,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,0.9982638888888888,0.9861111111111112,0.9982638888888888,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,full,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,full,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,full,seen,libero_goal/turn_on_the_stove,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,full,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,0.9996629024102478,0.9976204567703657,0.9996629024102478,0.9958333333333333,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,full,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,0.9514252472367656,0.8396829732476635,0.9514252472367656,0.9761904761904763,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,full,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,0.9963057686842853,0.9343434343434343,0.9963057686842853,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,common_horizon,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,common_horizon,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,0.6835443037974683,0.038461538461538464,0.6835443037974683,0.42857142857142855,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,common_horizon,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,0.5064935064935064,0.04893148962916405,0.5064935064935064,0.26666666666666666,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,common_horizon,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,0.1111111111111111,0.06253678796434844,0.1111111111111111,0.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,common_horizon,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,common_horizon,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,common_horizon,seen,libero_goal/turn_on_the_stove,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,common_horizon,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,0.5751446710489353,0.14408449330059392,0.5751446710489353,0.4417460317460317,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,common_horizon,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,0.30497382198952877,0.03140248062780858,0.30497382198952877,0.4443877551020408,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,common_horizon,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,0.3878942881500426,0.0197811203310476,0.3878942881500426,0.45396825396825397,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,full,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,full,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,full,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,1.0,1.0,1.0,1.0,0.0375,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,full,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,1.0,1.0,1.0,1.0,0.1125,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,full,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,full,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,,,,,0.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,full,seen,libero_goal/turn_on_the_stove,80,0,,,,,0.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,full,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,0.9951120849485926,0.9426807577845722,0.9951120849485926,0.9791666666666666,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,full,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,1.0,1.0,1.0,1.0,0.0475,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,full,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,1.0,1.0,1.0,1.0,0.0225,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,common_horizon,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,common_horizon,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,0.4177215189873418,0.02127659574468085,0.4177215189873418,0.7142857142857143,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,common_horizon,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,0.5,0.0375,0.5,0.5,0.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,common_horizon,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,0.5,0.1,0.5,0.5,0.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,common_horizon,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,common_horizon,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,,,,,0.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,common_horizon,seen,libero_goal/turn_on_the_stove,80,0,,,,,0.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,common_horizon,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,0.667172313051295,0.19622273379998648,0.667172313051295,0.5791666666666667,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,common_horizon,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,0.5,0.045,0.5,0.5,0.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,common_horizon,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,0.5,0.0225,0.5,0.5,0.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,full,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,full,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,full,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,0.987012987012987,0.6388888888888888,0.987012987012987,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,full,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,full,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,full,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,full,seen,libero_goal/turn_on_the_stove,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,full,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,0.9037024551941121,0.4620673806557112,0.9037024551941121,0.8488492063492062,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,full,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,0.997673065735893,0.9377976533507224,0.997673065735893,0.9761904761904763,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,full,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,0.9971582836032964,0.9002525252525253,0.9971582836032964,1.0,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,common_horizon,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,common_horizon,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,0.6329113924050633,0.03333333333333333,0.6329113924050633,0.2857142857142857,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,common_horizon,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,0.19047619047619047,0.02986497135433306,0.19047619047619047,0.13333333333333333,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,common_horizon,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,0.9965277777777778,0.9704861111111112,0.9965277777777778,0.9285714285714286,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,common_horizon,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,common_horizon,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,common_horizon,seen,libero_goal/turn_on_the_stove,80,0,,,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,common_horizon,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,0.5487948761166358,0.29787046637363745,0.5487948761166358,0.5974999999999999,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,common_horizon,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,0.639325189063409,0.08039350737380777,0.639325189063409,0.5335034013605442,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,common_horizon,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,0.5436203466894004,0.027909478088441696,0.5436203466894004,0.3904761904761904,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,full,seen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,80,12,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,full,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,full,seen,libero_goal/put_the_bowl_on_the_plate,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,full,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,7,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,full,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,full,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,full,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,full,unseen,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,full,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,full,unseen,libero_goal/turn_on_the_stove,400,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,common_horizon,seen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,80,12,0.7022058823529411,0.3131455213052333,0.7022058823529411,0.4222222222222222,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,common_horizon,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,0.7088607594936709,0.041666666666666664,0.7088607594936709,0.42857142857142855,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,common_horizon,seen,libero_goal/put_the_bowl_on_the_plate,80,1,0.4936708860759494,0.024390243902439025,0.4936708860759494,0.2857142857142857,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,common_horizon,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,7,0.7514677103718199,0.22232534706672635,0.7514677103718199,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,common_horizon,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,common_horizon,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,common_horizon,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,1,0.34177215189873417,0.018867924528301886,0.34177215189873417,0.7142857142857143,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,common_horizon,unseen,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,common_horizon,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,0.3878942881500426,0.0197811203310476,0.3878942881500426,0.45396825396825397,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,common_horizon,unseen,libero_goal/turn_on_the_stove,400,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,full,seen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,80,12,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,full,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,full,seen,libero_goal/put_the_bowl_on_the_plate,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,full,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,7,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,full,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,full,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,full,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,full,unseen,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,full,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,full,unseen,libero_goal/turn_on_the_stove,400,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,common_horizon,seen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,80,12,0.7022058823529411,0.3131455213052333,0.7022058823529411,0.4222222222222222,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,common_horizon,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,0.7088607594936709,0.041666666666666664,0.7088607594936709,0.42857142857142855,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,common_horizon,seen,libero_goal/put_the_bowl_on_the_plate,80,1,0.4936708860759494,0.024390243902439025,0.4936708860759494,0.2857142857142857,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,common_horizon,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,7,0.7514677103718199,0.22232534706672635,0.7514677103718199,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,common_horizon,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,common_horizon,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,common_horizon,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,1,0.34177215189873417,0.018867924528301886,0.34177215189873417,0.7142857142857143,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,common_horizon,unseen,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,common_horizon,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,0.3878942881500426,0.0197811203310476,0.3878942881500426,0.45396825396825397,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,common_horizon,unseen,libero_goal/turn_on_the_stove,400,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_freeze_constant,full,seen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,80,12,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_freeze_constant,full,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_freeze_constant,full,seen,libero_goal/put_the_bowl_on_the_plate,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_freeze_constant,full,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,7,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_freeze_constant,full,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_freeze_constant,full,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_freeze_constant,full,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,1,1.0,1.0,1.0,1.0,1.0,1
libero_goal_20260908,libero_goal,20260908,4096,v7_freeze_constant,full,unseen,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,,,,,1.0,0
libero_goal_20260908,libero_goal,20260908,4096,v7_freeze_constant,full,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,0.9963057686842853,0.9343434343434343,0.9963057686842853,1.0,1.0,1
