fold,suite,seed,reference_cap,method,calibration,alpha,scope,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.03,seen,560,12,548,8,0,0.6666666666666666,0.0,1.0,0.8333333333333333,0.8333333333333334,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.03,unseen,1200,78,1122,54,1,0.6923076923076923,0.00089126559714795,0.9818181818181818,0.8457082133552721,0.8581196581196578,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.05,seen,560,12,548,8,5,0.6666666666666666,0.009124087591240875,0.6153846153846154,0.8287712895377128,0.8222222222222223,22.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.05,unseen,1200,78,1122,58,1,0.7435897435897436,0.00089126559714795,0.9830508474576272,0.8713492389962978,0.8333333333333334,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.1,seen,560,12,548,8,15,0.6666666666666666,0.02737226277372263,0.34782608695652173,0.8196472019464719,0.8222222222222223,22.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.1,unseen,1200,78,1122,62,2,0.7948717948717948,0.0017825311942959,0.96875,0.8965446318387494,0.8166666666666665,22.5
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.15,seen,560,12,548,10,30,0.8333333333333334,0.05474452554744526,0.25,0.8892944038929441,0.7666666666666667,21.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.15,unseen,1200,78,1122,69,2,0.8846153846153846,0.0017825311942959,0.971830985915493,0.9414164267105444,0.7833333333333332,22.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.2,seen,560,12,548,10,94,0.8333333333333334,0.17153284671532848,0.09615384615384616,0.8309002433090025,0.7416666666666667,19.5
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.2,unseen,1200,78,1122,78,49,1.0,0.04367201426024955,0.6141732283464567,0.9781639928698752,0.655982905982906,19.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.01,seen,560,12,548,6,5,0.5,0.009124087591240875,0.5454545454545454,0.7454379562043796,0.8416666666666668,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.01,unseen,1200,78,1122,48,0,0.6153846153846154,0.0,1.0,0.8076923076923077,0.89017094017094,24.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.03,seen,560,12,548,7,13,0.5833333333333334,0.023722627737226276,0.35,0.7798053527980536,0.8333333333333334,22.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.03,unseen,1200,78,1122,51,1,0.6538461538461539,0.00089126559714795,0.9807692307692307,0.8264774441245029,0.8675213675213674,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.05,seen,560,12,548,8,19,0.6666666666666666,0.03467153284671533,0.2962962962962963,0.8159975669099756,0.8305555555555556,23.5
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.05,unseen,1200,78,1122,52,1,0.6666666666666666,0.00089126559714795,0.9811320754716981,0.8328877005347592,0.86025641025641,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.1,seen,560,12,548,8,31,0.6666666666666666,0.05656934306569343,0.20512820512820512,0.8050486618004865,0.7777777777777777,16.5
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.1,unseen,1200,78,1122,54,1,0.6923076923076923,0.00089126559714795,0.9818181818181818,0.8457082133552721,0.8448717948717948,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.15,seen,560,12,548,10,86,0.8333333333333334,0.15693430656934307,0.10416666666666667,0.8381995133819952,0.7333333333333334,20.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.15,unseen,1200,78,1122,61,55,0.782051282051282,0.049019607843137254,0.5258620689655172,0.8665158371040723,0.726068376068376,21.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.2,seen,560,12,548,10,103,0.8333333333333334,0.18795620437956204,0.08849557522123894,0.8226885644768858,0.7222222222222223,19.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.2,unseen,1200,78,1122,66,93,0.8461538461538461,0.08288770053475936,0.41509433962264153,0.8816330728095434,0.6769230769230768,21.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.01,seen,560,12,548,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.01,unseen,1200,78,1122,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.03,seen,560,12,548,6,4,0.5,0.0072992700729927005,0.6,0.7463503649635036,0.8444444444444446,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.03,unseen,1200,78,1122,47,0,0.6025641025641025,0.0,1.0,0.8012820512820513,0.8918803418803418,24.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.05,seen,560,12,548,6,6,0.5,0.010948905109489052,0.5,0.7445255474452555,0.8416666666666668,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.05,unseen,1200,78,1122,48,0,0.6153846153846154,0.0,1.0,0.8076923076923077,0.8876068376068375,24.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.1,seen,560,12,548,8,19,0.6666666666666666,0.03467153284671533,0.2962962962962963,0.8159975669099756,0.8305555555555556,23.5
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.1,unseen,1200,78,1122,52,1,0.6666666666666666,0.00089126559714795,0.9811320754716981,0.8328877005347592,0.86025641025641,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.15,seen,560,12,548,8,28,0.6666666666666666,0.051094890510948905,0.2222222222222222,0.8077858880778588,0.7805555555555556,16.5
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.15,unseen,1200,78,1122,54,1,0.6923076923076923,0.00089126559714795,0.9818181818181818,0.8457082133552721,0.8487179487179486,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.2,seen,560,12,548,10,93,0.8333333333333334,0.16970802919708028,0.0970873786407767,0.8318126520681266,0.7277777777777779,19.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.2,unseen,1200,78,1122,61,70,0.782051282051282,0.062388591800356503,0.46564885496183206,0.8598313451254627,0.7149572649572649,21.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.01,seen,560,12,548,2,19,0.16666666666666666,0.03467153284671533,0.09523809523809523,0.5659975669099757,0.9638888888888889,22.5
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.01,unseen,1200,78,1122,78,34,1.0,0.030303030303030304,0.6964285714285714,0.9848484848484849,0.6713675213675213,19.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.03,seen,560,12,548,4,37,0.3333333333333333,0.06751824817518248,0.0975609756097561,0.6329075425790753,0.9500000000000001,26.5
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.03,unseen,1200,78,1122,78,90,1.0,0.08021390374331551,0.4642857142857143,0.9598930481283422,0.6034188034188033,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.05,seen,560,12,548,5,48,0.4166666666666667,0.08759124087591241,0.09433962264150944,0.6645377128953771,0.9305555555555557,26.0
