fold,suite,seed,reference_cap,method,calibration,alpha,scope,task,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_constant,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,3,0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.8518518518518517,16.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,17,1.0,0.21518987341772153,0.05555555555555555,0.8924050632911392,0.8333333333333334,24.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,0,1.0,0.0,1.0,1.0,0.5,14.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,4,0,0.5,0.0,1.0,0.75,0.9416666666666667,27.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,51,2,1.0,0.0057306590257879654,0.9622641509433962,0.997134670487106,0.7915032679738562,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,5,0,0.2777777777777778,0.0,1.0,0.6388888888888888,0.9333333333333333,22.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,6,0,0.6666666666666666,0.0,1.0,0.8333333333333333,0.7222222222222222,15.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,5,1.0,0.06329113924050633,0.16666666666666666,0.9683544303797469,0.8333333333333334,24.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,0,1.0,0.0,1.0,1.0,0.5,14.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,4,0,0.5,0.0,1.0,0.75,0.9416666666666667,27.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,49,1,0.9607843137254902,0.0028653295128939827,0.98,0.9789594921062982,0.8098039215686276,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,4,0,0.2222222222222222,0.0,1.0,0.6111111111111112,0.9462962962962962,21.5
libero_goal_20260907,libero_goal,20260907,4096,v7_guard_timeband,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,5,0,0.5555555555555556,0.0,1.0,0.7777777777777778,0.7407407407407407,15.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,19,1.0,0.24050632911392406,0.05,0.879746835443038,0.8666666666666667,25.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4666666666666666,13.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,4,0,0.5,0.0,1.0,0.75,0.9625,28.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,46,1,0.9019607843137255,0.0028653295128939827,0.9787234042553191,0.9495477274004157,0.8359477124183008,23.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,1,0,0.05555555555555555,0.0,1.0,0.5277777777777778,0.9833333333333333,20.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,5,0,0.5555555555555556,0.0,1.0,0.7777777777777778,0.7518518518518519,16.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,6,1.0,0.0759493670886076,0.14285714285714285,0.9620253164556962,0.9,26.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,0,1.0,0.0,1.0,1.0,0.48888888888888893,14.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,2,0,0.25,0.0,1.0,0.625,0.9666666666666667,25.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,44,0,0.8627450980392157,0.0,1.0,0.9313725490196079,0.8594771241830066,24.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,1,0,0.05555555555555555,0.0,1.0,0.5277777777777778,0.9851851851851853,21.0
libero_goal_20260907,libero_goal,20260907,4096,v7_freeze_constant,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,3,0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.8518518518518517,16.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,4,,0.05,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,27,1.0,0.34177215189873417,0.03571428571428571,0.8291139240506329,0.6333333333333333,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,2,0,0.6666666666666666,0.0,1.0,0.8333333333333333,0.9,24.5
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,2,0,0.25,0.0,1.0,0.625,0.9791666666666667,26.5
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,17,,0.2125,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,51,102,1.0,0.2922636103151863,0.3333333333333333,0.8538681948424068,0.6241830065359477,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,18,1,1.0,0.002617801047120419,0.9473684210526315,0.9986910994764397,0.512962962962963,12.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,9,0,1.0,0.0,1.0,1.0,0.5555555555555556,14.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,1,,0.0125,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,15,1.0,0.189873417721519,0.0625,0.9050632911392404,0.6333333333333333,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,1,0,0.125,0.0,1.0,0.5625,0.9916666666666667,27.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,8,,0.1,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,51,48,1.0,0.13753581661891118,0.5151515151515151,0.9312320916905444,0.7143790849673202,22.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,18,1,1.0,0.002617801047120419,0.9473684210526315,0.9986910994764397,0.5462962962962963,13.0
libero_goal_20260907,libero_goal,20260907,4096,v7_turbulence_constant,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,9,0,1.0,0.0,1.0,1.0,0.5851851851851851,19.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,1,,0.0125,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,24,1.0,0.3037974683544304,0.04,0.8481012658227848,0.5333333333333333,15.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,1,1.0,0.012987012987012988,0.75,0.9935064935064936,0.4666666666666666,13.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,8,1,1.0,0.013888888888888888,0.8888888888888888,0.9930555555555556,0.26666666666666666,6.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,2,,0.025,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,3,,0.0375,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,49,116,0.9607843137254902,0.332378223495702,0.296969696969697,0.8142030451148942,0.6895424836601307,18.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,18,9,1.0,0.02356020942408377,0.6666666666666666,0.9882198952879581,0.4444444444444444,12.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,9,11,1.0,0.028132992327365727,0.45,0.9859335038363172,0.4444444444444444,13.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.05,seen,libero_goal/open_the_middle_drawer_of_the_cabinet,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,3,77,3,1,1.0,0.012987012987012988,0.75,0.9935064935064936,0.7000000000000001,20.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,8,72,5,0,0.625,0.0,1.0,0.8125,0.7166666666666667,15.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,0,80,0,2,,0.025,0.0,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.05,seen,libero_goal/turn_on_the_stove,80,0,80,0,0,,0.0,,,,
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.05,unseen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,9,13,0.17647058823529413,0.03724928366762178,0.4090909090909091,0.5696106522838362,0.9294117647058823,15.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_plate,400,18,382,10,1,0.5555555555555556,0.002617801047120419,0.9090909090909091,0.7764688772542175,0.8037037037037038,17.0
libero_goal_20260907,libero_goal,20260907,4096,v7_success_fusion_constant,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,4,0,0.4444444444444444,0.0,1.0,0.7222222222222222,0.8222222222222223,16.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.05,seen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,80,12,68,12,0,1.0,0.0,1.0,1.0,0.8055555555555557,23.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,26,1.0,0.3291139240506329,0.037037037037037035,0.8354430379746836,0.4,11.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.05,seen,libero_goal/put_the_bowl_on_the_plate,80,1,79,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,7,73,7,0,1.0,0.0,1.0,1.0,0.48095238095238096,13.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,0,80,0,0,,0.0,,,,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,1,79,1,0,1.0,0.0,1.0,1.0,0.5,14.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.05,unseen,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,400,0,0,,0.0,,,,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,5,0,0.5555555555555556,0.0,1.0,0.7777777777777778,0.7444444444444445,15.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,episode,0.05,unseen,libero_goal/turn_on_the_stove,400,0,400,0,0,,0.0,,,,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,80,12,68,12,0,1.0,0.0,1.0,1.0,0.8250000000000002,24.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,9,1.0,0.11392405063291139,0.1,0.9430379746835443,0.9,26.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/put_the_bowl_on_the_plate,80,1,79,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,7,73,7,0,1.0,0.0,1.0,1.0,0.5095238095238095,14.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,0,80,0,0,,0.0,,,,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,1,79,1,0,1.0,0.0,1.0,1.0,0.5333333333333333,15.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.05,unseen,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,400,0,0,,0.0,,,,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,4,0,0.4444444444444444,0.0,1.0,0.7222222222222222,0.8037037037037037,15.5
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_constant,task_init,0.05,unseen,libero_goal/turn_on_the_stove,400,0,400,0,0,,0.0,,,,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,80,12,68,12,7,1.0,0.10294117647058823,0.631578947368421,0.9485294117647058,0.7527777777777779,22.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,32,1.0,0.4050632911392405,0.030303030303030304,0.7974683544303798,0.4666666666666667,13.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/put_the_bowl_on_the_plate,80,1,79,1,0,1.0,0.0,1.0,1.0,0.5666666666666667,16.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/put_the_bowl_on_top_of_the_cabinet,80,7,73,7,0,1.0,0.0,1.0,1.0,0.48095238095238096,13.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/put_the_cream_cheese_in_the_bowl,80,0,80,0,0,,0.0,,,,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_the_rack,80,0,80,0,0,,0.0,,,,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,episode,0.05,seen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,80,1,79,1,0,1.0,0.0,1.0,1.0,0.5,14.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,episode,0.05,unseen,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,400,0,2,,0.005,0.0,,,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,episode,0.05,unseen,libero_goal/put_the_bowl_on_the_stove,400,9,391,7,0,0.7777777777777778,0.0,1.0,0.8888888888888888,0.6518518518518519,14.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,episode,0.05,unseen,libero_goal/turn_on_the_stove,400,0,400,0,0,,0.0,,,,
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,task_init,0.05,seen,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,80,12,68,12,1,1.0,0.014705882352941176,0.9230769230769231,0.9926470588235294,0.8027777777777779,23.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,task_init,0.05,seen,libero_goal/push_the_plate_to_the_front_of_the_stove,80,1,79,1,6,1.0,0.0759493670886076,0.14285714285714285,0.9620253164556962,0.8666666666666667,25.0
libero_goal_20260908,libero_goal,20260908,4096,v7_guard_timeband,task_init,0.05,seen,libero_goal/put_the_bowl_on_the_plate,80,1,79,0,0,0.0,0.0,,0.5,1.0,
