order,job_id,suite,task_id,episode_index,init_state_id,seed,flow_noise_seed,state,outcome,is_completed,is_succeeded,is_task_failed,is_infra_failed,is_pending,is_running,attempt_count,episode_status,success,action_steps,inference_calls,duration_seconds,artifact_dir,video_path,video_retained,error_type,error
22,task04-episode002-init002-seed7,spatial,4,2,2,7,244,completed,succeeded,1,1,0,0,0,0,1,completed,True,124,25,19.138859249651432,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task04-episode002-init002-seed7/episode-libero-spatial-task04-seed7-20260803T195430Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task04-episode002-init002-seed7/episode-libero-spatial-task04-seed7-20260803T195430Z/episode.mp4,False,,
23,task04-episode003-init003-seed7,spatial,4,3,3,7,245,completed,succeeded,1,1,0,0,0,0,1,completed,True,126,26,19.904500026255846,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task04-episode003-init003-seed7/episode-libero-spatial-task04-seed7-20260803T195449Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task04-episode003-init003-seed7/episode-libero-spatial-task04-seed7-20260803T195449Z/episode.mp4,False,,
24,task04-episode004-init004-seed7,spatial,4,4,4,7,246,completed,succeeded,1,1,0,0,0,0,1,completed,True,128,26,19.744690461084247,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task04-episode004-init004-seed7/episode-libero-spatial-task04-seed7-20260803T195509Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task04-episode004-init004-seed7/episode-libero-spatial-task04-seed7-20260803T195509Z/episode.mp4,False,,
25,task05-episode000-init000-seed7,spatial,5,0,0,7,292,completed,succeeded,1,1,0,0,0,0,1,completed,True,92,19,14.865822203457355,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task05-episode000-init000-seed7/episode-libero-spatial-task05-seed7-20260803T195528Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task05-episode000-init000-seed7/episode-libero-spatial-task05-seed7-20260803T195528Z/episode.mp4,False,,
26,task05-episode001-init001-seed7,spatial,5,1,1,7,293,completed,succeeded,1,1,0,0,0,0,1,completed,True,95,19,14.967646373435855,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task05-episode001-init001-seed7/episode-libero-spatial-task05-seed7-20260803T195543Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task05-episode001-init001-seed7/episode-libero-spatial-task05-seed7-20260803T195543Z/episode.mp4,False,,
27,task05-episode002-init002-seed7,spatial,5,2,2,7,294,completed,succeeded,1,1,0,0,0,0,1,completed,True,94,19,14.98248384334147,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task05-episode002-init002-seed7/episode-libero-spatial-task05-seed7-20260803T195558Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task05-episode002-init002-seed7/episode-libero-spatial-task05-seed7-20260803T195558Z/episode.mp4,False,,
28,task05-episode003-init003-seed7,spatial,5,3,3,7,295,completed,succeeded,1,1,0,0,0,0,1,completed,True,92,19,14.889489835128188,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task05-episode003-init003-seed7/episode-libero-spatial-task05-seed7-20260803T195613Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task05-episode003-init003-seed7/episode-libero-spatial-task05-seed7-20260803T195613Z/episode.mp4,False,,
29,task05-episode004-init004-seed7,spatial,5,4,4,7,296,completed,succeeded,1,1,0,0,0,0,1,completed,True,95,19,14.960873110219836,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task05-episode004-init004-seed7/episode-libero-spatial-task05-seed7-20260803T195628Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task05-episode004-init004-seed7/episode-libero-spatial-task05-seed7-20260803T195628Z/episode.mp4,False,,
30,task06-episode000-init000-seed7,spatial,6,0,0,7,342,completed,succeeded,1,1,0,0,0,0,1,completed,True,105,21,16.289921468123794,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task06-episode000-init000-seed7/episode-libero-spatial-task06-seed7-20260803T195643Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task06-episode000-init000-seed7/episode-libero-spatial-task06-seed7-20260803T195643Z/episode.mp4,False,,
31,task06-episode001-init001-seed7,spatial,6,1,1,7,343,completed,succeeded,1,1,0,0,0,0,1,completed,True,110,22,17.081412052735686,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task06-episode001-init001-seed7/episode-libero-spatial-task06-seed7-20260803T195700Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task06-episode001-init001-seed7/episode-libero-spatial-task06-seed7-20260803T195700Z/episode.mp4,False,,
